Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,19.7546,497672.0667,13.7227,3.8065
2014-01-03,19.3207,486740.2503,13.4212,3.7229
2014-01-06,19.4261,489394.4773,13.4944,3.7432
2014-01-07,19.2871,485892.2473,13.3979,3.7164
2014-01-08,19.4093,488971.6005,13.4828,3.7399
2014-01-09,19.1614,482726.5192,13.3106,3.6922
2014-01-10,19.0336,479506.357,13.2218,3.6675
2014-01-13,19.1332,478167.9304,13.291,3.6867
2014-01-14,19.5139,487682.5555,13.5555,3.7601
2014-01-15,19.9057,497473.8724,13.8276,3.8356
2014-01-16,19.7946,494698.0296,13.7505,3.8142
2014-01-17,19.3096,482577.1469,13.4136,3.7207
2014-01-21,19.6096,490074.6001,13.6219,3.7785
2014-01-22,19.6968,492252.4318,13.6825,3.7953
2014-01-23,19.8636,496420.6587,13.7983,3.8275
2014-01-24,19.5025,487396.9382,13.5475,3.7579
2014-01-27,19.6607,491292.0853,13.6574,3.7884
2014-01-28,18.0893,451792.4354,12.5658,3.4856
2014-01-29,17.8839,446663.4986,12.4232,3.446
2014-01-30,17.8494,445800.0532,12.3992,3.4394
2014-01-31,17.8786,446529.7002,12.4195,3.445
2014-02-03,17.9118,447359.25,12.4425,3.4514
2014-02-04,18.1711,453835.0903,12.6226,3.5013
2014-02-05,18.3068,457224.6485,12.7169,3.5275
2014-02-06,18.3039,457153.2894,12.7149,3.5269
2014-02-07,18.56,463548.8506,12.8928,3.5763
2014-02-10,18.8925,471853.2683,13.1238,3.6404
2014-02-11,19.1414,478070.4318,13.2967,3.6883
2014-02-12,19.14,478034.7522,13.2957,3.688
2014-02-13,19.4439,485625.5787,13.5068,3.7466
2014-02-14,19.4282,485233.1035,13.4959,3.7436
2014-02-18,19.4996,487017.0816,13.5455,3.7573
2014-02-19,19.1918,479328.1363,13.3317,3.698
2014-02-20,18.9696,473779.9646,13.1774,3.6552
2014-02-21,18.7589,468517.2294,13.031,3.6146
2014-02-24,18.8411,470568.8042,13.0881,3.6304
2014-02-25,18.645,465671.7845,12.9519,3.5927
2014-02-26,18.4768,461470.5162,12.835,3.5602
2014-02-27,18.8454,470675.8428,13.091,3.6313
2014-02-28,18.7943,469400.2986,13.0556,3.6214
2014-03-03,18.8486,470756.1219,13.0933,3.6319
2014-03-04,18.9729,473860.2436,13.1796,3.6558
2014-03-05,19.0129,474859.2713,13.2074,3.6635
2014-03-06,18.9554,473423.169,13.1674,3.6525
2014-03-07,18.9443,473146.6524,13.1598,3.6503
2014-03-10,18.9614,473574.8071,13.1717,3.6536
2014-03-11,19.1461,478186.3903,13.2999,3.6892
2014-03-12,19.1646,478650.2246,13.3128,3.6928
2014-03-13,18.9518,473333.9701,13.165,3.6518
2014-03-14,18.7389,468017.7156,13.0171,3.6108
2014-03-17,18.8121,469846.2931,13.068,3.6249
2014-03-18,18.9786,474002.9619,13.1836,3.6569
2014-03-19,18.9736,473878.0834,13.1801,3.656
2014-03-20,18.8821,471594.5915,13.1166,3.6384
2014-03-21,19.0311,475314.1857,13.22,3.6671
2014-03-24,19.2568,480951.5563,13.3768,3.7105
2014-03-25,19.4639,486125.0926,13.5207,3.7505
2014-03-26,19.2779,481477.8298,13.3915,3.7146
2014-03-27,19.195,479408.4153,13.3339,3.6986
2014-03-28,19.1736,478873.2219,12.8456,3.8496
2014-03-31,19.1693,478766.1832,12.8427,3.8487
2014-04-01,19.3446,483145.8493,12.9602,3.8839
2014-04-02,19.3768,483948.6394,12.9817,3.8904
2014-04-03,19.2425,480594.7607,12.8917,3.8634
2014-04-04,18.9936,474377.5973,12.725,3.8134
2014-04-07,18.6954,466929.489,12.5252,3.7535
2014-04-08,18.6943,466902.7293,12.5245,3.7533
2014-04-09,18.94,473039.6137,12.6891,3.8027
2014-04-10,18.6957,466938.4089,12.5254,3.7536
2014-04-11,18.5575,463486.4114,12.4328,3.7259
2014-04-14,18.6314,465332.8287,12.4824,3.7407
2014-04-15,18.4986,462014.518,12.3933,3.714
2014-04-16,18.5361,462951.218,12.4185,3.7216
2014-04-17,18.7479,468240.7128,12.5604,3.7641
2014-04-21,18.9704,473797.8044,12.7094,3.8088
2014-04-22,18.9892,474269.6666,12.7221,3.8126
2014-04-23,18.7411,452200.6862,12.5558,3.7627
2014-04-24,20.2775,489066.2798,13.5852,4.0712
2014-04-25,20.4264,492658.2385,13.6849,4.1011
2014-04-28,21.2175,511737.8273,14.2149,4.2599
2014-04-29,21.1546,510221.7967,14.1728,4.2473
2014-04-30,21.0746,508292.3033,14.1192,4.2312
2014-05-01,21.1243,509489.6229,14.1525,4.2412
2014-05-02,21.1636,510437.142,14.1788,4.2491
2014-05-05,21.4629,517655.5146,14.3793,4.3092
2014-05-06,21.2289,512013.4692,14.2226,4.2622
2014-05-07,21.1546,510221.7967,14.1728,4.2473
2014-05-08,20.9996,506483.4033,14.069,4.2162
2014-05-09,20.9122,504375.1733,14.0104,4.1986
2014-05-12,21.1725,510652.4872,14.1848,4.2509
2014-05-13,21.2057,511453.5715,14.207,4.2576
2014-05-14,21.2096,511548.3235,14.2097,4.2584
2014-05-15,21.0293,507198.3495,14.0888,4.2221
2014-05-16,21.3396,514683.7502,14.2968,4.2845
2014-05-19,21.5925,520782.3276,14.4662,4.3352
2014-05-20,21.5968,520885.6933,14.469,4.3361
2014-05-21,21.6539,522263.9029,14.5073,4.3476
2014-05-22,21.6882,523090.8286,14.5303,4.3544
2014-05-23,21.9332,528999.9021,14.6944,4.4036
2014-05-27,22.3439,538905.7834,14.9696,4.4861
2014-05-28,22.2861,537510.3462,14.9308,4.4745
2014-05-29,22.6921,547304.248,15.2029,4.556
2014-05-30,22.6071,545254.1613,15.1459,4.5389
2014-06-02,22.4518,541507.154,15.0418,4.5077
2014-06-03,22.7693,549164.8309,15.2546,4.5715
2014-06-04,23.0293,555435.6845,15.4288,4.6237
2014-06-05,23.1196,557614.9783,15.4893,4.6418
2014-06-06,23.0561,556081.7202,15.4467,4.6291
2014-06-09,23.425,564979.7972,15.6939,4.7031
2014-06-10,23.5625,568296.114,15.786,4.7307
2014-06-11,23.465,565944.5439,15.7207,4.7112
2014-06-12,23.0725,556477.9667,15.4577,4.6324
2014-06-13,22.82,550388.003,15.2885,4.5817
2014-06-16,23.05,555935.2967,15.4426,4.6278
2014-06-17,23.02,555211.7366,15.4225,4.6218
2014-06-18,23.045,555814.7033,15.4393,4.6268
2014-06-19,22.965,553885.2099,15.3857,4.6108
2014-06-20,22.7275,548157.0263,15.2266,4.5631
2014-06-23,22.7075,547674.6529,15.2132,4.5591
2014-06-24,22.57,544358.3361,15.121,4.5315
2014-06-25,22.59,544840.7094,15.1344,4.5355
2014-06-26,22.725,548096.7296,15.2249,4.5626
2014-06-27,22.995,554608.7699,14.8884,4.555
2014-06-30,23.2325,560336.9536,15.0422,4.6021
2014-07-01,23.38,563894.4571,15.1377,4.6313
2014-07-02,23.37,563653.2704,15.1312,4.6293
2014-07-03,23.5075,566969.5873,15.2202,4.6565
2014-07-07,23.992,578655.0819,15.5339,4.7525
2014-07-08,23.8375,574928.7477,15.4339,4.7219
2014-07-09,23.8475,575169.9344,15.4403,4.7239
2014-07-10,23.7588,573029.4026,15.3829,4.7063
2014-07-11,23.805,574144.891,15.4128,4.7155
2014-07-14,24.1125,581561.3814,15.6119,4.7764
2014-07-15,23.83,574747.8577,15.429,4.7204
2014-07-16,23.695,571491.8375,15.3416,4.6937
2014-07-17,23.2725,561300.9466,15.068,4.61
2014-07-18,23.6075,569381.4541,15.2849,4.6763
2014-07-21,23.4847,566420.8876,15.2055,4.652
2014-07-22,23.68,571130.0575,15.3319,4.6907
2014-07-23,24.2975,581960.812,15.7317,4.813
2014-07-24,24.2575,581002.7532,15.7058,4.8051
2014-07-25,24.4178,584840.9761,15.8096,4.8368
2014-07-28,24.755,592918.6089,16.0279,4.9037
2014-07-29,24.595,589086.3739,15.9243,4.872
2014-07-30,24.5375,587709.1645,15.8871,4.8606
2014-07-31,23.9,572440.1031,15.4743,4.7343
2014-08-01,24.0325,575613.6727,15.5601,4.7605
2014-08-04,23.8975,572380.2245,15.4727,4.7338
2014-08-05,23.78,569565.9269,15.3966,4.7105
2014-08-06,23.74,568607.8681,15.3707,4.7026
2014-08-07,23.62,565733.6919,15.293,4.6788
2014-08-08,23.685,567290.5373,15.3351,4.6917
2014-08-11,23.9975,574775.3713,15.5375,4.7536
2014-08-12,23.9925,574655.614,15.5342,4.7526
2014-08-13,24.31,582260.2053,15.7398,4.8155
2014-08-14,24.375,583817.0508,15.7819,4.8284
2014-08-15,24.495,586691.227,15.8596,4.8521
2014-08-18,24.79,593756.9103,16.0506,4.9106
2014-08-19,25.1325,601960.2884,16.2723,4.9784
2014-08-20,25.1425,602199.803,16.2788,4.9804
2014-08-21,25.145,602259.6817,16.2804,4.9809
2014-08-22,25.33,606690.7034,16.4002,5.0176
2014-08-25,25.385,608008.0342,16.4358,5.0284
2014-08-26,25.2223,604109.9327,16.3304,4.9962
2014-08-27,25.5325,611540.8759,16.5313,5.0577
2014-08-28,25.5625,612259.4199,16.5507,5.0636
2014-08-29,25.625,613756.3867,16.5912,5.076
2014-09-02,25.825,618546.6805,16.7207,5.1156
2014-09-03,24.735,592439.5795,16.015,4.8997
2014-09-04,24.53,587529.5284,15.8822,4.8591
2014-09-05,24.7425,592619.2155,16.0198,4.9012
2014-09-08,24.59,588966.6166,15.9211,4.871
2014-09-09,24.4975,586751.1057,15.8612,4.8526
2014-09-10,25.25,604774.5859,16.3484,5.0017
2014-09-11,25.3575,607349.3688,16.418,5.023
2014-09-12,25.415,608726.5783,16.4552,5.0344
2014-09-15,25.4075,608546.9423,16.4504,5.0329
2014-09-16,25.215,603936.2845,16.3257,4.9948
2014-09-17,25.395,608247.5489,16.4423,5.0304
2014-09-18,25.4475,609505.001,16.4763,5.0408
2014-09-19,25.24,604535.0712,16.3419,4.9997
2014-09-22,25.265,605133.858,16.3581,5.0047
2014-09-23,25.66,614594.6881,16.6139,5.0829
