Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,51.98,82692.9972,17.841,18.3684
2014-01-03,52.3,83202.073,17.9508,18.4815
2014-01-06,50.39,80163.5269,17.2952,17.8066
2014-01-07,50.49,80322.6131,17.3296,17.8419
2014-01-08,50.36,80115.8011,17.285,17.796
2014-01-09,51.22,81483.9422,17.5801,18.0999
2014-01-10,50.9,80974.8665,17.4703,17.9868
2014-01-13,49.83,79272.6443,17.103,17.6087
2014-01-14,50.6,80497.6079,17.3673,17.8808
2014-01-15,50.11,79718.0856,17.1991,17.7076
2014-01-16,50.5,80338.5217,17.333,17.8454
2014-01-17,50.06,79638.5425,17.182,17.69
2014-01-21,50.0,79543.0908,17.1614,17.6688
2014-01-22,49.08,78079.4979,16.8456,17.3436
2014-01-23,48.87,77745.417,16.7735,17.2694
2014-01-24,47.79,76027.2862,16.4029,16.8878
2014-01-27,46.83,74500.0589,16.0734,16.5486
2014-01-28,47.69,75868.2,16.3685,16.8525
2014-01-29,47.61,75740.9311,16.3411,16.8242
2014-01-30,48.31,76854.5344,16.5813,17.0715
2014-01-31,49.23,78318.1272,16.8971,17.3967
2014-02-03,47.35,75327.307,16.2518,16.7323
2014-02-04,47.95,76281.8241,16.4578,16.9443
2014-02-05,47.73,75931.8345,16.3823,16.8666
2014-02-06,47.93,76250.0069,16.4509,16.9373
2014-02-07,48.89,77777.2342,16.7804,17.2765
2014-02-10,49.55,78827.203,17.0069,17.5097
2014-02-11,49.66,79002.1978,17.0447,17.5486
2014-02-12,50.56,80433.9734,17.3536,17.8666
2014-02-13,50.35,80099.8925,17.2815,17.7924
2014-02-14,50.73,80704.4199,17.4119,17.9267
2014-02-18,51.46,81865.7491,17.6625,18.1847
2014-02-19,51.19,81436.2164,17.5698,18.0893
2014-02-20,51.86,82502.0938,17.7998,18.326
2014-02-21,51.04,81077.9995,17.5183,18.0363
2014-02-24,50.85,80776.1809,17.4531,17.9691
2014-02-25,50.72,80569.6735,17.4085,17.9232
2014-02-26,50.74,80601.4439,17.4154,17.9302
2014-02-27,50.91,80871.492,17.4737,17.9903
2014-02-28,50.91,80871.492,17.4737,17.9903
2014-03-03,50.09,79568.9066,17.1923,17.7006
2014-03-04,51.59,81951.6848,17.7071,18.2306
2014-03-05,51.7,82126.4219,17.7449,18.2695
2014-03-06,52.04,82666.5183,17.8616,18.3896
2014-03-07,51.46,81745.1774,17.6625,18.1847
2014-03-10,51.66,82062.8811,17.7311,18.2554
2014-03-11,51.75,82205.8478,17.762,18.2872
2014-03-12,51.64,82031.1108,17.7243,18.2483
2014-03-13,51.32,81522.7848,17.6145,18.1352
2014-03-14,51.21,81348.0477,17.5767,18.0963
2014-03-17,51.98,82571.2072,17.841,18.3684
2014-03-18,53.1,84350.3482,18.2254,18.7642
2014-03-19,53.11,84366.2334,18.2288,18.7677
2014-03-20,53.68,85271.6891,18.4245,18.9692
2014-03-21,53.46,84922.215,18.349,18.8914
2014-03-24,51.36,81586.3255,17.6282,18.1493
2014-03-25,51.69,82499.8333,17.7414,18.266
2014-03-26,51.5,82196.5838,17.6762,18.1988
2014-03-27,51.66,82451.9518,17.7311,18.2554
2014-03-28,50.98,81366.6377,17.4978,18.0151
2014-03-31,51.4,82036.9788,17.3568,17.4003
2014-04-01,52.1,83154.2139,17.5931,17.6373
2014-04-02,53.34,85133.3161,18.0119,18.0571
2014-04-03,53.5,85388.6841,18.0659,18.1113
2014-04-04,52.2,83313.8189,17.6269,17.6712
2014-04-07,50.62,80792.0597,17.0934,17.1363
2014-04-08,49.1,78366.0634,16.5801,16.6217
2014-04-09,50.63,80808.0202,17.0967,17.1397
2014-04-10,47.35,75572.9756,15.9892,16.0293
2014-04-11,46.46,74152.4909,15.6886,15.728
2014-04-14,46.83,74743.0295,15.8136,15.8533
