Date,Price,Market Cap,PE Ratio,PB Ratio
2020-12-09,68.0,40626.4987,,
2020-12-10,144.71,86456.774,,
2020-12-11,139.25,83890.919,,
2020-12-14,130.0,78318.2726,,
2020-12-15,124.8,75185.5417,,
2020-12-16,137.99,83131.8342,,
2020-12-17,147.05,88590.0153,,
2020-12-18,157.3,94765.1099,,
2020-12-21,163.02,98211.1139,,
2020-12-22,163.19,98313.5301,,
2020-12-23,158.01,95192.8481,,
2020-12-24,154.84,93283.0872,,
2020-12-28,149.0,89764.7894,,
2020-12-29,150.0,90367.2377,,
2020-12-30,148.43,89421.3939,,
2020-12-31,146.8,88439.4032,,31.6285
2021-01-04,139.15,83830.6741,,29.9802
2021-01-05,148.3,89343.0756,,31.9516
2021-01-06,142.77,86011.5368,,30.7602
2021-01-07,151.27,91132.3469,,32.5915
2021-01-08,149.77,90228.6746,,32.2684
2021-01-11,148.13,89240.6594,,31.915
2021-01-12,160.8,96873.6788,,34.6448
2021-01-13,169.99,102410.1782,,36.6248
2021-01-14,180.5,108741.9093,,38.8892
2021-01-15,169.27,101976.4154,,36.4697
2021-01-19,173.69,104639.2367,,37.422
2021-01-20,161.83,97494.2005,,34.8667
2021-01-21,180.4,108681.6645,,38.8677
2021-01-22,181.87,109567.2634,,39.1844
2021-01-25,177.53,106952.638,,38.2493
2021-01-26,192.74,116115.8759,,41.5264
2021-01-27,201.25,121242.7105,,43.3599
2021-01-28,187.37,112880.7288,,40.3694
2021-01-29,183.63,110627.5723,,39.5636
2021-02-01,180.44,108705.7624,,38.8763
2021-02-02,179.17,107940.6531,,38.6027
2021-02-03,185.72,111886.6892,,40.0139
2021-02-04,195.8,117959.3675,,42.1856
2021-02-05,195.31,117664.1679,,42.0801
2021-02-08,200.43,120748.7029,,43.1832
2021-02-09,199.88,120417.3564,,43.0647
2021-02-10,211.66,127514.1968,,45.6027
2021-02-11,216.84,130634.8787,,46.7188
2021-02-12,212.68,128128.694,,45.8225
2021-02-16,209.86,126429.79,,45.2149
