Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,38.23,59110.6781,27.8904,2.3513
2014-01-03,38.64,59744.6142,28.1895,2.3765
2014-01-06,39.15,60533.1689,28.5615,2.4079
2014-01-07,38.85,60069.3132,28.3427,2.3894
2014-01-08,39.2,60610.4782,28.598,2.4109
2014-01-09,39.27,60718.7112,28.6491,2.4152
2014-01-10,39.57,61182.5669,28.868,2.4337
2014-01-13,39.11,60471.3215,28.5324,2.4054
2014-01-14,39.57,61182.5669,28.868,2.4337
2014-01-15,39.53,61120.7195,28.8388,2.4312
2014-01-16,39.54,61136.1814,28.8461,2.4318
2014-01-17,39.4,60919.7154,28.7439,2.4232
2014-01-21,39.12,60486.7834,28.5397,2.406
2014-01-22,38.07,58863.2884,27.7736,2.3414
2014-01-23,37.43,57873.7296,27.3067,2.3021
2014-01-24,36.58,56559.4718,26.6866,2.2498
2014-01-27,36.3,56126.5398,26.4824,2.2326
2014-01-28,36.37,56234.7728,26.5334,2.2369
2014-01-29,35.85,55430.7562,26.1541,2.2049
2014-01-30,36.53,56482.1625,26.6501,2.2467
2014-01-31,36.66,56683.1666,26.745,2.2547
2014-02-03,35.85,55430.7562,26.1541,2.2049
2014-02-04,36.25,56049.2305,26.4459,2.2295
2014-02-05,36.35,56203.8491,26.5188,2.2356
2014-02-06,36.65,56667.7048,26.7377,2.2541
2014-02-07,37.18,57487.1832,27.1244,2.2867
2014-02-10,37.16,57456.2595,27.1098,2.2855
2014-02-11,37.95,58677.7461,27.6861,2.334
2014-02-12,38.26,59157.0637,27.9123,2.3531
2014-02-13,38.72,59868.3091,28.2478,2.3814
2014-02-14,38.81,60007.4658,28.3135,2.3869
2014-02-18,38.93,60193.0081,28.401,2.3943
2014-02-19,38.76,59930.1565,28.277,2.3839
2014-02-20,38.95,60223.9318,28.4156,2.3956
2014-02-21,38.82,59901.9895,28.3208,2.3876
2014-02-24,38.98,60148.8808,28.4375,2.3974
2014-02-25,39.25,60565.5098,28.6345,2.414
2014-02-26,39.39,60781.5396,28.7366,2.4226
2014-02-27,39.79,61398.7677,29.0285,2.4472
2014-02-28,39.78,61383.337,29.0212,2.4466
2014-03-03,39.33,60688.9554,28.6929,2.4189
2014-03-04,40.12,61907.9809,29.2692,2.4675
