Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,81.13,55006.8969,19.0388,10.9225
2014-01-03,81.4,55189.9594,19.1022,10.9588
2014-01-06,80.54,54606.8714,18.9004,10.843
2014-01-07,81.52,55271.3205,19.1304,10.975
2014-01-08,82.15,55698.4664,19.2782,11.0598
2014-01-09,82.95,56240.8739,19.4659,11.1675
2014-01-10,83.2,56410.3762,19.5246,11.2011
2014-01-13,81.06,54959.4362,19.0224,10.913
2014-01-14,81.95,55562.8645,19.2313,11.0329
2014-01-15,84.22,57101.9457,19.764,11.3385
2014-01-16,84.12,57034.1448,19.7405,11.325
2014-01-17,84.43,57244.3277,19.8133,11.3667
2014-01-21,84.93,57583.3323,19.9306,11.4341
2014-01-22,85.4,57901.9967,20.0409,11.4973
2014-01-23,83.92,56898.5429,19.6936,11.2981
2014-01-24,81.18,55040.7973,19.0506,10.9292
2014-01-27,81.15,55020.4571,19.0435,10.9252
2014-01-28,81.3,55122.1585,19.0787,10.9453
2014-01-29,80.32,54457.7093,18.8488,10.8134
2014-01-30,80.72,54728.9131,18.9426,10.8673
2014-01-31,79.88,54159.3852,18.7455,10.7542
2014-02-03,78.09,52945.7485,18.3254,10.5132
2014-02-04,78.08,52938.9684,18.3231,10.5118
2014-02-05,77.57,52593.1837,18.2034,10.4432
2014-02-06,78.52,53237.2925,18.4263,10.5711
2014-02-07,80.58,54633.9917,18.9098,10.8484
2014-02-10,79.97,54220.4061,18.7666,10.7663
2014-02-11,80.55,54613.6515,18.9027,10.8444
2014-02-12,81.21,55061.1376,19.0576,10.9332
2014-02-13,81.74,55420.4826,19.182,11.0046
2014-02-14,82.11,55671.346,19.2688,11.0544
2014-02-18,82.59,55996.7905,19.3815,11.119
2014-02-19,83.26,56451.0567,19.5387,11.2092
2014-02-20,83.38,56532.4179,19.5668,11.2254
2014-02-21,83.8,56817.1818,19.6654,11.2819
2014-02-24,83.95,56918.8832,19.7006,11.3021
2014-02-25,83.41,56552.7581,19.5739,11.2294
2014-02-26,83.4,56545.9781,19.5715,11.2281
2014-02-27,83.36,56518.8577,19.5622,11.2227
2014-02-28,83.35,56512.0776,19.3197,10.4705
2014-03-03,82.5,55935.7697,19.1227,10.3637
2014-03-04,83.98,56939.2235,19.4657,10.5496
2014-03-05,84.11,57027.3647,19.4959,10.566
2014-03-06,83.8,56817.1818,19.424,10.527
2014-03-07,83.93,56905.323,19.4542,10.5434
2014-03-10,84.04,56979.904,19.4796,10.5572
2014-03-11,83.55,56647.6795,19.3661,10.4956
2014-03-12,82.75,56105.272,19.1806,10.3951
2014-03-13,82.09,55657.7858,19.0277,10.3122
2014-03-14,81.38,55176.3992,18.8631,10.223
2014-03-17,83.39,56539.198,19.329,10.4755
2014-03-18,83.79,56810.4017,19.4217,10.5258
2014-03-19,82.63,56023.9109,19.1528,10.3801
2014-03-20,83.06,56315.4549,19.2525,10.4341
2014-03-21,82.83,56159.5127,19.1992,10.4052
2014-03-24,82.0,55596.765,19.0068,10.3009
2014-03-25,83.52,56627.3392,19.3591,10.4919
2014-03-26,82.97,56254.434,19.2316,10.4228
2014-03-27,78.8,53045.4389,18.2651,9.8989
2014-03-28,78.81,53052.1706,18.2674,9.9002
2014-03-31,79.72,53664.7512,18.4783,10.0145
2014-04-01,79.54,53543.5814,18.4366,9.9919
2014-04-02,79.99,53846.5058,18.5409,10.0484
2014-04-03,79.35,53415.6799,18.3926,9.968
2014-04-04,78.14,52601.1497,18.1121,9.816
2014-04-07,78.88,53099.2922,18.2836,9.909
2014-04-08,78.29,52702.1245,18.1469,9.8349
2014-04-09,78.48,52830.026,18.1909,9.8587
2014-04-10,76.83,51719.303,17.8084,9.6514
2014-04-11,77.09,51894.326,17.8687,9.6841
2014-04-14,77.82,52385.7368,18.0379,9.7758
2014-04-15,78.92,53126.2188,18.2929,9.914
2014-04-16,79.11,53254.1202,18.3369,9.9379
2014-04-17,78.9,53112.7555,18.2882,9.9115
2014-04-21,79.71,53658.0195,18.476,10.0132
2014-04-22,79.64,53610.8979,18.4598,10.0044
2014-04-23,79.11,53254.1202,18.3369,9.9379
2014-04-24,78.36,52749.2461,18.1631,9.8436
2014-04-25,78.43,52796.3677,18.1793,9.8524
2014-04-28,79.07,53227.1936,18.3277,9.9328
2014-04-29,79.68,53637.8245,18.469,10.0095
2014-04-30,80.22,54001.3339,18.5942,10.0773
2014-05-01,79.84,53745.531,18.5061,10.0296
2014-05-02,79.36,53422.4116,18.3949,9.9693
2014-05-05,79.0,53180.072,18.3114,9.924
2014-05-06,78.73,52998.3173,18.2488,9.8901
2014-05-07,78.21,52648.2713,18.1283,9.8248
2014-05-08,78.83,53065.6339,18.272,9.9027
2014-05-09,78.74,53005.049,18.2512,9.8914
2014-05-12,79.19,53307.9735,18.3555,9.9479
2014-05-13,79.68,53637.8245,18.469,10.0095
2014-05-14,78.85,53079.0972,18.2767,9.9052
2014-05-15,78.42,52789.636,18.177,9.8512
2014-05-16,79.53,53536.8497,18.4343,9.9906
2014-05-19,79.56,53557.0447,18.4412,9.9944
2014-05-20,78.4,52776.1727,18.1724,9.8487
2014-05-21,79.37,53429.1432,18.3972,9.9705
2014-05-22,79.45,53482.9965,18.4157,9.9806
2014-05-23,79.79,53711.8727,18.4945,10.0233
2014-05-27,80.1,53920.554,18.5664,10.0622
