Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,59.29,29638.3197,96.4198,4.3755
2014-01-03,59.16,29573.3344,96.2084,4.3659
2014-01-06,58.12,29053.4516,94.5171,4.2891
2014-01-07,58.97,29478.3558,95.8994,4.3518
2014-01-08,58.9,29443.3637,95.7856,4.3467
2014-01-09,59.09,29538.3423,96.0946,4.3607
2014-01-10,59.53,29758.2927,96.8101,4.3932
2014-01-13,58.6,29293.3975,95.2977,4.3245
2014-01-14,60.37,30178.1981,98.1762,4.4552
2014-01-15,61.68,30833.0505,100.3065,4.5518
2014-01-16,61.63,30808.0561,100.2252,4.5481
2014-01-17,61.37,30678.0854,99.8024,4.529
2014-01-21,60.85,30218.3815,98.9568,4.4906
2014-01-22,61.77,30675.2576,100.4529,4.5585
2014-01-23,60.88,30233.2796,99.0056,4.4928
2014-01-24,59.09,29344.3576,96.0946,4.3607
2014-01-27,58.36,28981.8364,94.9074,4.3068
2014-01-28,59.11,29354.2897,96.1271,4.3622
2014-01-29,58.46,29031.4968,95.0701,4.3142
2014-01-30,59.39,29493.339,96.5825,4.3828
2014-01-31,59.19,29394.0181,96.2572,4.3681
2014-02-03,58.09,28847.7532,94.4683,4.2869
2014-02-04,59.72,29657.2185,97.1191,4.4072
2014-02-05,61.0,30292.8722,99.2007,4.5016
2014-02-06,61.34,30461.7177,99.7536,4.5267
2014-02-07,62.88,31226.4885,102.258,4.6404
2014-02-10,63.78,31673.4326,103.7217,4.7068
2014-02-11,63.97,31767.7874,104.0306,4.7208
2014-02-12,65.14,32348.8146,105.9333,4.8072
2014-02-13,67.04,33292.3631,109.0232,4.9474
2014-02-14,68.34,33937.9489,111.1373,5.0433
2014-02-18,68.66,34096.8623,111.6577,5.0669
2014-02-19,67.99,33764.1373,110.5681,5.0175
2014-02-20,68.48,34007.4735,111.365,5.0537
2014-02-21,68.22,33878.3564,110.9422,5.0345
2014-02-24,68.765,34149.0058,111.8285,5.0747
2014-02-25,68.01,33774.0694,110.6007,5.019
2014-02-26,67.82,33679.7146,110.2917,5.0049
2014-02-27,69.92,34722.584,113.7068,5.1599
2014-02-28,68.63,34081.9642,118.7415,5.1751
2014-03-03,67.86,33893.8251,117.4093,5.1171
2014-03-04,68.6,34263.4306,118.6896,5.1729
2014-03-05,68.9,34413.2707,119.2087,5.1955
2014-03-06,68.92,34423.2601,119.2433,5.197
2014-03-07,68.52,34223.4733,118.5512,5.1668
2014-03-10,68.04,33983.7292,117.7207,5.1306
2014-03-11,67.47,33699.033,116.7345,5.0877
2014-03-12,68.06,33993.7185,117.7553,5.1321
2014-03-13,67.08,33504.2409,116.0598,5.0582
2014-03-14,67.19,33559.1823,116.2501,5.0665
2014-03-17,68.17,34048.6599,117.9457,5.1404
2014-03-18,68.52,34223.4733,118.5512,5.1668
2014-03-19,67.63,33778.9477,117.0114,5.0997
2014-03-20,68.49,34208.4893,118.4993,5.1646
2014-03-21,67.14,33534.2089,116.1636,5.0628
2014-03-24,65.24,32585.2218,112.8763,4.9195
2014-03-25,65.81,32869.9179,113.8625,4.9625
2014-03-26,63.9,31915.9361,110.5578,4.8185
2014-03-27,64.53,32230.6003,111.6478,4.866
2014-03-28,64.88,32292.7508,112.2534,4.8923
2014-03-31,65.74,32720.799,113.7414,4.9572
2014-04-01,65.93,32815.3678,114.0701,4.9715
2014-04-02,65.48,32591.3891,113.2915,4.9376
2014-04-03,62.45,31083.2659,108.0491,4.7091
2014-04-04,61.32,30520.8305,106.094,4.6239
2014-04-07,60.47,30097.7596,104.6234,4.5598
2014-04-08,61.82,30769.6957,106.9591,4.6616
2014-04-09,63.46,31585.9736,109.7966,4.7853
2014-04-10,61.49,30605.4446,106.3881,4.6367
2014-04-11,60.5,30112.6915,104.6753,4.5621
2014-04-14,61.39,30555.6716,106.2151,4.6292
2014-04-15,62.105,30911.5489,107.4522,4.6831
2014-04-16,63.04,31376.9268,109.0699,4.7536
2014-04-17,64.04,31874.6573,110.8001,4.829
2014-04-21,64.3,32004.0672,111.2499,4.8486
2014-04-22,64.48,32093.6587,111.5613,4.8622
2014-04-23,64.39,32048.8629,111.4056,4.8554
2014-04-24,63.22,31466.5183,109.3813,4.7672
2014-04-25,61.61,30665.1723,106.5958,4.6458
2014-04-28,60.4,30062.9185,104.5022,4.5545
2014-04-29,60.91,30316.761,105.3846,4.593
2014-04-30,61.69,30704.9907,106.7342,4.6518
2014-05-01,62.59,31152.9481,108.2913,4.7197
2014-05-02,61.56,30640.2858,106.5092,4.642
2014-05-05,61.44,30580.5581,106.3016,4.633
2014-05-06,59.44,29585.0972,102.8413,4.4821
2014-05-07,58.63,29181.9356,101.4398,4.4211
2014-05-08,59.08,29405.9143,102.2184,4.455
2014-05-09,59.59,29659.7568,103.1008,4.4935
2014-05-12,60.7,30212.2376,105.0213,4.5772
2014-05-13,60.81,30266.9879,105.2116,4.5854
2014-05-14,60.88,30301.8291,105.3327,4.5907
2014-05-15,60.2,29963.3724,104.1562,4.5394
2014-05-16,61.64,30680.1042,106.6477,4.648
2014-05-19,62.2,30958.8333,107.6166,4.6903
2014-05-20,61.71,30714.9453,106.7688,4.6533
2014-05-21,62.47,31093.2205,108.0837,4.7106
2014-05-22,63.15,31431.6772,109.2602,4.7619
2014-05-23,64.3,32004.0672,111.2499,4.8486
2014-05-27,65.25,32476.9111,112.8936,4.9202
2014-05-28,64.84,32272.8416,112.1842,4.8893
2014-05-29,65.45,32576.4572,113.2396,4.9353
2014-05-30,64.54,32123.5225,116.6717,4.8354
2014-06-02,64.64,32173.2955,116.8525,4.8429
2014-06-03,64.09,31899.5438,115.8582,4.8017
2014-06-04,64.17,31939.3622,116.0029,4.8077
2014-06-05,65.47,32586.4118,118.3529,4.9051
2014-06-06,66.91,33303.1436,120.9561,5.013
2014-06-09,66.93,33313.0982,120.9922,5.0145
2014-06-10,66.96,33328.0301,121.0465,5.0168
2014-06-11,67.46,33576.8954,121.9503,5.0542
2014-06-12,66.56,33128.938,120.3234,4.9868
2014-06-13,66.82,33258.3479,120.7934,5.0063
2014-06-16,67.62,33656.5322,122.2396,5.0662
2014-06-17,67.54,33616.7138,122.095,5.0602
2014-06-18,73.08,36374.1404,132.1099,5.4753
2014-06-19,72.95,36309.4355,131.8748,5.4655
2014-06-20,72.61,36140.2071,131.2602,5.4401
2014-06-23,72.89,36279.5716,131.7664,5.461
2014-06-24,72.38,36025.7291,130.8444,5.4228
2014-06-25,72.44,36029.8627,130.9529,5.4273
2014-06-26,72.85,36233.7865,131.6941,5.458
2014-06-27,72.0,35811.0176,130.1575,5.3944
2014-06-30,72.36,35990.0727,130.8083,5.4213
2014-07-01,73.01,36313.3666,131.9833,5.47
2014-07-02,72.76,36189.0228,131.5314,5.4513
2014-07-03,73.57,36591.8967,132.9956,5.512
2014-07-07,72.68,36149.2327,131.3868,5.4453
2014-07-08,71.14,35383.2749,128.6028,5.3299
2014-07-09,71.57,35597.1462,129.3802,5.3621
2014-07-10,71.7,35661.805,129.6152,5.3719
2014-07-11,72.26,35940.3351,130.6275,5.4138
2014-07-14,72.88,36248.7078,131.7483,5.4603
2014-07-15,72.29,35955.2564,130.6817,5.4161
2014-07-16,72.38,36000.0202,130.8444,5.4228
2014-07-17,71.39,35507.6187,129.0548,5.3487
2014-07-18,72.55,36084.574,131.1517,5.4356
2014-07-21,71.96,35791.1226,130.0852,5.3914
2014-07-22,72.26,35940.3351,130.6275,5.4138
2014-07-23,72.04,35830.9126,130.2298,5.3974
2014-07-24,72.795,36206.4309,131.5946,5.4539
2014-07-25,72.62,36119.3902,131.2783,5.4408
2014-07-28,72.7,36159.1802,131.4229,5.4468
2014-07-29,72.27,35945.3089,130.6456,5.4146
2014-07-30,71.89,35756.3063,129.9586,5.3861
2014-07-31,69.25,34443.1735,125.186,5.1883
2014-08-01,68.94,34289.0493,124.6258,5.1651
2014-08-04,68.77,34204.4955,124.3185,5.1524
2014-08-05,68.97,34303.9706,124.68,5.1674
2014-08-06,68.23,33935.9129,123.3423,5.1119
2014-08-07,67.83,33736.9628,122.6192,5.0819
2014-08-08,68.39,34015.4929,123.6315,5.1239
2014-08-11,68.97,34303.9706,124.68,5.1674
2014-08-12,68.785,34211.9562,124.3456,5.1535
2014-08-13,69.79,34711.8183,126.1624,5.2288
2014-08-14,70.05,34841.1359,126.6324,5.2483
2014-08-15,70.07,34851.0834,126.6685,5.2498
2014-08-18,71.06,35343.4848,128.4582,5.3239
2014-08-19,72.05,35835.8863,130.2479,5.3981
2014-08-20,71.02,35323.5898,128.3859,5.3209
2014-08-21,71.73,35676.7263,129.6694,5.3741
2014-08-22,72.04,35830.9126,130.2298,5.3974
2014-08-25,71.82,35721.49,129.8321,5.3809
2014-08-26,71.53,35577.2512,129.3079,5.3591
2014-08-27,71.55,35587.1987,129.344,5.3606
2014-08-28,71.37,35497.6712,129.0186,5.3472
2014-08-29,71.9,35761.2801,149.6673,5.3258
2014-09-02,72.1,35860.7551,150.0836,5.3406
2014-09-03,72.43,36024.8889,150.7705,5.365
2014-09-04,72.455,36037.3233,150.8225,5.3669
2014-09-05,73.13,36373.0516,152.2276,5.4169
2014-09-08,73.39,36502.3692,152.7688,5.4362
2014-09-09,72.42,36019.9152,150.7497,5.3643
2014-09-10,72.33,35975.1514,150.5623,5.3576
2014-09-11,72.42,36019.9152,150.7497,5.3643
2014-09-12,70.98,35303.6948,147.7522,5.2576
2014-09-15,70.27,34950.5584,146.2742,5.2051
2014-09-16,70.73,35179.351,147.2318,5.2391
2014-09-17,67.3,33473.3539,140.0919,4.9851
2014-09-18,67.91,33776.7528,141.3617,5.0302
2014-09-19,66.94,33294.2988,139.3425,4.9584
2014-09-22,67.2,33423.6164,139.8837,4.9776
2014-09-23,67.79,33717.0678,141.1119,5.0214
2014-09-24,69.03,34333.8131,143.6931,5.1132
2014-09-25,67.71,33769.6083,140.9453,5.0154
2014-09-26,68.355,34091.2948,142.288,5.0632
2014-09-29,69.22,34522.704,144.0886,5.1273
2014-09-30,69.19,34507.7418,144.0261,5.1251
2014-10-01,67.54,33684.8227,140.5915,5.0028
2014-10-02,67.06,33445.428,139.5923,4.9673
2014-10-03,68.4,34113.7381,142.3816,5.0665
2014-10-06,67.67,33749.6587,140.8621,5.0125
2014-10-07,65.96,32896.8153,137.3025,4.8858
2014-10-08,67.99,33909.2552,141.5282,5.0362
2014-10-09,65.66,32747.1936,136.6781,4.8636
2014-10-10,63.29,31565.1825,131.7447,4.688
2014-10-13,61.68,30762.213,128.3933,4.5688
2014-10-14,60.88,30363.2219,126.728,4.5095
2014-10-15,62.19,31016.5698,129.4549,4.6065
2014-10-16,62.86,31350.7248,130.8496,4.6562
2014-10-17,64.52,32178.6313,134.305,4.7791
2014-10-20,64.68,32258.4295,134.6381,4.791
2014-10-21,66.425,33128.7288,138.2705,4.9202
2014-10-22,65.04,32437.9755,135.3875,4.8177
2014-10-23,65.92,32876.8657,137.2193,4.8828
2014-10-24,67.01,33420.4911,139.4882,4.9636
2014-10-27,67.03,33430.4659,139.5298,4.9651
2014-10-28,68.37,34098.7759,142.3192,5.0643
2014-10-29,67.93,33879.3308,141.4033,5.0317
2014-10-30,68.57,34198.5237,142.7355,5.0791
2014-10-31,70.12,34971.5689,145.962,5.1939
2014-11-03,69.91,34866.8338,145.5249,5.1784
2014-11-04,71.07,35445.3709,147.9395,5.2643
2014-11-05,71.37,35594.9925,148.564,5.2865
2014-11-06,72.1,35959.0719,150.0836,5.3406
2014-11-07,71.6,35709.7025,149.0428,5.3036
2014-11-10,71.7,35759.5763,149.2509,5.311
2014-11-11,71.7,35759.5763,149.2509,5.311
2014-11-12,71.41,35614.9421,148.6473,5.2895
2014-11-13,71.72,35769.5511,149.2926,5.3125
2014-11-14,71.42,35619.9295,148.6681,5.2902
2014-11-17,69.97,34896.7581,145.6498,5.1828
2014-11-18,70.83,35325.6735,147.4399,5.2465
2014-11-19,70.82,35320.6861,147.4191,5.2458
2014-11-20,70.44,35131.1654,146.6281,5.2176
2014-11-21,71.32,35570.0556,148.4599,5.2828
2014-11-24,71.225,35522.6754,148.2622,5.2758
2014-11-25,72.0,35909.198,149.8754,5.3332
2014-11-26,72.98,36397.9621,151.9154,5.4058
2014-11-28,73.68,36747.0793,142.0482,5.4096
2014-12-01,73.75,36781.991,142.1832,5.4147
2014-12-02,73.47,36642.3441,141.6434,5.3941
2014-12-03,73.18,36497.7099,141.0843,5.3728
2014-12-04,73.03,36422.899,140.7951,5.3618
2014-12-05,72.4,36108.6935,139.5805,5.3156
2014-12-08,72.05,35934.1349,138.9058,5.2899
2014-12-09,71.565,35692.2466,137.9707,5.2543
2014-12-10,69.85,34836.9094,134.6644,5.1284
2014-12-11,69.74,34782.0482,134.4523,5.1203
2014-12-12,76.02,37914.1282,146.5596,5.5814
2014-12-15,73.04,36427.8864,140.8144,5.3626
2014-12-16,72.32,36068.7944,139.4263,5.3097
2014-12-17,73.995,36904.182,142.6555,5.4327
2014-12-18,74.89,37350.5533,144.381,5.4984
2014-12-19,74.45,37131.1082,143.5327,5.4661
2014-12-22,74.5,37156.0452,143.6291,5.4698
2014-12-23,74.38,37096.1965,143.3978,5.4609
