Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,42.99,28286.1343,18.8752,1.4056
2014-01-03,43.19,28417.7283,18.963,1.4121
2014-01-06,43.28,28476.9456,19.0026,1.415
2014-01-07,42.85,28194.0185,18.8138,1.401
2014-01-08,42.36,27871.6131,18.5986,1.385
2014-01-09,42.16,27740.0191,18.5108,1.3784
2014-01-10,41.98,27621.5845,18.4318,1.3725
2014-01-13,41.53,27325.498,18.2342,1.3578
2014-01-14,42.33,27851.874,18.5854,1.384
2014-01-15,42.45,27930.8304,18.6381,1.3879
2014-01-16,41.25,27141.2663,18.1113,1.3487
2014-01-17,41.01,26983.3535,18.0059,1.3408
2014-01-21,41.37,27220.2227,18.1639,1.3526
2014-01-22,42.25,27799.2364,18.5503,1.3814
2014-01-23,40.84,26871.4986,17.9312,1.3353
2014-01-24,39.57,26035.8766,17.3736,1.2937
2014-01-27,39.36,25897.7029,17.2814,1.2869
2014-01-28,40.07,26364.8616,17.5932,1.3101
2014-01-29,39.22,25805.587,17.22,1.2823
2014-01-30,39.51,25996.3984,17.3473,1.2918
2014-01-31,39.48,25976.6593,17.3341,1.2908
2014-02-03,38.91,25601.6163,17.0839,1.2722
2014-02-04,38.23,25154.1966,16.7853,1.2499
2014-02-05,38.66,25437.1238,16.9741,1.264
2014-02-06,39.11,25733.2103,17.1717,1.2787
2014-02-07,39.89,26246.427,17.5141,1.3042
2014-02-10,40.11,26391.1804,17.6107,1.3114
2014-02-11,40.53,26667.5279,17.7951,1.3251
2014-02-12,40.65,26746.4843,17.8478,1.3291
2014-02-13,40.67,26759.6437,17.8566,1.3297
2014-02-14,40.78,26832.0204,17.9049,1.3333
2014-02-18,40.53,26667.5279,17.7951,1.3251
2014-02-19,39.95,26285.9052,17.5405,1.3062
2014-02-20,40.12,26397.7601,17.6151,1.3117
2014-02-21,39.99,26312.224,17.558,1.3075
2014-02-24,40.16,26424.0789,17.6327,1.313
2014-02-25,40.39,26575.412,17.7337,1.3206
2014-02-26,40.39,26575.412,17.7337,1.3206
2014-02-27,39.89,26262.4229,17.5141,1.3042
2014-02-28,40.6,26729.8664,17.8259,1.3274
2014-03-03,39.88,26255.8392,17.5097,1.3039
2014-03-04,40.7,26795.7035,17.8698,1.3307
2014-03-05,40.67,26775.9524,17.8566,1.3297
2014-03-06,40.94,26953.7126,17.9751,1.3385
2014-03-07,41.33,27210.4773,18.1464,1.3513
2014-03-10,42.45,27947.8529,18.6381,1.3879
2014-03-11,42.45,27947.8529,18.6381,1.3879
2014-03-12,42.93,28263.8711,18.8489,1.4036
2014-03-13,42.4,27914.9344,18.6162,1.3863
2014-03-14,42.51,27987.3552,18.6645,1.3899
2014-03-17,42.56,28020.2738,18.6864,1.3915
2014-03-18,42.93,28263.8711,18.8489,1.4036
2014-03-19,42.66,28086.1109,18.7303,1.3948
2014-03-20,42.7,28112.4457,18.7479,1.3961
2014-03-21,42.67,27981.4541,18.7347,1.3951
2014-03-24,42.3,27738.8214,18.5723,1.383
2014-03-25,42.41,27810.9554,18.6206,1.3866
2014-03-26,42.7,28001.127,18.7479,1.3961
2014-03-27,43.1,28263.4327,18.9235,1.4092
2014-03-28,43.21,28335.5667,18.9718,1.4128
2014-03-31,43.39,28453.6043,19.2588,1.4194
2014-04-01,43.43,28479.8348,19.2765,1.4207
2014-04-02,43.43,28479.8348,19.2765,1.4207
2014-04-03,43.15,28296.2209,19.1523,1.4115
2014-04-04,43.05,28230.6445,19.1079,1.4083
2014-04-07,43.6,28591.3147,19.352,1.4263
2014-04-08,43.53,28545.4112,19.3209,1.424
2014-04-09,44.38,29102.8107,19.6982,1.4518
2014-04-10,44.17,28965.1003,19.605,1.4449
2014-04-11,44.41,29122.4836,19.7115,1.4528
2014-04-14,44.69,29306.0976,19.8358,1.4619
2014-04-15,44.27,29030.6767,19.6494,1.4482
2014-04-16,45.02,29522.4997,19.9823,1.4727
2014-04-17,45.04,29535.615,19.9911,1.4734
2014-04-21,44.89,29437.2504,19.9246,1.4685
2014-04-22,44.61,29253.6365,19.8003,1.4593
2014-04-23,44.73,29332.3282,19.8535,1.4632
2014-04-24,44.63,29266.7517,19.8092,1.46
2014-04-25,44.42,29129.0413,19.716,1.4531
2014-04-28,44.38,29102.8107,19.6982,1.4518
2014-04-29,43.23,28348.682,19.1878,1.4142
2014-04-30,43.73,28676.5641,19.4097,1.4305
2014-05-01,43.24,28355.2396,19.1922,1.4145
2014-05-02,43.55,28502.0317,19.3298,1.4246
2014-05-05,43.41,28410.4063,19.2677,1.42
2014-05-06,43.14,28233.7003,19.1478,1.4112
2014-05-07,44.27,28973.2478,19.6494,1.4482
2014-05-08,44.07,28842.3544,19.5606,1.4416
2014-05-09,44.39,29051.7838,19.7026,1.4521
2014-05-12,44.67,29235.0345,19.8269,1.4613
2014-05-13,44.31,28999.4265,19.6671,1.4495
2014-05-14,43.85,28698.3717,19.463,1.4344
2014-05-15,43.53,28488.9423,19.3209,1.424
2014-05-16,43.82,28678.7377,19.4496,1.4335
2014-05-19,43.89,28724.5504,19.4807,1.4357
2014-05-20,43.33,28358.049,19.2322,1.4174
2014-05-21,43.86,28704.9164,19.4674,1.4348
2014-05-22,43.65,28567.4783,19.3742,1.4279
2014-05-23,43.56,28508.5763,19.3342,1.425
2014-05-27,44.32,29005.9711,19.6716,1.4498
2014-05-28,44.29,28986.3371,19.6583,1.4488
2014-05-29,44.64,29215.4005,19.8136,1.4603
2014-05-30,44.94,29411.7406,19.9468,1.4701
2014-06-02,44.85,29352.8386,19.9068,1.4672
2014-06-03,44.35,29025.6051,19.6849,1.4508
2014-06-04,44.31,28999.4265,19.6671,1.4495
2014-06-05,44.97,29431.3746,19.9601,1.4711
2014-06-06,45.18,29568.8126,20.0533,1.4779
2014-06-09,45.14,29542.634,20.0355,1.4766
2014-06-10,45.14,29542.634,20.0355,1.4766
2014-06-11,44.66,29228.4899,19.8225,1.4609
2014-06-12,43.47,28449.6743,19.2943,1.422
2014-06-13,43.84,28691.8271,19.4585,1.4341
2014-06-16,44.22,28940.5245,19.6272,1.4465
2014-06-17,44.41,29064.8732,19.7115,1.4528
2014-06-18,44.43,29077.9625,19.7204,1.4534
2014-06-19,45.12,29529.5446,20.0266,1.476
2014-06-20,44.87,29365.9279,19.9157,1.4678
2014-06-23,44.98,29437.9193,19.9645,1.4714
2014-06-24,44.28,28979.7925,19.6538,1.4485
2014-06-25,43.89,28724.5504,19.4807,1.4357
2014-06-26,43.93,28750.7291,19.4985,1.4371
