Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,70.0585,38446.6312,26.0508,5.3889
2014-01-03,70.8218,38865.4713,26.3346,5.4476
2014-01-06,70.0147,38422.5599,26.0345,5.3855
2014-01-07,70.8656,38889.5426,26.3509,5.4509
2014-01-08,70.4884,38682.5296,26.2106,5.4219
2014-01-09,70.734,38817.3288,26.3019,5.4408
2014-01-10,70.4884,38682.5296,26.2106,5.4219
2014-01-13,69.348,38056.6766,25.7865,5.3342
2014-01-14,70.1375,38489.9595,26.0801,5.3949
2014-01-15,70.2603,38557.359,26.1258,5.4044
2014-01-16,70.0147,38422.5599,26.0345,5.3855
2014-01-17,70.155,38499.588,26.0867,5.3963
2014-01-21,70.4621,38668.0869,26.2008,5.4199
2014-01-22,70.5147,38696.9724,26.2204,5.4239
2014-01-23,69.576,38181.8472,25.8714,5.3517
2014-01-24,67.5232,37055.3118,25.108,5.1938
2014-01-27,67.1109,36829.0419,24.9547,5.1621
2014-01-28,67.5759,37084.1974,25.1276,5.1979
2014-01-29,67.1372,36843.4847,24.9645,5.1642
2014-01-30,67.8127,37214.1822,25.2157,5.2161
2014-01-31,67.1987,36877.1845,24.9873,5.1689
2014-02-03,64.9879,35663.9925,24.1653,4.9988
2014-02-04,65.7512,36082.8326,24.4491,5.0575
2014-02-05,64.5054,35428.6313,23.9859,4.9617
2014-02-06,65.0932,35751.4544,24.2044,5.0069
2014-02-07,65.6985,36083.914,24.4295,5.0535
2014-02-10,65.3125,35871.9108,24.286,5.0238
2014-02-11,65.4968,35973.0941,24.3545,5.038
2014-02-12,66.3038,36416.3736,24.6546,5.1001
2014-02-13,66.8565,36719.9237,24.8601,5.1426
2014-02-14,66.9092,36748.8332,24.8797,5.1466
2014-02-18,67.1022,36854.8349,24.9515,5.1615
2014-02-19,66.8039,36691.0142,24.8405,5.1385
2014-02-20,67.1197,36864.4714,24.958,5.1628
2014-02-21,66.8477,36715.1055,24.8569,5.1419
2014-02-24,67.3741,37004.2008,25.0526,5.1824
2014-02-25,67.5583,37105.3841,25.1211,5.1965
2014-02-26,67.918,37302.9326,25.2548,5.2242
2014-02-27,68.1812,37447.4803,25.3527,5.2445
2014-02-28,68.2338,37476.3898,25.3723,5.2485
2014-03-03,67.2601,36941.5635,25.0102,5.1736
2014-03-04,68.8216,37799.2129,25.5908,5.2937
2014-03-05,68.1812,37447.4803,25.3527,5.2445
2014-03-06,68.4531,37596.8462,25.4538,5.2654
2014-03-07,68.9181,37852.2137,25.6267,5.3011
2014-03-10,68.6111,37683.5748,25.5125,5.2775
2014-03-11,68.3391,37534.2089,25.4114,5.2566
2014-03-12,68.1549,37433.0255,25.3429,5.2424
2014-03-13,67.5408,37095.7476,25.1146,5.1952
2014-03-14,68.0321,37365.5699,25.2972,5.233
2014-03-17,68.8567,37818.4859,25.6039,5.2964
2014-03-18,69.2953,38059.3987,25.767,5.3302
2014-03-19,68.6812,37722.1208,25.5386,5.2829
2014-03-20,68.7251,37746.2121,25.5549,5.2863
2014-03-21,68.2075,37461.935,25.3625,5.2465
2014-03-24,67.0671,36835.5618,24.9384,5.1588
2014-03-25,67.2688,36946.3817,25.0134,5.1743
2014-03-26,66.8477,36715.1055,24.8569,5.1419
2014-03-27,67.2601,36941.5635,25.0102,5.1736
2014-03-28,67.5057,37076.4746,25.1015,5.1925
2014-03-31,67.7776,37225.8405,25.9322,4.9368
2014-04-01,67.9882,37341.4787,26.0128,4.9521
2014-04-02,68.1373,37423.389,26.0698,4.963
2014-04-03,67.8741,37278.8413,25.9691,4.9438
2014-04-04,66.5144,36532.0118,25.4489,4.8447
2014-04-07,66.0319,36267.0077,25.2643,4.8096
2014-04-08,66.2863,36406.7371,25.3616,4.8281
2014-04-09,66.567,36560.9213,25.469,4.8486
2014-04-10,65.988,36242.9164,25.2475,4.8064
2014-04-11,64.6809,35524.9964,24.7474,4.7112
2014-04-14,65.1283,35770.7274,24.9186,4.7438
2014-04-15,65.8652,36175.4609,25.2005,4.7975
2014-04-16,66.1722,36344.0998,25.318,4.8198
2014-04-17,66.9442,36768.1063,25.6133,4.876
2014-04-21,66.7249,36647.6499,25.5294,4.8601
2014-04-22,66.9618,36777.7428,25.6201,4.8773
2014-04-23,66.9267,36758.4698,25.6066,4.8748
2014-04-24,67.2162,36917.4722,25.7174,4.8959
2014-04-25,66.374,36454.9197,25.3952,4.8345
2014-04-28,66.3916,36464.5562,25.4019,4.8358
2014-04-29,67.5408,37095.7476,25.8416,4.9195
2014-04-30,68.3917,37563.1184,26.1672,4.9815
2014-05-01,68.0935,37420.7754,26.053,4.9598
2014-05-02,68.0233,37382.2072,26.0262,4.9546
2014-05-05,68.3128,37541.301,26.137,4.9757
2014-05-06,67.6022,37150.7981,25.8651,4.924
2014-05-07,67.9531,37343.639,25.9993,4.9495
2014-05-08,68.2952,37531.6589,26.1302,4.9745
2014-05-09,68.4882,37637.7214,26.2041,4.9885
2014-05-12,69.2076,38033.0452,26.4793,5.0409
2014-05-13,69.2339,38047.5083,26.4894,5.0428
2014-05-14,68.5058,37647.3634,26.2108,4.9898
2014-05-15,67.3302,37001.3465,25.761,4.9042
2014-05-16,68.2601,37512.3748,26.1168,4.9719
