Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,49.25,11061.5503,45.3455,5.1166
2014-01-03,48.9,10982.9403,45.0233,5.0802
2014-01-06,48.55,10952.8803,44.701,5.0439
2014-01-07,49.68,11207.8083,45.7414,5.1613
2014-01-08,50.24,11334.1443,46.257,5.2194
2014-01-09,51.08,11523.6483,47.0304,5.3067
2014-01-10,51.47,11611.6323,47.3895,5.3472
2014-01-13,51.57,11634.1923,47.4816,5.3576
2014-01-14,52.64,11875.5843,48.4668,5.4688
2014-01-15,53.29,12022.2243,49.0652,5.5363
2014-01-16,53.6,12092.1603,49.3507,5.5685
2014-01-17,53.24,12010.9443,49.0192,5.5311
2014-01-21,53.3,12024.4803,49.0744,5.5373
2014-01-22,52.37,11814.6723,48.2182,5.4407
2014-01-23,51.86,11699.6163,47.7486,5.3877
2014-01-24,50.44,11379.2643,46.4412,5.2402
2014-01-27,50.59,11413.1043,46.5793,5.2558
2014-01-28,51.24,11559.7443,47.1778,5.3233
2014-01-29,49.65,11201.0403,45.7138,5.1581
2014-01-30,51.52,11622.9123,47.4356,5.3524
2014-01-31,51.25,11562.0003,51.6344,5.1375
2014-02-03,49.33,11128.8483,49.7,4.945
2014-02-04,50.12,11307.0723,50.4959,5.0242
2014-02-05,49.96,11270.9763,50.3347,5.0082
2014-02-06,50.96,11496.5763,51.3422,5.1084
2014-02-07,51.99,11728.9443,52.38,5.2116
2014-02-10,52.28,11794.3683,52.6721,5.2407
2014-02-11,52.92,11938.7523,53.3169,5.3049
2014-02-12,53.77,12130.5123,54.1733,5.3901
2014-02-13,54.13,12211.7283,54.536,5.4262
2014-02-14,54.17,12220.7523,54.5763,5.4302
2014-02-18,54.52,12299.7123,54.9289,5.4653
2014-02-19,54.47,12288.4323,54.8786,5.4602
2014-02-20,54.9,12385.4403,55.3118,5.5034
2014-02-21,55.4,12498.2403,55.8155,5.5535
2014-02-24,54.47,12288.4323,54.8786,5.4602
2014-02-25,54.66,12331.2963,55.07,5.4793
2014-02-26,54.72,12344.8323,55.1304,5.4853
2014-02-27,54.28,12245.5683,54.6871,5.4412
2014-02-28,52.48,11839.4883,52.8736,5.2608
2014-03-03,51.67,11656.7523,52.0576,5.1796
2014-03-04,53.5,12069.6003,53.9013,5.363
2014-03-05,53.44,12056.0643,53.8408,5.357
2014-03-06,53.74,12123.7443,54.1431,5.3871
2014-03-07,53.61,12094.4163,54.0121,5.374
2014-03-10,52.59,11947.6614,52.9845,5.2718
2014-03-11,52.81,11997.6421,53.2061,5.2938
2014-03-12,52.34,11890.8652,52.7326,5.2467
2014-03-13,50.47,11466.0291,50.8486,5.0593
2014-03-14,50.47,11466.0291,50.8486,5.0593
2014-03-17,51.28,11650.049,51.6646,5.1405
2014-03-18,52.43,11911.3118,52.8233,5.2558
2014-03-19,51.05,11597.7965,51.4329,5.1174
2014-03-20,51.61,11725.0201,51.9971,5.1736
2014-03-21,50.04,11368.3396,50.4153,5.0162
2014-03-24,49.74,11300.1841,50.1131,4.9861
2014-03-25,49.78,11309.2715,50.1534,4.9901
2014-03-26,48.68,11059.3679,49.0451,4.8798
2014-03-27,48.28,10968.4939,48.6421,4.8397
2014-03-28,48.34,10982.125,48.7026,4.8458
2014-03-31,49.18,11172.9604,49.5489,4.93
2014-04-01,50.07,11375.1551,50.4456,5.0192
2014-04-02,49.58,11263.8344,49.9519,4.9701
2014-04-03,48.31,10975.3094,48.6724,4.8427
2014-04-04,47.32,10750.3963,47.6749,4.7435
2014-04-07,46.59,10584.5512,46.9395,4.6703
2014-04-08,47.15,10711.7748,47.5037,4.7265
2014-04-09,48.49,11016.2028,48.8537,4.8608
2014-04-10,45.97,10443.6964,46.3148,4.6082
2014-04-11,45.19,10266.4921,45.529,4.53
2014-04-14,45.83,10411.8905,46.1738,4.5941
2014-04-15,46.82,10636.8037,47.1712,4.6934
2014-04-16,47.55,10802.6488,47.9067,4.7666
2014-04-17,48.49,11016.2028,48.8537,4.8608
2014-04-21,48.4,10995.7561,48.763,4.8518
2014-04-22,49.01,11134.339,49.3776,4.9129
2014-04-23,48.23,10957.1346,48.5918,4.8347
2014-04-24,47.72,10841.2703,48.0779,4.7836
2014-04-25,47.0,10691.5053,47.3525,4.7114
2014-04-28,46.62,10605.0633,46.9697,4.6733
2014-04-29,47.57,10821.1682,47.9268,4.7686
2014-04-30,48.02,10923.5337,54.5661,4.7733
2014-05-01,48.42,11014.5252,55.0207,4.813
2014-05-02,47.68,10846.1909,54.1798,4.7395
2014-05-05,47.52,10809.7943,53.998,4.7236
2014-05-06,47.03,10698.3297,53.4412,4.6748
2014-05-07,46.76,10636.9104,53.1344,4.648
2014-05-08,46.82,10650.5591,53.2026,4.654
2014-05-09,46.85,10657.3835,53.2366,4.657
2014-05-12,48.61,11057.7462,55.2366,4.8319
2014-05-13,48.32,10991.7774,54.907,4.8031
2014-05-14,48.07,10934.9076,54.623,4.7782
2014-05-15,47.82,10878.0379,54.3389,4.7534
2014-05-16,51.6699,11753.803,58.7136,5.1361
2014-05-19,51.55,11726.534,58.5773,5.1241
2014-05-20,51.07,11617.3442,58.0319,5.0764
2014-05-21,50.93,11585.4971,57.8728,5.0625
2014-05-22,51.51,11717.4348,58.5319,5.1202
2014-05-23,52.0,11828.8995,59.0887,5.1689
2014-05-27,52.47,11935.8145,59.6228,5.2156
2014-05-28,51.72,11765.2054,58.7705,5.141
2014-05-29,52.69,11985.8599,59.8728,5.2375
2014-05-30,52.37,11913.0666,59.5091,5.2057
2014-06-02,52.52,11947.1885,59.6796,5.2206
2014-06-03,53.15,12111.1248,60.3955,5.2832
2014-06-04,53.03,12083.7808,60.2591,5.2713
2014-06-05,53.72,12241.0089,61.0432,5.3398
2014-06-06,54.87,12503.0558,62.3499,5.4542
2014-06-09,54.51,12421.0238,61.9409,5.4184
2014-06-10,54.08,12323.041,61.4522,5.3756
2014-06-11,54.09,12325.3197,61.4636,5.3766
2014-06-12,53.85,12270.6316,61.1909,5.3528
2014-06-13,54.25,12361.7784,61.6454,5.3925
2014-06-16,54.58,12436.9744,62.0204,5.4253
2014-06-17,54.63,12448.3678,62.0772,5.4303
2014-06-18,56.96,12979.2976,64.7248,5.6619
2014-06-19,56.31,12831.1841,63.9862,5.5973
2014-06-20,56.19,12803.8401,63.8499,5.5854
2014-06-23,56.17,12799.2828,63.8272,5.5834
2014-06-24,55.8,12714.972,63.4067,5.5466
2014-06-25,55.62,12673.956,63.2022,5.5287
2014-06-26,56.25,12817.5121,63.9181,5.5913
2014-06-27,56.4,12851.6922,64.0885,5.6062
2014-06-30,56.38,12847.1348,64.0658,5.6043
2014-07-01,57.13,13018.035,64.918,5.6788
