Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,35.53,8620.81,16.8619,1.3172
2014-01-03,35.4,8589.2675,16.8002,1.3124
2014-01-06,35.76,8676.6159,16.971,1.3257
2014-01-07,36.22,8788.2279,17.1893,1.3428
2014-01-08,35.94,8720.2902,17.0565,1.3324
2014-01-09,36.04,8744.5537,17.1039,1.3361
2014-01-10,36.52,8861.0183,17.3317,1.3539
2014-01-13,36.23,8790.6542,17.1941,1.3431
2014-01-14,36.31,8810.065,17.2321,1.3461
2014-01-15,35.95,8722.7165,17.0612,1.3327
2014-01-16,36.17,8776.0962,17.1656,1.3409
2014-01-17,36.15,8771.2435,17.1561,1.3402
2014-01-21,36.64,8890.1345,17.3887,1.3583
2014-01-22,36.63,8887.7081,17.3839,1.358
2014-01-23,36.47,8848.8866,17.308,1.352
2014-01-24,35.91,8713.0111,17.0422,1.3313
2014-01-27,36.25,8795.5069,17.2036,1.3439
2014-01-28,36.53,8863.4446,17.3365,1.3542
2014-01-29,36.62,8885.2818,17.3792,1.3576
2014-01-30,37.26,9040.568,17.6829,1.3813
2014-01-31,37.84,9181.2961,17.9582,1.4028
2014-02-03,37.66,9137.6218,17.8727,1.3961
2014-02-04,37.22,9030.8626,17.6639,1.3798
2014-02-05,36.93,8960.4985,17.5263,1.3691
2014-02-06,37.17,9018.7308,17.6402,1.378
2014-02-07,37.44,9084.2422,17.7683,1.388
2014-02-10,37.67,9140.0482,17.8775,1.3965
2014-02-11,38.14,9254.0865,18.1005,1.4139
2014-02-12,38.04,9229.823,18.0531,1.4102
2014-02-13,38.39,9314.7451,18.2192,1.4232
2014-02-14,38.63,9372.9775,18.3331,1.4321
2014-02-18,38.89,9436.0625,18.4565,1.4417
2014-02-19,38.27,9285.629,18.1622,1.4188
2014-02-20,38.81,9416.6517,18.4185,1.4388
2014-02-21,40.88,9918.9055,19.4009,1.5155
2014-02-24,40.9,9923.7582,19.4104,1.5162
2014-02-25,40.49,9822.8742,19.2158,1.5011
2014-02-26,40.44,9810.7442,19.1921,1.4992
