Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,14.27,10309.2432,12.7544,2.3811
2014-01-03,14.2,10258.6723,12.6919,2.3694
2014-01-06,14.34,10359.8141,12.817,2.3928
2014-01-07,14.59,10540.4246,13.0404,2.4345
2014-01-08,14.3,10330.9165,12.7812,2.3861
2014-01-09,14.46,10446.5071,12.9242,2.4128
2014-01-10,14.53,10497.0781,12.9868,2.4245
2014-01-13,14.26,10302.0188,12.7455,2.3794
2014-01-14,14.44,10432.0583,12.9064,2.4095
2014-01-15,14.3,10330.9165,12.7812,2.3861
2014-01-16,14.31,10338.1409,12.7902,2.3878
2014-01-17,14.3,10330.9165,12.7812,2.3861
2014-01-21,14.43,10424.8339,12.8974,2.4078
2014-01-22,14.47,10453.7316,12.9332,2.4145
2014-01-23,14.19,10251.4479,12.6829,2.3678
2014-01-24,13.72,9911.9003,12.2628,2.2893
2014-01-27,13.64,9854.1049,12.1913,2.276
2014-01-28,13.97,10092.5107,12.4863,2.331
2014-01-29,13.75,9933.5735,12.2896,2.2943
2014-01-30,13.95,10078.0619,12.4684,2.3277
2014-01-31,14.06,10157.5305,12.5667,2.3461
2014-02-03,13.71,9904.6759,12.2539,2.2877
2014-02-04,13.83,9991.3689,12.3611,2.3077
2014-02-05,13.84,9998.5933,12.3701,2.3094
2014-02-06,13.96,10085.2863,12.4773,2.3294
2014-02-07,14.06,10157.5305,12.5667,2.3461
2014-02-10,14.05,10150.306,12.5578,2.3444
2014-02-11,14.33,10352.5897,12.808,2.3911
2014-02-12,14.31,10338.1409,12.7902,2.3878
2014-02-13,14.49,10468.1804,12.9511,2.4178
2014-02-14,14.62,10562.0978,13.0672,2.4395
2014-02-18,14.76,10663.2397,13.1924,2.4629
2014-02-19,14.41,10410.3851,12.8795,2.4045
2014-02-20,14.52,10489.8536,12.9779,2.4228
2014-02-21,14.63,10569.3222,13.0762,2.4412
2014-02-24,14.27,10309.2432,12.7544,2.3811
2014-02-25,14.29,10323.6921,12.7723,2.3844
2014-02-26,14.17,10258.0534,12.665,2.3644
2014-02-27,13.78,9975.7217,12.3165,2.2993
2014-02-28,13.65,9881.6111,12.2003,2.2777
2014-03-03,13.86,10033.6359,12.388,2.3127
2014-03-04,13.95,10098.7893,12.4684,2.3277
2014-03-05,14.04,10163.9428,12.5488,2.3427
2014-03-06,13.99,10127.7464,12.5042,2.3344
2014-03-07,14.05,10171.1821,12.5578,2.3444
2014-03-10,13.84,10019.1573,12.3701,2.3094
2014-03-11,13.61,9852.654,12.1645,2.271
2014-03-12,13.84,10019.1573,12.3701,2.3094
2014-03-13,13.84,10019.1573,12.3701,2.3094
2014-03-14,13.81,9997.4395,12.3433,2.3044
2014-03-17,13.91,10069.8322,12.4327,2.321
2014-03-18,14.02,10149.4643,12.531,2.3394
2014-03-19,13.83,10011.918,12.3611,2.3077
2014-03-20,13.97,10113.2679,12.4863,2.331
2014-03-21,13.89,10055.3537,12.4148,2.3177
2014-03-24,13.87,10040.8751,12.3969,2.3144
2014-03-25,13.93,10084.3108,12.4505,2.3244
2014-03-26,13.73,9939.5253,12.2718,2.291
2014-03-27,14.02,10149.4643,12.531,2.3394
2014-03-28,14.29,10344.9247,12.7723,2.3844
2014-03-31,14.28,10337.6854,12.6291,2.4702
2014-04-01,14.31,10359.4033,12.6557,2.4754
2014-04-02,14.25,10315.9676,12.6026,2.465
2014-04-03,14.25,10315.9676,12.6026,2.465
2014-04-04,14.33,10373.8818,12.6734,2.4788
2014-04-07,14.19,10272.532,12.5495,2.4546
2014-04-08,14.38,10410.0782,12.7176,2.4875
2014-04-09,14.3,10352.164,12.6468,2.4736
2014-04-10,14.43,10446.2746,12.7618,2.4961
2014-04-11,14.15,10243.5749,12.5142,2.4477
2014-04-14,14.31,10359.4033,12.6557,2.4754
2014-04-15,14.33,10373.8818,12.6734,2.4788
2014-04-16,14.35,10388.3604,12.691,2.4823
2014-04-17,14.26,10323.2069,12.6114,2.4667
2014-04-21,14.14,10236.3356,12.5053,2.4459
2014-04-22,14.14,10236.3356,12.5053,2.4459
2014-04-23,14.28,10337.6854,12.6291,2.4702
2014-04-24,14.51,10504.1888,12.8325,2.51
2014-04-25,14.44,10453.5138,12.7706,2.4978
2014-04-28,14.35,10388.3604,12.691,2.4823
2014-04-29,14.32,10366.6425,12.6645,2.4771
2014-04-30,14.45,10460.7531,12.7795,2.4996
2014-05-01,14.73,10663.4528,13.0271,2.548
2014-05-02,14.33,10373.8818,12.6734,2.4788
2014-05-05,14.29,10344.9247,12.638,2.4719
2014-05-06,14.19,10272.532,12.5495,2.4546
2014-05-07,14.47,10475.2317,12.7972,2.503
2014-05-08,14.08,10212.7077,12.4523,2.4356
2014-05-09,14.04,10183.6943,12.4169,2.4287
2014-05-12,14.01,10161.9343,12.3903,2.4235
2014-05-13,14.09,10219.961,12.4611,2.4373
2014-05-14,14.18,10285.2411,12.5407,2.4529
2014-05-15,14.2,10299.7478,12.5584,2.4563
2014-05-16,14.22,10314.2545,12.5761,2.4598
2014-05-19,14.0,10154.6809,12.3815,2.4217
2014-05-20,13.83,10031.3741,12.2312,2.3923
2014-05-21,13.58,9850.0405,12.0101,2.3491
2014-05-22,13.68,9922.5739,12.0985,2.3664
2014-05-23,13.61,9871.8005,12.0366,2.3543
2014-05-27,13.77,9987.854,12.1781,2.3819
2014-05-28,13.87,10060.3874,12.2665,2.3992
2014-05-29,13.96,10125.6675,12.3461,2.4148
2014-05-30,14.1,10227.2143,12.4699,2.439
2014-06-02,14.1,10227.2143,12.4699,2.439
2014-06-03,14.19,10292.4944,12.5495,2.4546
2014-06-04,13.97,10132.9209,12.355,2.4165
2014-06-05,14.28,10357.7745,12.6291,2.4702
2014-06-06,14.46,10488.3347,12.7883,2.5013
2014-06-09,14.39,10437.5613,12.7264,2.4892
2014-06-10,14.29,10365.0279,12.638,2.4719
2014-06-11,14.23,10321.5078,12.5849,2.4615
2014-06-12,14.17,10277.9877,12.5318,2.4511
2014-06-13,14.2,10299.7478,12.5584,2.4563
2014-06-16,14.43,10466.5747,12.7618,2.4961
2014-06-17,14.56,10560.8681,12.8768,2.5186
2014-06-18,15.03,10901.7753,13.2924,2.5999
2014-06-19,15.21,11032.3355,13.4516,2.631
2014-06-20,15.26,11068.6022,13.4958,2.6397
2014-06-23,15.28,11083.1089,13.5135,2.6431
2014-06-24,15.2,11025.0821,13.4428,2.6293
2014-06-25,15.32,11112.1223,13.5489,2.6501
2014-06-26,15.45,11206.4157,13.6639,2.6726
2014-06-27,15.53,11264.4425,13.7346,2.6864
2014-06-30,15.55,11278.9492,14.4196,2.6706
2014-07-01,15.57,11293.4558,14.4381,2.6741
2014-07-02,15.44,11199.1624,14.3176,2.6518
2014-07-03,15.46,11213.6691,14.3361,2.6552
2014-07-07,15.44,11199.1624,14.3176,2.6518
2014-07-08,15.49,11235.4291,14.364,2.6603
2014-07-09,15.38,11155.6423,14.2619,2.6415
2014-07-10,15.53,11264.4425,14.401,2.6672
2014-07-11,15.41,11177.4023,14.2898,2.6466
2014-07-14,15.19,11017.8288,14.0858,2.6088
2014-07-15,15.15,10988.8154,14.0487,2.6019
2014-07-16,15.25,11061.3488,14.1414,2.6191
2014-07-17,15.07,10930.7887,13.9745,2.5882
2014-07-18,15.19,11017.8288,14.0858,2.6088
2014-07-21,15.15,10988.8154,14.0487,2.6019
2014-07-22,15.22,11039.5888,14.1136,2.614
2014-07-23,15.2,11025.0821,14.095,2.6105
2014-07-24,15.28,11083.1089,14.1692,2.6243
2014-07-25,15.09,10945.2954,13.993,2.5916
2014-07-28,15.21,11032.3355,14.1043,2.6123
2014-07-29,15.1,10952.5487,14.0023,2.5934
2014-07-30,14.99,10872.7619,13.9003,2.5745
2014-07-31,14.61,10597.1349,13.5479,2.5092
2014-08-01,14.7,10662.415,13.6314,2.5247
2014-08-04,14.81,10742.2017,13.7334,2.5436
2014-08-05,14.5,10517.3481,13.4459,2.4903
2014-08-06,14.36,10415.8013,13.3161,2.4663
2014-08-07,14.39,10407.8433,13.3439,2.4714
2014-08-08,14.75,10668.2202,13.6777,2.5333
2014-08-11,14.56,10530.799,13.5016,2.5006
2014-08-12,14.59,10552.4971,13.5294,2.5058
2014-08-13,14.68,10617.5913,13.6128,2.5212
2014-08-14,14.91,10783.9433,13.8261,2.5607
2014-08-15,14.81,10711.6163,13.7334,2.5436
2014-08-18,14.75,10668.2202,13.6777,2.5333
2014-08-19,14.9,10776.7106,13.8168,2.559
2014-08-20,15.05,10885.2009,13.9559,2.5848
2014-08-21,15.07,10899.6663,13.9745,2.5882
2014-08-22,15.02,10863.5029,13.9281,2.5796
2014-08-25,15.16,10964.7605,14.0579,2.6037
2014-08-26,15.03,10870.7356,13.9374,2.5813
2014-08-27,15.04,10877.9682,13.9467,2.5831
2014-08-28,15.1,10921.3644,14.0023,2.5934
2014-08-29,15.18,10979.2259,14.0765,2.6071
2014-09-02,14.95,10812.874,13.8632,2.5676
2014-09-03,14.56,10530.799,13.5016,2.5006
2014-09-04,14.68,10617.5913,13.6128,2.5212
2014-09-05,14.89,10769.4779,13.8076,2.5573
2014-09-08,14.94,10805.6413,13.8539,2.5659
2014-09-09,14.74,10660.9875,13.6685,2.5315
2014-09-10,14.48,10472.9375,13.4274,2.4869
2014-09-11,14.52,10501.8683,13.4645,2.4937
2014-09-12,14.41,10422.3087,13.3625,2.4749
2014-09-15,14.4,10415.076,13.3532,2.4731
2014-09-16,14.57,10538.0317,13.5108,2.5023
2014-09-17,14.47,10465.7048,13.4181,2.4852
2014-09-18,14.47,10465.7048,13.4181,2.4852
2014-09-19,14.7,10632.0567,13.6314,2.5247
2014-09-22,14.55,10523.5664,13.4923,2.4989
2014-09-23,14.51,10494.6356,13.4552,2.492
2014-09-24,14.46,10458.4721,13.4088,2.4834
2014-09-25,14.15,10234.2587,13.1214,2.4302
2014-09-26,14.22,10284.8875,13.1863,2.4422
2014-09-29,14.21,10277.6548,13.177,2.4405
2014-09-30,14.18,10255.9568,11.8197,2.3089
2014-10-01,14.2,10270.4221,11.8364,2.3122
2014-10-02,14.14,10227.026,11.7863,2.3024
2014-10-03,14.14,10227.026,11.7863,2.3024
2014-10-06,14.3,10342.7491,11.9197,2.3285
2014-10-07,14.24,10299.3529,11.8697,2.3187
2014-10-08,14.04,10154.6991,11.703,2.2861
2014-10-09,13.47,9742.4357,11.2279,2.1933
2014-10-10,13.25,9583.3164,11.0445,2.1575
2014-10-13,13.14,9503.7568,10.9528,2.1396
2014-10-14,13.21,9554.3857,11.0111,2.151
2014-10-15,12.84,9286.7761,10.7027,2.0907
2014-10-16,12.98,9388.0338,10.8194,2.1135
2014-10-17,13.29,9612.2472,11.0778,2.164
2014-10-20,13.36,9662.876,11.1362,2.1754
2014-10-21,13.51,9771.3664,11.2612,2.1998
2014-10-22,13.63,9858.1587,11.3612,2.2194
2014-10-23,13.59,9829.228,11.3279,2.2129
2014-10-24,13.73,9930.4856,11.4446,2.2356
2014-10-27,13.42,9706.2722,11.1862,2.1852
2014-10-28,13.6,9836.4606,11.3362,2.2145
2014-10-29,13.41,9699.0395,11.1779,2.1835
2014-10-30,13.95,10089.6049,11.628,2.2715
2014-10-31,14.07,10176.3972,11.728,2.291
2014-11-03,14.12,10212.5606,11.7697,2.2991
2014-11-04,13.76,9952.1837,11.4696,2.2405
2014-11-05,13.95,10089.6049,11.628,2.2715
2014-11-06,13.06,9312.385,10.8861,2.1266
2014-11-07,13.46,9597.6035,11.2195,2.1917
2014-11-10,13.63,9718.8214,11.3612,2.2194
2014-11-11,13.49,9618.9949,11.2445,2.1966
2014-11-12,13.44,9583.3426,11.2029,2.1884
2014-11-13,13.69,9761.6042,11.4112,2.2291
2014-11-14,13.47,9604.734,11.2279,2.1933
2014-11-17,13.76,9811.5174,11.4696,2.2405
2014-11-18,13.74,9797.2565,11.4529,2.2373
2014-11-19,13.92,9925.6049,11.603,2.2666
2014-11-20,13.93,9932.7353,11.6113,2.2682
2014-11-21,14.1,10053.9532,11.753,2.2959
2014-11-24,14.08,10039.6923,11.7363,2.2926
2014-11-25,13.92,9925.6049,11.603,2.2666
2014-11-26,13.82,9854.3002,11.5196,2.2503
2014-11-28,13.87,9889.9525,11.5613,2.2584
2014-12-01,13.65,9733.0823,11.3779,2.2226
2014-12-02,13.84,9868.5611,11.5363,2.2536
2014-12-03,13.81,9847.1698,11.5113,2.2487
2014-12-04,13.74,9797.2565,11.4529,2.2373
2014-12-05,13.68,9754.4737,11.4029,2.2275
2014-12-08,13.6,9697.43,11.3362,2.2145
2014-12-09,13.86,9882.8221,11.5529,2.2568
2014-12-10,13.36,9526.2989,11.1362,2.1754
2014-12-11,13.21,9419.342,11.0111,2.151
2014-12-12,13.29,9476.3857,11.0778,2.164
2014-12-15,13.01,9276.7327,10.8444,2.1184
2014-12-16,12.79,9119.8625,10.6611,2.0826
