Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,32.98,30743.3163,10.6858,2.0727
2014-01-03,33.075,30831.8734,10.7166,2.0787
2014-01-06,32.44,30239.9388,10.5108,2.0388
2014-01-07,32.545,30337.8177,10.5448,2.0454
2014-01-08,32.315,30123.4162,10.4703,2.0309
2014-01-09,32.135,29955.6237,10.412,2.0196
2014-01-10,32.585,30375.1049,10.5578,2.0479
2014-01-13,32.05,29876.3883,10.3845,2.0143
2014-01-14,32.35,30156.0425,10.4817,2.0331
2014-01-15,32.47,30267.9042,10.5205,2.0406
2014-01-16,32.415,30216.6342,10.5027,2.0372
2014-01-17,32.355,30160.7034,10.4833,2.0334
2014-01-21,32.415,30216.6342,10.5027,2.0372
2014-01-22,32.2,30016.2154,10.4331,2.0237
2014-01-23,31.78,29624.6996,10.297,1.9973
2014-01-24,31.145,29032.7649,10.0912,1.9574
2014-01-27,30.895,28799.7197,10.0102,1.9417
2014-01-28,31.225,29107.3393,10.1171,1.9624
2014-01-29,31.06,28953.5295,10.0637,1.952
2014-01-30,31.6,29456.9071,10.2387,1.986
2014-01-31,31.39,29261.1491,10.1706,1.9728
2014-02-03,30.36,28301.0031,9.8369,1.908
2014-02-04,30.735,28650.5708,9.9584,1.9316
2014-02-05,30.88,28785.737,10.0054,1.9407
2014-02-06,30.865,28771.7543,10.0005,1.9398
2014-02-07,31.34,28796.0065,10.1544,1.9696
2014-02-10,31.215,28681.1532,10.1139,1.9618
2014-02-11,31.205,28671.965,10.1107,1.9611
2014-02-12,31.375,28828.1654,10.1658,1.9718
2014-02-13,31.395,28846.5419,10.1722,1.9731
2014-02-14,31.565,29002.7423,10.2273,1.9838
2014-02-18,31.515,28956.801,10.2111,1.9806
2014-02-19,31.22,28685.7474,10.1155,1.9621
2014-02-20,31.46,28906.2656,10.1933,1.9772
2014-02-21,31.16,28630.6178,10.0961,1.9583
2014-02-24,31.15,28621.4296,10.0928,1.9577
2014-02-25,31.26,28722.5004,10.1285,1.9646
2014-02-26,31.3,28759.2534,10.1415,1.9671
2014-02-27,31.69,28889.5665,10.2678,1.9916
2014-02-28,32.04,29208.6371,10.3812,2.0136
2014-03-03,32.01,29181.2882,10.3715,2.0117
2014-03-04,32.565,29687.243,10.5513,2.0466
2014-03-05,32.505,29632.5452,10.5319,2.0428
2014-03-06,32.61,29728.2664,10.5659,2.0494
2014-03-07,32.805,29906.0343,10.6291,2.0617
2014-03-10,32.77,29874.1273,10.6177,2.0595
2014-03-11,32.475,29605.1963,10.5222,2.041
2014-03-12,32.445,29577.8474,10.5124,2.0391
2014-03-13,32.09,29254.2186,10.3974,2.0168
2014-03-14,32.055,29222.3115,10.3861,2.0146
2014-03-17,31.91,29090.1251,10.3391,2.0055
2014-03-18,32.155,29313.4746,10.4185,2.0209
2014-03-19,31.68,28880.4502,10.2646,1.991
2014-03-20,31.605,28746.8251,10.2403,1.9863
2014-03-21,31.49,28642.225,10.203,1.9791
2014-03-24,31.345,28510.338,10.156,1.9699
2014-03-25,31.47,28624.0337,10.1965,1.9778
2014-03-26,31.355,28519.4336,10.1593,1.9706
2014-03-27,31.135,28319.3292,10.088,1.9567
2014-03-28,31.33,28496.6945,10.1512,1.969
2014-03-31,31.52,28669.512,10.1976,1.8258
2014-04-01,31.66,28796.8512,10.2428,1.834
2014-04-02,31.73,28860.5208,10.2655,1.838
2014-04-03,32.01,29115.1992,10.3561,1.8542
2014-04-04,31.64,28778.6599,10.2364,1.8328
2014-04-07,30.86,28069.1986,9.984,1.7876
2014-04-08,31.175,28355.7118,10.0859,1.8059
2014-04-09,31.495,28646.7728,10.1895,1.8244
2014-04-10,30.88,28087.3899,9.9905,1.7888
2014-04-11,30.415,27664.4418,9.8401,1.7618
2014-04-14,30.595,27828.1637,9.8983,1.7723
2014-04-15,30.815,28028.2681,9.9695,1.785
2014-04-16,31.305,28473.9553,10.128,1.8134
2014-04-17,31.525,28674.0598,10.1992,1.8261
2014-04-21,31.345,28510.338,10.1409,1.8157
2014-04-22,31.39,28551.2684,10.1555,1.8183
2014-04-23,31.35,28514.8858,10.1426,1.816
2014-04-24,31.08,28269.303,10.0552,1.8004
2014-04-25,30.92,28123.7725,10.0034,1.7911
2014-04-28,30.925,28128.3204,10.0051,1.7914
2014-04-29,31.68,28815.0425,10.2493,1.8351
2014-04-30,31.36,28523.9814,10.1458,1.8166
2014-05-01,31.585,28728.6337,10.2186,1.8296
2014-05-02,31.575,28679.1963,10.2153,1.829
2014-05-05,31.34,28465.7486,10.1393,1.8154
2014-05-06,30.925,28088.8091,10.0051,1.7914
2014-05-07,31.295,28424.8756,10.1248,1.8128
2014-05-08,31.51,28620.1576,10.1943,1.8253
2014-05-09,31.49,28601.9918,10.1878,1.8241
2014-05-12,31.67,28765.4837,10.2461,1.8345
2014-05-13,31.865,28942.5999,10.3092,1.8458
2014-05-14,31.45,28565.6603,10.1749,1.8218
2014-05-15,30.945,28106.9748,10.0115,1.7925
2014-05-16,30.73,27911.6929,9.942,1.7801
2014-05-19,31.075,28225.0523,10.0536,1.8001
2014-05-20,30.795,27970.7316,9.963,1.7838
2014-05-21,31.085,28234.1352,10.0568,1.8006
2014-05-22,30.93,28093.3505,10.0067,1.7917
2014-05-23,30.655,27843.5713,9.9177,1.7757
2014-05-27,30.67,27857.1956,9.9226,1.7766
2014-05-28,30.475,27680.0794,9.8595,1.7653
2014-05-29,30.72,27902.61,9.9387,1.7795
2014-05-30,30.615,27807.2398,9.9048,1.7734
2014-06-02,30.735,27916.2343,9.9436,1.7804
2014-06-03,30.705,27888.9857,9.9339,1.7786
2014-06-04,30.965,28125.1406,10.018,1.7937
2014-06-05,30.975,28134.2235,10.0212,1.7943
2014-06-06,31.265,28397.627,10.1151,1.8111
2014-06-09,31.535,28642.8648,10.2024,1.8267
2014-06-10,31.645,28742.7765,10.238,1.8331
2014-06-11,31.2,28338.5883,10.094,1.8073
2014-06-12,31.04,28193.2622,10.0423,1.798
2014-06-13,30.98,28138.7649,10.0228,1.7946
2014-06-16,31.07,28220.5108,10.052,1.7998
2014-06-17,31.48,28592.9089,10.1846,1.8235
2014-06-18,31.515,28624.699,10.1959,1.8256
2014-06-19,31.41,28529.3288,10.162,1.8195
2014-06-20,31.55,28656.4891,10.2073,1.8276
2014-06-23,31.475,28588.3675,10.183,1.8232
2014-06-24,31.235,28370.3784,10.1053,1.8093
2014-06-25,31.3,28429.4171,10.1264,1.8131
2014-06-26,31.315,28443.0414,10.1312,1.814
2014-06-27,31.36,28483.9144,10.1458,1.8166
2014-06-30,31.125,28270.4667,10.0028,1.6059
2014-07-01,31.33,28456.6657,10.0686,1.6165
2014-07-02,31.265,28397.627,10.0477,1.6131
2014-07-03,31.645,28742.7765,10.1699,1.6327
2014-07-07,31.71,28801.8152,10.1908,1.6361
2014-07-08,31.41,28529.3288,10.0943,1.6206
2014-07-09,31.46,28574.7432,10.1104,1.6232
2014-07-10,31.21,28347.6712,10.0301,1.6103
2014-07-11,31.33,28456.6657,10.0686,1.6165
2014-07-14,31.4,28520.2459,10.0911,1.6201
2014-07-15,31.42,28538.4117,10.0976,1.6211
2014-07-16,31.555,28661.0306,10.1409,1.6281
2014-07-17,31.59,28692.8206,10.1522,1.6299
2014-07-18,31.855,28933.517,10.2374,1.6435
2014-07-21,31.795,28879.0197,10.2181,1.6405
2014-07-22,31.81,28892.644,10.2229,1.6412
2014-07-23,31.795,28879.0197,10.2181,1.6405
2014-07-24,31.965,29033.4287,10.2727,1.6492
2014-07-25,31.795,28879.0197,10.2181,1.6405
2014-07-28,31.825,28906.2683,10.2277,1.642
2014-07-29,31.57,28674.6549,10.1458,1.6288
2014-07-30,30.69,27875.3614,9.863,1.5834
2014-07-31,29.87,27130.5651,9.5994,1.5411
2014-08-01,29.56,26848.9958,9.4998,1.5251
2014-08-04,29.515,26808.1229,9.4853,1.5228
2014-08-05,29.335,26580.2011,9.4275,1.5135
2014-08-06,29.51,26738.7671,9.4837,1.5226
2014-08-07,29.34,26584.7315,9.4291,1.5138
2014-08-08,29.595,26815.7849,9.5111,1.5269
2014-08-11,29.6,26820.3154,9.5127,1.5272
2014-08-12,29.665,26879.2113,9.5336,1.5306
