Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,65.32,4749.8711,9.3565,0.9707
2014-01-03,65.72,4778.9579,9.4138,0.9766
2014-01-06,66.18,4812.4077,9.4797,0.9835
2014-01-07,66.82,4858.9466,9.5714,0.993
2014-01-08,67.58,4914.2114,9.6802,1.0043
2014-01-09,68.38,4972.385,9.7948,1.0162
2014-01-10,67.74,4925.8462,9.7032,1.0067
2014-01-13,66.63,4845.1303,9.5442,0.9902
2014-01-14,67.31,4894.5779,9.6416,1.0003
2014-01-15,67.88,4936.0265,9.7232,1.0087
2014-01-16,67.51,4909.1213,9.6702,1.0032
2014-01-17,67.65,4919.3016,9.6903,1.0053
2014-01-21,67.52,4909.8484,9.6716,1.0034
2014-01-22,67.37,4898.9409,9.6502,1.0012
2014-01-23,66.08,4805.136,9.4654,0.982
2014-01-24,64.14,4664.0651,9.1875,0.9532
2014-01-27,64.68,4703.3323,9.2648,0.9612
2014-01-28,65.53,4765.1417,9.3866,0.9738
2014-01-29,64.35,4679.3357,9.2176,0.9563
2014-01-30,65.66,4774.5949,9.4052,0.9757
2014-01-31,65.35,4752.0526,9.3608,0.9711
2014-02-03,64.0,4653.8848,9.1674,0.9511
2014-02-04,64.47,4688.0617,9.2348,0.9581
2014-02-05,64.95,4722.9659,9.3035,0.9652
2014-02-06,64.0,4653.8848,9.1674,0.9511
2014-02-07,64.37,4680.79,9.2204,0.9566
2014-02-10,64.32,4677.1542,9.2133,0.9558
2014-02-11,64.07,4658.975,9.1775,0.9521
2014-02-12,63.6,4624.798,9.1101,0.9451
2014-02-13,63.89,4645.8859,9.1517,0.9494
2014-02-14,64.05,4657.5206,9.1746,0.9518
2014-02-18,64.54,4693.1519,9.2448,0.9591
2014-02-19,63.8,4570.8121,9.1388,0.9481
2014-02-20,63.86,4575.1106,9.1474,0.949
2014-02-21,63.64,4559.3492,9.1159,0.9457
2014-02-24,64.1,4592.3049,9.1818,0.9526
2014-02-25,63.67,4561.4985,9.1202,0.9462
2014-02-26,63.62,4557.9164,9.113,0.9454
2014-02-27,64.91,4650.3356,9.2978,0.9646
2014-02-28,65.63,4701.9184,9.4009,0.9753
2014-03-03,65.14,4666.8134,9.3307,0.968
2014-03-04,66.26,4747.0534,9.4912,0.9847
2014-03-05,66.47,4762.0984,9.5212,0.9878
2014-03-06,67.11,4807.9498,9.6129,0.9973
2014-03-07,67.94,4867.4133,9.7318,1.0096
2014-03-10,68.7,4921.8619,9.8407,1.0209
2014-03-11,66.94,4795.7705,9.5886,0.9948
2014-03-12,65.9,4721.262,9.4396,0.9793
2014-03-13,65.01,4657.4999,9.3121,0.9661
2014-03-14,65.37,4683.2913,9.3637,0.9714
2014-03-17,65.71,4707.6499,9.4124,0.9765
2014-03-18,66.26,4747.0534,9.4912,0.9847
2014-03-19,65.23,4673.2613,9.3436,0.9694
2014-03-20,65.73,4709.0827,9.4152,0.9768
2014-03-21,65.81,4714.8141,9.4267,0.978
2014-03-24,65.77,4711.9484,9.421,0.9774
2014-03-25,65.46,4689.7391,9.3766,0.9728
2014-03-26,65.11,4674.1829,9.3264,0.9676
2014-03-27,63.68,4571.5246,9.1216,0.9463
2014-03-28,63.82,4581.575,9.1416,0.9484
2014-03-31,64.96,4663.4145,8.9263,0.9161
2014-04-01,65.8,4723.7173,9.0417,0.9279
2014-04-02,65.91,4731.6141,9.0568,0.9295
2014-04-03,66.42,4768.2265,9.1269,0.9367
2014-04-04,65.61,4710.0774,9.0156,0.9253
2014-04-07,64.76,4649.0567,8.8988,0.9133
2014-04-08,64.74,4647.6209,8.8961,0.913
2014-04-09,64.82,4653.3641,8.9071,0.9141
2014-04-10,63.77,4577.9856,8.7628,0.8993
2014-04-11,63.22,4538.5016,8.6872,0.8916
2014-04-14,63.54,4561.4741,8.7312,0.8961
2014-04-15,63.77,4577.9856,8.7628,0.8993
2014-04-16,64.96,4663.4145,8.9263,0.9161
2014-04-17,65.95,4734.4857,9.0623,0.9301
2014-04-21,65.91,4731.6141,9.0568,0.9295
2014-04-22,66.39,4766.0728,9.1228,0.9363
2014-04-23,66.63,4783.3022,9.1558,0.9396
2014-04-24,67.17,4822.0683,9.23,0.9473
2014-04-25,66.71,4789.0453,9.1668,0.9408
2014-04-28,66.02,4739.5109,9.072,0.931
2014-04-29,66.7,4778.5574,9.1654,0.9406
2014-04-30,67.41,4829.4236,9.263,0.9506
2014-05-01,67.63,4845.185,9.2932,0.9537
2014-05-02,68.02,4873.1256,9.3468,0.9592
2014-05-05,67.75,4853.7821,9.3097,0.9554
2014-05-06,66.66,4775.6917,9.1599,0.9401
2014-05-07,66.32,4751.3333,9.1132,0.9353
2014-05-08,66.9,4792.8859,9.1929,0.9435
2014-05-09,67.64,4845.9014,9.2946,0.9539
2014-05-12,68.23,4888.1705,9.3756,0.9622
2014-05-13,68.45,4903.9319,9.4059,0.9653
2014-05-14,67.65,4846.6178,9.2959,0.954
2014-05-15,66.99,4799.3338,9.2053,0.9447
2014-05-16,66.53,4766.3782,9.142,0.9382
2014-05-19,66.51,4764.9453,9.1393,0.938
2014-05-20,66.31,4750.6168,9.1118,0.9351
2014-05-21,66.56,4768.5275,9.1462,0.9387
2014-05-22,66.54,4767.0946,9.1434,0.9384
2014-05-23,66.57,4769.2439,9.1475,0.9388
2014-05-27,67.67,4848.0507,9.2987,0.9543
2014-05-28,67.39,4827.9908,9.2602,0.9504
2014-05-29,67.75,4853.7821,9.3097,0.9554
2014-05-30,67.81,4858.0806,9.3179,0.9563
2014-06-02,68.32,4894.6183,9.388,0.9635
2014-06-03,68.41,4901.0662,9.4004,0.9647
2014-06-04,69.21,4958.3802,9.5103,0.976
2014-06-05,69.39,4971.2758,9.535,0.9786
2014-06-06,69.27,4962.6787,9.5186,0.9769
2014-06-09,68.83,4931.156,9.4581,0.9707
2014-06-10,68.57,4912.529,9.4224,0.967
2014-06-11,68.17,4883.872,9.3674,0.9614
2014-06-12,67.63,4845.185,9.2932,0.9537
2014-06-13,67.53,4838.0207,9.2795,0.9523
2014-06-16,66.92,4794.3188,9.1956,0.9437
2014-06-17,67.45,4832.2893,9.2685,0.9512
2014-06-18,67.71,4850.9164,9.3042,0.9549
2014-06-19,67.98,4870.2599,9.3413,0.9587
2014-06-20,68.12,4880.2898,9.3605,0.9607
2014-06-23,67.91,4865.2449,9.3317,0.9577
2014-06-24,67.35,4825.1251,9.2547,0.9498
2014-06-25,66.29,4749.184,9.1091,0.9348
2014-06-26,66.17,4740.5869,9.0926,0.9332
2014-06-27,65.59,4699.0342,9.0129,0.925
2014-06-30,65.55,4696.1685,9.1987,0.8736
2014-07-01,66.28,4748.4675,9.3012,0.8834
2014-07-02,65.45,4689.0042,9.1847,0.8723
2014-07-03,66.11,4736.2883,9.2773,0.8811
2014-07-07,66.25,4746.3183,9.297,0.883
2014-07-08,66.0,4728.4076,9.2619,0.8796
2014-07-09,65.47,4690.4371,9.1875,0.8726
2014-07-10,65.76,4711.2134,9.2282,0.8764
2014-07-11,66.04,4731.2733,9.2675,0.8802
2014-07-14,66.17,4740.5869,9.2857,0.8819
2014-07-15,66.34,4752.7661,9.3096,0.8842
2014-07-16,66.1,4735.5719,9.2759,0.881
2014-07-17,64.84,4645.3023,9.0991,0.8642
2014-07-18,65.69,4706.1985,9.2184,0.8755
2014-07-21,65.6,4699.7506,9.2057,0.8743
2014-07-22,65.77,4711.9299,9.2296,0.8766
2014-07-23,65.83,4716.2284,9.238,0.8774
2014-07-24,65.79,4713.3627,9.2324,0.8768
2014-07-25,65.91,4721.9598,9.2492,0.8784
2014-07-28,66.39,4756.3482,9.3166,0.8848
2014-07-29,65.2,4653.943,9.1496,0.869
2014-07-30,64.67,4616.1119,9.0752,0.8619
2014-07-31,63.36,4522.6047,8.8914,0.8445
2014-08-01,63.48,4531.1703,8.9082,0.8461
2014-08-04,63.73,4549.0151,8.9433,0.8494
2014-08-05,63.44,4528.3151,8.9026,0.8455
2014-08-06,63.78,4552.5841,8.9503,0.8501
2014-08-07,63.49,4531.8841,8.9096,0.8462
2014-08-08,64.19,4581.8497,9.0079,0.8555
2014-08-11,63.84,4556.8669,8.9588,0.8509
2014-08-12,64.03,4570.429,8.9854,0.8534
2014-08-13,64.73,4620.3946,9.0837,0.8627
2014-08-14,65.2,4653.943,9.1496,0.869
2014-08-15,64.91,4633.2429,9.1089,0.8651
2014-08-18,66.18,4723.8949,9.2871,0.882
2014-08-19,65.83,4698.9121,9.238,0.8774
2014-08-20,65.67,4687.4914,9.2156,0.8752
2014-08-21,65.78,4695.3431,9.231,0.8767
2014-08-22,64.99,4638.9533,9.1201,0.8662
2014-08-25,65.99,4710.3328,9.2605,0.8795
2014-08-26,66.43,4741.7398,9.3222,0.8854
2014-08-27,66.53,4748.8777,9.3362,0.8867
2014-08-28,66.58,4752.4467,9.3433,0.8874
2014-08-29,66.75,4764.5812,9.3671,0.8896
2014-09-02,66.84,4771.0054,9.3797,0.8908
2014-09-03,66.41,4740.3122,9.3194,0.8851
2014-09-04,66.42,4741.026,9.3208,0.8852
2014-09-05,66.66,4758.1571,9.3545,0.8884
2014-09-08,66.66,4758.1571,9.3545,0.8884
2014-09-09,65.66,4686.7776,9.2142,0.8751
2014-09-10,65.42,4669.6465,9.1805,0.8719
2014-09-11,64.77,4623.2498,9.0893,0.8632
2014-09-12,64.68,4616.8257,9.0766,0.862
2014-09-15,65.18,4652.5154,9.1468,0.8687
2014-09-16,65.42,4669.6465,9.1805,0.8719
2014-09-17,65.3,4661.0809,9.1636,0.8703
2014-09-18,65.77,4694.6293,9.2296,0.8766
2014-09-19,66.32,4733.888,9.3068,0.8839
2014-09-22,65.72,4691.0603,9.2226,0.8759
2014-09-23,64.86,4629.674,9.1019,0.8644
2014-09-24,65.47,4673.2155,9.1875,0.8726
2014-09-25,64.82,4626.8188,9.0963,0.8639
2014-09-26,65.3,4661.0809,9.1636,0.8703
2014-09-29,64.63,4613.2567,9.0696,0.8614
2014-09-30,64.3,4589.7014,8.5299,0.8522
2014-10-01,63.03,4499.0495,8.3614,0.8354
2014-10-02,63.45,4529.0289,8.4171,0.841
2014-10-03,64.32,4591.129,8.5325,0.8525
2014-10-06,63.74,4549.7289,8.4556,0.8448
2014-10-07,62.69,4474.7805,8.3163,0.8309
2014-10-08,63.7,4546.8737,8.4503,0.8443
2014-10-09,62.05,4429.0976,8.2314,0.8224
2014-10-10,61.41,4383.4147,8.1465,0.8139
2014-10-13,60.81,4340.587,8.0669,0.806
2014-10-14,61.69,4403.401,8.1836,0.8176
2014-10-15,61.09,4360.5733,8.104,0.8097
2014-10-16,61.66,4401.2596,8.1796,0.8172
2014-10-17,62.32,4448.37,8.2672,0.826
2014-10-20,62.77,4480.4908,8.3269,0.8319
2014-10-21,64.37,4594.698,8.5391,0.8532
2014-10-22,64.11,4576.1393,8.5046,0.8497
2014-10-23,64.54,4606.8325,8.5617,0.8554
2014-10-24,65.59,4681.781,8.701,0.8693
2014-10-27,66.5,4746.7363,8.8217,0.8814
2014-10-28,66.74,4763.8674,8.8535,0.8846
2014-10-29,67.23,4798.8434,8.9185,0.8911
2014-10-30,67.7,4832.3917,8.9809,0.8973
2014-10-31,68.22,4869.5091,9.0499,0.9042
2014-11-03,68.63,4898.7747,9.1043,0.9096
2014-11-04,68.67,4824.4133,9.1096,0.9101
2014-11-05,68.59,4818.7929,9.099,0.9091
2014-11-06,68.42,4806.8495,9.0764,0.9068
2014-11-07,67.97,4775.2348,9.0167,0.9009
2014-11-10,68.0,4777.3424,9.0207,0.9013
2014-11-11,67.81,4763.994,8.9955,0.8987
2014-11-12,68.14,4787.1781,9.0393,0.9031
2014-11-13,67.84,4766.1016,8.9995,0.8991
2014-11-14,67.59,4748.5378,8.9663,0.8958
2014-11-17,67.94,4773.1271,9.0127,0.9005
2014-11-18,67.99,4776.6399,9.0194,0.9011
2014-11-19,67.7,4756.2659,8.9809,0.8973
2014-11-20,67.97,4775.2348,9.0167,0.9009
2014-11-21,68.69,4825.8184,9.1122,0.9104
2014-11-24,68.35,4801.9317,9.0671,0.9059
2014-11-25,67.94,4773.1271,9.0127,0.9005
2014-11-26,67.59,4748.5378,8.9663,0.8958
2014-11-28,67.59,4748.5378,8.9663,0.8958
2014-12-01,67.35,4731.6766,8.9345,0.8926
2014-12-02,67.84,4766.1016,8.9995,0.8991
2014-12-03,68.64,4822.3056,9.1056,0.9097
2014-12-04,69.0,4847.5974,9.1533,0.9145
2014-12-05,68.79,4832.8439,9.1255,0.9117
2014-12-08,69.07,4852.5153,9.1626,0.9154
2014-12-09,68.4,4805.4444,9.0737,0.9066
2014-12-10,67.4,4735.1894,8.9411,0.8933
2014-12-11,67.99,4776.6399,9.0194,0.9011
2014-12-12,66.19,4650.1808,8.7806,0.8773
2014-12-15,65.4,4594.6793,8.6758,0.8668
2014-12-16,65.07,4571.4952,8.632,0.8624
2014-12-17,66.19,4650.1808,8.7806,0.8773
2014-12-18,67.71,4756.9684,8.9822,0.8974
2014-12-19,68.65,4823.0082,9.1069,0.9099
2014-12-22,68.71,4827.2235,9.1149,0.9107
2014-12-23,69.23,4863.7561,9.1839,0.9176
2014-12-24,69.17,4859.5408,9.1759,0.9168
2014-12-26,69.06,4851.8127,9.1613,0.9153
2014-12-29,69.19,4860.9459,9.1785,0.917
2014-12-30,69.52,4884.1301,9.2223,0.9214
2014-12-31,68.43,4807.5521,9.7093,0.9152
2015-01-02,67.77,4761.1837,9.6157,0.9064
2015-01-05,66.25,4654.3961,9.4,0.8861
2015-01-06,65.33,4589.7615,9.2695,0.8738
2015-01-07,65.59,4608.0278,9.3064,0.8773
2015-01-08,66.57,4676.8777,9.4454,0.8904
2015-01-09,66.34,4660.719,9.4128,0.8873
2015-01-12,66.02,4638.2374,9.3674,0.883
2015-01-13,66.02,4638.2374,9.3674,0.883
2015-01-14,65.52,4603.1099,9.2964,0.8763
2015-01-15,64.66,4542.6906,9.1744,0.8648
2015-01-16,65.18,4579.2232,9.2482,0.8718
2015-01-20,64.45,4527.937,9.1446,0.862
2015-01-21,64.96,4563.7671,9.217,0.8688
2015-01-22,65.96,4634.0221,9.3589,0.8822
2015-01-23,65.28,4586.2487,9.2624,0.8731
2015-01-26,65.37,4592.5717,9.2751,0.8743
2015-01-27,65.12,4575.0079,9.2397,0.871
2015-01-28,63.83,4484.3789,9.0566,0.8537
2015-01-29,64.44,4527.2345,9.1432,0.8619
2015-01-30,63.51,4461.8973,9.0112,0.8494
2015-02-02,64.58,4537.0702,9.1631,0.8638
2015-02-03,65.66,4612.9456,9.3163,0.8782
2015-02-04,65.56,4605.9201,9.3021,0.8769
2015-02-05,66.28,4656.5037,9.4043,0.8865
2015-02-06,66.35,4661.4216,9.4142,0.8874
2015-02-09,65.84,4625.5915,9.3418,0.8806
2015-02-10,66.05,4640.3451,9.3716,0.8834
2015-02-11,66.3,4657.9088,9.4071,0.8868
2015-02-12,66.42,4666.3395,9.4241,0.8884
2015-02-13,61.44,4316.4694,8.7175,0.8218
2015-02-17,60.87,4276.424,8.6367,0.8141
2015-02-18,60.57,4255.3475,8.5941,0.8101
2015-02-19,60.83,4189.0959,8.631,0.8136
2015-02-20,60.67,4178.0774,8.6083,0.8115
2015-02-23,60.22,4147.0878,8.5444,0.8054
2015-02-24,60.75,4183.5866,8.6196,0.8125
2015-02-25,61.27,4219.3968,8.6934,0.8195
2015-02-26,61.06,4204.935,8.6636,0.8167
2015-02-27,61.27,4219.3968,8.6934,0.8195
2015-03-02,61.69,4248.3203,8.753,0.8251
2015-03-03,61.37,4226.2833,8.7076,0.8208
2015-03-04,60.55,4169.8135,8.5913,0.8099
2015-03-05,61.64,4244.877,8.7459,0.8244
2015-03-06,61.59,4241.4337,8.7388,0.8238
2015-03-09,62.2,4283.4418,8.8254,0.8319
2015-03-10,60.87,4191.8505,8.6367,0.8141
2015-03-11,60.3,4152.5971,8.5558,0.8065
2015-03-12,61.87,4260.7161,8.7785,0.8275
2015-03-13,61.22,4215.9535,8.6863,0.8188
2015-03-16,61.77,4253.8296,8.7644,0.8262
2015-03-17,61.85,4259.3388,8.7757,0.8272
2015-03-18,62.02,4271.046,8.7998,0.8295
2015-03-19,61.31,4222.1514,8.6991,0.82
2015-03-20,62.19,4282.7531,8.8239,0.8318
2015-03-23,62.2,4283.4418,8.8254,0.8319
2015-03-24,62.11,4277.2439,8.8126,0.8307
2015-03-25,60.98,4199.4257,8.6523,0.8156
2015-03-26,61.31,4222.1514,8.6991,0.82
2015-03-27,60.93,4195.9824,8.6452,0.8149
2015-03-30,61.61,4242.8111,8.7417,0.824
2015-03-31,61.41,4229.0379,10.7709,0.8175
2015-04-01,61.16,4211.8215,10.7271,0.8142
2015-04-02,61.41,4229.0379,10.7709,0.8175
