Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,46.53,8327.8,30.0303,3.1601
2014-01-03,46.45,8313.4819,29.9787,3.1547
2014-01-06,46.11,8252.6297,29.7592,3.1316
2014-01-07,47.01,8413.709,30.3401,3.1927
2014-01-08,46.68,8354.6466,30.1271,3.1703
2014-01-09,47.62,8522.885,30.7338,3.2342
2014-01-10,48.2,8626.6916,31.1081,3.2736
2014-01-13,46.3,8286.6353,29.8819,3.1445
2014-01-14,47.44,8490.6691,30.6176,3.2219
2014-01-15,49.15,8796.7198,31.7212,3.3381
2014-01-16,48.74,8723.3392,31.4566,3.3102
2014-01-17,48.58,8694.7029,31.3534,3.2994
2014-01-21,48.95,8760.9244,31.5922,3.3245
2014-01-22,49.18,8802.0891,31.7406,3.3401
2014-01-23,49.61,8879.0492,32.0181,3.3693
2014-01-24,48.34,8651.7484,31.1985,3.2831
2014-01-27,47.84,8562.2599,30.8758,3.2491
2014-01-28,48.35,8653.5382,31.2049,3.2837
2014-01-29,47.55,8510.3566,30.6886,3.2294
2014-01-30,48.47,8675.0154,31.2824,3.2919
2014-01-31,47.68,8533.6236,30.7725,3.2382
2014-02-03,46.01,8234.732,29.6947,3.1248
2014-02-04,46.49,8320.641,30.0045,3.1574
2014-02-05,47.42,8487.0896,30.6047,3.2206
2014-02-06,57.18,10233.9051,36.9038,3.8834
2014-02-07,56.64,10137.2576,36.5553,3.8468
2014-02-10,58.01,10382.4561,37.4395,3.9398
2014-02-11,59.79,10701.0351,38.5883,4.0607
2014-02-12,59.14,10584.7001,38.1688,4.0166
2014-02-13,59.71,10686.717,38.5366,4.0553
2014-02-14,60.03,10743.9896,38.7432,4.077
2014-02-18,60.62,10849.586,39.1239,4.1171
2014-02-19,60.52,10831.6883,39.0594,4.1103
2014-02-20,61.55,11016.0347,39.7242,4.1802
2014-02-21,61.73,11048.2505,39.8403,4.1925
2014-02-24,62.64,11211.1196,40.4276,4.2543
2014-02-25,61.67,11037.5119,39.8016,4.1884
2014-02-26,61.48,11003.5063,39.679,4.1755
2014-02-27,62.74,11229.0173,40.4922,4.2611
2014-02-28,61.13,10940.8643,39.4531,4.1517
2014-03-03,61.26,10937.1113,39.537,4.1605
2014-03-04,62.64,11183.4909,40.4276,4.2543
2014-03-05,61.51,10981.7453,39.6983,4.1775
2014-03-06,61.37,10956.7503,39.608,4.168
2014-03-07,61.0,10890.692,39.3692,4.1429
2014-03-10,59.39,10603.2491,38.3301,4.0335
2014-03-11,60.23,10753.2193,38.8722,4.0906
2014-03-12,60.44,10790.7119,39.0078,4.1048
2014-03-13,59.03,10538.9762,38.0978,4.0091
2014-03-14,59.53,10628.2442,38.4205,4.043
2014-03-17,59.8,10676.4489,38.5947,4.0614
2014-03-18,60.61,10821.063,39.1175,4.1164
2014-03-19,60.11,10731.795,38.7948,4.0824
2014-03-20,61.96,11062.0865,39.9888,4.2081
2014-03-21,60.72,10840.7019,39.1885,4.1239
2014-03-24,59.58,10637.171,38.4527,4.0464
2014-03-25,57.86,10330.0892,37.3426,3.9296
2014-03-26,57.75,10310.4502,37.2717,3.9222
2014-03-27,58.11,10374.7232,37.504,3.9466
2014-03-28,58.24,10397.9328,37.5879,3.9554
2014-03-31,58.21,10392.5767,36.1768,3.8315
2014-04-01,59.62,10644.3124,37.0531,3.9243
2014-04-02,58.18,10394.4594,36.1581,3.8295
2014-04-03,56.44,10083.5904,35.0768,3.715
2014-04-04,54.349,9710.0116,33.7772,3.5773
2014-04-07,53.84,9619.0735,33.4609,3.5438
2014-04-08,54.45,9728.0563,33.84,3.584
2014-04-09,55.18,9858.4784,34.2937,3.632
2014-04-10,52.88,9447.5596,32.8643,3.4807
2014-04-11,52.61,9399.3213,32.6965,3.4629
2014-04-14,52.96,9461.8524,32.914,3.4859
2014-04-15,53.57,9570.8352,33.2931,3.5261
2014-04-16,54.52,9740.5625,33.8835,3.5886
2014-04-17,54.3,9701.2573,33.7468,3.5741
2014-04-21,54.42,9722.6965,33.8213,3.582
2014-04-22,54.71,9774.508,34.0016,3.6011
2014-04-23,53.77,9606.5673,33.4174,3.5392
2014-04-24,53.35,9531.5299,33.1564,3.5116
2014-04-25,52.03,9295.6983,32.336,3.4247
2014-04-28,51.14,9136.6905,31.7829,3.3661
2014-04-29,52.48,9376.0954,32.6157,3.4543
2014-04-30,53.07,9481.505,32.9823,3.4932
2014-05-01,54.53,9742.3491,33.8897,3.5893
2014-05-02,53.18,9501.1577,33.0507,3.5004
2014-05-05,54.13,9670.885,33.6411,3.5629
2014-05-06,52.4,9361.8026,32.5659,3.4491
2014-05-07,51.86,9265.326,32.2303,3.4135
2014-05-08,52.21,9327.8571,32.4479,3.4366
2014-05-09,52.82,9436.8399,32.827,3.4767
2014-05-12,53.43,9510.5971,33.2061,3.5169
2014-05-13,53.3,9487.4569,33.1253,3.5083
2014-05-14,54.06,9622.7377,33.5976,3.5583
2014-05-15,53.51,9524.8372,33.2558,3.5221
2014-05-16,53.33,9492.797,33.1439,3.5103
2014-05-19,53.34,9494.577,33.1501,3.5109
2014-05-20,52.24,9298.7758,32.4665,3.4385
2014-05-21,53.88,9590.6976,33.4857,3.5465
2014-05-22,53.48,9519.4971,33.2371,3.5201
2014-05-23,53.65,9549.7573,33.3428,3.5313
2014-05-27,54.61,9720.6383,33.9394,3.5945
2014-05-28,54.35,9674.3581,33.7778,3.5774
2014-05-29,54.77,9749.1185,34.0389,3.6051
2014-05-30,54.34,9672.578,33.7716,3.5768
2014-06-02,54.36,9676.1381,33.7841,3.5781
2014-06-03,55.09,9806.0788,34.2377,3.6261
2014-06-04,55.19,9823.8789,34.2999,3.6327
