Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,63.14,5139.5513,12.1919,3.106
2014-01-03,63.25,5148.5052,12.2131,3.1114
2014-01-06,63.11,5137.1093,12.1861,3.1045
2014-01-07,63.54,5172.111,12.2691,3.1257
2014-01-08,64.87,5280.3721,12.5259,3.1911
2014-01-09,65.83,5358.5154,12.7113,3.2383
2014-01-10,66.49,5412.2389,12.8387,3.2708
2014-01-13,65.75,5352.0034,12.6959,3.2344
2014-01-14,66.61,5422.0068,12.8619,3.2767
2014-01-15,66.74,5432.5887,12.887,3.2831
2014-01-16,66.37,5402.471,12.8156,3.2649
2014-01-17,66.0,5372.3533,12.7441,3.2467
2014-01-21,66.15,5384.5632,12.7731,3.254
2014-01-22,66.3,5396.7731,12.8021,3.2614
2014-01-23,65.52,5333.2816,12.6514,3.2231
2014-01-24,63.31,5153.3892,12.2247,3.1143
2014-01-27,63.59,5176.181,12.2788,3.1281
2014-01-28,63.2,5144.4353,12.2035,3.1089
2014-01-29,65.25,5311.3038,12.5993,3.2098
2014-01-30,64.62,5260.0222,12.4777,3.1788
2014-01-31,64.18,5224.2066,12.3927,3.1571
2014-02-03,62.23,5065.4779,12.0162,3.0612
2014-02-04,62.21,5063.85,12.0123,3.0602
2014-02-05,62.49,5086.6418,12.0664,3.074
2014-02-06,62.88,5118.3875,12.1417,3.0932
2014-02-07,63.48,5167.2271,12.2575,3.1227
2014-02-10,63.71,5185.9489,12.3019,3.134
2014-02-11,64.1,5217.6946,12.3773,3.1532
2014-02-12,64.47,5247.8124,12.4487,3.1714
2014-02-13,64.81,5275.4881,12.5144,3.1881
2014-02-14,65.26,5312.1178,12.6012,3.2103
2014-02-18,64.48,5248.6263,12.4506,3.1719
2014-02-19,64.41,5242.9284,12.4371,3.1685
2014-02-20,64.44,5245.3704,12.4429,3.1699
2014-02-21,63.91,5202.2288,12.3406,3.1439
2014-02-24,63.84,5196.5308,12.3271,3.1404
2014-02-25,64.28,5110.1266,12.412,3.1621
2014-02-26,65.56,5211.884,12.6592,3.225
2014-02-27,65.58,5213.4739,12.663,3.226
2014-02-28,65.99,5246.0681,12.7422,3.2462
2014-03-03,65.74,5226.1936,12.6939,3.2339
2014-03-04,66.04,5250.043,12.7519,3.2486
2014-03-05,66.04,5250.043,12.7519,3.2486
2014-03-06,66.58,5292.9718,12.8561,3.2752
2014-03-07,66.55,5290.5869,12.8503,3.2737
2014-03-10,65.97,5244.4781,12.7383,3.2452
2014-03-11,65.54,5210.294,12.6553,3.224
2014-03-12,65.01,5168.1601,12.553,3.198
2014-03-13,64.2,5103.7668,12.3966,3.1581
2014-03-14,63.53,5050.5032,12.2672,3.1252
2014-03-17,64.35,5115.6915,12.4255,3.1655
2014-03-18,64.76,5148.2856,12.5047,3.1857
2014-03-19,64.3,5111.7166,12.4159,3.163
2014-03-20,64.08,5094.227,12.3734,3.1522
2014-03-21,64.66,5140.3358,12.4854,3.1807
2014-03-24,64.42,5121.2563,12.439,3.1689
2014-03-25,64.85,5155.4404,12.5221,3.1901
2014-03-26,64.36,5116.4864,12.4275,3.166
2014-03-27,64.89,5158.6203,12.5298,3.1921
2014-03-28,65.1,5177.8971,12.5703,3.2024
2014-03-31,66.42,5282.8867,12.7203,3.2923
2014-04-01,66.45,5285.2729,12.726,3.2938
2014-04-02,66.92,5322.6555,12.8161,3.3171
2014-04-03,66.8,5313.111,12.7931,3.3111
2014-04-04,66.11,5258.2301,12.6609,3.2769
2014-04-07,65.03,5172.3295,12.4541,3.2234
2014-04-08,65.37,5199.3723,12.5192,3.2402
2014-04-09,66.07,5255.0486,12.6533,3.2749
2014-04-10,65.13,5180.2832,12.4732,3.2284
2014-04-11,64.86,5158.8081,12.4215,3.215
2014-04-14,65.59,5216.8705,12.5613,3.2512
2014-04-15,65.62,5219.2567,12.5671,3.2526
2014-04-16,66.28,5271.7515,12.6935,3.2854
2014-04-17,66.68,5303.5665,12.7701,3.3052
2014-04-21,67.2,5344.926,12.8697,3.331
2014-04-22,67.74,5387.8763,12.9731,3.3577
2014-04-23,67.07,5334.5862,12.8448,3.3245
2014-04-24,66.84,5316.8642,12.8007,3.3131
2014-04-25,65.85,5238.1135,12.6111,3.264
2014-04-28,66.02,5251.6363,12.6437,3.2725
2014-04-29,66.59,5296.9776,12.7529,3.3007
2014-04-30,67.04,5332.7734,12.839,3.323
2014-05-01,67.74,5388.4557,12.9731,3.3577
2014-05-02,68.1,5417.0923,13.042,3.3756
2014-05-05,68.57,5454.479,13.132,3.3989
2014-05-06,68.24,5428.2288,13.0688,3.3825
2014-05-07,68.5,5448.9108,13.1186,3.3954
2014-05-08,68.14,5420.2742,13.0497,3.3776
2014-05-09,68.27,5430.6152,13.0746,3.384
2014-05-12,69.36,5517.3204,13.2833,3.438
2014-05-13,69.07,5494.2521,13.2278,3.4236
2014-05-14,68.98,5487.0929,13.2106,3.4192
2014-05-15,67.67,5382.8875,12.9597,3.3543
2014-05-16,67.72,5386.8648,12.9693,3.3567
2014-05-19,67.89,5400.3876,13.0018,3.3652
2014-05-20,67.47,5366.9782,12.9214,3.3443
2014-05-21,68.07,5414.7059,13.0363,3.3741
2014-05-22,68.07,5414.7059,13.0363,3.3741
2014-05-23,68.66,5461.6381,13.1493,3.4033
2014-05-27,68.58,5455.2745,13.134,3.3994
2014-05-28,68.44,5444.138,13.1072,3.3924
2014-05-29,69.33,5514.9341,13.2776,3.4365
2014-05-30,69.19,5503.7976,13.2508,3.4296
2014-06-02,69.66,5541.1843,13.3408,3.4529
2014-06-03,70.02,5569.8209,13.4097,3.4707
2014-06-04,70.85,5635.8442,13.5687,3.5119
2014-06-05,71.47,5685.1628,13.6874,3.5426
2014-06-06,72.18,5741.6406,13.8234,3.5778
