Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,56.96,4574.9555,38.4498,7.2401
2014-01-03,57.17,4591.8224,38.5915,7.2668
2014-01-06,59.9,4811.0926,40.4343,7.6138
2014-01-07,61.3625,4928.5587,41.4216,7.7997
2014-01-08,60.73,4877.7571,40.9946,7.7193
2014-01-09,60.34,4846.4328,40.7314,7.6697
2014-01-10,60.71,4876.1508,40.9811,7.7168
2014-01-13,58.69,4713.9069,39.6176,7.46
2014-01-14,60.4,4851.2519,40.7719,7.6774
2014-01-15,62.23,4998.2352,42.0072,7.91
2014-01-16,62.12,4989.4002,41.9329,7.896
2014-01-17,63.95,5136.3835,43.1682,8.1286
2014-01-21,62.67,5033.5755,42.3042,7.9659
2014-01-22,63.2,5076.1444,42.6619,8.0333
2014-01-23,63.4,5092.2082,42.7969,8.0587
2014-01-24,58.88,4729.1675,39.7458,7.4842
2014-01-27,55.43,4452.0678,37.417,7.0456
2014-01-28,57.47,4615.918,38.794,7.3049
2014-01-29,57.74,4637.6041,38.9763,7.3392
2014-01-30,58.49,4697.8432,39.4825,7.4346
2014-01-31,59.42,4772.5396,40.1103,7.5528
2014-02-03,54.96,4414.318,37.0997,6.9859
2014-02-04,55.23,4436.0041,37.2819,7.0202
2014-02-05,54.67,4391.0256,36.9039,6.949
2014-02-06,54.01,4338.0152,36.4584,6.8651
2014-02-07,55.01,4418.3339,37.1334,6.9922
2014-02-10,54.99,4416.7276,37.1199,6.9897
2014-02-11,55.19,4432.7913,37.2549,7.0151
2014-02-12,54.91,4410.3021,37.0659,6.9795
2014-02-13,54.66,4390.2224,36.8972,6.9478
2014-02-14,54.58,4383.7969,36.8432,6.9376
2014-02-18,55.32,4443.2327,37.3427,7.0316
2014-02-19,53.8,4321.1483,36.3167,6.8384
2014-02-20,53.52,4298.659,36.1276,6.8028
2014-02-21,52.98,4255.2869,35.7631,6.7342
2014-02-24,54.31,4362.1108,36.6609,6.9033
2014-02-25,53.46,4293.8399,36.0871,6.7952
2014-02-26,53.15,4268.9411,35.8779,6.7558
2014-02-27,52.93,4251.271,35.7294,6.7279
2014-02-28,52.33,4263.8965,35.3244,6.6516
2014-03-03,52.3,4261.4521,35.3041,6.6478
2014-03-04,55.125,4491.6357,37.2111,7.0069
2014-03-05,54.07,4405.6733,36.4989,6.8728
2014-03-06,54.75,4461.0803,36.9579,6.9592
2014-03-07,55.28,4504.2652,37.3157,7.0266
2014-03-10,55.6,4530.3391,37.5317,7.0672
2014-03-11,54.28,4422.7843,36.6407,6.8995
2014-03-12,54.32,4426.0435,36.6677,6.9045
2014-03-13,52.38,4267.9705,35.3581,6.6579
2014-03-14,52.74,4297.3037,35.6011,6.7037
2014-03-17,53.45,4355.1551,36.0804,6.794
2014-03-18,54.78,4463.5247,36.9782,6.963
2014-03-19,54.16,4413.0066,36.5597,6.8842
2014-03-20,54.72,4458.6359,36.9377,6.9554
2014-03-21,53.92,4393.4511,36.3977,6.8537
2014-03-24,52.75,4298.1185,35.6079,6.705
2014-03-25,52.91,4311.1554,35.7159,6.7253
2014-03-26,52.07,4242.7114,35.1489,6.6185
2014-03-27,51.43,4190.5637,34.7168,6.5372
2014-03-28,50.73,4133.527,34.2443,6.4482
2014-03-31,51.79,4219.8968,30.8274,6.0677
2014-04-01,53.59,4366.5624,31.8988,6.2786
2014-04-02,54.24,4419.525,32.2857,6.3548
2014-04-03,53.59,4366.5624,31.8988,6.2786
2014-04-04,54.81,4465.9692,32.625,6.4216
2014-04-07,52.938,4321.4496,31.5107,6.2022
2014-04-08,52.35,4273.4498,31.1607,6.1334
2014-04-09,54.16,4421.2042,32.2381,6.3454
2014-04-10,50.61,4131.4096,30.125,5.9295
2014-04-11,49.39,4031.8182,29.3988,5.7866
2014-04-14,49.15,4012.2265,29.256,5.7584
2014-04-15,51.05,4167.3278,30.3869,5.981
2014-04-16,51.68,4218.7561,30.7619,6.0549
2014-04-17,53.4,4359.1637,31.7857,6.2564
2014-04-21,52.25,4265.2865,31.1012,6.1216
2014-04-22,52.06,4249.7764,30.9881,6.0994
2014-04-23,52.45,4281.613,31.2202,6.1451
2014-04-24,50.798,4146.7565,30.2369,5.9515
2014-04-25,50.0,4081.6139,29.7619,5.858
2014-04-28,49.17,4013.8591,29.2679,5.7608
2014-04-29,50.06,4086.5119,29.7976,5.8651
2014-04-30,50.39,4113.4505,29.994,5.9037
2014-05-01,51.0,4163.4057,30.3571,5.9752
2014-05-02,50.43,4116.8735,30.0179,5.9084
2014-05-05,50.33,4108.71,29.9583,5.8967
2014-05-06,49.03,4002.584,29.1845,5.7444
2014-05-07,48.19,3934.0102,28.6845,5.646
2014-05-08,48.04,3921.7649,28.5952,5.6284
2014-05-09,49.45,4036.8709,29.4345,5.7936
2014-05-12,51.3,4187.8964,30.5357,6.0103
2014-05-13,51.01,4164.2221,30.3631,5.9764
2014-05-14,50.09,4089.1175,29.8155,5.8686
2014-05-15,49.69,4056.4633,29.5774,5.8217
2014-05-16,50.35,4110.3427,29.9702,5.899
2014-05-19,50.79,4146.2623,30.2321,5.9506
2014-05-20,50.04,4085.0357,29.7857,5.8627
2014-05-21,52.71,4303.0023,31.375,6.1755
2014-05-22,52.72,4303.8186,31.381,6.1767
2014-05-23,54.13,4418.9246,32.2202,6.3419
2014-05-27,53.69,4383.005,31.9583,6.2904
2014-05-28,53.18,4341.3709,31.6548,6.2306
2014-05-29,55.12,4499.7436,32.8095,6.4579
2014-05-30,54.61,4458.1095,32.506,6.3981
2014-06-02,55.01,4490.7637,32.744,6.445
2014-06-03,53.89,4399.3321,32.0774,6.3138
2014-06-04,53.37,4356.8816,31.7679,6.2529
2014-06-05,53.56,4372.3924,31.881,6.2751
2014-06-06,53.37,4356.8816,31.7679,6.2529
2014-06-09,53.15,4338.9219,31.6369,6.2271
2014-06-10,52.47,4283.4098,31.2321,6.1474
2014-06-11,51.6,4212.387,30.7143,6.0455
2014-06-12,50.81,4147.895,30.244,5.9529
2014-06-13,50.78,4145.4459,30.2262,5.9494
2014-06-16,50.95,4159.324,30.3274,5.9693
2014-06-17,51.055,4167.8957,30.3899,5.9816
2014-06-18,51.83,4231.1631,30.8512,6.0724
2014-06-19,52.16,4258.1028,31.0476,6.1111
2014-06-20,52.39,4276.8789,31.1845,6.138
2014-06-23,52.51,4286.6752,31.256,6.1521
2014-06-24,52.74,4305.4513,31.3929,6.1791
2014-06-25,54.05,4412.3937,32.1726,6.3325
2014-06-26,55.13,4500.56,32.8155,6.4591
2014-06-27,56.32,4597.7061,33.5238,6.5985
2014-06-30,56.04,4574.8482,32.0229,6.6989
2014-07-01,57.36,4682.6069,32.7771,6.8567
2014-07-02,56.79,4636.0747,32.4514,6.7885
2014-07-03,57.14,4664.6471,32.6514,6.8304
2014-07-07,56.12,4581.379,32.0686,6.7084
2014-07-08,55.11,4498.9273,31.4914,6.5877
2014-07-09,55.06,4494.8455,31.4629,6.5817
2014-07-10,54.46,4445.8642,31.12,6.51
2014-07-11,54.09,4415.6591,30.9086,6.4658
2014-07-14,54.31,4433.6189,31.0343,6.4921
2014-07-15,53.91,4400.9648,30.8057,6.4443
2014-07-16,53.92,4401.7811,30.8114,6.4455
2014-07-17,52.26,4266.2663,29.8629,6.247
2014-07-18,52.57,4291.5733,30.04,6.2841
2014-07-21,51.62,4214.0197,29.4971,6.1705
2014-07-22,52.62,4295.6551,30.0686,6.2901
2014-07-23,53.12,4336.4728,30.3543,6.3498
2014-07-24,53.23,4345.4527,30.4171,6.363
2014-07-25,56.36,4600.9715,32.2057,6.7371
2014-07-28,54.72,4467.0894,31.2686,6.5411
2014-07-29,54.72,4467.0894,31.2686,6.5411
2014-07-30,55.54,4534.0305,31.7371,6.6391
2014-07-31,54.21,4379.7926,30.9771,6.4801
2014-08-01,53.42,4315.9661,30.5257,6.3857
2014-08-04,53.96,4359.5944,30.8343,6.4502
2014-08-05,54.14,4374.1371,30.9371,6.4718
2014-08-06,54.26,4383.8323,31.0057,6.4861
2014-08-07,53.54,4325.6613,30.5943,6.4
2014-08-08,54.11,4371.7133,30.92,6.4682
2014-08-11,54.27,4384.6402,31.0114,6.4873
2014-08-12,53.76,4343.4357,30.72,6.4263
2014-08-13,54.75,4423.4209,31.2857,6.5447
2014-08-14,54.71,4420.1892,31.2629,6.5399
2014-08-15,54.35,4391.1037,31.0571,6.4969
2014-08-18,54.95,4439.5795,31.4,6.5686
2014-08-19,55.14,4454.9302,31.5086,6.5913
2014-08-20,55.09,4450.8905,31.48,6.5853
2014-08-21,54.485,4402.0107,31.1343,6.513
2014-08-22,54.29,4386.2561,31.0229,6.4897
2014-08-25,55.22,4461.3936,31.5543,6.6009
2014-08-26,56.61,4573.696,32.3486,6.767
2014-08-27,55.5,4484.0157,31.7143,6.6343
2014-08-28,54.79,4426.6526,31.3086,6.5495
2014-08-29,54.46,4399.9909,31.12,6.51
2014-09-02,55.53,4486.4395,31.7314,6.6379
2014-09-03,55.29,4467.0491,31.5943,6.6092
2014-09-04,55.305,4468.261,31.6029,6.611
2014-09-05,55.31,4468.665,31.6057,6.6116
2014-09-08,55.58,4490.4791,31.76,6.6439
2014-09-09,54.9,4435.5398,31.3714,6.5626
2014-09-10,55.32,4469.4729,31.6114,6.6128
2014-09-11,55.55,4488.0553,31.7429,6.6403
2014-09-12,54.9,4435.5398,31.3714,6.5626
2014-09-15,53.78,4345.0516,30.7314,6.4287
2014-09-16,54.17,4376.5609,30.9543,6.4753
2014-09-17,53.895,4354.3428,30.7971,6.4425
2014-09-18,54.37,4392.7195,31.0686,6.4993
2014-09-19,54.88,4433.924,31.36,6.5602
2014-09-22,53.935,4357.5745,30.82,6.4473
2014-09-23,52.93,4276.3775,30.2457,6.3271
2014-09-24,53.8,4346.6675,30.7429,6.4311
2014-09-25,52.83,4268.2982,30.1886,6.3152
2014-09-26,53.185,4296.9797,30.3914,6.3576
2014-09-29,53.12,4291.7282,30.3543,6.3498
2014-09-30,51.68,4175.3861,28.7111,5.7596
2014-10-01,50.07,4045.3093,27.8167,5.5802
2014-10-02,48.8,3942.7021,27.1111,5.4386
2014-10-03,48.49,3917.6562,26.9389,5.4041
2014-10-06,47.86,3866.7566,26.5889,5.3339
2014-10-07,47.025,3799.2944,26.125,5.2408
2014-10-08,47.79,3861.1011,26.55,5.3261
2014-10-09,46.63,3767.3811,25.9056,5.1968
2014-10-10,45.215,3653.0589,25.1194,5.0391
2014-10-13,44.955,3632.0527,24.975,5.0101
2014-10-14,44.37,3584.7888,24.65,4.9449
2014-10-15,44.56,3600.1394,24.7556,4.9661
2014-10-16,45.16,3648.6153,25.0889,5.033
2014-10-17,45.38,3666.3898,25.2111,5.0575
2014-10-20,47.59,3844.9425,26.4389,5.3038
2014-10-21,48.8,3942.7021,27.1111,5.4386
2014-10-22,47.98,3876.4518,26.6556,5.3473
2014-10-23,49.04,3962.0924,27.2444,5.4654
2014-10-24,51.5,4160.8434,28.6111,5.7396
2014-10-27,51.32,4146.3006,28.5111,5.7195
2014-10-28,52.21,4218.2065,29.0056,5.8187
2014-10-29,52.18,4215.7827,28.9889,5.8153
2014-10-30,51.95,4171.056,28.8611,5.7897
2014-10-31,52.62,4224.8502,29.2333,5.8644
2014-11-03,51.81,4159.8155,28.7833,5.7741
2014-11-04,52.23,4193.5372,29.0167,5.8209
2014-11-05,51.84,4162.2242,28.8,5.7774
2014-11-06,52.63,4225.6531,29.2389,5.8655
2014-11-07,52.39,4206.3836,29.1056,5.8387
2014-11-10,52.37,4204.7778,29.0944,5.8365
2014-11-11,53.57,4301.1255,29.7611,5.9702
2014-11-12,54.86,4404.6994,30.4778,6.114
2014-11-13,54.71,4392.6559,30.3944,6.0973
2014-11-14,54.27,4357.3284,30.15,6.0483
2014-11-17,54.25,4355.7226,30.1389,6.046
2014-11-18,54.76,4396.6704,30.4222,6.1029
2014-11-19,54.415,4368.9704,30.2306,6.0644
2014-11-20,55.125,4425.9762,30.625,6.1435
2014-11-21,55.66,4468.9313,30.9222,6.2032
2014-11-24,56.98,4574.9138,31.6556,6.3503
2014-11-25,57.3,4600.6066,31.8333,6.3859
2014-11-26,57.34,4603.8182,31.8556,6.3904
2014-11-28,56.9,4568.4906,31.6111,6.3414
2014-12-01,55.85,4484.1863,31.0278,6.2243
2014-12-02,57.0,4576.5196,31.6667,6.3525
2014-12-03,56.32,4521.9225,31.2889,6.2767
2014-12-04,56.33,4522.7254,31.2944,6.2778
2014-12-05,56.79,4559.6588,31.55,6.3291
2014-12-08,56.84,4563.6732,31.5778,6.3347
2014-12-09,57.63,4627.1022,32.0167,6.4227
2014-12-10,56.57,4541.995,31.4278,6.3046
2014-12-11,56.46,4533.1631,31.3667,6.2923
2014-12-12,55.73,4474.5515,30.9611,6.211
2014-12-15,55.41,4448.8588,30.7833,6.1753
2014-12-16,55.08,4422.3632,30.6,6.1385
2014-12-17,55.45,4452.0704,30.8056,6.1798
2014-12-18,56.1,4504.2588,31.1667,6.2522
2014-12-19,56.83,4562.8703,31.5722,6.3336
2014-12-22,56.88,4566.8848,31.6,6.3391
2014-12-23,56.84,4563.6732,31.5778,6.3347
2014-12-24,57.01,4577.3225,31.6722,6.3536
2014-12-26,56.66,4549.2211,31.4778,6.3146
2014-12-29,56.33,4522.7254,31.2944,6.2778
2014-12-30,56.36,4525.1341,31.3111,6.2812
2014-12-31,55.91,4489.0037,31.5876,5.957
2015-01-02,56.2,4512.2878,31.7514,5.9879
2015-01-05,56.99,4575.7167,32.1977,6.0721
2015-01-06,57.45,4612.65,32.4576,6.1211
2015-01-07,59.57,4782.8644,33.6554,6.347
2015-01-08,61.44,4933.0064,34.7119,6.5462
2015-01-09,62.58,5024.5368,35.3559,6.6677
2015-01-12,63.17,5071.9078,35.6893,6.7305
2015-01-13,62.65,5030.1571,35.3955,6.6751
2015-01-14,61.06,4902.4963,34.4972,6.5057
2015-01-15,59.63,4787.6818,33.6893,6.3534
2015-01-16,56.92,4570.0964,32.1582,6.0646
2015-01-20,56.24,4515.4994,31.774,5.9922
2015-01-21,55.9,4488.2008,31.5819,5.9559
2015-01-22,58.01,4657.6123,32.774,6.1808
2015-01-23,57.46,4613.4529,32.4633,6.1222
2015-01-26,58.2,4672.8674,32.8814,6.201
2015-01-27,58.75,4717.0268,33.1921,6.2596
2015-01-28,58.57,4702.5746,33.0904,6.2404
2015-01-29,58.67,4710.6036,33.1469,6.2511
2015-01-30,53.05,4259.3748,29.9718,5.6523
2015-02-02,55.18,4430.3921,31.1751,5.8792
2015-02-03,54.68,4390.2472,30.8927,5.826
2015-02-04,54.3,4359.7371,30.678,5.7855
2015-02-05,55.0,4415.94,31.0734,5.86
2015-02-06,54.63,4386.2327,30.8644,5.8206
2015-02-09,55.02,4417.5458,31.0847,5.8622
2015-02-10,55.74,4475.3544,31.4915,5.9389
2015-02-11,55.8,4480.1718,31.5254,5.9453
2015-02-12,57.24,4595.7892,32.339,6.0987
2015-02-13,56.9,4568.4906,32.1469,6.0625
2015-02-17,57.63,4627.1022,32.5593,6.1403
2015-02-18,56.54,4539.5863,31.9435,6.0241
2015-02-19,56.81,4561.2645,32.096,6.0529
2015-02-20,56.81,4561.2645,32.096,6.0529
2015-02-23,56.535,4539.1848,31.9407,6.0236
2015-02-24,56.56,4541.1921,31.9548,6.0263
2015-02-25,56.16,4509.0762,31.7288,5.9836
2015-02-26,56.43,4555.0434,31.8814,6.0124
2015-02-27,57.35,4629.3061,32.4011,6.1104
2015-03-02,57.76,4662.4014,32.6328,6.1541
2015-03-03,56.97,4598.6324,32.1864,6.0699
2015-03-04,57.15,4613.162,32.2881,6.0891
2015-03-05,57.89,4672.895,32.7062,6.168
2015-03-06,57.09,4608.3188,32.2542,6.0827
2015-03-09,56.49,4559.8867,31.9153,6.0188
2015-03-10,56.86,4589.7532,32.1243,6.0582
2015-03-11,56.93,4595.4036,32.1638,6.0657
2015-03-12,56.99,4600.2468,32.1977,6.0721
2015-03-13,55.98,4518.7193,31.6271,5.9645
2015-03-16,56.34,4547.7786,31.8305,6.0028
2015-03-17,56.19,4535.6706,31.7458,5.9868
2015-03-18,56.38,4551.0074,31.8531,6.0071
2015-03-19,58.32,4707.6047,32.9492,6.2138
2015-03-20,57.18,4615.5836,32.3051,6.0923
2015-03-23,56.33,4546.9714,31.8249,6.0018
2015-03-24,55.48,4478.3592,31.3446,5.9112
2015-03-25,54.69,4414.5902,30.8983,5.827
2015-03-26,54.58,4405.711,30.8362,5.8153
2015-03-27,54.04,4362.1221,30.5311,5.7578
2015-03-30,54.595,4406.9218,30.8446,5.8169
2015-03-31,53.785,4341.5384,29.5522,5.4721
2015-04-01,52.45,4234.139,28.8187,5.3363
2015-04-02,52.75,4258.3572,28.9835,5.3668
2015-04-06,53.07,4284.1898,29.1593,5.3993
2015-04-07,52.55,4242.2117,28.8736,5.3464
2015-04-08,52.72,4255.9353,28.967,5.3637
2015-04-09,52.72,4255.9353,28.967,5.3637
2015-04-10,54.29,4382.677,29.8297,5.5235
2015-04-13,53.82,4344.7352,29.5714,5.4756
2015-04-14,53.15,4290.648,29.2033,5.4075
2015-04-15,52.86,4267.2371,29.044,5.378
2015-04-16,52.77,4259.9717,28.9945,5.3688
2015-04-17,53.375,4308.8116,29.3269,5.4304
2015-04-20,54.205,4375.8152,29.783,5.5148
2015-04-21,56.15,4532.8295,30.8516,5.7127
2015-04-22,55.94,4515.8768,30.7363,5.6913
2015-04-23,56.01,4521.5277,30.7747,5.6984
2015-04-24,59.18,4777.4327,32.5165,6.021
2015-04-27,58.59,4729.8037,32.1923,5.9609
2015-04-28,59.45,4799.2291,32.6648,6.0484
2015-04-29,60.18,4858.1599,33.0659,6.1227
2015-04-30,58.84,4749.9855,32.3297,5.9864
2015-05-01,59.18,4778.7972,32.5165,6.021
2015-05-04,60.35,4873.2749,33.1593,6.14
2015-05-05,59.51,4805.4448,32.6978,6.0545
2015-05-06,58.91,4756.9946,32.3681,5.9935
2015-05-07,58.87,4753.7646,32.3462,5.9894
2015-05-08,59.71,4821.5948,32.8077,6.0749
2015-05-11,59.35,4792.5247,32.6099,6.0383
2015-05-12,58.64,4735.1921,32.2198,5.966
2015-05-13,58.75,4744.0746,32.2802,5.9772
2015-05-14,59.31,4789.2947,32.5879,6.0342
2015-05-15,59.28,4786.8722,32.5714,6.0311
2015-05-18,59.86,4833.7073,32.8901,6.0901
2015-05-19,59.24,4783.6422,32.5495,6.0271
2015-05-20,59.22,4782.0272,32.5385,6.025
2015-05-21,59.38,4794.9472,32.6264,6.0413
2015-05-22,59.29,4787.6797,32.5769,6.0322
2015-05-26,59.27,4786.0647,32.5659,6.0301
2015-05-27,59.7,4820.7873,32.8022,6.0739
2015-05-28,61.18,4940.2976,33.6154,6.2244
2015-05-29,60.67,4899.115,33.3352,6.1726
2015-06-01,61.74,4985.5177,33.9231,6.2814
2015-06-02,62.37,5036.3903,34.2692,6.3455
2015-06-03,63.4,5119.5631,34.8352,6.4503
2015-06-04,62.79,5070.3054,34.5,6.3882
2015-06-05,62.91,5079.9955,34.5659,6.4005
2015-06-08,61.99,5005.7053,34.0604,6.3069
2015-06-09,61.58,4972.5977,33.8352,6.2651
2015-06-10,62.52,5048.5029,34.3516,6.3608
2015-06-11,62.96,5084.033,34.5934,6.4055
2015-06-12,63.02,5088.878,34.6264,6.4116
2015-06-15,63.22,5105.028,34.7363,6.432
2015-06-16,64.29,5191.4307,35.3242,6.5409
2015-06-17,62.29,5029.9303,34.2253,6.3374
2015-06-18,62.15,5018.6253,34.1484,6.3231
2015-06-19,63.24,5106.643,34.7473,6.434
2015-06-22,63.31,5112.2955,34.7857,6.4411
2015-06-23,62.98,5085.648,34.6044,6.4076
2015-06-24,61.12,4935.4526,33.5824,6.2183
2015-06-25,61.57,4971.7902,33.8297,6.2641
2015-06-26,62.63,5057.3854,34.4121,6.372
2015-06-29,61.65,4978.2502,33.8736,6.2723
2015-06-30,62.71,5063.8454,35.2303,6.5226
2015-07-01,63.22,5105.028,35.5169,6.5757
2015-07-02,63.29,5110.6805,35.5562,6.583
2015-07-06,62.5,5046.8879,35.1124,6.5008
2015-07-07,63.5,5127.6381,35.6742,6.6048
2015-07-08,62.74,5066.2679,35.2472,6.5258
2015-07-09,62.2,5022.6628,34.9438,6.4696
2015-07-10,62.94,5082.418,35.3596,6.5466
2015-07-13,63.61,5136.5206,35.736,6.6162
2015-07-14,64.31,5193.0457,36.1292,6.6891
2015-07-15,64.63,5218.8858,36.309,6.7223
2015-07-16,65.37,5278.641,36.7247,6.7993
2015-07-17,64.93,5243.1109,36.4775,6.7535
2015-07-20,66.04,5332.7436,37.1011,6.869
2015-07-21,65.16,5261.6834,36.6067,6.7775
2015-07-22,65.23,5267.3359,36.6461,6.7847
2015-07-23,65.59,5296.406,36.8483,6.8222
2015-07-24,60.4,4877.3124,33.9326,6.2824
2015-07-27,60.98,4924.1476,34.2584,6.3427
2015-07-28,61.2,4941.9126,34.382,6.3656
2015-07-29,62.6,5054.9629,35.1685,6.5112
2015-07-30,62.36,4993.6876,35.0337,6.4862
2015-07-31,62.7,5020.9142,35.2247,6.5216
2015-08-03,62.61,5013.7072,35.1742,6.5122
2015-08-04,61.44,4920.0155,34.5169,6.3905
2015-08-05,62.07,4970.4648,34.8708,6.4561
2015-08-06,60.94,4879.9763,34.236,6.3385
2015-08-07,60.73,4863.1598,34.118,6.3167
2015-08-10,61.7,4940.8358,34.6629,6.4176
2015-08-11,61.15,4896.7927,34.3539,6.3604
2015-08-12,60.83,4871.1677,34.1742,6.3271
2015-08-13,60.2,4820.7183,33.8202,6.2616
2015-08-14,60.57,4850.3473,34.0281,6.3
2015-08-17,60.88,4875.1716,34.2022,6.3323
2015-08-18,60.52,4846.3434,34.0,6.2948
2015-08-19,59.73,4783.0814,33.5562,6.2127
2015-08-20,58.02,4646.1474,32.5955,6.0348
2015-08-21,56.45,4520.4244,31.7135,5.8715
2015-08-24,54.55,4368.2755,30.6461,5.6739
2015-08-25,54.23,4342.6504,30.4663,5.6406
2015-08-26,55.95,4480.3852,31.4326,5.8195
2015-08-27,56.82,4550.0534,31.9213,5.91
2015-08-28,57.27,4586.0886,32.1742,5.9568
2015-08-31,56.6,4532.4361,31.7978,5.8871
2015-09-01,53.94,4319.4276,30.3034,5.6104
2015-09-02,55.1,4412.3186,30.9551,5.7311
2015-09-03,55.13,4414.7209,30.9719,5.7342
2015-09-04,54.28,4346.6543,30.4944,5.6458
2015-09-08,55.4,4436.3421,31.1236,5.7623
2015-09-09,54.97,4401.9084,30.882,5.7176
2015-09-10,55.19,4419.5256,31.0056,5.7405
2015-09-11,55.55,4448.3538,31.2079,5.7779
2015-09-14,55.61,4453.1585,31.2416,5.7841
2015-09-15,56.52,4526.0299,31.7528,5.8788
2015-09-16,56.6,4532.4361,31.7978,5.8871
2015-09-17,58.45,4680.5811,32.8371,6.0795
2015-09-18,57.42,4598.1004,32.2584,5.9724
2015-09-21,57.01,4565.2683,32.0281,5.9298
2015-09-22,56.87,4554.0573,31.9494,5.9152
2015-09-23,57.21,4581.2839,32.1404,5.9506
2015-09-24,56.96,4561.2643,32.0,5.9246
2015-09-25,56.65,4536.44,31.8258,5.8923
2015-09-28,55.33,4430.7366,31.0843,5.755
2015-09-29,55.91,4477.182,31.4101,5.8153
2015-09-30,56.76,4545.2487,34.4,5.6574
2015-10-01,55.44,4439.5452,33.6,5.5258
2015-10-02,56.91,4557.2604,34.4909,5.6723
2015-10-05,58.47,4682.1827,35.4364,5.8278
2015-10-06,55.75,4464.3695,33.7879,5.5567
2015-10-07,56.55,4528.4322,34.2727,5.6364
2015-10-08,56.23,4502.8071,34.0788,5.6046
2015-10-09,56.39,4515.6197,34.1758,5.6205
2015-10-12,57.26,4585.2879,34.703,5.7072
2015-10-13,56.21,4501.2056,34.0667,5.6026
2015-10-14,56.5,4524.4283,34.2424,5.6315
2015-10-15,60.65,4856.7536,36.7576,6.0451
2015-10-16,60.65,4856.7536,36.7576,6.0451
2015-10-19,61.1,4892.7888,37.0303,6.09
2015-10-20,61.98,4963.2578,37.5636,6.1777
2015-10-21,61.59,4932.0272,37.3273,6.1388
2015-10-22,60.78,4867.1637,36.8364,6.0581
2015-10-23,67.97,5442.9273,41.1939,6.7747
2015-10-26,68.27,5466.9508,41.3758,6.8046
2015-10-27,67.09,5372.4583,40.6606,6.687
2015-10-28,66.3,5309.1964,40.1818,6.6082
2015-10-29,65.7,5222.5029,39.8182,6.5484
2015-10-30,65.46,5203.4252,39.6727,6.5245
2015-11-02,66.37,5275.7613,40.2242,6.6152
2015-11-03,66.93,5320.2758,40.5636,6.671
2015-11-04,66.53,5288.4797,40.3212,6.6312
2015-11-05,66.39,5277.3511,40.2364,6.6172
2015-11-06,67.17,5339.3534,40.7091,6.695
2015-11-09,67.08,5332.1993,40.6545,6.686
2015-11-10,66.1,5254.2989,40.0606,6.5883
2015-11-11,65.59,5213.759,39.7515,6.5375
2015-11-12,64.0,5087.3696,38.7879,6.379
2015-11-13,63.67,5061.1379,38.5879,6.3461
2015-11-16,65.15,5178.7833,39.4848,6.4936
2015-11-17,65.28,5189.117,39.5636,6.5066
2015-11-18,66.33,5272.5817,40.2,6.6112
2015-11-19,67.39,5356.8412,40.8424,6.7169
2015-11-20,67.19,5340.9432,40.7212,6.697
2015-11-23,67.21,5342.533,40.7333,6.6989
2015-11-24,67.25,5345.7126,40.7576,6.7029
