Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,17.55,21133.4199,34.0057,2.9811
2014-01-03,17.51,21085.2526,33.9282,2.9743
2014-01-06,17.29,20820.3322,33.5019,2.937
2014-01-07,17.37,20916.6669,33.6569,2.9505
2014-01-08,17.42,20976.8761,33.7538,2.959
2014-01-09,17.4,20952.7924,33.715,2.9556
2014-01-10,17.47,21037.0853,33.8507,2.9675
2014-01-13,17.32,20856.4577,33.56,2.9421
2014-01-14,17.63,21229.7546,34.1607,2.9947
2014-01-15,17.93,21591.0096,34.742,3.0457
2014-01-16,17.63,21229.7546,34.1607,2.9947
2014-01-17,17.55,21133.4199,34.0057,2.9811
2014-01-21,17.61,21205.6709,34.122,2.9913
2014-01-22,17.66,21283.4992,34.2188,2.9998
2014-01-23,17.53,21126.8256,33.9669,2.9777
2014-01-24,17.17,20692.9604,25.7776,2.8715
2014-01-27,16.72,20150.6289,25.102,2.7963
2014-01-28,16.75,20186.7843,25.1471,2.8013
2014-01-29,16.73,20162.6807,25.117,2.798
2014-01-30,16.78,20222.9397,25.1921,2.8063
2014-01-31,16.82,20271.147,25.2521,2.813
2014-02-03,16.76,20198.8361,25.1621,2.803
2014-02-04,16.78,20222.9397,25.1921,2.8063
2014-02-05,16.89,20355.5097,25.3572,2.8247
2014-02-06,17.05,20548.3386,25.5974,2.8515
2014-02-07,17.18,20705.0122,25.7926,2.8732
2014-02-10,17.25,20789.3749,25.8977,2.8849
2014-02-11,17.78,21428.1209,26.6934,2.9736
2014-02-12,17.91,21584.7944,26.8886,2.9953
2014-02-13,18.87,22741.7683,28.3298,3.1559
2014-02-14,18.96,22850.2346,28.465,3.1709
2014-02-18,18.85,22717.6647,28.2998,3.1525
2014-02-19,18.75,22597.1466,28.1497,3.1358
2014-02-20,18.99,22998.1858,28.51,3.1759
2014-02-21,19.1,23131.4033,28.6751,3.1943
2014-02-24,19.07,23095.0713,28.6301,3.1893
2014-02-25,19.02,23034.5179,28.555,3.1809
2014-02-26,19.1,23131.4033,28.6751,3.1943
2014-02-27,19.01,23022.4072,28.54,3.1793
2014-02-28,18.96,22961.8538,28.465,3.1709
2014-03-03,18.71,22659.0867,28.0896,3.1291
2014-03-04,18.84,22816.5256,28.2848,3.1508
2014-03-05,19.17,23216.1781,28.7802,3.206
2014-03-06,19.38,23470.5024,29.0955,3.2412
2014-03-07,19.64,23785.3802,29.4859,3.2846
2014-03-10,19.38,23470.5024,29.0955,3.2412
2014-03-11,19.13,23167.7354,28.7202,3.1993
2014-03-12,19.51,23627.9413,29.2907,3.2629
2014-03-13,18.88,22864.9683,28.3449,3.1575
2014-03-14,18.72,22671.1974,28.1046,3.1308
2014-03-17,18.98,22986.0751,28.495,3.1743
2014-03-18,19.37,23458.3918,29.0805,3.2395
2014-03-19,19.47,23579.4986,29.2306,3.2562
2014-03-20,20.19,24451.4677,30.3116,3.3766
2014-03-21,20.17,24427.2463,30.2816,3.3733
2014-03-24,20.1,24342.4716,30.1765,3.3616
2014-03-25,20.36,24657.3493,30.5668,3.405
2014-03-26,19.86,24051.8152,29.8161,3.3214
2014-03-27,19.69,23845.9336,29.5609,3.293
2014-03-28,20.18,24439.357,30.2966,3.3749
2014-03-31,20.415,24723.9581,30.6494,3.4142
2014-04-01,20.62,24972.2271,30.9571,3.4485
2014-04-02,20.79,25178.1087,31.2124,3.477
2014-04-03,20.84,25238.6621,31.2874,3.4853
2014-04-04,20.25,24524.1318,30.4017,3.3867
2014-04-07,20.03,24257.6968,30.0714,3.3499
2014-04-08,19.85,24039.7045,29.8011,3.3198
2014-04-09,19.99,24209.2541,30.0113,3.3432
2014-04-10,19.09,23119.2927,28.6601,3.1927
2014-04-11,19.12,23155.6247,28.7052,3.1977
2014-04-14,19.02,23034.5179,28.555,3.1809
2014-04-15,18.86,22840.747,28.3148,3.1542
2014-04-16,18.92,22913.411,28.4049,3.1642
2014-04-17,18.99,22998.1858,28.51,3.1759
2014-04-21,19.14,23179.8461,28.7352,3.201
2014-04-22,19.36,23446.2811,29.0655,3.2378
2014-04-23,19.25,23313.0636,28.9003,3.2194
2014-04-24,19.37,23458.3918,29.0805,3.2395
2014-04-25,18.62,22550.0906,21.0371,3.0315
2014-04-28,18.67,22610.644,21.0936,3.0397
2014-04-29,19.07,23095.0713,21.5455,3.1048
2014-04-30,19.06,23082.9606,21.5342,3.1031
2014-05-01,18.88,22864.9683,21.3308,3.0738
2014-05-02,18.96,22961.8538,21.4212,3.0869
2014-05-05,18.97,22973.9645,21.4325,3.0885
2014-05-06,18.86,22840.747,21.3082,3.0706
2014-05-07,18.99,22998.1858,21.4551,3.0917
2014-05-08,19.32,23397.8383,21.8279,3.1455
2014-05-09,19.305,23379.6723,21.811,3.143
2014-05-12,19.47,23579.4986,21.9974,3.1699
2014-05-13,19.11,23143.514,21.5907,3.1113
2014-05-14,18.95,22949.7431,21.4099,3.0852
2014-05-15,18.69,22634.8654,21.1162,3.0429
2014-05-16,20.21,24475.6891,22.8335,3.2904
2014-05-19,20.12,24366.6929,22.7318,3.2757
2014-05-20,19.87,24063.9259,22.4493,3.235
2014-05-21,20.0,24221.3647,22.5962,3.2562
2014-05-22,19.89,24214.1132,22.4719,3.2383
2014-05-23,20.04,24396.7234,22.6414,3.2627
2014-05-27,20.58,25054.1201,23.2515,3.3506
2014-05-28,20.54,25005.4241,23.2063,3.3441
2014-05-29,20.28,24688.8997,22.9126,3.3018
2014-05-30,20.19,24579.3336,22.8109,3.2871
2014-06-02,20.52,24981.0761,23.1837,3.3408
2014-06-03,21.42,26076.7373,24.2005,3.4874
2014-06-04,21.56,26247.1735,24.3587,3.5102
2014-06-05,21.78,26515.0018,24.6073,3.546
2014-06-06,21.82,26563.6978,24.6525,3.5525
2014-06-09,21.91,26673.264,24.7542,3.5672
2014-06-10,21.89,26648.9159,24.7316,3.5639
2014-06-11,21.89,26648.9159,24.7316,3.5639
2014-06-12,21.75,26478.4797,24.5734,3.5411
2014-06-13,22.37,27233.2686,25.2739,3.642
2014-06-16,22.35,27208.9206,25.2513,3.6388
2014-06-17,22.49,27379.3567,25.4094,3.6616
2014-06-18,22.37,27233.2686,25.2739,3.642
2014-06-19,22.46,27342.8347,25.3755,3.6567
2014-06-20,22.75,27695.8811,25.7032,3.7039
2014-06-23,22.9,27878.4913,25.8727,3.7283
2014-06-24,22.74,27683.7071,25.6919,3.7023
2014-06-25,22.585,27495.0099,25.5168,3.677
2014-06-26,22.42,27294.1387,25.3304,3.6502
2014-06-27,22.4,27269.7906,25.3078,3.6469
2014-06-30,22.55,27452.4008,25.4772,3.6714
2014-07-01,22.66,27586.315,25.6015,3.6893
2014-07-02,22.79,27744.5772,25.7484,3.7104
2014-07-03,22.81,27768.9252,25.771,3.7137
2014-07-07,22.96,27951.5354,25.9405,3.7381
2014-07-08,22.74,27683.7071,25.6919,3.7023
2014-07-09,23.27,28328.9298,26.2907,3.7886
2014-07-10,22.87,27841.9693,25.8388,3.7235
2014-07-11,22.85,27817.6212,25.8162,3.7202
2014-07-14,23.06,28073.2755,26.0534,3.7544
2014-07-15,22.89,27866.3173,25.8614,3.7267
2014-07-16,22.85,27817.6212,25.8162,3.7202
2014-07-17,22.765,27714.1421,25.7201,3.7064
2014-07-18,23.0,28000.2314,25.9856,3.7446
2014-07-21,22.91,27890.6653,25.884,3.73
2014-07-22,22.52,27415.8788,25.4433,3.6665
2014-07-23,21.9,26661.0899,24.7429,3.5655
2014-07-24,21.755,26484.5667,24.579,3.5419
2014-07-25,21.23,25845.431,21.6688,3.3652
2014-07-28,21.36,26003.6932,21.8015,3.3858
2014-07-29,21.19,25796.735,21.628,3.3589
2014-07-30,21.28,25906.3011,21.7198,3.3731
2014-07-31,20.96,25516.7327,21.3932,3.3224
2014-08-01,21.09,25674.9948,21.5259,3.343
2014-08-04,21.13,25723.6909,21.5667,3.3493
2014-08-05,20.84,25370.6445,21.2707,3.3034
