Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,115.795,87324.0457,16.9131,3.9545
2014-01-03,114.47,86324.8285,16.7196,3.9093
2014-01-06,113.48,85578.2435,16.575,3.8755
2014-01-07,116.43,87802.9159,17.0059,3.9762
2014-01-08,115.88,87388.1465,16.9255,3.9574
2014-01-09,118.89,89658.0664,17.3652,4.0602
2014-01-10,117.99,88979.3528,17.2337,4.0295
2014-01-13,116.4,87780.2921,17.0015,3.9752
2014-01-14,117.72,88775.7387,17.1943,4.0203
2014-01-15,118.51,89371.4984,17.3097,4.0472
2014-01-16,119.03,89763.6441,17.3856,4.065
2014-01-17,119.15,89854.1392,17.4032,4.0691
2014-01-21,119.25,89929.5518,17.4178,4.0725
2014-01-22,124.37,93790.6781,18.1656,4.2474
2014-01-23,123.6,93210.0009,18.0531,4.2211
2014-01-24,119.29,89959.7169,17.4236,4.0739
2014-01-27,118.52,89379.0397,17.3111,4.0476
2014-01-28,120.7,91023.0348,17.6296,4.122
2014-01-29,119.17,89869.2217,17.4061,4.0698
2014-01-30,120.89,91166.3188,17.6573,4.1285
2014-01-31,118.95,89807.25,17.3739,4.0623
2014-02-03,116.75,88146.25,17.0526,3.9871
2014-02-04,115.78,87413.9,16.9109,3.954
2014-02-05,115.07,86877.85,16.8072,3.9298
2014-02-06,116.07,87632.85,16.9533,3.9639
2014-02-07,118.9,89769.5,17.3666,4.0606
2014-02-10,120.3,90826.5,17.5711,4.1084
2014-02-11,121.24,91536.2,17.7084,4.1405
2014-02-12,122.21,92268.55,17.8501,4.1736
2014-02-13,124.15,93733.25,18.1335,4.2398
2014-02-14,123.84,93499.2,18.0882,4.2293
2014-02-18,124.94,94329.7,18.2489,4.2668
2014-02-19,123.35,93129.25,18.0166,4.2125
2014-02-20,123.49,93234.95,18.0371,4.2173
2014-02-21,123.85,93506.75,18.0896,4.2296
2014-02-24,125.79,94972.3636,18.373,4.2959
2014-02-25,124.36,93892.7032,18.1641,4.247
2014-02-26,121.86,92005.1851,17.799,4.1616
2014-02-27,123.08,92926.294,17.9772,4.2033
2014-02-28,124.02,93636.0008,18.1145,4.2354
2014-03-03,123.69,93386.8484,18.0663,4.2241
2014-03-04,126.0,95130.9152,18.4037,4.303
2014-03-05,126.19,95274.3665,18.4314,4.3095
2014-03-06,124.19,93764.352,18.1393,4.2412
2014-03-07,122.26,92307.188,17.8574,4.1753
2014-03-10,125.4,94677.9108,18.316,4.2825
2014-03-11,124.27,93824.7526,18.151,4.2439
2014-03-12,125.98,95115.815,18.4008,4.3023
2014-03-13,123.96,93590.7003,18.1057,4.2334
2014-03-14,122.54,92518.59,17.8983,4.1849
2014-03-17,123.86,93515.1996,18.0911,4.2299
2014-03-18,127.47,96240.7758,18.6184,4.3532
2014-03-19,126.58,95568.8194,18.4884,4.3228
2014-03-20,127.05,95923.6728,18.557,4.3389
2014-03-21,122.93,92813.0429,17.9553,4.1982
2014-03-24,121.28,91567.2809,17.7143,4.1418
2014-03-25,120.63,91076.5262,17.6193,4.1196
2014-03-26,120.11,90683.9224,17.5434,4.1019
2014-03-27,122.29,92329.8382,17.8618,4.1763
2014-03-28,120.55,91016.1256,17.6076,4.1169
2014-03-31,123.34,93122.5958,18.9089,4.1052
2014-04-01,126.07,95183.7657,19.3274,4.1961
2014-04-02,125.98,95115.815,19.3136,4.1931
2014-04-03,124.13,93902.7691,19.03,4.1315
2014-04-04,119.11,90105.2029,18.2604,3.9644
2014-04-07,118.82,89885.8215,18.2159,3.9547
2014-04-08,117.98,89250.3722,18.0872,3.9268
2014-04-09,120.0,90778.4766,18.3968,3.994
2014-04-10,114.11,86322.7663,17.4939,3.798
2014-04-11,111.94,84681.1889,17.1612,3.7258
2014-04-14,113.32,85725.1414,17.3727,3.7717
2014-04-15,115.0,86996.04,17.6303,3.8276
2014-04-16,115.54,87404.5432,17.7131,3.8456
2014-04-17,115.46,87344.0242,17.7008,3.8429
2014-04-21,117.02,88524.1444,17.94,3.8948
2014-04-22,119.3,90248.9354,18.2895,3.9707
2014-04-23,113.315,85721.3589,17.372,3.7715
2014-04-24,113.72,86027.7363,17.4341,3.785
2014-04-25,111.41,84280.2506,17.0799,3.7081
2014-04-28,111.48,84333.2047,17.0907,3.7104
2014-04-29,111.9,84708.3,17.1551,3.7244
2014-04-30,111.75,84597.1713,17.1321,3.7194
2014-05-01,112.76,85361.7632,17.2869,3.753
2014-05-02,112.42,85104.3759,17.2348,3.7417
2014-05-05,113.18,85679.7123,17.3513,3.767
2014-05-06,112.28,84998.3928,17.2133,3.7371
2014-05-07,112.77,85369.3334,17.2884,3.7534
2014-05-08,110.78,83862.8603,16.9833,3.6871
2014-05-09,111.483,84394.668,17.091,3.7105
2014-05-12,111.73,84582.0309,17.129,3.7188
2014-05-13,110.81,83885.571,16.9879,3.6881
2014-05-14,112.07,84839.4183,17.1811,3.7301
2014-05-15,110.29,83491.9197,16.9082,3.6708
2014-05-16,111.94,84741.0055,17.1612,3.7258
2014-05-19,112.08,84846.9885,17.1826,3.7304
2014-05-20,112.22,84952.9715,17.2041,3.7351
2014-05-21,113.49,85914.389,17.3988,3.7773
2014-05-22,114.86,86951.5087,17.6088,3.8229
2014-05-23,114.33,86550.2872,17.5276,3.8053
2014-05-27,115.89,87731.241,17.7667,3.8572
2014-05-28,115.67,87564.6963,17.733,3.8499
2014-05-29,116.0,87814.5134,17.7836,3.8609
2014-05-30,115.99,87806.9432,17.7821,3.8606
2014-06-02,116.45,88155.1732,17.8526,3.8759
2014-06-03,117.12,88662.3777,17.9553,3.8982
2014-06-04,119.15,90199.1317,18.2665,3.9657
2014-06-05,117.74,89131.7311,18.0504,3.9188
2014-06-06,117.82,89192.2929,18.0626,3.9215
2014-06-09,116.4,88117.3221,17.8449,3.8742
2014-06-10,117.1,88647.2373,17.9522,3.8975
2014-06-11,116.34,88071.9008,17.8357,3.8722
2014-06-12,116.2,87965.9178,17.8143,3.8675
2014-06-13,116.03,87837.2241,17.7882,3.8619
2014-06-16,116.16,87935.6369,17.8081,3.8662
2014-06-17,116.17,87943.2071,17.8097,3.8665
2014-06-18,117.49,88942.4757,18.012,3.9105
2014-06-19,117.85,89215.0035,18.0672,3.9225
2014-06-20,120.97,91576.9111,18.5455,4.0263
2014-06-23,119.13,90183.9912,18.2635,3.9651
2014-06-24,118.79,89926.6039,18.2113,3.9537
2014-06-25,119.42,90403.5275,18.3079,3.9747
2014-06-26,119.14,90191.5615,18.265,3.9654
2014-06-27,118.59,89775.1995,18.1807,3.9471
2014-06-30,118.37,89608.6548,17.4371,3.6867
2014-07-01,120.31,91077.2768,17.7229,3.7472
2014-07-02,121.03,91622.3324,17.8289,3.7696
2014-07-03,122.85,93000.1118,18.097,3.8263
2014-07-07,120.16,90963.7236,17.7008,3.7425
2014-07-08,119.96,90812.3192,17.6713,3.7363
2014-07-09,119.57,90517.0808,17.6138,3.7241
2014-07-10,118.95,90047.7273,17.5225,3.7048
2014-07-11,119.77,90668.4851,17.6433,3.7303
2014-07-14,118.98,90070.438,17.5269,3.7057
2014-07-15,116.86,88465.5521,17.2146,3.6397
2014-07-16,117.71,89109.0205,17.3399,3.6662
2014-07-17,115.39,87352.7302,16.9981,3.5939
2014-07-18,118.3,89555.6633,17.4268,3.6846
2014-07-21,119.03,90108.2891,17.5343,3.7073
2014-07-22,121.11,91682.8941,17.8407,3.7721
2014-07-23,122.01,92364.2136,17.9733,3.8001
2014-07-24,122.26,92553.4691,18.0101,3.8079
2014-07-25,122.84,92992.5416,18.0956,3.826
2014-07-28,122.65,92848.7075,18.0676,3.82
2014-07-29,123.31,93592.29,18.1648,3.8406
2014-07-30,130.01,98677.59,19.1518,4.0493
2014-07-31,127.39,96689.01,18.7658,3.9677
2014-08-01,125.55,95292.45,18.4948,3.9104
2014-08-04,128.65,97645.35,18.9514,4.0069
2014-08-05,127.88,97138.5737,18.838,3.9829
2014-08-06,127.09,96538.484,18.7216,3.9583
2014-08-07,125.75,95520.6103,18.5242,3.9166
2014-08-08,126.95,96432.139,18.701,3.954
2014-08-11,127.32,96713.1936,18.7555,3.9655
2014-08-12,126.32,95953.5864,18.6082,3.9344
2014-08-13,127.34,96728.3858,18.7584,3.9661
2014-08-14,131.86,100161.8105,19.4243,4.1069
2014-08-15,132.8,100875.8413,19.5628,4.1362
2014-08-18,133.22,101194.8763,19.6246,4.1493
2014-08-19,133.02,101042.9549,19.5952,4.143
2014-08-20,132.68,100784.6884,19.5451,4.1324
2014-08-21,132.53,100670.7474,19.523,4.1278
2014-08-22,132.82,100891.0335,19.5657,4.1368
2014-08-25,134.79,102387.4597,19.8559,4.1982
2014-08-26,137.27,104271.2857,20.2212,4.2754
2014-08-27,137.83,104696.6657,20.3037,4.2928
2014-08-28,138.69,105349.9279,20.4304,4.3196
2014-08-29,139.38,105874.0569,20.5321,4.3411
2014-09-02,137.96,104795.4147,20.3229,4.2969
2014-09-03,138.58,105266.3711,20.4142,4.3162
2014-09-04,138.01,104833.395,20.3302,4.2984
2014-09-05,137.88,104734.6461,20.3111,4.2944
2014-09-08,139.27,105790.5001,20.5159,4.3377
2014-09-09,137.39,104362.4385,20.2389,4.2791
2014-09-10,139.19,105729.7316,20.5041,4.3352
2014-09-11,138.96,105555.0219,20.4702,4.328
2014-09-12,137.89,104742.2422,20.3126,4.2947
2014-09-15,137.97,104803.0107,20.3243,4.2972
2014-09-16,139.33,105836.0766,20.5247,4.3396
2014-09-17,140.71,106884.3346,20.728,4.3825
2014-09-18,142.02,107879.4201,20.921,4.4233
2014-09-19,144.01,109391.0385,21.2141,4.4853
2014-09-22,142.18,108000.9572,20.9445,4.4283
2014-09-23,140.68,106861.5464,20.7236,4.3816
2014-09-24,142.24,108046.5336,20.9534,4.4302
