Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,113.88,22154.2926,16.6128,2.6707
2014-01-03,113.9,22158.1834,16.6157,2.6712
2014-01-06,113.6,22099.8212,16.572,2.6641
2014-01-07,114.57,22288.5257,16.7135,2.6869
2014-01-08,115.8,22527.8107,16.8929,2.7157
2014-01-09,115.51,22471.3939,16.8506,2.7089
2014-01-10,115.06,22383.8506,16.7849,2.6984
2014-01-13,113.18,22018.1142,16.5107,2.6543
2014-01-14,114.21,22218.4911,16.6609,2.6784
2014-01-15,114.36,22247.6722,16.6828,2.682
2014-01-16,113.66,22111.4937,16.5807,2.6655
2014-01-17,113.37,22055.0769,16.5384,2.6587
2014-01-21,114.14,22204.8732,16.6507,2.6768
2014-01-22,114.77,22327.4338,16.7426,2.6916
2014-01-23,111.24,21640.7052,16.2277,2.6088
2014-01-24,106.79,20774.9992,15.5785,2.5044
2014-01-27,104.92,20411.2081,15.3057,2.4606
2014-01-28,106.54,20726.364,15.542,2.4986
2014-01-29,105.02,20430.6622,15.3203,2.4629
2014-01-30,106.43,20704.9646,15.526,2.496
2014-01-31,105.64,20551.2774,15.4107,2.4775
2014-02-03,101.47,19740.0428,14.8024,2.3797
2014-02-04,103.54,20142.742,15.1044,2.4282
2014-02-05,103.43,20121.3425,15.0884,2.4256
2014-02-06,105.64,20551.2774,15.4107,2.4775
2014-02-07,107.61,20671.8817,15.6981,2.5237
2014-02-10,105.9,20343.3906,15.4487,2.4836
2014-02-11,107.21,20595.0417,15.6398,2.5143
2014-02-12,106.98,20550.8587,15.6062,2.5089
2014-02-13,107.33,20618.0937,15.6573,2.5171
2014-02-14,107.09,20571.9897,15.6223,2.5115
2014-02-18,107.99,20744.8797,15.7536,2.5326
2014-02-19,106.66,20489.3867,15.5595,2.5014
2014-02-20,106.2,20660.8246,15.4924,2.4906
2014-02-21,106.81,20779.4979,15.5814,2.5049
2014-02-24,108.28,21065.4811,15.7959,2.5394
2014-02-25,107.37,20888.4439,15.6631,2.518
2014-02-26,106.62,20742.5341,15.5537,2.5004
