Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,79.45,31354.1443,53.7972,8.8768
2014-01-03,79.68,31444.9115,53.9529,8.9025
2014-01-06,80.19,31646.1779,54.2983,8.9594
2014-01-07,81.3,32084.2282,55.0499,9.0835
2014-01-08,81.94,32336.7978,55.4832,9.155
2014-01-09,82.1,32399.9402,55.5916,9.1728
2014-01-10,82.64,32613.0458,55.9572,9.2332
2014-01-13,82.14,32415.7258,55.6186,9.1773
2014-01-14,82.66,32620.9386,55.9707,9.2354
2014-01-15,83.26,32857.7225,56.377,9.3025
2014-01-16,83.27,32861.6689,56.3838,9.3036
2014-01-17,83.15,32814.3121,56.3025,9.2902
2014-01-21,83.63,33003.7393,56.6275,9.3438
2014-01-22,83.42,32920.8649,56.4854,9.3203
2014-01-23,83.28,32865.6153,56.3906,9.3047
2014-01-24,79.62,31421.2331,53.9123,8.8958
2014-01-27,79.25,31275.2163,53.6618,8.8544
2014-01-28,80.56,31792.1947,54.5488,9.0008
2014-01-29,79.56,31397.5547,53.8717,8.8891
2014-01-30,81.18,32036.8714,54.9686,9.0701
2014-01-31,80.88,31918.4794,54.7655,9.0365
2014-02-03,78.83,31109.4675,53.3774,8.8075
2014-02-04,79.14,31231.8059,53.5873,8.8421
2014-02-05,79.01,31180.5027,53.4993,8.8276
2014-02-06,79.76,31476.4827,54.0071,8.9114
2014-02-07,80.38,31721.1595,54.4269,8.9807
2014-02-10,81.52,32171.049,55.1988,9.108
2014-02-11,81.92,32328.905,55.4697,9.1527
2014-02-12,81.79,32277.6018,55.3816,9.1382
2014-02-13,82.49,32553.8498,55.8556,9.2164
2014-02-14,83.2,32834.0441,56.3364,9.2957
2014-02-18,83.53,32964.2753,56.5598,9.3326
2014-02-19,83.75,33051.0961,56.7088,9.3572
2014-02-20,84.51,33351.0225,57.2234,9.4421
2014-02-21,84.05,33169.4881,56.9119,9.3907
2014-02-24,82.98,32747.2234,56.1874,9.2712
2014-02-25,80.16,31634.3387,54.2779,8.9561
2014-02-26,80.83,31929.2659,54.7316,9.031
2014-02-27,81.46,32178.1269,55.1582,9.1013
2014-02-28,81.47,32182.0771,55.165,9.1025
2014-03-03,81.46,32178.1269,55.1582,9.1013
2014-03-04,81.54,32209.7283,55.2124,9.1103
2014-03-05,80.8,31917.4154,54.7113,9.0276
2014-03-06,81.92,32359.835,55.4697,9.1527
2014-03-07,81.31,32118.8743,55.0566,9.0846
2014-03-10,81.18,32067.522,54.9686,9.0701
2014-03-11,81.7,32272.9311,55.3207,9.1282
2014-03-12,80.84,31933.2161,54.7384,9.0321
2014-03-13,80.35,31739.6575,54.4066,8.9773
2014-03-14,80.39,31755.4582,54.4337,8.9818
2014-03-17,81.74,32288.7318,55.3478,9.1326
2014-03-18,81.8,32312.4329,55.3884,9.1393
2014-03-19,80.68,31870.0133,54.63,9.0142
2014-03-20,81.23,32087.2729,55.0025,9.0756
2014-03-21,81.07,32024.0701,54.8941,9.0578
2014-03-24,80.9,31956.9171,54.779,9.0388
2014-03-25,81.71,32276.8813,55.3275,9.1293
2014-03-26,80.81,31921.3656,54.7181,9.0287
2014-03-27,80.67,31866.0631,54.6233,9.0131
2014-03-28,82.13,32442.7887,55.6119,9.1762
2014-03-31,81.87,32340.0841,55.7273,8.8235
2014-04-01,81.61,32237.3796,55.5503,8.7955
2014-04-02,81.27,32103.0736,55.3189,8.7589
2014-04-03,81.25,32095.1733,55.3053,8.7567
2014-04-04,80.73,31941.4104,54.9513,8.7007
2014-04-07,80.67,31917.6709,54.9105,8.6942
2014-04-08,81.5,32246.0665,55.4754,8.7836
2014-04-09,81.87,32392.4596,55.7273,8.8235
2014-04-10,81.55,32265.8493,55.5095,8.789
2014-04-11,80.55,31870.1921,54.8288,8.6813
2014-04-14,81.31,32170.8916,55.3461,8.7632
2014-04-15,81.68,32317.2848,55.5979,8.803
2014-04-16,82.38,32594.2448,56.0744,8.8785
2014-04-17,82.65,32701.0723,56.2582,8.9076
2014-04-21,83.09,32875.1615,56.5577,8.955
2014-04-22,83.93,33207.5136,57.1295,9.0455
2014-04-23,84.03,33247.0793,57.1975,9.0563
2014-04-24,83.56,33061.1204,56.8776,9.0057
2014-04-25,83.08,32871.2049,56.5509,8.9539
2014-04-28,83.46,33021.5547,56.8096,8.9949
2014-04-29,83.0,32839.5523,56.4964,8.9453
2014-04-30,83.52,33045.2941,56.8504,9.0013
2014-05-01,86.23,34125.1541,58.695,9.2934
2014-05-02,87.0,34429.8783,59.2192,9.3764
2014-05-05,88.4,34983.9223,60.1721,9.5273
2014-05-06,87.2,34509.0274,59.3553,9.398
2014-05-07,88.35,34964.135,60.1381,9.5219
2014-05-08,88.25,34924.5605,60.07,9.5111
2014-05-09,88.65,35082.8587,60.3423,9.5542
2014-05-12,88.31,34948.3052,60.1109,9.5176
2014-05-13,88.53,35035.3693,60.2606,9.5413
2014-05-14,88.76,35126.3908,60.4172,9.5661
2014-05-15,88.66,35086.8162,60.3491,9.5553
2014-05-16,88.86,35165.9653,60.4852,9.5769
2014-05-19,87.84,34762.3047,59.7909,9.4669
2014-05-20,88.03,34837.4964,59.9203,9.4874
2014-05-21,88.38,34976.0074,60.1585,9.5251
2014-05-22,88.46,35007.6671,60.213,9.5338
2014-05-23,88.41,34987.8798,60.1789,9.5284
2014-05-27,89.0,35221.3698,60.5805,9.592
2014-05-28,89.19,35296.5614,60.7099,9.6124
2014-05-29,89.38,35371.7531,60.8392,9.6329
2014-05-30,89.63,35470.6896,61.0094,9.6598
2014-06-02,88.39,34979.9649,60.1653,9.5262
2014-06-03,88.72,35110.5609,60.3899,9.5618
2014-06-04,89.01,35225.3272,60.5873,9.593
2014-06-05,89.73,35510.2641,61.0774,9.6706
2014-06-06,90.42,35783.3287,61.5471,9.745
2014-06-09,89.66,35482.5619,61.0298,9.6631
2014-06-10,89.32,35348.0084,60.7983,9.6264
2014-06-11,88.77,35130.3482,60.424,9.5672
2014-06-12,88.24,34920.603,60.0632,9.51
2014-06-13,88.44,34999.7521,60.1993,9.5316
2014-06-16,87.93,34797.9218,59.8522,9.4766
2014-06-17,88.23,34916.6455,60.0564,9.509
2014-06-18,88.07,34853.3262,59.9475,9.4917
2014-06-19,88.75,35122.4333,60.4104,9.565
2014-06-20,89.1,35260.9443,60.6486,9.6027
2014-06-23,89.09,35256.9869,60.6418,9.6017
2014-06-24,89.25,35320.3062,60.7507,9.6189
2014-06-25,89.28,35332.1786,60.7711,9.6221
2014-06-26,88.63,35074.9438,60.3287,9.5521
2014-06-27,89.02,35229.2847,60.5941,9.5941
2014-06-30,89.98,35609.2006,50.11,9.3609
2014-07-01,89.71,35502.3492,49.9596,9.3328
2014-07-02,89.74,35514.2216,49.9763,9.3359
2014-07-03,90.01,35621.0729,50.1267,9.364
