Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,19.899,182164.2456,686.1552,18.7429
2014-01-03,19.822,181463.9132,683.5172,18.6708
2014-01-06,19.682,180177.6817,678.6724,18.5385
2014-01-07,19.902,182191.7096,686.2586,18.7457
2014-01-08,20.096,183972.2934,692.9655,18.9289
2014-01-09,20.051,183555.7558,691.3966,18.8861
2014-01-10,19.883,182022.3482,685.6207,18.7283
2014-01-13,19.549,178964.6876,674.1034,18.4137
2014-01-14,19.877,181967.4201,685.4138,18.7226
2014-01-15,19.794,181203.005,682.5345,18.644
2014-01-16,19.79,181170.9637,682.4138,18.6407
2014-01-17,19.981,182914.9287,688.9828,18.8201
2014-01-21,20.353,186320.4668,701.8103,19.1705
2014-01-22,20.227,185171.5554,697.4828,19.0523
2014-01-23,19.994,183033.9395,689.431,18.8324
2014-01-24,19.38,177417.548,668.2759,18.2545
2014-01-27,19.314,176813.3397,666.0,18.1923
2014-01-28,19.722,180543.8686,680.0517,18.5762
2014-01-29,19.21,175861.2538,662.4138,18.0944
2014-01-30,20.151,184471.223,694.8448,18.9803
2014-01-31,17.935,164733.593,618.431,16.893
2014-02-03,17.307,158974.4158,596.8103,16.3024
2014-02-04,17.398,159801.0919,599.9138,16.3871
2014-02-05,17.322,159112.1952,597.3276,16.3165
2014-02-06,17.729,162850.6084,611.3621,16.6999
2014-02-07,18.054,165831.2352,622.5517,17.0055
2014-02-10,18.044,165734.7896,622.1897,16.9956
2014-02-11,18.09,166157.313,623.7759,17.039
2014-02-12,17.463,160398.1358,602.1552,16.4484
2014-02-13,17.86,164049.2888,615.8621,16.8228
2014-02-14,17.868,164118.1785,616.1207,16.8298
2014-02-18,17.682,162418.8997,609.7414,16.6556
2014-02-19,17.369,159539.3112,598.931,16.3603
2014-02-20,17.49,160650.7313,603.1034,16.4743
2014-02-21,17.338,159254.5672,597.8621,16.3311
2014-02-24,17.589,161560.0751,606.5172,16.5675
2014-02-25,17.916,164563.6651,617.7931,16.8755
2014-02-26,17.99,165243.3766,620.3448,16.9452
2014-02-27,18.007,165394.9339,620.9138,16.9608
2014-02-28,18.105,166299.685,624.3103,17.0536
2014-03-03,17.989,165234.1913,620.3103,16.9443
2014-03-04,18.195,167126.3611,627.4138,17.1383
2014-03-05,18.619,171016.3317,642.0172,17.5372
2014-03-06,18.608,170919.8861,641.6552,17.5273
2014-03-07,18.603,170873.9597,641.4828,17.5226
2014-03-10,18.527,170171.285,638.8448,17.4506
2014-03-11,18.441,169385.9426,635.8966,17.37
2014-03-12,18.532,170221.8041,639.0345,17.4558
2014-03-13,18.575,170621.3642,640.5345,17.4967
2014-03-14,18.687,171645.5241,644.3793,17.6018
2014-03-17,18.752,172242.568,646.6207,17.663
2014-03-18,18.938,173955.6247,653.0517,17.8386
2014-03-19,18.662,171411.2992,643.5,17.5777
2014-03-20,18.449,169454.8323,636.1552,17.3771
2014-03-21,18.031,165619.9735,621.7586,16.9838
2014-03-24,17.593,161592.2236,606.6379,16.5708
2014-03-25,17.736,162905.7201,611.569,16.7055
2014-03-26,17.171,157716.031,592.0862,16.1733
2014-03-27,16.924,155447.2642,583.569,15.9407
2014-03-28,16.915,155364.5966,583.2586,15.9322
2014-03-31,16.818,154480.5124,533.9127,14.9814
2014-04-01,17.15,157523.1399,544.4286,15.2765
2014-04-02,17.098,157050.0974,542.7937,15.2306
2014-04-03,16.681,153219.8313,529.5556,14.8591
2014-04-04,16.15,148342.442,512.6984,14.3861
2014-04-07,15.888,145935.8959,504.381,14.1527
2014-04-08,16.354,150211.6486,519.1587,14.5674
