Date,Price,Market Cap,PE Ratio,PB Ratio
2014-06-05,2.6875,,36.7432,15.2572
2014-06-06,3.4375,3497.0329,46.9971,19.5151
2014-06-09,3.45,3509.7494,47.168,19.586
2014-06-10,3.75,3814.945,51.2696,21.2892
2014-06-11,3.9688,4087.4899,54.2603,22.531
2014-06-12,4.125,4248.4147,56.3966,23.4181
2014-06-13,4.3488,4478.859,59.4557,24.6883
2014-06-16,4.4688,4602.4492,61.0963,25.3696
2014-06-17,4.3569,4487.2271,59.5667,24.7345
2014-06-18,4.31,4438.9496,58.9259,24.4683
2014-06-19,4.1044,4227.1726,56.1146,23.301
2014-06-20,4.0719,4193.7002,55.6702,23.1165
2014-06-23,4.1069,4229.7474,56.1488,23.3152
2014-06-24,4.0175,4137.6984,54.9268,22.8078
2014-06-25,4.0306,4151.2161,55.1063,22.8823
2014-06-26,3.9881,4107.4445,54.5252,22.641
2014-06-27,3.9094,4026.3384,53.4486,22.1939
2014-06-30,3.8994,4016.0392,56.6753,8.7102
2014-07-01,4.75,4892.1138,69.0387,10.6103
2014-07-02,4.7094,4850.2734,68.4482,10.5196
2014-07-03,4.7756,4918.5055,69.4111,10.6676
2014-07-07,4.5106,4645.5771,65.5595,10.0756
2014-07-08,4.3394,4469.2035,63.0705,9.6931
2014-07-09,4.4938,4628.1972,65.3142,10.0379
2014-07-10,4.2338,4360.4183,61.5353,9.4572
2014-07-11,4.3519,4482.0775,63.2522,9.721
2014-07-14,4.3094,4438.3059,62.6344,9.6261
2014-07-15,4.1681,4292.8299,60.5815,9.3106
2014-07-16,4.0331,4153.7909,58.6193,9.009
2014-07-17,3.985,4104.226,57.9198,8.9015
2014-07-18,4.0,4119.6748,58.1378,8.935
2014-07-21,3.9519,4070.11,57.4384,8.8275
2014-07-22,4.0944,4216.8734,59.5095,9.1458
2014-07-23,4.0512,4172.4581,58.8827,9.0495
2014-07-24,4.0156,4135.7673,58.3649,8.9699
2014-07-25,3.9775,4096.5016,57.8108,8.8848
2014-07-28,3.9631,4081.6966,57.6019,8.8526
2014-07-29,3.9906,4110.0193,58.0016,8.9141
2014-07-30,4.2369,4363.6368,61.5807,9.4641
2014-07-31,4.1325,4256.139,60.0637,9.231
2014-08-01,4.1006,4223.3104,59.6004,9.1598
2014-08-04,4.3269,4456.3295,62.8888,9.6652
2014-08-05,4.5056,4640.4275,65.4868,10.0645
2014-08-06,4.4262,4558.6777,64.3332,9.8872
2014-08-07,4.5138,4648.7956,65.6049,10.0826
2014-08-08,4.5019,4639.0168,65.4323,10.0561
2014-08-11,4.3663,4499.2602,63.4611,9.7531
2014-08-12,4.4444,4579.7652,64.5966,9.9276
2014-08-13,4.365,4497.9721,63.4429,9.7503
2014-08-14,4.4256,4560.444,64.3241,9.8858
2014-08-15,4.3637,4496.6841,63.4248,9.7475
2014-08-18,4.4069,4541.1228,64.0516,9.8439
2014-08-19,4.6875,4830.2966,68.1303,10.4707
2014-08-20,4.775,4920.4621,69.4021,10.6662
2014-08-21,4.8344,4981.6458,70.265,10.7988
2014-08-22,4.7263,4870.227,68.6935,10.5573
2014-08-25,4.7238,4867.6508,68.6572,10.5517
2014-08-26,4.7606,4905.6492,69.1931,10.6341
2014-08-27,5.1975,5355.8328,75.5429,11.6099
2014-08-28,5.2156,5374.51,75.8063,11.6504
2014-08-29,5.2406,5400.2715,76.1697,11.7063
2014-09-02,5.3813,5545.1804,78.2136,12.0204
2014-09-03,5.3506,5513.6225,77.7685,11.952
2014-09-04,5.4681,5634.7019,79.4763,12.2144
2014-09-05,5.695,5868.4883,82.7738,12.7212
2014-09-08,5.4788,5645.6506,79.6307,12.2382
