Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,86.01,7969.6692,33.1386,3.7169
2014-01-03,85.6,7931.6787,32.9806,3.6992
2014-01-06,85.02,7877.936,32.7571,3.6741
2014-01-07,85.58,7929.8255,32.9729,3.6983
2014-01-08,85.28,7902.0275,32.8573,3.6854
2014-01-09,84.51,7830.6795,32.5606,3.6521
2014-01-10,84.77,7854.771,32.6608,3.6633
2014-01-13,83.4,7727.8271,32.133,3.6041
2014-01-14,84.7,7848.2849,32.6338,3.6603
2014-01-15,85.28,7902.0275,32.8573,3.6854
2014-01-16,85.4,7913.1467,32.9035,3.6906
2014-01-17,84.64,7842.7253,32.6107,3.6577
2014-01-21,84.5,7829.7529,32.5568,3.6517
2014-01-22,84.31,7812.1475,32.4836,3.6435
2014-01-23,83.33,7721.3409,32.106,3.6011
2014-01-24,79.74,7388.6923,30.7228,3.446
2014-01-27,77.96,7223.7578,30.037,3.369
2014-01-28,79.33,7350.7017,30.5648,3.4283
2014-01-29,78.45,7269.1611,30.2258,3.3902
2014-01-30,78.78,7299.7389,30.3529,3.4045
2014-01-31,78.53,7276.5739,30.2566,3.3937
2014-02-03,77.22,7155.1896,29.7519,3.3371
2014-02-04,77.31,7163.529,29.7866,3.341
2014-02-05,77.66,7195.9599,29.9214,3.3561
2014-02-06,79.62,7377.5731,30.6766,3.4408
2014-02-07,81.0,7505.4436,31.2083,3.5004
2014-02-10,80.42,7451.7009,30.9848,3.4754
2014-02-11,80.82,7488.7648,31.1389,3.4926
2014-02-12,80.94,7499.884,31.1852,3.4978
2014-02-13,82.06,7603.663,31.6167,3.5462
2014-02-14,81.94,7592.5438,31.5704,3.541
2014-02-18,83.07,7697.2494,32.0058,3.5899
2014-02-19,82.46,7640.7269,31.7708,3.5635
2014-02-20,83.11,7700.9558,32.0212,3.5916
2014-02-21,82.37,7632.3875,31.7361,3.5596
2014-02-24,84.07,7789.9092,32.3911,3.6331
2014-02-25,83.7,7755.6251,32.2485,3.6171
2014-02-26,84.47,7826.9731,32.5452,3.6504
2014-02-27,83.2,7699.2944,32.0559,3.5955
2014-02-28,83.52,7728.9071,32.1792,3.6093
2014-03-03,82.39,7624.3374,31.7438,3.5605
2014-03-04,83.63,7739.0865,32.2216,3.6141
2014-03-05,83.4,7717.8024,32.133,3.6041
2014-03-06,83.38,7715.9516,32.1253,3.6033
2014-03-07,83.3,7708.5484,32.0944,3.5998
2014-03-10,82.99,7679.8611,31.975,3.5864
2014-03-11,81.86,7575.2914,31.5396,3.5376
2014-03-12,81.19,7513.2898,31.2815,3.5086
2014-03-13,78.3,7245.8504,30.168,3.3837
2014-03-14,75.85,7019.1284,29.224,3.2779
2014-03-17,75.69,7004.3221,29.1624,3.271
2014-03-18,75.83,7017.2776,29.2163,3.277
2014-03-19,73.65,6815.5413,28.3764,3.1828
2014-03-20,73.89,6837.7508,28.4689,3.1932
2014-03-21,73.46,6797.9588,28.3032,3.1746
2014-03-24,73.92,6840.527,28.4804,3.1945
2014-03-25,74.33,6878.4682,28.6384,3.2122
2014-03-26,74.0,6847.9301,28.5113,3.1979
2014-03-27,75.69,7004.3221,29.1624,3.271
2014-03-28,76.13,7045.0395,29.3319,3.29
2014-03-31,77.02,7127.3997,28.9027,3.2317
2014-04-01,77.74,7194.0282,29.1729,3.2619
2014-04-02,77.66,7186.6251,29.1428,3.2585
2014-04-03,77.45,7167.1918,29.064,3.2497
2014-04-04,75.63,6998.7697,28.3811,3.1734
2014-04-07,74.41,6893.9555,27.9232,3.1222
2014-04-08,74.62,6913.4116,28.002,3.131
2014-04-09,76.11,7051.4575,28.5612,3.1935
2014-04-10,75.02,6950.4709,28.1521,3.1478
2014-04-11,73.7,6828.1752,27.6568,3.0924
2014-04-14,73.84,6841.146,27.7093,3.0983
2014-04-15,73.94,6850.4108,27.7469,3.1025
2014-04-16,75.07,6955.1033,28.1709,3.1499
2014-04-17,75.81,7023.663,28.4486,3.1809
2014-04-21,74.72,6922.6764,28.0396,3.1352
2014-04-22,74.76,6926.3824,28.0546,3.1369
2014-04-23,75.61,7005.1334,28.3735,3.1725
2014-04-24,76.66,7102.414,28.7676,3.2166
2014-04-25,76.64,7100.561,28.7601,3.2157
2014-04-28,76.5,7087.5903,28.7075,3.2099
2014-04-29,76.24,7063.5018,28.61,3.199
2014-04-30,76.31,7069.9871,28.6362,3.2019
2014-05-01,72.49,6717.136,27.2027,3.0416
2014-05-02,74.0,6857.0571,27.7694,3.105
2014-05-05,74.8,6931.1874,28.0696,3.1385
2014-05-06,74.65,6917.288,28.0133,3.1322
2014-05-07,75.49,6995.1248,28.3285,3.1675
2014-05-08,74.51,6904.3152,27.9608,3.1264
2014-05-09,75.14,6962.6928,28.1972,3.1528
2014-05-12,75.88,7031.2634,28.4749,3.1839
2014-05-13,74.6,6912.6548,27.9945,3.1302
2014-05-14,74.32,6886.7092,27.8895,3.1184
2014-05-15,73.71,6830.1848,27.6606,3.0928
2014-05-16,74.22,6877.4429,27.8519,3.1142
2014-05-19,74.8,6931.1874,28.0696,3.1385
2014-05-20,73.57,6817.212,27.608,3.0869
2014-05-21,73.83,6841.3044,27.7056,3.0978
2014-05-22,74.27,6882.0761,27.8707,3.1163
2014-05-23,74.88,6938.6004,28.0996,3.1419
2014-05-27,74.47,6900.6086,27.9457,3.1247
2014-05-28,74.05,6861.6902,27.7881,3.1071
2014-05-29,73.92,6849.644,27.7394,3.1016
2014-05-30,73.45,6806.0925,27.563,3.0819
2014-06-02,73.8,6838.5245,27.6943,3.0966
2014-06-03,74.23,6878.3695,27.8557,3.1146
2014-06-04,74.64,6916.3613,28.0095,3.1318
2014-06-05,74.96,6946.0135,28.1296,3.1453
2014-06-06,75.83,7026.6302,28.4561,3.1818
2014-06-09,76.51,7089.641,28.7113,3.2103
2014-06-10,75.96,7038.6764,28.5049,3.1872
2014-06-11,75.53,6998.8314,28.3435,3.1692
2014-06-12,75.6,7005.3178,28.3698,3.1721
2014-06-13,75.66,7010.8775,28.3923,3.1746
2014-06-16,75.27,6974.739,28.246,3.1583
2014-06-17,75.43,6989.5651,28.306,3.165
2014-06-18,75.93,7035.8965,28.4936,3.186
2014-06-19,75.1,6958.9863,28.1822,3.1511
2014-06-20,74.59,6911.7282,27.9908,3.1297
2014-06-23,74.41,6895.0489,27.9232,3.1222
2014-06-24,74.45,6898.7554,27.9382,3.1239
2014-06-25,73.7,6829.2582,27.6568,3.0924
2014-06-26,74.05,6861.6902,27.7881,3.1071
2014-06-27,75.31,6978.4455,28.261,3.1599
2014-06-30,75.82,7025.7036,27.5884,3.1388
2014-07-01,77.19,7152.6518,28.0869,3.1955
2014-07-02,76.58,7096.1274,27.8649,3.1702
2014-07-03,77.75,7204.5431,28.2907,3.2187
2014-07-07,76.66,7103.5405,27.8941,3.1736
2014-07-08,75.72,7016.4373,27.552,3.1346
2014-07-09,75.58,7003.4645,27.5011,3.1289
2014-07-10,74.74,6925.6276,27.1954,3.0941
2014-07-11,74.18,6873.7364,26.9917,3.0709
2014-07-14,74.96,6946.0135,27.2755,3.1032
2014-07-15,75.3,6977.5189,27.3992,3.1173
2014-07-16,75.54,6999.758,27.4865,3.1272
2014-07-17,74.71,6922.8478,27.1845,3.0928
2014-07-18,75.27,6974.739,27.3883,3.116
2014-07-21,75.23,6971.0325,27.3737,3.1144
2014-07-22,76.25,7065.5487,27.7449,3.1566
2014-07-23,76.77,7113.7334,27.9341,3.1781
2014-07-24,77.22,7155.4317,28.0978,3.1967
2014-07-25,77.27,7160.0649,28.116,3.1988
2014-07-28,77.39,7171.1844,28.1597,3.2038
2014-07-29,77.6,7190.6436,28.2361,3.2125
2014-07-30,78.29,7254.5811,28.4872,3.241
2014-07-31,76.94,7129.4861,27.9959,3.1852
2014-08-01,76.0,7042.3829,27.6539,3.1462
2014-08-04,76.59,7097.0541,27.8686,3.1707
2014-08-05,77.96,7173.5447,28.3671,3.2274
2014-08-06,78.66,7237.9557,28.6218,3.2564
2014-08-07,78.85,7255.4386,28.6909,3.2642
2014-08-08,79.37,7303.2868,28.8801,3.2857
2014-08-11,79.09,7277.5224,28.7783,3.2742
2014-08-12,79.12,7280.2829,28.7892,3.2754
2014-08-13,79.51,7316.169,28.9311,3.2915
2014-08-14,79.78,7341.0133,29.0293,3.3027
2014-08-15,79.79,7341.9334,29.033,3.3031
2014-08-18,81.12,7464.3143,29.5169,3.3582
2014-08-19,81.2,7471.6756,29.546,3.3615
2014-08-20,81.84,7530.5656,29.7789,3.388
2014-08-21,82.705,7610.1592,30.0936,3.4238
2014-08-22,81.99,7544.368,29.8335,3.3942
2014-08-25,80.915,7445.4511,29.4423,3.3497
2014-08-26,81.43,7492.8392,29.6297,3.371
2014-08-27,81.62,7510.3222,29.6988,3.3789
2014-08-28,80.63,7419.2266,29.3386,3.3379
2014-08-29,81.3,7480.8771,29.5824,3.3656
2014-09-02,81.9,7536.0866,29.8007,3.3905
2014-09-03,81.6,7508.4818,29.6916,3.3781
