Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,85.48,34126.7109,11.0855,1.013
2014-01-03,85.54,34150.6651,11.0933,1.0137
2014-01-06,86.31,34458.0769,11.1932,1.0229
2014-01-07,87.9,35092.8625,11.3994,1.0417
2014-01-08,86.65,34593.8173,11.2373,1.0269
2014-01-09,86.09,34370.245,11.1646,1.0202
2014-01-10,86.2,34414.161,11.1789,1.0215
2014-01-13,84.29,33651.6198,10.9312,0.9989
2014-01-14,85.69,34210.5505,11.1128,1.0155
2014-01-15,84.44,33711.5052,10.9506,1.0007
2014-01-16,85.9,34294.3901,11.14,1.018
2014-01-17,84.31,33659.6045,10.9338,0.9992
2014-01-21,84.49,33731.467,10.9571,1.0013
2014-01-22,84.53,33747.4365,10.9623,1.0018
2014-01-23,83.59,33372.1545,10.8404,0.9906
2014-01-24,82.42,32905.0481,10.6887,0.9768
2014-01-27,81.18,32409.9952,10.5279,0.9621
2014-01-28,81.99,32733.3765,10.6329,0.9717
2014-01-29,81.02,32346.1174,10.5071,0.9602
2014-01-30,81.28,32449.9188,10.5408,0.9632
2014-01-31,80.26,32042.6979,10.4086,0.9512
2014-02-03,78.73,31431.8665,10.2101,0.933
2014-02-04,78.5,31340.0422,10.1803,0.9303
2014-02-05,78.02,31148.4088,10.1181,0.9246
2014-02-06,79.92,31906.9576,10.3645,0.9471
2014-02-07,81.4,32497.8272,10.5564,0.9647
2014-02-10,80.75,32238.3236,10.4721,0.957
2014-02-11,81.38,32489.8424,10.5538,0.9644
2014-02-12,81.28,32449.9188,10.5408,0.9632
2014-02-13,80.96,32322.1632,10.4993,0.9594
2014-02-14,83.39,33292.3072,10.8145,0.9882
2014-02-18,83.32,33264.3607,10.8054,0.9874
2014-02-19,84.07,33291.72,10.9027,0.9963
2014-02-20,84.36,33406.56,10.9403,0.9997
2014-02-21,84.56,33485.76,10.9662,1.0021
2014-02-24,84.33,33394.68,10.9364,0.9994
2014-02-25,83.09,32903.64,10.7756,0.9847
2014-02-26,79.82,31608.72,10.3515,0.9459
2014-02-27,79.59,31517.64,10.3217,0.9432
2014-02-28,79.29,31398.84,10.2828,0.9397
2014-03-03,79.86,31522.7366,10.3567,0.9464
2014-03-04,80.48,31767.466,10.4371,0.9538
2014-03-05,79.01,31187.2203,10.2465,0.9363
2014-03-06,79.52,31388.5301,10.3126,0.9424
2014-03-07,80.05,31597.7343,10.3813,0.9487
2014-03-10,80.5,31775.3605,10.4397,0.954
2014-03-11,79.55,31400.3718,10.3165,0.9427
2014-03-12,79.19,31258.2708,10.2698,0.9385
2014-03-13,78.99,31179.3258,10.2439,0.9361
2014-03-14,79.23,31274.0598,10.275,0.9389
2014-03-17,79.37,31329.3213,10.2931,0.9406
2014-03-18,80.04,31593.787,10.38,0.9485
2014-03-19,79.33,31313.5323,10.288,0.9401
2014-03-20,80.05,31597.7343,10.3813,0.9487
2014-03-21,80.71,31858.2528,10.4669,0.9565
2014-03-24,80.77,31881.9363,10.4747,0.9572
2014-03-25,81.93,32339.8172,10.6251,0.9709
2014-03-26,81.46,32154.2965,10.5642,0.9654
2014-03-27,82.08,32399.026,10.6446,0.9727
2014-03-28,83.02,32770.0675,10.7665,0.9839
2014-03-31,82.95,32742.4367,11.0544,0.9781
2014-04-01,83.76,33062.164,11.1624,0.9876
2014-04-02,84.23,33168.1176,11.225,0.9931
2014-04-03,85.36,33613.0894,11.3756,1.0065
2014-04-04,85.47,33656.4052,11.3903,1.0078
2014-04-07,84.09,33112.9883,11.2064,0.9915
2014-04-08,85.18,33542.2089,11.3516,1.0043
2014-04-09,83.65,32939.725,11.1477,0.9863
2014-04-10,82.72,32573.5093,11.0238,0.9753
2014-04-11,82.09,32325.4277,10.9398,0.9679
2014-04-14,82.57,32514.4422,11.0038,0.9736
2014-04-15,83.33,32813.7153,11.1051,0.9825
2014-04-16,84.17,33144.4908,11.217,0.9924
2014-04-17,85.11,33514.6443,11.3423,1.0035
2014-04-21,85.8,33786.3527,11.4343,1.0117
2014-04-22,86.2,33943.8648,11.4876,1.0164
2014-04-23,87.58,34487.2817,11.6715,1.0326
2014-04-24,87.96,34636.9182,11.7221,1.0371
2014-04-25,87.28,34369.1476,11.6315,1.0291
2014-04-28,86.81,34184.0708,11.5689,1.0236
2014-04-29,87.83,34585.7268,11.7048,1.0356
2014-04-30,86.8,34180.133,11.5675,1.0235
2014-05-01,87.04,34274.6403,11.5995,1.0263
2014-05-02,86.96,34243.1379,11.5888,1.0253
2014-05-05,86.96,34243.1379,11.5888,1.0253
2014-05-06,86.42,34030.4965,11.5169,1.019
2014-05-07,87.76,34558.1622,11.6955,1.0348
2014-05-08,88.03,34664.4828,11.7314,1.038
2014-05-09,88.89,34285.3542,11.8461,1.0481
2014-05-12,90.04,34728.9155,11.9993,1.0617
2014-05-13,90.02,34721.2014,11.9966,1.0614
2014-05-14,89.87,34663.3455,11.9767,1.0596
2014-05-15,88.92,34296.9254,11.85,1.0484
2014-05-16,88.78,34242.9266,11.8314,1.0468
2014-05-19,89.33,34455.0646,11.9047,1.0533
2014-05-20,89.73,34609.3468,11.958,1.058
2014-05-21,90.29,34825.3418,12.0326,1.0646
2014-05-22,90.34,34844.6271,12.0393,1.0652
2014-05-23,90.18,34782.9142,12.018,1.0633
2014-05-27,90.36,34852.3412,12.042,1.0654
2014-05-28,91.76,35392.3288,12.2285,1.0819
2014-05-29,93.06,35893.7458,12.4018,1.0973
2014-05-30,93.22,35955.4587,12.4231,1.0991
2014-06-02,92.64,35731.7495,12.3458,1.0923
2014-06-03,92.0,35484.8981,12.2605,1.0848
2014-06-04,92.5,35677.7508,12.3271,1.0907
2014-06-05,93.17,35936.1734,12.4164,1.0986
2014-06-06,94.31,36375.8776,12.5684,1.112
2014-06-09,94.65,36507.0174,12.6137,1.116
2014-06-10,95.05,36661.2996,12.667,1.1207
2014-06-11,95.41,36800.1535,12.7149,1.125
2014-06-12,96.31,37147.2884,12.8349,1.1356
2014-06-13,97.66,37667.9907,13.0148,1.1515
2014-06-16,98.2,37876.2716,13.0868,1.1579
2014-06-17,98.0,37799.1306,13.0601,1.1555
2014-06-18,99.6,38416.2592,13.2733,1.1744
2014-06-19,100.02,38578.2555,13.3293,1.1793
2014-06-20,100.69,38836.6781,13.4186,1.1872
2014-06-23,101.6,39187.67,13.5399,1.198
