Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,10.9675,13887.5808,22.5647,4.8543
2014-01-03,11.0075,13938.2308,22.647,4.8721
2014-01-06,10.9063,13810.0231,22.4387,4.8272
2014-01-07,10.98,13903.4089,22.5904,4.8599
2014-01-08,11.0413,13980.9666,22.7164,4.887
2014-01-09,11.1775,14153.493,22.9967,4.9473
2014-01-10,11.1675,14140.8305,22.9762,4.9429
2014-01-13,11.1488,14117.0884,22.9376,4.9346
2014-01-14,11.5513,14626.7534,23.7657,5.1127
2014-01-15,11.5063,14569.7722,23.6731,5.0928
2014-01-16,11.4838,14541.2816,23.6268,5.0828
2014-01-17,11.51,14574.5206,23.6808,5.0945
2014-01-21,11.38,14409.9083,23.4134,5.0369
2014-01-22,11.3837,14414.6568,23.4211,5.0386
2014-01-23,11.0613,14006.2916,22.7576,4.8958
2014-01-24,10.7363,13594.7608,22.0889,4.752
2014-01-27,10.6675,13507.7062,21.9475,4.7216
2014-01-28,10.7613,13626.417,22.1403,4.7631
2014-01-29,10.7038,13553.6078,22.022,4.7376
2014-01-30,10.8338,13718.2201,22.2895,4.7951
2014-01-31,10.86,13751.4591,22.3435,4.8068
2014-02-03,10.585,13403.2407,21.7777,4.685
2014-02-04,10.62,13447.5594,21.8497,4.7005
2014-02-05,10.6663,13506.1234,21.9449,4.721
2014-02-06,10.8375,13722.9685,22.2972,4.7968
2014-02-07,10.92,13827.434,22.467,4.8333
2014-02-10,10.8788,13775.2013,22.3821,4.8151
2014-02-11,10.995,13922.4026,22.6213,4.8665
2014-02-12,11.035,13973.0526,22.7036,4.8842
2014-02-13,11.0675,14014.2057,22.7704,4.8986
2014-02-14,11.0338,13971.4698,22.701,4.8837
2014-02-18,11.1063,14063.2728,22.8501,4.9158
2014-02-19,11.0688,14015.7885,22.773,4.8992
2014-02-20,11.1188,14079.1009,22.8759,4.9213
2014-02-21,11.02,13954.0589,22.6727,4.8776
2014-02-24,11.1138,14065.5197,22.8656,4.9191
2014-02-25,11.0413,13973.7639,22.7164,4.887
2014-02-26,10.885,13776.0145,22.3949,4.8178
2014-02-27,10.9488,13856.6963,22.5261,4.846
2014-02-28,11.0025,13924.7221,22.6367,4.8698
2014-03-03,10.9725,13886.7542,22.575,4.8566
2014-03-04,11.2475,14234.7932,23.1408,4.9783
2014-03-05,11.1625,14127.2175,22.9659,4.9407
2014-03-06,11.2813,14277.507,23.2102,4.9932
