Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,118.24,15301.8051,1322.6395,1.7801
2014-01-03,119.76,15498.513,1339.6423,1.803
2014-01-06,121.54,15728.8683,1359.5535,1.8298
2014-01-07,121.02,15661.5735,1353.7367,1.822
2014-01-08,121.32,15700.3974,1357.0925,1.8265
2014-01-09,120.89,15644.7498,1352.2825,1.82
2014-01-10,121.8,15762.5157,1362.4618,1.8337
2014-01-13,120.83,15636.985,1351.6114,1.8191
2014-01-14,121.73,15753.4568,1361.6788,1.8327
2014-01-15,122.64,15871.2227,1371.8581,1.8464
2014-01-16,122.85,15898.3995,1374.2072,1.8495
2014-01-17,121.88,15772.8688,1363.3567,1.8349
2014-01-21,122.14,15806.5162,1366.2651,1.8389
2014-01-22,121.91,15776.7512,1363.6923,1.8354
2014-01-23,120.65,15613.6907,1349.5979,1.8164
2014-01-24,119.52,15467.4539,1336.9576,1.7994
2014-01-27,118.38,15319.9229,1324.2055,1.7822
2014-01-28,117.53,15209.9218,1314.6974,1.7694
2014-01-29,117.62,15221.569,1315.7041,1.7708
2014-01-30,122.16,15809.1044,1366.4888,1.8392
2014-01-31,123.5,15982.518,1381.4781,1.8593
2014-02-03,123.29,15955.3412,1379.1291,1.8562
2014-02-04,124.96,16171.4611,1397.8098,1.8813
2014-02-05,126.02,16308.639,1409.667,1.8973
2014-02-06,126.99,16434.1697,1420.5175,1.9119
2014-02-07,127.81,16540.2885,1429.69,1.9242
2014-02-10,129.33,16736.9964,1446.6928,1.9471
2014-02-11,129.65,16778.4086,1450.2724,1.9519
2014-02-12,128.86,16676.1722,1441.4354,1.94
2014-02-13,128.34,16608.8774,1435.6186,1.9322
2014-02-14,128.99,16692.9959,1442.8896,1.942
2014-02-18,129.5,16758.9966,1448.5945,1.9497
2014-02-19,128.35,16610.1715,1435.7305,1.9323
2014-02-20,128.89,16680.0546,1441.771,1.9405
2014-02-21,128.66,16650.2896,1439.1982,1.937
2014-02-24,129.22,16722.7609,1445.4624,1.9454
2014-02-25,129.23,16724.0551,1445.5742,1.9456
2014-02-26,128.43,16620.5246,1436.6254,1.9335
2014-02-27,127.3,16474.2878,1423.9851,1.9165
2014-02-28,128.97,16690.4077,1442.6659,1.9417
2014-03-03,129.01,16696.1295,1443.1133,1.9423
2014-03-04,130.46,16883.7846,1459.3331,1.9641
2014-03-05,128.84,16674.1285,1441.2117,1.9397
2014-03-06,127.84,16544.7112,1430.0256,1.9247
2014-03-07,128.22,16593.8898,1434.2763,1.9304
2014-03-10,127.55,16507.1802,1426.7817,1.9203
2014-03-11,128.63,16646.9509,1438.8626,1.9366
2014-03-12,129.15,16714.2479,1444.6794,1.9444
2014-03-13,129.14,16712.9537,1444.5675,1.9442
2014-03-14,129.75,16791.8983,1451.391,1.9534
2014-03-17,130.1,16837.1944,1455.3061,1.9587
2014-03-18,130.08,16834.606,1455.0824,1.9584
2014-03-19,129.04,16700.012,1443.4489,1.9427
2014-03-20,128.71,16657.3043,1439.7575,1.9378
2014-03-21,129.84,16803.5459,1452.3977,1.9548
2014-03-24,129.63,16776.3682,1450.0487,1.9516
2014-03-25,131.57,17027.4378,1471.7496,1.9808
2014-03-26,130.05,16830.7235,1454.7468,1.9579
2014-03-27,129.54,16764.7207,1449.0419,1.9503
2014-03-28,130.13,16841.0769,1455.6417,1.9591
2014-03-31,131.32,16995.0835,130.0975,1.9778
2014-04-01,131.27,16988.6126,130.0479,1.977
2014-04-02,131.8,17057.2038,130.573,1.985
2014-04-03,132.08,17093.4407,130.8504,1.9892
2014-04-04,133.43,17268.1541,132.1878,2.0095
2014-04-07,133.55,17283.6841,132.3067,2.0113
2014-04-08,133.82,17318.6268,132.5742,2.0154
2014-04-09,133.33,17255.2123,132.0888,2.008
2014-04-10,132.82,17209.4782,131.5835,2.0003
2014-04-11,132.25,17135.6234,131.0188,1.9918
2014-04-14,133.25,17265.1933,132.0095,2.0068
2014-04-15,134.55,17433.6342,133.2974,2.0264
2014-04-16,135.2,17517.8547,133.9414,2.0362
2014-04-17,133.64,17315.7256,132.3959,2.0127
2014-04-21,134.25,17394.7632,133.0002,2.0219
2014-04-22,134.57,17436.2256,133.3172,2.0267
2014-04-23,133.35,17278.1503,132.1086,2.0083
2014-04-24,133.94,17354.5966,132.6931,2.0172
2014-04-25,135.33,17534.6988,134.0701,2.0381
2014-04-28,136.84,17730.3494,135.5661,2.0609
2014-04-29,136.54,17691.4784,135.2689,2.0564
2014-04-30,136.55,17692.7741,135.2788,2.0565
2014-05-01,136.37,17669.4515,135.1005,2.0538
2014-05-02,137.07,17765.5277,135.7939,2.0644
2014-05-05,138.24,17917.1705,136.9531,2.082
2014-05-06,137.52,17823.8519,136.2398,2.0711
2014-05-07,139.11,18029.9304,137.815,2.0951
2014-05-08,139.65,18099.9194,138.3499,2.1032
2014-05-09,139.33,18058.4445,138.0329,2.0984
2014-05-12,140.44,18202.3106,139.1326,2.1151
2014-05-13,139.14,18033.8187,137.8447,2.0955
2014-05-14,139.08,18026.0422,137.7852,2.0946
2014-05-15,140.23,18175.0927,138.9245,2.1119
2014-05-16,140.63,18226.9364,139.3208,2.118
2014-05-19,140.86,18256.7465,139.5487,2.1214
2014-05-20,140.35,18190.6458,139.0434,2.1138
2014-05-21,139.83,18123.249,138.5283,2.1059
2014-05-22,139.36,18062.3327,138.0626,2.0988
2014-05-23,140.06,18153.0591,138.7561,2.1094
2014-05-27,140.62,18225.6403,139.3109,2.1178
2014-05-28,140.27,18180.2771,138.9642,2.1125
2014-05-29,140.36,18191.9419,139.0533,2.1139
2014-05-30,141.84,18383.7634,140.5195,2.1362
2014-06-02,141.85,18385.0595,140.5294,2.1363
2014-06-03,142.37,18452.4563,141.0446,2.1442
2014-06-04,142.64,18487.4508,141.3121,2.1482
2014-06-05,144.41,18716.859,143.0656,2.1749
2014-06-06,142.56,18477.082,141.2328,2.147
2014-06-09,139.92,18134.9139,138.6174,2.1073
2014-06-10,139.09,18027.3383,137.7951,2.0948
2014-06-11,138.95,18009.193,137.6564,2.0927
2014-06-12,139.29,18053.2601,137.9933,2.0978
2014-06-13,140.02,18147.8748,138.7165,2.1088
2014-06-16,139.15,18035.1148,137.8546,2.0957
2014-06-17,140.25,18177.6849,138.9443,2.1122
2014-06-18,140.75,18242.4895,139.4397,2.1198
2014-06-19,141.4,18326.7354,140.0836,2.1296
2014-06-20,141.3,18313.7745,139.9846,2.1281
2014-06-23,141.72,18368.2104,140.4007,2.1344
2014-06-24,142.47,18465.4172,141.1437,2.1457
2014-06-25,142.84,18513.3726,141.5102,2.1513
2014-06-26,141.37,18322.8471,140.0539,2.1291
2014-06-27,142.35,18449.8641,141.0248,2.1439
2014-06-30,142.19,18429.1267,63.9657,2.1136
2014-07-01,142.4,18456.3446,64.0602,2.1167
2014-07-02,142.55,18475.786,64.1277,2.119
2014-07-03,142.03,18408.3892,63.8938,2.1112
2014-07-07,142.68,18492.6351,64.1862,2.1209
2014-07-08,143.46,18593.7303,64.5371,2.1325
2014-07-09,143.51,18600.2107,64.5595,2.1332
2014-07-10,143.8,18637.7974,64.69,2.1376
