Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,49.61,4793.1117,19.0919,3.1976
2014-01-03,49.55,4787.3147,19.0688,3.1937
2014-01-06,49.43,4775.7208,19.0226,3.186
2014-01-07,49.62,4794.0778,19.0957,3.1982
2014-01-08,49.46,4778.6193,19.0341,3.1879
2014-01-09,49.88,4819.198,19.1958,3.215
2014-01-10,50.88,4915.8138,19.5806,3.2794
2014-01-13,50.36,4865.5736,19.3805,3.2459
2014-01-14,51.27,4953.494,19.7307,3.3046
2014-01-15,51.26,4952.5278,19.7269,3.3039
2014-01-16,51.23,4949.6293,19.7153,3.302
2014-01-17,51.15,4941.9001,19.6845,3.2968
2014-01-21,51.31,4957.3586,19.7461,3.3071
2014-01-22,52.14,5037.5497,20.0655,3.3606
2014-01-23,51.24,4950.5955,19.7192,3.3026
2014-01-24,49.13,4746.7361,18.9071,3.1666
2014-01-27,48.91,4725.4806,18.8225,3.1525
2014-01-28,49.27,4760.2623,18.961,3.1757
2014-01-29,48.93,4727.4129,18.8302,3.1537
2014-01-30,49.72,4803.7394,19.1342,3.2047
2014-01-31,49.27,4760.2623,18.961,3.1757
2014-02-03,47.81,4619.2032,18.3992,3.0816
2014-02-04,47.58,4596.9815,18.3106,3.0667
2014-02-05,46.99,4539.9782,18.0836,3.0287
2014-02-06,47.58,4596.9815,18.3106,3.0667
2014-02-07,47.89,4626.9324,18.4299,3.0867
2014-02-10,49.06,4739.973,18.8802,3.1621
2014-02-11,49.24,4757.3638,18.9495,3.1737
2014-02-12,49.26,4759.2961,18.9572,3.175
2014-02-13,49.45,4777.6531,19.0303,3.1873
2014-02-14,49.4,4772.8224,19.0111,3.184
2014-02-18,49.52,4784.4163,19.0572,3.1918
2014-02-19,49.24,4757.3638,18.9495,3.1737
2014-02-20,49.3,4763.1608,18.9726,3.1776
2014-02-21,48.89,4723.5483,18.8148,3.1512
2014-02-24,48.79,4713.8867,18.7763,3.1447
2014-02-25,48.84,4718.7175,18.7955,3.1479
2014-02-26,49.51,4783.4501,19.0534,3.1911
2014-02-27,49.11,4714.5439,18.8995,3.1653
2014-02-28,49.82,4782.7037,19.1727,3.2111
2014-03-03,49.4,4742.3838,19.0111,3.184
2014-03-04,51.79,4971.823,19.9308,3.3381
2014-03-05,51.06,4901.7432,19.6499,3.291
2014-03-06,51.09,4904.6232,19.6614,3.293
2014-03-07,51.56,4948.454,19.8423,3.3233
2014-03-10,51.21,4914.8629,19.7076,3.3007
2014-03-11,50.58,4854.3988,19.4652,3.2601
2014-03-12,50.67,4863.0365,19.4998,3.2659
2014-03-13,50.28,4825.6064,19.3497,3.2408
2014-03-14,50.48,4844.8014,19.4267,3.2536
2014-03-17,50.48,4844.8014,19.4267,3.2536
2014-03-18,50.94,4888.9497,19.6037,3.2833
2014-03-19,50.55,4851.5196,19.4536,3.2582
2014-03-20,50.87,4882.2315,19.5768,3.2788
2014-03-21,51.15,4909.1044,19.6845,3.2968
2014-03-24,50.57,4853.4391,19.4613,3.2594
2014-03-25,50.47,4843.8416,19.4228,3.253
2014-03-26,49.54,4754.5852,19.0649,3.1931
2014-03-27,49.55,4755.5449,19.0688,3.1937
2014-03-28,49.98,4796.814,18.6956,3.2005
2014-03-31,50.67,4863.0365,18.9537,3.2447
2014-04-01,51.11,4905.2654,19.1183,3.2729
2014-04-02,51.65,4957.0917,19.3203,3.3075
2014-04-03,51.73,4964.7697,19.3502,3.3126
2014-04-04,51.13,4907.1849,19.1258,3.2742
2014-04-07,50.49,4845.7611,18.8864,3.2332
2014-04-08,50.66,4862.0768,18.9499,3.2441
2014-04-09,51.2,4913.9031,19.1519,3.2787
2014-04-10,49.17,4719.0745,18.3926,3.1487
2014-04-11,48.63,4667.2482,18.1906,3.1141
2014-04-14,49.16,4718.1148,18.3889,3.148
2014-04-15,49.55,4755.5449,18.5347,3.173
2014-04-16,50.24,4821.7674,18.7928,3.2172
2014-04-17,50.68,4863.9963,18.9574,3.2454
2014-04-21,50.98,4892.7887,19.0696,3.2646
2014-04-22,51.76,4967.6489,19.3614,3.3145
2014-04-23,49.46,4746.9072,18.5011,3.1672
2014-04-24,49.01,4703.7186,18.3327,3.1384
2014-04-25,48.62,4666.2885,18.1869,3.1135
2014-04-28,48.58,4662.4495,18.1719,3.1109
2014-04-29,48.49,4653.8118,18.1382,3.1051
2014-04-30,48.66,4670.1275,18.2018,3.116
2014-05-01,48.48,4652.852,18.1345,3.1045
2014-05-02,48.39,4644.2143,18.1008,3.0987
2014-05-05,48.45,4612.6757,18.1233,3.1026
2014-05-06,47.9,4560.313,17.9175,3.0673
2014-05-07,48.86,4651.7097,18.2766,3.1288
2014-05-08,48.71,4637.4289,18.2205,3.1192
2014-05-09,48.62,4628.8605,18.1869,3.1135
2014-05-12,48.96,4661.2302,18.314,3.1352
2014-05-13,48.42,4609.8195,18.112,3.1006
2014-05-14,48.12,4581.2581,17.9998,3.0814
2014-05-15,47.43,4515.5667,17.7417,3.0372
2014-05-16,47.16,4489.8614,17.6407,3.02
2014-05-19,47.31,4504.1421,17.6968,3.0296
2014-05-20,46.66,4442.259,17.4537,2.9879
2014-05-21,47.01,4475.5807,17.5846,3.0104
2014-05-22,48.24,4592.6827,18.0447,3.0891
2014-05-23,48.2,4588.8745,18.0298,3.0866
2014-05-27,48.61,4627.9085,18.1831,3.1128
2014-05-28,48.82,4647.9015,18.2617,3.1263
2014-05-29,49.21,4685.0314,18.4076,3.1512
2014-05-30,50.7,4826.8866,18.9649,3.2466
2014-06-02,49.94,4754.5309,18.6806,3.198
2014-06-03,49.43,4705.9765,18.4898,3.1653
2014-06-04,49.5,4712.6408,18.516,3.1698
2014-06-05,49.62,4724.0654,18.5609,3.1775
2014-06-06,49.76,4737.3941,18.6133,3.1865
2014-06-09,50.08,4767.8596,18.733,3.2069
2014-06-10,50.18,4777.3801,18.7704,3.2134
2014-06-11,49.69,4730.7297,18.5871,3.182
2014-06-12,49.48,4710.7367,18.5086,3.1685
2014-06-13,49.74,4735.49,18.6058,3.1852
2014-06-16,50.21,4780.2362,18.7816,3.2153
2014-06-17,50.61,4818.3182,18.9312,3.2409
2014-06-18,50.87,4843.0715,19.0285,3.2575
2014-06-19,50.99,4854.496,19.0734,3.2652
2014-06-20,51.39,4892.578,19.223,3.2908
2014-06-23,50.92,4847.8317,19.0472,3.2607
2014-06-24,50.97,4852.5919,19.0659,3.2639
2014-06-25,50.83,4839.2633,19.0135,3.255
2014-06-26,51.41,4894.4821,19.2305,3.2921
2014-06-27,51.48,4901.1464,19.1085,3.3902
2014-06-30,51.25,4879.2493,19.0232,3.3751
2014-07-01,51.38,4891.6259,19.0714,3.3837
2014-07-02,51.0,4855.4481,18.9304,3.3586
2014-07-03,51.49,4902.0985,19.1122,3.3909
2014-07-07,50.87,4843.0715,18.8821,3.3501
2014-07-08,51.08,4863.0645,18.9601,3.3639
2014-07-09,50.89,4844.9756,18.8895,3.3514
2014-07-10,50.85,4841.1674,18.8747,3.3487
2014-07-11,50.49,4806.8936,18.7411,3.325
2014-07-14,50.98,4853.544,18.9229,3.3573
2014-07-15,50.89,4844.9756,18.8895,3.3514
2014-07-16,51.04,4859.2563,18.9452,3.3613
2014-07-17,50.68,4824.9825,18.8116,3.3376
2014-07-18,50.98,4853.544,18.9229,3.3573
2014-07-21,50.63,4820.2223,18.793,3.3343
2014-07-22,50.52,4809.7498,18.7522,3.327
2014-07-23,50.6,4817.3661,18.7819,3.3323
2014-07-24,50.9,4845.9276,18.8932,3.352
2014-07-25,49.24,4687.8875,18.2771,3.2427
2014-07-28,48.95,4660.2781,18.1694,3.2236
2014-07-29,48.03,4572.6896,17.828,3.163
2014-07-30,47.85,4555.5528,17.7611,3.1512
2014-07-31,47.21,4424.9927,17.5236,3.109
2014-08-01,47.31,4434.3657,17.5607,3.1156
2014-08-04,47.73,4473.7323,17.7166,3.1433
2014-08-05,47.36,4439.0522,17.5793,3.1189
2014-08-06,47.21,4424.9927,17.5236,3.109
2014-08-07,47.14,4418.4316,17.4976,3.1044
2014-08-08,47.57,4458.7355,17.6572,3.1327
2014-08-11,47.76,4476.5442,17.7277,3.1453
2014-08-12,47.83,4483.1053,17.7537,3.1499
2014-08-13,47.98,4497.1648,17.8094,3.1597
2014-08-14,48.05,4503.7259,17.8354,3.1644
2014-08-15,47.88,4487.7918,17.7723,3.1532
2014-08-18,48.38,4534.6568,17.9579,3.1861
2014-08-19,49.1,4602.1424,18.2251,3.2335
2014-08-20,48.79,4573.0861,18.1101,3.2131
2014-08-21,48.53,4548.7163,18.0135,3.196
2014-08-22,48.0,4499.0394,17.8168,3.1611
2014-08-25,48.17,4514.9735,17.8799,3.1723
2014-08-26,48.02,4500.914,17.8242,3.1624
2014-08-27,47.9,4489.6664,17.7797,3.1545
2014-08-28,48.11,4509.3497,17.8576,3.1683
2014-08-29,48.13,4511.2243,17.8651,3.1696
2014-09-02,48.15,4513.0989,17.8725,3.1709
2014-09-03,48.44,4540.2806,17.9801,3.19
2014-09-04,48.67,4561.8385,18.0655,3.2052
2014-09-05,48.88,4581.5218,18.1435,3.219
2014-09-08,48.76,4570.2742,18.0989,3.2111
2014-09-09,48.49,4544.9671,17.9987,3.1933
2014-09-10,48.31,4528.0957,17.9319,3.1815
2014-09-11,48.71,4565.5877,18.0804,3.2078
2014-09-12,48.26,4523.4092,17.9133,3.1782
2014-09-15,48.43,4539.3433,17.9764,3.1894
2014-09-16,48.2,4517.7854,17.8911,3.1742
2014-09-17,47.7,4470.9204,17.7055,3.1413
