Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,15.38,797.6637,42.872,7.4844
2014-01-03,15.67,812.7042,43.6804,7.6255
2014-01-06,15.64,811.1483,43.5968,7.6109
2014-01-07,15.91,825.1515,44.3494,7.7423
2014-01-08,17.93,929.9162,49.9802,8.7253
2014-01-09,17.79,922.6552,49.59,8.6572
2014-01-10,18.68,968.8139,52.0708,9.0903
2014-01-13,17.49,907.0961,48.7537,8.5112
2014-01-14,18.07,937.1771,50.3705,8.7935
2014-01-15,17.94,930.4348,50.0081,8.7302
2014-01-16,17.57,911.2452,48.9767,8.5501
2014-01-17,17.67,916.4316,49.2555,8.5988
2014-01-21,17.79,922.6552,49.59,8.6572
2014-01-22,18.0,933.5466,50.1753,8.7594
2014-01-23,17.71,918.5061,49.367,8.6183
2014-01-24,16.74,868.1984,46.6631,8.1462
2014-01-27,16.52,856.7883,46.0498,8.0392
2014-01-28,16.65,863.5306,46.4122,8.1024
2014-01-29,15.89,824.1142,44.2937,7.7326
2014-01-30,16.3,845.3783,45.4366,7.9321
2014-01-31,16.06,832.931,44.7675,7.8153
2014-02-03,16.9,876.4965,47.1091,8.2241
2014-02-04,16.83,872.8661,46.9139,8.19
2014-02-05,16.52,856.7883,46.0498,8.0392
2014-02-06,16.72,867.1611,46.6073,8.1365
2014-02-07,16.78,870.2729,46.7746,8.1657
2014-02-10,16.91,877.0152,47.1369,8.229
2014-02-11,16.91,877.0152,47.1369,8.229
2014-02-12,16.79,870.7915,46.8024,8.1706
2014-02-13,17.13,888.4252,47.7502,8.336
2014-02-14,17.09,886.3506,47.6387,8.3166
2014-02-18,18.08,937.6957,50.3983,8.7983
2014-02-19,18.56,962.5903,51.7363,9.0319
2014-02-20,19.02,986.4476,53.0186,9.2558
2014-02-21,18.8,975.0376,52.4053,9.1487
2014-02-24,19.07,989.0408,53.158,9.2801
2014-02-25,19.1,990.5967,53.2416,9.2947
2014-02-26,18.93,981.7799,52.7677,9.212
2014-02-27,20.5,1063.2059,57.1441,9.976
2014-02-28,19.23,997.339,53.604,9.358
2014-03-03,19.56,1014.454,54.5239,9.5185
2014-03-04,20.28,1051.7959,56.5309,9.8689
2014-03-05,19.87,1030.5317,55.388,9.6694
2014-03-06,19.65,1019.1217,54.7747,9.5623
2014-03-07,18.89,979.7053,52.6562,9.1925
2014-03-10,19.5,1011.5116,54.3566,9.4893
2014-03-11,18.91,980.9069,52.712,9.2022
2014-03-12,18.65,967.4201,51.9872,9.0757
2014-03-13,18.3,949.2648,51.0116,8.9054
2014-03-14,18.33,950.8209,51.0952,8.92
2014-03-17,18.31,949.7835,51.0395,8.9103
2014-03-18,18.5,959.6392,51.5691,9.0027
2014-03-19,18.23,945.6337,50.8165,8.8713
2014-03-20,18.09,938.3715,50.4262,8.8032
2014-03-21,18.11,939.409,50.482,8.8129
2014-03-24,17.85,925.9222,49.7572,8.6864
2014-03-25,18.91,980.9069,52.712,9.2022
2014-03-26,18.8501,977.801,52.5451,9.1731
2014-03-27,18.27,947.7086,50.928,8.8908
2014-03-28,18.32,950.3022,51.0673,8.9151
2014-03-31,18.29,948.746,51.0721,7.978
2014-04-01,18.99,985.0567,53.0268,8.2833
2014-04-02,18.65,967.4201,52.0774,8.135
2014-04-03,18.34,951.3396,51.2117,7.9998
2014-04-04,17.62,931.8508,49.2012,7.6857
2014-04-07,17.06,902.2347,47.6375,7.4414
2014-04-08,17.03,900.6481,47.5538,7.4284
2014-04-09,17.34,917.0427,48.4194,7.5636
2014-04-10,16.43,868.9165,45.8783,7.1666
2014-04-11,16.74,885.3112,46.744,7.3019
2014-04-14,16.78,887.4266,46.8557,7.3193
2014-04-15,17.3,914.9273,48.3077,7.5461
2014-04-16,17.79,940.8414,49.6759,7.7599
2014-04-17,17.88,945.6012,49.9273,7.7991
2014-04-21,17.7,936.0817,49.4246,7.7206
2014-04-22,18.23,964.1113,50.9046,7.9518
2014-04-23,18.26,965.6978,50.9884,7.9649
2014-04-24,18.19,961.9958,50.7929,7.9343
2014-04-25,17.71,936.6105,49.4526,7.725
2014-04-28,16.78,887.4266,46.8557,7.3193
2014-04-29,17.08,903.2924,47.6934,7.4502
2014-04-30,16.15,854.1084,45.0965,7.0445
2014-05-01,15.25,806.5111,42.5834,6.6519
2014-05-02,14.13,747.2788,39.4559,6.1634
2014-05-05,14.41,762.0868,40.2378,6.2855
2014-05-06,13.2,711.0389,36.8591,5.7577
2014-05-07,13.13,707.2683,36.6636,5.7272
2014-05-08,13.14,707.8069,36.6915,5.7316
2014-05-09,13.26,714.2709,37.0266,5.7839
2014-05-12,14.06,757.3642,39.2605,6.1329
2014-05-13,13.64,734.7402,38.0877,5.9497
2014-05-14,13.01,700.8043,36.3285,5.6749
2014-05-15,13.05,702.9589,36.4402,5.6923
2014-05-16,13.32,717.5029,37.1941,5.8101
2014-05-19,13.52,728.2762,37.7526,5.8973
2014-05-20,12.87,693.2629,35.9376,5.6138
2014-05-21,13.06,703.4976,36.4681,5.6967
2014-05-22,13.08,704.5749,36.524,5.7054
2014-05-23,13.35,719.1189,37.2779,5.8232
2014-05-27,13.48,726.1216,37.6409,5.8799
2014-05-28,13.27,714.8096,37.0545,5.7883
2014-05-29,13.52,728.2762,37.7526,5.8973
2014-05-30,13.27,714.8096,37.0545,5.7883
2014-06-02,13.32,717.5029,37.1941,5.8101
2014-06-03,13.0,700.2656,36.3006,5.6705
2014-06-04,13.05,702.9589,36.4402,5.6923
2014-06-05,13.36,719.6576,37.3058,5.8275
2014-06-06,13.35,719.1189,37.2779,5.8232
2014-06-09,13.53,728.8149,37.7805,5.9017
2014-06-10,14.28,769.2148,39.8748,6.2288
2014-06-11,13.91,749.2842,38.8416,6.0674
2014-06-12,14.03,755.7482,39.1767,6.1198
2014-06-13,13.87,747.1295,38.7299,6.05
2014-06-16,13.78,742.2815,38.4786,6.0107
2014-06-17,14.07,757.9028,39.2884,6.1372
2014-06-18,13.86,746.5909,38.702,6.0456
2014-06-19,13.695,737.7029,38.2413,5.9737
2014-06-20,13.85,746.0522,38.6741,6.0413
2014-06-23,13.7,737.9722,38.2552,5.9758
2014-06-24,13.43,723.4282,37.5013,5.8581
2014-06-25,13.46,725.0442,37.5851,5.8711
2014-06-26,13.29,715.8869,37.1104,5.797
2014-06-27,13.39,721.2736,37.3896,5.8406
2014-06-30,13.3,716.4256,38.0391,6.3293
2014-07-01,13.5,727.1989,38.6111,6.4245
2014-07-02,13.28,715.3482,37.9819,6.3198
