Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,16.1,171724.754,11.9667,0.7775
2014-01-03,16.41,175031.2555,12.1971,0.7925
2014-01-06,16.66,177697.7889,12.3829,0.8045
2014-01-07,16.5,175991.2075,12.264,0.7968
2014-01-08,16.58,176844.4982,12.3235,0.8007
2014-01-09,16.83,179511.0317,12.5093,0.8127
2014-01-10,16.77,178871.0636,12.4647,0.8098
2014-01-13,16.43,175244.5782,12.212,0.7934
2014-01-14,16.77,178871.0636,12.4647,0.8098
2014-01-15,17.15,181649.5006,12.7471,0.8282
2014-01-16,17.08,180908.0741,12.6951,0.8248
2014-01-17,17.01,180166.6476,12.6431,0.8214
2014-01-21,17.01,180166.6476,12.6431,0.8214
2014-01-22,17.15,181649.5006,12.7471,0.8282
2014-01-23,16.86,178577.8764,12.5316,0.8142
2014-01-24,16.45,174235.2353,12.2269,0.7944
2014-01-27,16.31,172752.3822,12.1228,0.7876
2014-01-28,16.73,177200.9414,12.435,0.8079
2014-01-29,16.68,176671.3511,12.3978,0.8055
2014-01-30,16.93,179319.303,12.5836,0.8176
2014-01-31,16.75,177412.7776,12.4498,0.8089
2014-02-03,16.35,173176.0545,12.1525,0.7896
2014-02-04,16.35,173176.0545,12.1525,0.7896
2014-02-05,16.4,173705.6449,12.1897,0.792
2014-02-06,16.69,176777.2691,12.4052,0.806
2014-02-07,16.82,178154.2041,12.5019,0.8123
2014-02-10,16.72,177095.0234,12.4275,0.8074
2014-02-11,16.88,178789.7126,12.5465,0.8152
2014-02-12,16.75,177412.7776,12.4498,0.8089
2014-02-13,16.75,177412.7776,12.4498,0.8089
2014-02-14,16.7,176883.1872,12.4127,0.8065
2014-02-18,16.47,174447.0715,12.2417,0.7954
2014-02-19,16.2,171587.2834,12.041,0.7823
2014-02-20,16.3,172646.4642,12.1154,0.7871
2014-02-21,16.29,172540.5461,12.1079,0.7867
2014-02-24,16.53,175082.5799,12.2863,0.7983
2014-02-25,16.34,172683.338,12.1451,0.7891
2014-02-26,16.33,172577.6567,12.1377,0.7886
2014-02-27,16.49,174268.5584,12.2566,0.7963
2014-02-28,16.53,174691.2838,12.2863,0.7983
2014-03-03,16.3,172260.6126,12.1154,0.7871
2014-03-04,16.73,176804.911,12.435,0.8079
2014-03-05,17.25,182300.3416,12.8215,0.833
2014-03-06,17.35,183357.1551,12.8958,0.8378
2014-03-07,17.33,183145.7924,12.8809,0.8369
2014-03-10,17.47,184625.3314,12.985,0.8436
2014-03-11,17.27,182511.7043,12.8363,0.834
2014-03-12,17.28,182617.3856,12.8438,0.8345
2014-03-13,17.16,181349.2093,12.7546,0.8287
2014-03-14,16.8,177544.6805,12.487,0.8113
2014-03-17,17.11,180820.8025,12.7174,0.8263
2014-03-18,17.19,181666.2534,12.7769,0.8301
2014-03-19,17.44,184308.2873,12.9627,0.8422
2014-03-20,17.92,189380.9925,13.3195,0.8654
2014-03-21,17.56,185576.4636,13.0519,0.848
2014-03-24,17.37,183568.5178,12.9107,0.8388
2014-03-25,17.21,181877.6161,12.7917,0.8311
2014-03-26,17.18,181560.5721,12.7694,0.8296
2014-03-27,17.01,179086.0807,12.6431,0.8214
2014-03-28,16.98,178770.2322,12.6208,0.82
2014-03-31,17.2,181086.4543,11.9476,0.8288
2014-04-01,17.34,182560.4138,12.0448,0.8355
2014-04-02,17.23,181402.3028,11.9684,0.8302
2014-04-03,17.15,180560.0402,11.9128,0.8264
2014-04-04,16.72,176032.8788,11.6142,0.8056
2014-04-07,16.38,172453.2629,11.378,0.7893
2014-04-08,16.44,173084.9598,11.4197,0.7922
2014-04-09,16.62,174980.0506,11.5447,0.8008
2014-04-10,16.12,169715.9095,11.1974,0.7767
2014-04-11,15.77,166031.0107,10.9543,0.7599
2014-04-14,16.0,168452.5156,11.114,0.771
2014-04-15,16.39,172558.5457,11.3849,0.7897
2014-04-16,16.13,169821.1923,11.2043,0.7772
2014-04-17,16.15,170031.758,11.2182,0.7782
2014-04-21,16.09,169400.061,11.1765,0.7753
2014-04-22,16.29,171505.7175,11.3155,0.7849
2014-04-23,16.37,172347.98,11.371,0.7888
2014-04-24,16.34,172032.1316,11.3502,0.7873
2014-04-25,15.95,167926.1015,11.0793,0.7685
2014-04-28,14.95,157424.1716,10.3847,0.7204
2014-04-29,15.24,160477.8846,10.5861,0.7343
2014-04-30,15.14,159424.8801,10.5166,0.7295
2014-05-01,15.09,158681.3118,10.4819,0.7271
2014-05-02,15.25,160363.8174,10.5931,0.7348
2014-05-05,15.08,158576.1552,10.475,0.7266
2014-05-06,14.73,154895.6741,10.2318,0.7098
2014-05-07,14.8,155631.7703,10.2805,0.7131
2014-05-08,14.93,156998.8061,10.3708,0.7194
2014-05-09,14.74,155000.8307,10.2388,0.7102
2014-05-12,15.07,158470.9986,10.468,0.7261
2014-05-13,15.03,158050.3721,10.4402,0.7242
2014-05-14,14.84,156052.3967,10.3083,0.7151
2014-05-15,14.55,153002.8553,10.1068,0.7011
2014-05-16,14.51,152582.2289,10.079,0.6992
2014-05-19,14.67,154264.7345,10.1902,0.7069
2014-05-20,14.53,152792.5421,10.0929,0.7001
2014-05-21,14.61,153633.7949,10.1485,0.704
2014-05-22,14.71,154685.3609,10.218,0.7088
2014-05-23,14.72,154790.5175,10.2249,0.7093
2014-05-27,15.22,160048.3476,10.5722,0.7334
2014-05-28,15.14,159207.0948,10.5166,0.7295
2014-05-29,15.15,159312.2514,10.5236,0.73
2014-05-30,15.14,159207.0948,10.5166,0.7295
2014-06-02,15.26,160468.974,10.6,0.7353
2014-06-03,15.21,159943.191,10.5653,0.7329
2014-06-04,15.21,159943.191,10.5653,0.7329
2014-06-05,15.43,162256.6362,10.7181,0.7435
2014-06-06,15.59,163939.1418,10.8292,0.7512
2014-06-09,15.84,166568.0569,11.0029,0.7632
2014-06-10,15.92,167409.3097,11.0585,0.7671
2014-06-11,15.59,163939.1418,10.8292,0.7512
2014-06-12,15.42,162151.4796,10.7111,0.743
2014-06-13,15.44,162361.7928,10.725,0.744
2014-06-16,15.28,160679.2872,10.6139,0.7363
2014-06-17,15.59,163939.1418,10.8292,0.7512
2014-06-18,15.65,164570.0814,10.8709,0.7541
2014-06-19,15.55,163518.5154,10.8014,0.7493
2014-06-20,15.45,162466.9494,10.732,0.7445
2014-06-23,15.64,164464.9248,10.864,0.7536
2014-06-24,15.49,162887.5758,10.7598,0.7464
2014-06-25,15.47,162677.2626,10.7459,0.7454
2014-06-26,15.41,162046.323,10.7042,0.7425
2014-06-27,15.33,161205.0702,10.6486,0.7387
2014-06-30,15.37,161625.6966,10.1652,0.7262
2014-07-01,15.6,164044.2984,10.3173,0.7371
2014-07-02,15.85,166673.2135,10.4827,0.7489
2014-07-03,16.03,168566.0323,10.6017,0.7574
2014-07-07,15.94,167619.6229,10.5422,0.7531
2014-07-08,15.58,163833.9852,10.3041,0.7361
2014-07-09,15.6,164044.2984,10.3173,0.7371
2014-07-10,15.44,162361.7928,10.2115,0.7295
2014-07-11,15.38,161730.8532,10.1718,0.7267
2014-07-14,15.57,163728.8286,10.2975,0.7357
2014-07-15,15.81,166252.5871,10.4562,0.747
2014-07-16,15.51,163097.889,10.2578,0.7328
2014-07-17,15.2,159838.0344,10.0528,0.7182
2014-07-18,15.49,162887.5758,10.2446,0.7319
2014-07-21,15.52,163203.0456,10.2644,0.7333
2014-07-22,15.52,163203.0456,10.2644,0.7333
2014-07-23,15.52,163203.0456,10.2644,0.7333
2014-07-24,15.62,164257.1896,10.3305,0.738
2014-07-25,15.59,163941.7148,10.3107,0.7366
2014-07-28,15.5,162995.2905,10.2512,0.7323
2014-07-29,15.34,161313.3278,10.1454,0.7248
2014-07-30,15.58,163837.1347,10.3041,0.7361
2014-07-31,15.25,160366.9001,10.0858,0.7205
2014-08-01,14.98,157527.6173,9.9073,0.7078
2014-08-04,15.05,158263.7277,9.9536,0.7111
2014-08-05,15.0,157737.9346,9.9205,0.7087
2014-08-06,15.2,159841.107,10.0528,0.7182
2014-08-07,15.12,158999.838,9.9999,0.7144
2014-08-08,15.2,159841.107,10.0528,0.7182
2014-08-11,15.22,160051.4243,10.066,0.7191
2014-08-12,15.21,159946.2657,10.0594,0.7186
2014-08-13,15.25,160366.9001,10.0858,0.7205
2014-08-14,15.32,161103.0105,10.1321,0.7238
2014-08-15,15.22,160051.4243,10.066,0.7191
2014-08-18,15.45,162470.0726,10.2181,0.73
2014-08-19,15.45,162470.0726,10.2181,0.73
2014-08-20,15.52,163206.183,10.2644,0.7333
2014-08-21,16.16,169936.3348,10.6877,0.7635
2014-08-22,16.13,169620.859,10.6678,0.7621
2014-08-25,16.29,171303.3969,10.7737,0.7697
2014-08-26,16.33,171724.0314,10.8001,0.7716
2014-08-27,16.2,170356.9693,10.7141,0.7654
2014-08-28,16.01,168358.9555,10.5885,0.7564
2014-08-29,16.09,169200.2245,10.6414,0.7602
2014-09-02,16.27,171093.0797,10.7604,0.7687
2014-09-03,16.1,169305.3831,10.648,0.7607
2014-09-04,16.11,169410.5417,10.6546,0.7612
2014-09-05,16.02,168464.1141,10.5951,0.7569
2014-09-08,16.35,171934.3487,10.8133,0.7725
2014-09-09,16.14,169726.0176,10.6745,0.7626
2014-09-10,16.36,172039.5073,10.82,0.773
2014-09-11,16.57,174247.8384,10.9588,0.7829
2014-09-12,16.79,176561.3281,11.1043,0.7933
2014-09-15,16.74,176035.535,11.0713,0.7909
2014-09-16,16.71,175720.0591,11.0514,0.7895
2014-09-17,16.77,176351.0108,11.0911,0.7924
2014-09-18,17.04,179190.2937,11.2697,0.8051
2014-09-19,16.95,178243.8661,11.2102,0.8009
2014-09-22,17.03,179085.135,11.2631,0.8046
2014-09-23,17.05,179295.4523,11.2763,0.8056
2014-09-24,17.18,180662.5144,11.3623,0.8117
2014-09-25,16.85,177192.2798,11.144,0.7961
2014-09-26,17.03,179085.135,11.2631,0.8046
2014-09-29,17.01,178874.8178,11.2498,0.8037
2014-09-30,17.05,179295.4523,10.7309,0.8121
2014-10-01,16.82,176876.804,10.5861,0.8012
2014-10-02,16.88,177507.7557,10.6239,0.804
2014-10-03,17.29,181819.2592,10.8819,0.8236
2014-10-06,17.29,181819.2592,10.8819,0.8236
2014-10-07,16.88,177507.7557,10.6239,0.804
2014-10-08,17.12,180031.5627,10.7749,0.8155
2014-10-09,16.59,174458.1556,10.4414,0.7902
2014-10-10,16.48,173301.4108,10.3721,0.785
2014-10-13,16.4,172460.1418,10.3218,0.7812
