Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,25.705,7435.6082,15.986,6.0891
2014-01-03,25.825,7470.3202,16.0606,6.1175
2014-01-06,25.73,7442.8399,16.0015,6.095
2014-01-07,26.02,7526.7273,16.1819,6.1637
2014-01-08,26.02,7526.7273,16.1819,6.1637
2014-01-09,26.08,7544.0833,16.2192,6.1779
2014-01-10,25.965,7510.8176,16.1477,6.1507
2014-01-13,25.39,7344.4891,15.7901,6.0145
2014-01-14,25.605,7406.6815,15.9238,6.0654
2014-01-15,25.49,7373.4158,15.8523,6.0382
2014-01-16,25.48,7370.5231,15.8461,6.0358
2014-01-17,25.265,7308.3307,15.7124,5.9849
2014-01-21,25.28,7312.6697,15.7217,5.9884
2014-01-22,25.375,7340.1501,15.7808,6.0109
2014-01-23,25.005,7233.1213,15.5507,5.9233
2014-01-24,24.3,7029.1881,15.1122,5.7563
2014-01-27,24.265,7019.0637,15.0905,5.748
2014-01-28,24.135,6981.459,15.0096,5.7172
2014-01-29,24.535,7097.1658,15.2584,5.8119
2014-01-30,25.8,7463.0886,16.0451,6.1116
2014-01-31,25.595,7403.7888,15.9176,6.063
2014-02-03,25.58,7399.4498,15.9083,6.0595
2014-02-04,25.595,7403.7888,15.9176,6.063
2014-02-05,25.825,7470.3202,16.0606,6.1175
2014-02-06,26.005,7522.3883,16.1726,6.1602
2014-02-07,26.4,7636.6488,16.4182,6.2537
2014-02-10,26.63,7703.1802,16.5613,6.3082
2014-02-11,26.97,7801.5309,16.7727,6.3887
2014-02-12,26.925,7788.5139,16.7447,6.3781
2014-02-13,27.24,7879.633,16.9406,6.4527
2014-02-14,27.315,7901.3281,16.9873,6.4705
2014-02-18,27.435,7936.0401,17.0619,6.4989
2014-02-19,27.455,7941.8254,17.0743,6.5036
2014-02-20,27.375,7918.6841,17.0246,6.4847
2014-02-21,27.46,7943.2718,17.0774,6.5048
2014-02-24,27.44,7712.8407,17.065,6.5001
2014-02-25,27.35,7687.5435,17.009,6.4788
2014-02-26,27.475,7722.6785,17.0868,6.5084
2014-02-27,27.65,7771.8675,17.1956,6.5498
2014-02-28,27.78,7808.408,17.2764,6.5806
2014-03-03,27.62,7763.4351,17.1769,6.5427
2014-03-04,27.995,7868.8402,17.4102,6.6315
2014-03-05,27.88,7836.516,17.3386,6.6043
2014-03-06,27.975,7863.2186,17.3977,6.6268
2014-03-07,28.045,7882.8942,17.4413,6.6434
2014-03-10,27.765,7804.1918,17.2671,6.5771
2014-03-11,27.54,7740.9487,17.1272,6.5238
2014-03-12,27.285,7669.2733,16.9686,6.4634
2014-03-13,27.275,7671.2611,16.9624,6.461
2014-03-14,27.015,7598.1345,16.8007,6.3994
2014-03-17,27.265,7668.4485,16.9562,6.4586
2014-03-18,27.295,7676.8862,16.9748,6.4657
2014-03-19,26.995,7592.5093,16.7883,6.3947
2014-03-20,26.865,7555.946,16.7074,6.3639
2014-03-21,27.02,7599.5407,16.8038,6.4006
2014-03-24,26.715,7513.7576,16.6141,6.3283
2014-03-25,26.785,7533.4456,16.6577,6.3449
2014-03-26,26.655,7496.8823,16.5768,6.3141
2014-03-27,26.8,7537.6644,16.667,6.3485
2014-03-28,26.985,7589.6968,16.782,6.3923
2014-03-31,27.405,7707.8244,16.5757,7.0723
2014-04-01,27.53,7742.9814,16.6513,7.1045
2014-04-02,27.7,7790.7949,16.7541,7.1484
2014-04-03,27.645,7775.3258,16.7208,7.1342
2014-04-04,27.59,7759.8567,16.6876,7.12
2014-04-07,27.2,7650.1668,16.4517,7.0194
2014-04-08,27.4,7706.4181,16.5727,7.071
2014-04-09,27.585,7758.4505,16.6846,7.1187
2014-04-10,27.375,7699.3867,16.5575,7.0645
2014-04-11,26.97,7585.4779,16.3126,6.96
2014-04-14,26.925,7572.8214,16.2854,6.9484
2014-04-15,27.66,7779.5447,16.7299,7.1381
2014-04-16,28.02,7880.7969,16.9477,7.231
2014-04-17,28.12,7908.9225,17.0081,7.2568
2014-04-21,28.055,7890.6408,16.9688,7.24
2014-04-22,27.805,7820.3268,16.8176,7.1755
