Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,37.588,37549.2491,8.2145,2.4119
2014-01-03,37.6478,37608.9459,8.2276,2.4157
2014-01-06,37.713,37674.0696,8.2418,2.4199
2014-01-07,37.914,37874.8677,8.2858,2.4328
2014-01-08,38.0389,37999.6882,8.3131,2.4408
2014-01-09,38.1421,38102.8007,8.3356,2.4474
2014-01-10,38.0335,37994.2612,8.3119,2.4405
2014-01-13,38.0824,38043.104,8.3226,2.4436
2014-01-14,37.8434,37804.317,8.2703,2.4283
2014-01-15,37.9357,37896.5756,8.2905,2.4342
2014-01-16,38.0607,38021.3961,8.3178,2.4422
2014-01-17,37.99,37950.8454,8.3024,2.4377
2014-01-21,37.789,37750.0473,8.2585,2.4248
2014-01-22,37.8868,37847.7328,8.2798,2.4311
2014-01-23,37.4848,37446.1366,8.192,2.4053
2014-01-24,36.746,36708.0678,8.0305,2.3578
2014-01-27,36.8764,36838.3152,8.059,2.3662
2014-01-28,37.2132,37174.7878,8.1326,2.3878
2014-01-29,37.1588,37120.518,8.1207,2.3843
2014-01-30,37.6315,37592.665,8.224,2.4147
2014-01-31,37.1045,37066.2483,8.1089,2.3809
2014-02-03,36.1538,36116.5274,7.9011,2.3199
2014-02-04,36.3711,36333.6065,7.9486,2.3338
2014-02-05,36.5613,36523.5506,7.9901,2.346
2014-02-06,36.4472,36409.5841,7.9652,2.3387
2014-02-07,36.8872,36849.1692,8.0614,2.3669
2014-02-10,37.1045,37066.2483,8.1089,2.3809
2014-02-11,37.7293,37690.3505,8.2454,2.4209
2014-02-12,37.55,37511.2603,8.2062,2.4094
2014-02-13,37.626,37587.238,8.2228,2.4143
2014-02-14,37.5283,37489.5524,8.2015,2.408
2014-02-18,37.6423,37603.5189,8.2264,2.4154
2014-02-19,37.55,37511.2603,8.2062,2.4094
2014-02-20,37.6749,37636.0808,8.2335,2.4175
2014-02-21,37.6423,37637.4746,8.2264,2.4154
2014-02-24,37.7456,37740.6802,8.249,2.422
2014-02-25,37.3001,37295.2663,8.1516,2.3934
2014-02-26,37.5989,37594.0195,8.2169,2.4126
2014-02-27,37.425,37420.1995,8.1789,2.4014
2014-02-28,37.7564,37751.544,8.2513,2.4227
2014-03-03,37.425,37420.1995,8.1789,2.4014
2014-03-04,37.5011,37496.2458,8.1955,2.4063
2014-03-05,36.9089,36904.1712,8.0661,2.3683
2014-03-06,36.7079,36703.1917,8.0222,2.3554
2014-03-07,36.6699,36665.1686,8.0139,2.353
2014-03-10,36.7731,36768.3743,8.0364,2.3596
2014-03-11,36.8057,36800.9655,8.0436,2.3617
2014-03-12,36.7351,36730.3511,8.0281,2.3571
2014-03-13,36.382,36377.2791,7.951,2.3345
2014-03-14,36.1212,36116.549,7.894,2.3178
2014-03-17,36.1267,36121.9809,7.8952,2.3181
2014-03-18,36.5667,36561.9629,7.9913,2.3463
2014-03-19,36.6265,36621.7136,8.0044,2.3502
2014-03-20,36.8546,36849.8524,8.0543,2.3648
2014-03-21,36.784,36626.7707,8.0388,2.3603
2014-03-24,36.3222,36166.9751,7.9379,2.3307
2014-03-25,37.1534,36994.6071,8.1196,2.384
2014-03-26,38.0715,37908.7888,8.3202,2.4429
2014-03-27,39.5492,39380.1345,8.6431,2.5377
2014-03-28,39.5763,39407.1813,8.6491,2.5395
2014-03-31,39.9729,39802.0645,8.984,2.5006
2014-04-01,40.0218,39850.7487,8.9949,2.5037
2014-04-02,39.7611,39591.0995,8.9363,2.4874
2014-04-03,39.8697,39699.2867,8.9608,2.4942
2014-04-04,39.6198,39450.4561,8.9046,2.4785
2014-04-07,39.3808,39212.4443,8.8509,2.4636
2014-04-08,39.2776,39109.6665,8.8277,2.4571
2014-04-09,39.9023,39731.7428,8.9681,2.4962
2014-04-10,39.2558,39088.0291,8.8228,2.4558
2014-04-11,39.1037,38936.567,8.7886,2.4462
2014-04-14,39.5275,39358.497,8.8838,2.4727
2014-04-15,39.8534,39683.0586,8.9571,2.4931
2014-04-16,39.9023,39731.7428,8.9681,2.4962
2014-04-17,39.5546,39385.5438,8.8899,2.4744
