Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,106.405,21170.657,18.2653,4.0446
2014-01-03,106.629,21215.2717,18.3038,4.0531
2014-01-06,106.707,21230.7899,18.3172,4.0561
2014-01-07,108.248,21537.2736,18.5816,4.1146
2014-01-08,108.296,21546.9725,18.59,4.1165
2014-01-09,109.34,21754.528,18.769,4.1561
2014-01-10,109.72,21830.179,18.8343,4.1706
2014-01-13,108.277,21543.093,18.5866,4.1157
2014-01-14,108.901,21667.2383,18.6937,4.1395
2014-01-15,109.018,21690.5155,18.7138,4.1439
2014-01-16,109.184,21723.4916,18.7422,4.1502
2014-01-17,108.521,21591.5872,18.6284,4.125
2014-01-21,108.657,21618.744,18.6519,4.1302
2014-01-22,108.764,21640.0815,18.6703,4.1343
2014-01-23,107.633,21415.0681,18.4761,4.0913
2014-01-24,105.05,20901.0289,18.0327,3.9931
2014-01-27,104.221,20736.1484,17.8904,3.9616
2014-01-28,105.498,20990.2583,18.1096,4.0101
2014-01-29,105.04,20899.0891,18.031,3.9927
2014-01-30,105.274,20945.6436,18.0711,4.0016
2014-01-31,105.411,20972.8004,18.0946,4.0068
2014-02-03,102.759,20445.1828,17.6394,3.906
2014-02-04,103.353,20563.5088,17.7415,3.9286
2014-02-05,104.562,20804.0403,17.949,3.9745
2014-02-06,104.484,20788.5222,17.9356,3.9716
2014-02-07,107.36,21360.7545,18.4293,4.0809
2014-02-10,108.16,21519.8157,18.5665,4.1113
2014-02-11,110.158,21809.463,18.9096,4.1873
2014-02-12,110.47,21871.2298,18.9632,4.1991
2014-02-13,111.475,22070.0416,19.1355,4.2373
2014-02-14,111.533,22081.6229,19.1456,4.2395
2014-02-18,112.479,22268.8534,19.3079,4.2755
2014-02-19,111.133,22002.4842,19.077,4.2243
2014-02-20,112.625,22297.8066,19.333,4.281
2014-02-21,112.099,22193.5752,19.2426,4.261
2014-02-24,112.118,22197.4356,19.246,4.2618
2014-02-25,111.66,22106.7157,19.1673,4.2443
2014-02-26,112.011,22176.2033,19.2276,4.2577
2014-02-27,112.216,22216.7377,19.2627,4.2655
2014-02-28,112.333,22239.9003,19.2828,4.2699
2014-03-03,112.06,22185.8543,19.2359,4.2595
2014-03-04,113.775,22525.5716,19.5305,4.3247
2014-03-05,113.366,22444.5027,19.4602,4.3092
2014-03-06,112.274,22228.319,19.2728,4.2677
2014-03-07,112.674,22307.4577,19.3414,4.2829
2014-03-10,112.713,22315.1785,19.3481,4.2844
2014-03-11,112.45,22263.0628,19.3029,4.2744
2014-03-12,112.576,22288.1556,19.3246,4.2792
2014-03-13,112.303,22234.1096,19.2778,4.2688
2014-03-14,112.459,22264.993,19.3046,4.2747
2014-03-17,112.723,22317.1087,19.3497,4.2847
2014-03-18,113.883,22546.8039,19.5489,4.3288
2014-03-19,112.762,22324.8296,19.3564,4.2862
2014-03-20,112.762,22324.8296,19.3564,4.2862
2014-03-21,111.699,22114.4365,19.174,4.2458
2014-03-24,110.714,21919.4851,19.005,4.2084
2014-03-25,111.445,22064.251,19.1305,4.2362
2014-03-26,111.66,22106.7157,19.1673,4.2443
2014-03-27,112.255,22224.4586,19.2694,4.2669
2014-03-28,112.645,22301.667,19.3364,4.2818
2014-03-31,114.146,22598.9197,19.1541,4.1493
2014-04-01,114.321,22633.6635,19.1835,4.1557
2014-04-02,114.224,22614.3614,19.1672,4.1521
2014-04-03,114.468,22662.6166,19.2081,4.161
2014-04-04,113.425,22456.084,19.033,4.1231
2014-04-07,112.547,22282.3649,18.8858,4.0912
2014-04-08,110.899,21956.1591,18.6093,4.0313
2014-04-09,112.586,22290.0858,18.8923,4.0926
2014-04-10,109.817,21741.9056,18.4277,3.9919
2014-04-11,108.394,21460.0947,18.1889,3.9402
2014-04-14,109.905,21759.2775,18.4424,3.9951
2014-04-15,110.909,21958.0893,18.6109,4.0316
2014-04-16,110.1,21797.8818,18.4752,4.0022
2014-04-17,110.324,21842.2766,18.5128,4.0104
2014-04-21,111.27,22029.5072,18.6715,4.0447
2014-04-22,111.328,22041.0885,18.6813,4.0469
2014-04-23,110.851,21946.5081,18.6011,4.0295
2014-04-24,111.182,22012.1353,18.6567,4.0416
2014-04-25,109.739,21726.4639,18.4146,3.9891
2014-04-28,109.983,21774.7192,18.4555,3.998
2014-04-29,109.369,21653.1159,18.3525,3.9756
2014-04-30,110.197,21817.1839,18.4915,4.0058
2014-05-01,108.794,21539.2334,18.2559,3.9547
2014-05-02,109.778,21734.1848,18.4212,3.9905
2014-05-05,110.646,21926.7231,18.5668,4.0221
2014-05-06,111.475,22090.9465,18.7058,4.0522
2014-05-07,112.45,22284.1505,18.8694,4.0876
2014-05-08,113.581,22508.2672,19.0592,4.1287
2014-05-09,114.429,22676.3547,19.2015,4.1596
2014-05-12,115.043,22798.0732,19.3046,4.1819
2014-05-13,114.653,22720.7916,19.2392,4.1677
2014-05-14,114.273,22645.442,19.1754,4.1539
2014-05-15,112.879,22369.1603,18.9414,4.1032
2014-05-16,113.434,22479.2866,19.0347,4.1234
2014-05-19,113.2,22432.9176,18.9954,4.1149
2014-05-20,112.498,22293.8107,18.8776,4.0894
2014-05-21,113.093,22411.6652,18.9774,4.111
2014-05-22,112.645,22322.7913,18.9021,4.0947
2014-05-23,112.801,22353.704,18.9283,4.1004
2014-05-27,113.639,22519.8594,19.069,4.1309
2014-05-28,114.009,22593.2769,19.1312,4.1443
2014-05-29,114.068,22604.8692,19.141,4.1465
2014-05-30,114.75,22740.112,19.2555,4.1713
2014-06-02,115.092,22807.7334,19.3128,4.1837
2014-06-03,115.306,22850.2383,19.3488,4.1915
2014-06-04,116.232,23033.7821,19.5042,4.2251
2014-06-05,115.794,22946.8403,19.4306,4.2092
2014-06-06,116.271,23041.5102,19.5107,4.2265
2014-06-09,117.315,23248.2385,19.6858,4.2645
2014-06-10,116.457,23078.219,19.5418,4.2333
2014-06-11,116.076,23002.8694,19.478,4.2195
2014-06-12,115.238,22836.714,19.3373,4.189
2014-06-13,114.692,22728.5197,19.2457,4.1691
2014-06-16,115.257,22840.5781,19.3406,4.1897
2014-06-17,114.78,22745.9081,19.2604,4.1723
2014-06-18,115.511,22890.8111,19.3831,4.1989
2014-06-19,115.335,22856.0344,19.3537,4.1925
2014-06-20,115.491,22886.947,19.3799,4.1982
2014-06-23,115.521,22892.7431,19.3848,4.1993
2014-06-24,114.945,22778.7528,19.2882,4.1783
2014-06-25,116.252,23037.6462,19.5075,4.2258
2014-06-26,116.671,23120.7239,19.5778,4.2411
2014-06-27,116.603,23107.1996,19.5664,4.2386
2014-06-30,115.335,22856.0344,18.9115,4.1141
2014-07-01,116.778,23141.9763,19.1481,4.1655
2014-07-02,116.866,23159.3647,19.1625,4.1687
2014-07-03,117.11,23207.6657,19.2024,4.1774
2014-07-07,117.198,23225.054,19.2168,4.1805
2014-07-08,116.778,23141.9763,19.1481,4.1655
2014-07-09,116.476,23082.0831,19.0985,4.1548
2014-07-10,115.891,22966.1607,19.0026,4.1339
2014-07-11,116.369,23060.8306,19.0809,4.1509
2014-07-14,116.486,23084.0151,19.1001,4.1551
2014-07-15,116.047,22997.0733,19.0282,4.1395
2014-07-16,116.047,22997.0733,19.0282,4.1395
2014-07-17,114.653,22720.7916,18.7996,4.0897
2014-07-18,115.638,22915.9276,18.961,4.1249
2014-07-21,114.887,22767.1605,18.8379,4.0981
2014-07-22,115.277,22844.4421,18.9019,4.112
2014-07-23,115.638,22915.9276,18.961,4.1249
2014-07-24,115.521,22892.7431,18.9419,4.1207
2014-07-25,115.404,22869.5587,18.9227,4.1165
2014-07-28,115.842,22956.5005,18.9946,4.1322
2014-07-29,115.881,22964.2286,19.001,4.1335
2014-07-30,116.388,23064.6947,19.0841,4.1516
2014-07-31,113.327,22458.0341,18.5822,4.0424
2014-08-01,113.171,22427.1215,18.5566,4.0369
2014-08-04,113.951,22421.7862,18.6845,4.0647
2014-08-05,112.927,22220.3584,18.5166,4.0282
2014-08-06,112.918,22218.44,18.515,4.0278
2014-08-07,111.904,22018.9307,18.3488,3.9917
2014-08-08,113.434,22320.1131,18.5998,4.0463
2014-08-11,113.698,22371.9088,18.6429,4.0556
2014-08-12,113.844,22400.6842,18.6669,4.0609
2014-08-13,114.789,22586.7651,18.822,4.0946
2014-08-14,115.101,22648.1526,18.8731,4.1057
2014-08-15,114.331,22496.6022,18.7468,4.0783
2014-08-18,114.945,22617.4588,18.8475,4.1002
2014-08-19,115.257,22678.8463,18.8987,4.1113
2014-08-20,114.692,22567.5815,18.806,4.0911
2014-08-21,114.585,22546.4795,18.7884,4.0873
2014-08-22,114.039,22439.0514,18.6989,4.0678
2014-08-25,114.516,22533.051,18.7772,4.0849
2014-08-26,114.78,22584.8467,18.8204,4.0942
2014-08-27,113.912,22414.1127,18.6781,4.0633
2014-08-28,113.561,22345.0518,18.6205,4.0508
2014-08-29,114.234,22477.4186,18.7308,4.0748
2014-09-02,113.922,22416.0311,18.6797,4.0636
2014-09-03,114.136,22458.235,18.7149,4.0713
2014-09-04,113.503,22333.5416,18.6109,4.0487
2014-09-05,113.308,22295.1744,18.579,4.0417
2014-09-08,112.255,22087.9916,18.4063,4.0042
2014-09-09,112.654,22166.6443,18.4719,4.0184
2014-09-10,112.147,22066.8896,18.3887,4.0004
2014-09-11,112.303,22097.5834,18.4143,4.0059
2014-09-12,110.86,21813.6662,18.1777,3.9544
2014-09-15,111.202,21880.8088,18.2337,3.9666
2014-09-16,111.426,21924.931,18.2704,3.9746
2014-09-17,111.65,21969.0533,18.3072,3.9826
2014-09-18,112.128,22063.0529,18.3855,3.9997
2014-09-19,110.851,21811.7478,18.1761,3.9541
2014-09-22,109.924,21629.5037,18.0243,3.9211
2014-09-23,109.807,21606.4834,18.0051,3.9169
2014-09-24,110.87,21815.5845,18.1793,3.9548
2014-09-25,110.919,21825.1763,18.1873,3.9565
2014-09-26,111.26,21892.3189,18.2433,3.9687
2014-09-29,111.484,21936.4412,18.28,3.9767
2014-09-30,110.958,21832.8498,17.7563,4.2137
2014-10-01,110.753,21792.5642,17.7235,4.2059
2014-10-02,111.26,21892.3189,17.8047,4.2252
2014-10-03,112.937,22222.2768,18.073,4.2889
2014-10-06,121.848,23975.6574,19.499,4.6273
2014-10-07,124.792,24555.002,19.9702,4.7391
2014-10-08,126.645,24919.4903,20.2666,4.8094
2014-10-09,124.734,24543.4918,19.9608,4.7369
2014-10-10,124.666,24530.0633,19.9499,4.7343
2014-10-13,122.677,24138.7179,19.6316,4.6588
2014-10-14,121.936,23992.9226,19.5131,4.6306
2014-10-15,121.409,23889.3312,19.4288,4.6106
2014-10-16,117.753,23169.9464,18.8437,4.4718
2014-10-17,118.679,23352.1905,18.992,4.507
2014-10-20,119.586,23530.598,19.137,4.5414
2014-10-21,120.22,23655.2913,19.2385,4.5655
2014-10-22,120.62,23733.9441,19.3024,4.5806
2014-10-23,121.868,23979.4941,19.5021,4.628
2014-10-24,122.579,24119.5343,19.616,4.6551
2014-10-27,122.647,24132.9629,19.6269,4.6576
2014-10-28,123.349,24271.0847,19.7393,4.6843
2014-10-29,123.593,24319.0437,19.7783,4.6936
2014-10-30,124.324,24462.9207,19.8953,4.7213
2014-10-31,125.475,24689.2871,20.0794,4.765
2014-11-03,124.227,24443.7371,19.8797,4.7176
2014-11-04,123.174,24236.5543,19.7112,4.6776
2014-11-05,124.032,24405.3699,19.8485,4.7102
2014-11-06,124.724,24541.5734,19.9593,4.7365
2014-11-07,122.394,24083.0855,19.5864,4.648
2014-11-10,125.085,24612.5527,20.017,4.7502
2014-11-11,125.533,24700.7973,20.0888,4.7672
2014-11-12,126.108,24813.9805,20.1808,4.7891
2014-11-13,126.069,24806.3071,20.1746,4.7876
2014-11-14,125.962,24785.2051,20.1574,4.7835
2014-11-17,126.294,24850.4293,20.2104,4.7961
2014-11-18,127.659,25118.9997,20.4289,4.8479
2014-11-19,126.849,24959.7758,20.2994,4.8172
2014-11-20,127.132,25015.4082,20.3446,4.828
2014-11-21,127.113,25011.5715,20.3415,4.8272
2014-11-24,127.824,25151.6118,20.4554,4.8542
2014-11-25,131.354,25846.0579,21.0202,4.9883
2014-11-26,137.72,27118.7342,22.039,5.23
2014-11-28,136.813,26940.1952,21.8939,5.1956
2014-12-01,137.613,27097.6167,22.0218,5.226
2014-12-02,137.486,27072.6596,22.0015,5.2212
2014-12-03,136.852,26947.8743,21.9001,5.1971
2014-12-04,137.155,27007.3873,21.9485,5.2086
2014-12-05,135.663,26713.6618,21.7098,5.1519
2014-12-08,136.277,26834.6076,21.8081,5.1752
2014-12-09,135.955,26771.2551,21.7566,5.163
2014-12-10,133.226,26233.7182,21.3197,5.0594
