Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,56.72,35781.0282,16.4091,3.4058
2014-01-03,57.08,36008.1292,16.5132,3.4275
2014-01-06,57.3,36146.9132,16.5769,3.4407
2014-01-07,56.99,35951.354,16.4872,3.4221
2014-01-08,56.75,35799.9533,16.4178,3.4077
2014-01-09,57.02,35970.2791,16.4959,3.4239
2014-01-10,57.8,36462.3313,16.7215,3.4707
2014-01-13,56.78,35818.8784,16.4265,3.4095
2014-01-14,58.0,36588.4985,16.7794,3.4827
2014-01-15,58.15,36683.124,16.8228,3.4917
2014-01-16,58.28,36765.1327,16.8604,3.4995
2014-01-17,58.51,36910.225,16.9269,3.5133
2014-01-21,58.32,36790.3661,16.872,3.5019
2014-01-22,58.07,36632.6571,16.7997,3.4869
2014-01-23,56.18,35447.7181,16.2529,3.3734
2014-01-24,53.6,33819.8236,15.5065,3.2185
2014-01-27,52.95,33409.6951,15.3184,3.1795
2014-01-28,53.69,33876.6106,15.5325,3.2239
2014-01-29,52.65,33220.4051,15.2316,3.1615
2014-01-30,52.78,33296.0137,15.2693,3.1693
2014-01-31,52.01,32810.2628,15.0465,3.123
2014-02-03,50.2,31668.4328,14.5229,3.0143
2014-02-04,50.82,32059.5569,14.7022,3.0516
2014-02-05,50.57,31901.8456,14.6299,3.0366
2014-02-06,51.22,32311.895,14.8179,3.0756
2014-02-07,52.15,32898.5811,15.087,3.1314
2014-02-10,52.85,33340.1728,15.2895,3.1735
2014-02-11,52.81,33314.939,15.2779,3.1711
2014-02-12,53.15,33529.4264,15.3763,3.1915
2014-02-13,53.13,33516.8095,15.3705,3.1903
2014-02-14,52.81,33314.939,15.2779,3.1711
2014-02-18,53.67,33857.466,15.5267,3.2227
2014-02-19,52.86,33346.4813,15.2924,3.1741
2014-02-20,52.54,33144.6108,15.1998,3.1549
2014-02-21,52.48,33106.7601,15.1825,3.1513
2014-02-24,53.52,33762.8392,15.4833,3.2137
2014-02-25,52.78,33296.0137,15.2693,3.1693
2014-02-26,52.16,32904.8896,15.0899,3.132
2014-02-27,52.95,33403.2574,15.3184,3.1795
2014-02-28,53.25,33592.5109,15.4052,3.1975
2014-03-03,52.57,33163.5362,15.2085,3.1567
2014-03-04,53.45,33718.68,15.4631,3.2095
2014-03-05,53.42,33699.7546,15.4544,3.2077
2014-03-06,53.6,33813.3068,15.5065,3.2185
2014-03-07,53.81,33945.7843,15.5672,3.2311
2014-03-10,53.2,33560.9687,15.3908,3.1945
2014-03-11,52.76,33283.3968,15.2635,3.1681
2014-03-12,52.83,33327.5559,15.2837,3.1723
2014-03-13,51.66,32589.467,14.9452,3.102
2014-03-14,51.12,32248.8105,14.789,3.0696
2014-03-17,51.9,32740.8698,15.0147,3.1164
2014-03-18,52.3,32993.2079,15.1304,3.1404
2014-03-19,51.49,32482.2233,14.8961,3.0918
2014-03-20,52.06,32841.8051,15.061,3.126
2014-03-21,52.34,33018.4417,15.142,3.1428
2014-03-24,52.06,32841.8051,15.061,3.126
2014-03-25,52.86,33346.4813,15.2924,3.1741
2014-03-26,53.68,33863.7744,15.5296,3.2233
2014-03-27,53.05,33466.3419,15.3474,3.1855
2014-03-28,53.67,33857.466,15.5267,3.2227
2014-03-31,54.18,34179.197,15.7067,3.1306
2014-04-01,54.42,34330.5999,15.7763,3.1445
2014-04-02,55.0,34696.4902,15.9445,3.178
2014-04-03,54.59,34437.8436,15.8256,3.1543
2014-04-04,53.41,33693.4462,15.4835,3.0861
2014-04-07,52.09,32860.7304,15.1009,3.0098
2014-04-08,52.9,33371.7151,15.3357,3.0566
2014-04-09,53.36,33661.9039,15.469,3.0832
2014-04-10,52.02,32816.5713,15.0806,3.0058
2014-04-11,51.8,32677.7853,15.0168,2.9931
2014-04-14,52.03,32822.8797,15.0835,3.0064
2014-04-15,51.9,32740.8698,15.0458,2.9988
2014-04-16,52.68,33232.9291,15.2719,3.0439
2014-04-17,53.7,33876.3913,15.5676,3.1028
2014-04-21,53.31,33630.3617,15.4545,3.0803
2014-04-22,54.05,34097.1872,15.6691,3.1231
2014-04-23,54.01,34071.9534,15.6575,3.1208
2014-04-24,53.86,33977.3266,15.614,3.1121
2014-04-25,52.77,33289.7052,15.298,3.0491
2014-04-28,51.47,32307.1856,14.9211,2.974
2014-04-29,51.57,32369.9545,14.9501,2.9798
2014-04-30,52.35,32859.5525,15.1762,3.0248
2014-05-01,52.52,32966.2597,15.2255,3.0347
2014-05-02,52.95,33236.1662,15.3502,3.0595
2014-05-05,52.5,32953.7059,15.2197,3.0335
2014-05-06,51.45,32294.6318,14.9153,2.9728
2014-05-07,53.11,33336.5966,15.3965,3.0688
2014-05-08,53.81,33775.9793,15.5995,3.1092
2014-05-09,54.8,34397.3921,15.8865,3.1664
2014-05-12,55.45,34805.3903,16.0749,3.204
2014-05-13,55.63,34918.3745,16.1271,3.2144
2014-05-14,55.87,35069.02,16.1967,3.2282
2014-05-15,54.31,34089.8241,15.7444,3.1381
2014-05-16,54.33,34102.3779,15.7502,3.1393
2014-05-19,54.96,34497.8224,15.9329,3.1757
2014-05-20,54.0,33895.2404,15.6546,3.1202
2014-05-21,54.81,34403.669,15.8894,3.167
2014-05-22,54.8,34397.3921,15.8865,3.1664
2014-05-23,55.0,34522.93,15.9445,3.178
2014-05-27,55.22,34661.0217,16.0082,3.1907
2014-05-28,55.26,34686.1293,16.0198,3.193
2014-05-29,55.34,34736.3445,16.043,3.1976
2014-05-30,55.21,34654.7448,16.0053,3.1901
2014-06-02,55.36,34748.8983,16.0488,3.1988
2014-06-03,55.22,34661.0217,16.0082,3.1907
2014-06-04,55.71,34968.5896,16.1503,3.219
2014-06-05,56.05,35182.0041,16.2489,3.2386
2014-06-06,56.59,35520.9565,16.4054,3.2698
2014-06-09,56.58,35514.6796,16.4025,3.2693
2014-06-10,56.74,35615.11,16.4489,3.2785
2014-06-11,56.25,35307.542,16.3068,3.2502
2014-06-12,56.02,35163.1734,16.2402,3.2369
2014-06-13,55.61,34905.8207,16.1213,3.2132
2014-06-16,55.34,34736.3445,16.043,3.1976
2014-06-17,56.17,35257.3269,16.2836,3.2456
2014-06-18,58.16,36506.4292,16.8605,3.3606
2014-06-19,57.87,36324.3992,16.7765,3.3438
2014-06-20,58.04,36431.1065,16.8258,3.3536
2014-06-23,58.08,36456.2141,16.8373,3.3559
2014-06-24,57.46,36067.0465,16.6576,3.3201
2014-06-25,57.47,36073.3234,16.6605,3.3207
