Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,81.92,12092.0075,17.3713,1.3208
2014-01-03,81.25,11993.1105,17.2292,1.31
2014-01-06,81.09,11969.4933,17.1953,1.3074
2014-01-07,81.65,12052.1535,17.314,1.3164
2014-01-08,81.33,12004.9191,17.2462,1.3113
2014-01-09,81.23,11990.1583,17.225,1.3096
2014-01-10,81.45,12022.632,17.2716,1.3132
2014-01-13,81.06,11965.065,17.1889,1.3069
2014-01-14,81.81,12075.7707,17.348,1.319
2014-01-15,81.58,12041.8209,17.2992,1.3153
2014-01-16,81.47,12025.5841,17.2759,1.3135
2014-01-17,81.3,12000.4908,17.2398,1.3108
2014-01-21,81.34,12006.3951,17.2483,1.3114
2014-01-22,81.09,11969.4933,17.1953,1.3074
2014-01-23,80.1,11823.3618,16.9854,1.2914
2014-01-24,77.64,11460.2473,16.4637,1.2518
2014-01-27,77.03,11370.2068,16.3344,1.2419
2014-01-28,77.47,11435.1541,16.4277,1.249
2014-01-29,75.95,11210.7906,16.1053,1.2245
2014-01-30,76.64,11312.6398,16.2517,1.2356
2014-01-31,75.76,11182.7452,16.065,1.2215
2014-02-03,74.43,10986.4272,15.783,1.2
2014-02-04,73.51,10850.6283,15.5879,1.1852
2014-02-05,74.26,10961.3339,15.747,1.1973
2014-02-06,75.12,11088.2764,15.9293,1.2111
2014-02-07,75.19,11098.6089,15.9442,1.2123
2014-02-10,74.62,11014.4727,15.8233,1.2031
2014-02-11,76.4,11277.214,16.2008,1.2318
2014-02-12,75.93,11207.8385,16.1011,1.2242
2014-02-13,77.36,11418.9172,16.4043,1.2473
2014-02-14,78.62,11604.9027,16.6715,1.2676
2014-02-18,78.31,11559.1444,16.6058,1.2626
2014-02-19,78.4,11572.4291,16.6249,1.264
2014-02-20,79.14,11681.6586,16.7818,1.276
2014-02-21,79.37,11715.6083,16.8306,1.2797
2014-02-24,79.88,11790.8882,16.9387,1.2879
2014-02-25,80.01,11810.0771,16.9663,1.29
2014-02-26,80.04,11814.5054,16.9726,1.2905
2014-02-27,79.49,11733.3212,16.856,1.2816
2014-02-28,79.61,11743.4808,16.8814,1.2835
2014-03-03,78.43,11569.4159,16.6312,1.2645
2014-03-04,78.82,11626.9458,16.7139,1.2708
2014-03-05,78.38,11562.0403,16.6206,1.2637
2014-03-06,80.25,11837.8889,17.0172,1.2938
2014-03-07,79.98,11798.0605,16.9599,1.2895
2014-03-10,80.55,11882.1427,17.0808,1.2987
2014-03-11,79.1,11668.2494,16.7733,1.2753
2014-03-12,78.41,11566.4657,16.627,1.2642
2014-03-13,78.0,11505.9855,16.54,1.2576
2014-03-14,78.16,11529.5875,16.574,1.2602
2014-03-17,78.5,11579.7418,16.6461,1.2656
2014-03-18,79.04,11659.3986,16.7606,1.2743
2014-03-19,78.14,11526.6372,16.5697,1.2598
2014-03-20,78.28,11547.289,16.5994,1.2621
2014-03-21,78.35,11557.6149,16.6143,1.2632
2014-03-24,77.96,11500.085,16.5316,1.2569
2014-03-25,78.16,11529.5875,16.574,1.2602
2014-03-26,77.5,11432.2292,16.434,1.2495
2014-03-27,78.23,11539.9134,16.5888,1.2613
2014-03-28,78.98,11650.5479,16.7479,1.2734
2014-03-31,79.51,11728.7296,21.8849,1.28
2014-04-01,79.56,11736.1052,21.8986,1.2808
2014-04-02,79.47,11722.829,21.8739,1.2793
2014-04-03,79.49,11725.7793,21.8794,1.2796
2014-04-04,78.2,11535.488,21.5243,1.2589
2014-04-07,78.04,11511.886,21.4803,1.2563
2014-04-08,79.99,11799.5356,22.017,1.2877
2014-04-09,80.36,11854.1153,22.1188,1.2936
2014-04-10,79.4,11712.5032,21.8546,1.2782
2014-04-11,78.25,11542.8636,21.5381,1.2597
2014-04-14,79.26,11661.754,21.8161,1.2759
2014-04-15,79.58,11708.8365,21.9041,1.2811
2014-04-16,81.12,11935.4212,22.328,1.3059
2014-04-17,80.25,11807.4156,22.0886,1.2919
2014-04-21,79.99,11769.161,22.017,1.2877
2014-04-22,80.11,11786.8169,22.05,1.2896
2014-04-23,80.77,11883.9247,22.2317,1.3002
2014-04-24,80.77,11883.9247,22.2317,1.3002
2014-04-25,81.38,11973.6757,22.3996,1.3101
2014-04-28,79.88,11752.9764,21.9867,1.2859
2014-04-29,79.81,11742.6771,21.9674,1.2848
2014-04-30,79.65,11719.1358,21.9234,1.2822
2014-05-01,75.34,11084.993,20.7371,1.2128
2014-05-02,76.4,11240.9539,21.0289,1.2299
2014-05-05,75.57,11118.8336,20.8004,1.2165
2014-05-06,75.48,11105.5916,20.7756,1.2151
2014-05-07,77.1,11350.0633,21.2215,1.2412
2014-05-08,76.76,11300.0111,21.1279,1.2357
2014-05-09,76.94,11326.5093,21.1775,1.2386
2014-05-12,77.55,11416.3088,21.3454,1.2484
2014-05-13,77.6,11423.6694,21.3592,1.2492
2014-05-14,77.54,11414.8367,21.3426,1.2482
2014-05-15,76.3,11232.2935,21.0013,1.2283
2014-05-16,76.69,11289.7063,21.1087,1.2346
2014-05-19,76.58,11273.5129,21.0784,1.2328
2014-05-20,77.01,11336.8142,21.1968,1.2397
2014-05-21,76.46,11255.8474,21.0454,1.2309
2014-05-22,75.5,11114.5237,20.7811,1.2154
