Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,7.53,733.2258,,47.9714
2014-01-03,7.63,742.9632,,48.6085
2014-01-06,7.65,744.9106,,48.7359
2014-01-07,7.41,721.5409,,47.2069
2014-01-08,7.41,721.5409,,47.2069
2014-01-09,7.53,733.2258,,47.9714
2014-01-10,7.73,752.7006,,49.2456
2014-01-13,7.61,741.0157,,48.4811
2014-01-14,7.85,764.3854,,50.01
2014-01-15,7.73,752.7006,,49.2456
2014-01-16,7.97,776.0703,,50.7745
2014-01-17,7.75,754.648,,49.373
2014-01-21,7.84,763.4117,,49.9463
2014-01-22,8.22,800.4138,,52.3672
2014-01-23,8.42,819.8886,,53.6413
2014-01-24,8.0,778.9915,,50.9656
2014-01-27,7.93,772.1753,,50.5197
2014-01-28,8.12,790.6764,,51.7301
2014-01-29,7.92,771.2016,,50.456
2014-01-30,8.1,788.7289,,51.6027
2014-01-31,8.05,783.8602,,51.2842
2014-02-03,7.59,739.0682,,48.3537
2014-02-04,7.58,738.0945,,48.2899
2014-02-05,7.51,731.2783,,47.844
2014-02-06,7.7,749.7793,,49.0544
2014-02-07,7.67,746.8581,,48.8633
2014-02-10,7.56,736.147,,48.1625
2014-02-11,7.67,746.8581,,48.8633
2014-02-12,8.06,784.834,,51.3479
2014-02-13,8.12,790.6764,,51.7301
2014-02-14,8.16,794.5713,,51.985
2014-02-18,8.21,799.44,,52.3035
2014-02-19,8.15,793.5976,,51.9212
2014-02-20,8.21,799.44,,52.3035
2014-02-21,8.74,855.6897,,55.68
2014-02-24,8.41,823.381,,53.5776
2014-02-25,8.6,841.983,,54.7881
2014-02-26,8.51,833.1715,,54.2147
2014-02-27,8.84,865.4802,,56.317
2014-02-28,8.61,843.3495,,54.8518
2014-03-03,8.49,831.5955,,54.0873
2014-03-04,8.64,846.288,,55.0429
2014-03-05,8.68,850.206,,55.2977
2014-03-06,8.7,852.165,,55.4251
2014-03-07,8.6,842.37,,54.7881
2014-03-10,8.57,839.4315,,54.5969
2014-03-11,8.47,829.6365,,53.9599
2014-03-12,8.47,829.6365,,53.9599
2014-03-13,8.18,801.231,,52.1124
2014-03-14,8.26,809.067,,52.622
2014-03-17,8.19,802.2105,,52.1761
2014-03-18,8.59,841.3905,,54.7244
2014-03-19,8.48,830.616,,54.0236
2014-03-20,8.49,831.5955,,54.0873
2014-03-21,8.19,802.2105,,52.1761
2014-03-24,8.32,814.944,,53.0043
2014-03-25,8.49,831.5955,,54.0873
2014-03-26,8.0,783.6,,50.9656
2014-03-27,7.97,780.6615,,50.7745
2014-03-28,8.04,787.518,,51.2205
2014-03-31,9.1,891.345,,70.7898
2014-04-01,9.07,888.4065,,70.5564
2014-04-02,8.99,880.5705,,69.9341
2014-04-03,9.07,888.4065,,70.5564
2014-04-04,8.91,872.7345,,69.3118
2014-04-07,8.69,851.1855,,67.6004
2014-04-08,8.56,838.452,,66.5891
2014-04-09,8.76,858.042,,68.1449
2014-04-10,8.46,828.657,,65.8112
2014-04-11,8.42,824.739,,65.5
2014-04-14,8.5,832.7421,,66.1224
2014-04-15,8.39,821.9654,,65.2667
2014-04-16,8.58,840.5797,,66.7447
2014-04-17,8.69,851.3563,,67.6004
2014-04-21,8.57,839.6,,66.6669
2014-04-22,8.6,842.5391,,66.9003
2014-04-23,8.37,820.006,,65.1111
2014-04-24,8.47,829.803,,65.889
2014-04-25,8.0,783.7573,,62.2328
2014-04-28,7.84,768.0821,,60.9882
2014-04-29,7.85,769.0618,,61.0659
2014-04-30,7.85,769.0618,,61.0659
2014-05-01,7.9,773.9603,,61.4549
2014-05-02,8.11,794.7775,,63.0885
2014-05-05,7.87,771.2576,,61.2215
2014-05-06,7.52,736.9577,,58.4988
2014-05-07,7.41,726.1777,,57.6431
2014-05-08,7.38,723.2377,,57.4098
2014-05-09,7.4,725.1977,,57.5653
2014-05-12,7.64,748.7177,,59.4323
2014-05-13,7.48,733.0377,,58.1877
2014-05-14,7.18,703.6378,,55.8539
2014-05-15,7.13,698.7378,,55.465
2014-05-16,7.14,699.7178,,55.5428
2014-05-19,7.195,705.1078,,55.9706
2014-05-20,7.06,691.8778,,54.9205
2014-05-21,7.05,690.8978,,54.8427
2014-05-22,7.21,706.5778,,56.0873
2014-05-23,7.31,716.3778,,56.8652
2014-05-27,7.33,718.3378,,57.0208
2014-05-28,7.37,722.2578,,57.332
2014-05-29,7.17,702.6578,,55.7762
2014-05-30,7.18,703.6378,,55.8539
2014-06-02,7.1,695.7978,,55.2316
2014-06-03,7.13,698.7378,,55.465
2014-06-04,7.14,699.7178,,55.5428
2014-06-05,7.26,711.4778,,56.4763
2014-06-06,7.54,738.9177,,58.6544
2014-06-09,8.03,786.9375,,62.4662
2014-06-10,7.97,781.0576,,61.9994
2014-06-11,7.74,758.5176,,60.2102
2014-06-12,7.67,751.6577,,59.6657
2014-06-13,7.53,737.9377,,58.5766
2014-06-16,7.52,736.9577,,58.4988
2014-06-17,7.51,735.9777,,58.421
2014-06-18,7.5,734.9977,,58.3433
2014-06-19,7.545,739.4077,,58.6933
2014-06-20,7.35,720.2978,,57.1764
2014-06-23,7.45,730.0977,,57.9543
2014-06-24,7.41,726.1777,,57.6431
2014-06-25,7.3,715.3978,,56.7874
2014-06-26,7.3,715.3978,,56.7874
2014-06-27,7.36,721.2778,,57.2542
2014-06-30,7.48,733.0377,31.1767,29.8847
2014-07-01,7.76,760.4776,32.3437,31.0033
2014-07-02,7.58,742.8377,31.5935,30.2842
2014-07-03,7.62,746.7577,31.7602,30.444
2014-07-07,7.27,712.4578,30.3014,29.0456
2014-07-08,7.14,699.7178,29.7595,28.5263
2014-07-09,6.94,680.1179,28.9259,27.7272
2014-07-10,6.85,671.2979,28.5508,27.3676
2014-07-11,6.97,683.0579,29.051,27.8471
2014-07-14,6.86,672.2779,28.5925,27.4076
2014-07-15,6.86,672.2779,28.5925,27.4076
2014-07-16,6.9,676.1979,28.7592,27.5674
2014-07-17,6.63,649.738,27.6339,26.4887
2014-07-18,6.78,664.4379,28.2591,27.088
2014-07-21,6.59,645.818,27.4671,26.3289
2014-07-22,6.81,667.3779,28.3841,27.2078
2014-07-23,6.73,659.5379,28.0507,26.8882
2014-07-24,6.58,644.838,27.4255,26.2889
2014-07-25,6.0,587.9982,25.008,23.9716
2014-07-28,5.85,573.2982,24.3828,23.3724
2014-07-29,6.07,594.8581,25.2998,24.2513
2014-07-30,6.23,610.5381,25.9667,24.8906
2014-07-31,5.94,582.1182,24.7579,23.7319
2014-08-01,5.925,581.1893,24.6954,23.672
2014-08-04,6.09,597.3744,25.3831,24.3312
2014-08-05,6.11,599.3362,25.4665,24.4111
2014-08-06,6.12,600.3171,25.5082,24.4511
2014-08-07,6.06,594.4316,25.2581,24.2114
2014-08-08,6.3,617.9735,26.2584,25.1702
2014-08-11,6.3,617.9735,26.2584,25.1702
2014-08-12,6.12,600.3171,25.5082,24.4511
2014-08-13,6.14,602.2789,25.5915,24.531
2014-08-14,6.25,613.0689,26.05,24.9705
2014-08-15,6.31,618.9544,26.3001,25.2102
2014-08-18,6.48,635.6299,27.0087,25.8894
2014-08-19,6.83,669.9617,28.4675,27.2877
2014-08-20,6.81,667.9999,28.3841,27.2078
2014-08-21,6.82,668.9808,28.4258,27.2478
2014-08-22,6.76,663.0953,28.1757,27.0081
2014-08-25,6.94,680.7517,28.9259,27.7272
2014-08-26,6.87,673.8854,28.6342,27.4475
2014-08-27,6.88,674.8663,28.6759,27.4875
2014-08-28,6.85,671.9235,28.5508,27.3676
2014-08-29,6.9,676.8281,28.7592,27.5674
2014-09-02,7.01,687.6181,29.2177,28.0069
2014-09-03,6.74,661.1335,28.0923,26.9282
2014-09-04,6.74,661.1335,28.0923,26.9282
2014-09-05,6.81,667.9999,28.3841,27.2078
2014-09-08,6.86,672.9044,28.5925,27.4076
2014-09-09,6.67,654.2671,27.8006,26.6485
2014-09-10,6.56,643.4771,27.3421,26.209
2014-09-11,6.63,650.3435,27.6339,26.4887
2014-09-12,6.46,633.668,26.9253,25.8095
2014-09-15,6.27,615.0307,26.1334,25.0504
2014-09-16,6.25,613.0689,26.05,24.9705
2014-09-17,6.4,627.7826,26.6752,25.5698
2014-09-18,6.41,628.7635,26.7169,25.6097
2014-09-19,6.15,603.2598,25.6332,24.5709
2014-09-22,5.88,576.7752,24.5079,23.4922
2014-09-23,5.88,576.7752,24.5079,23.4922
2014-09-24,5.8,568.928,24.1744,23.1726
2014-09-25,5.73,562.0616,23.8827,22.8929
2014-09-26,5.73,562.0616,23.8827,22.8929
2014-09-29,5.67,556.1761,23.6326,22.6532
2014-09-30,5.45,534.5961,31.6173,15.1784
2014-10-01,5.355,525.2774,31.0662,14.9138
2014-10-02,5.51,540.4816,31.9654,15.3455
2014-10-03,5.46,535.577,31.6753,15.2062
2014-10-06,5.37,526.7488,31.1532,14.9556
2014-10-07,5.21,511.0542,30.225,14.51
2014-10-08,5.35,524.787,31.0372,14.8999
2014-10-09,5.07,497.3215,29.4128,14.1201
2014-10-10,4.92,482.6078,28.5426,13.7023
2014-10-13,4.97,487.5124,28.8327,13.8416
2014-10-14,5.0,490.4551,29.0067,13.9251
2014-10-15,5.125,502.7165,29.7319,14.2732
2014-10-16,5.2,510.0733,30.167,14.4821
2014-10-17,5.37,526.7488,31.1532,14.9556
2014-10-20,5.53,542.4434,32.0814,15.4012
2014-10-21,5.565,545.8766,32.2845,15.4986
2014-10-22,5.49,538.5197,31.8494,15.2898
2014-10-23,5.63,552.2525,32.6615,15.6797
2014-10-24,5.74,563.0425,33.2997,15.986
2014-10-27,5.45,534.5961,31.6173,15.1784
2014-10-28,5.69,558.1379,33.0096,15.8468
2014-10-29,5.73,562.0616,33.2417,15.9582
2014-10-30,5.87,575.7943,34.0539,16.3481
2014-10-31,5.93,581.6798,34.4019,16.5152
2014-11-03,5.88,576.7752,34.1119,16.3759
2014-11-04,5.76,565.0043,33.4157,16.0417
2014-11-05,5.925,581.5093,34.3729,16.5012
2014-11-06,5.88,577.0928,34.1119,16.3759
2014-11-07,5.87,576.1113,34.0539,16.3481
2014-11-10,5.9,579.0557,34.2279,16.4316
2014-11-11,5.92,581.0186,34.3439,16.4873
2014-11-12,6.0,588.8702,34.808,16.7101
2014-11-13,5.84,573.167,33.8798,16.2645
2014-11-14,5.95,583.9629,34.518,16.5709
2014-11-17,5.77,566.2968,33.4737,16.0696
2014-11-18,5.92,581.0186,34.3439,16.4873
2014-11-19,5.78,567.2783,33.5317,16.0974
2014-11-20,6.15,603.5919,35.6782,17.1279
2014-11-21,6.16,604.5734,35.7362,17.1557
2014-11-24,6.4,628.1282,37.1286,17.8241
2014-11-25,6.41,629.1096,37.1866,17.852
2014-11-26,6.27,615.3693,36.3744,17.4621
2014-11-28,6.16,604.5734,35.7362,17.1557
2014-12-01,6.12,600.6476,35.5042,17.0443
2014-12-02,6.51,638.9241,37.7667,18.1305
2014-12-03,6.67,654.6273,38.6949,18.5761
2014-12-04,6.52,639.9056,37.8247,18.1583
2014-12-05,6.65,652.6644,38.5789,18.5204
2014-12-08,6.55,642.8499,37.9988,18.2419
2014-12-09,6.74,661.4975,39.101,18.771
2014-12-10,6.38,626.1653,37.0125,17.7684
2014-12-11,6.26,614.3879,36.3164,17.4342
2014-12-12,6.11,599.6661,35.4462,17.0165
2014-12-15,6.1,598.6847,35.3882,16.9886
2014-12-16,6.15,603.5919,35.6782,17.1279
2014-12-17,6.51,638.9241,37.7667,18.1305
2014-12-18,6.59,646.7757,38.2308,18.3533
2014-12-19,6.66,653.6459,38.6369,18.5482
2014-12-22,6.73,660.516,39.043,18.7432
