Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,312.8,52265.789,19.727,1.9694
2014-01-03,314.17,52494.7025,19.8134,1.978
2014-01-06,314.07,52477.9935,19.8071,1.9774
2014-01-07,316.96,52960.8839,19.9894,1.9956
2014-01-08,316.86,52944.1749,19.9831,1.9949
2014-01-09,316.08,52813.8446,19.9339,1.99
2014-01-10,314.94,52623.3619,19.862,1.9828
2014-01-13,306.47,51208.1086,19.3278,1.9295
2014-01-14,310.52,51884.8236,19.5832,1.955
2014-01-15,312.75,52257.4345,19.7239,1.969
2014-01-16,317.78,53617.3549,20.0411,2.0007
2014-01-17,316.72,53438.5066,19.9742,1.994
2014-01-21,318.77,53784.3924,20.1035,2.0069
2014-01-22,323.89,54648.2632,20.4264,2.0392
2014-01-23,315.57,53244.4731,19.9017,1.9868
2014-01-24,303.11,51142.1626,19.1159,1.9084
2014-01-27,299.95,50608.9924,18.9166,1.8885
2014-01-28,303.69,51240.023,19.1525,1.912
2014-01-29,299.21,50484.136,18.87,1.8838
2014-01-30,305.44,51535.2913,19.2629,1.923
2014-01-31,300.47,50696.7292,18.9494,1.8917
2014-02-03,286.39,48321.0846,18.0615,1.8031
2014-02-04,289.75,48887.9998,18.2734,1.8242
2014-02-05,289.27,48807.0119,18.2431,1.8212
2014-02-06,294.87,49751.8706,18.5963,1.8565
2014-02-07,299.87,50595.4944,18.9116,1.888
2014-02-10,301.03,50791.2151,18.9847,1.8953
2014-02-11,305.15,51486.3611,19.2446,1.9212
2014-02-12,303.51,51209.6525,19.1411,1.9109
2014-02-13,304.54,51383.439,19.2061,1.9174
2014-02-14,303.03,51128.6646,19.1109,1.9078
2014-02-18,305.96,51623.0282,19.2957,1.9263
2014-02-19,300.49,50700.1037,18.9507,1.8919
2014-02-20,300.52,50705.1655,18.9526,1.892
2014-02-21,299.0,50448.7038,18.8567,1.8825
2014-02-24,302.59,51054.4257,19.0831,1.9051
2014-02-25,300.2,50651.1735,18.9324,1.89
2014-02-26,297.63,50217.5509,18.7703,1.8739
2014-02-27,305.81,51597.7195,19.2862,1.9254
2014-02-28,304.84,51063.3513,19.225,1.9192
2014-03-03,300.35,50311.2373,18.9419,1.891
2014-03-04,307.22,51462.022,19.3751,1.9342
2014-03-05,307.08,51438.5708,19.3663,1.9333
2014-03-06,311.11,52113.6309,19.6204,1.9587
2014-03-07,310.79,52060.0281,19.6003,1.9567
2014-03-10,308.47,51671.4079,19.454,1.9421
2014-03-11,308.79,51725.0107,19.4741,1.9441
2014-03-12,308.88,51740.0865,19.4798,1.9447
2014-03-13,299.25,50126.9777,18.8725,1.8841
2014-03-14,295.71,49533.9969,18.6492,1.8618
2014-03-17,298.71,50036.523,18.8384,1.8807
2014-03-18,301.08,50433.5186,18.9879,1.8956
2014-03-19,298.4,49984.5953,18.8189,1.8787
2014-03-20,300.99,50418.4429,18.9822,1.895
2014-03-21,301.86,50564.1754,19.0371,1.9005
2014-03-24,302.58,50684.7817,19.0825,1.905
2014-03-25,307.6,51525.6754,19.3991,1.9366
2014-03-26,309.25,51802.0647,19.5031,1.947
2014-03-27,306.5,51341.4158,19.3297,1.9297
2014-03-28,310.89,52076.779,19.6066,1.9573
2014-03-31,314.48,52678.1352,18.9603,1.9835
2014-04-01,316.89,53081.8312,19.1056,1.9987
2014-04-02,318.55,53359.8956,19.2057,2.0092
2014-04-03,314.64,52704.9366,18.97,1.9845
