Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,39.29,4682.7036,19.0113,5.4617
2014-01-03,39.49,4706.5402,19.1081,5.4895
2014-01-06,39.6,4719.6504,19.1613,5.5047
2014-01-07,39.24,4676.7445,18.9871,5.4547
2014-01-08,38.44,4581.398,18.6,5.3435
2014-01-09,38.39,4575.4388,18.5758,5.3365
2014-01-10,38.43,4580.2062,18.5952,5.3421
2014-01-13,38.24,4557.5614,18.5032,5.3157
2014-01-14,38.48,4586.1653,18.6194,5.3491
2014-01-15,38.57,4596.8918,18.6629,5.3616
2014-01-16,38.48,4586.1653,18.6194,5.3491
2014-01-17,38.43,4580.2062,18.5952,5.3421
2014-01-21,38.28,4562.3287,18.5226,5.3213
2014-01-22,38.54,4593.3163,18.6484,5.3574
2014-01-23,38.01,4530.1493,18.392,5.2837
2014-01-24,36.71,4375.2112,17.7629,5.103
2014-01-27,36.26,4321.5789,17.5452,5.0405
2014-01-28,36.49,4348.991,17.6565,5.0724
2014-01-29,36.1,4302.5096,17.4678,5.0182
2014-01-30,36.81,4387.1296,17.8113,5.1169
2014-01-31,36.29,4325.1543,17.5597,5.0446
2014-02-03,35.28,4204.7794,17.071,4.9042
2014-02-04,35.73,4258.4118,17.2887,4.9668
2014-02-05,35.54,4235.767,17.1968,4.9404
2014-02-06,36.12,4314.3283,17.4774,5.021
2014-02-07,37.19,4442.1337,17.9952,5.1697
2014-02-10,36.97,4415.856,17.8887,5.1392
2014-02-11,37.16,4438.5504,17.9807,5.1656
2014-02-12,37.27,4451.6893,18.0339,5.1809
2014-02-13,37.11,4432.5782,17.9565,5.1586
2014-02-14,37.28,4452.8837,18.0387,5.1822
2014-02-18,37.65,4497.0781,18.2178,5.2337
2014-02-19,37.25,4449.3004,18.0242,5.1781
2014-02-20,37.11,4432.5782,17.9565,5.1586
2014-02-21,37.02,4421.8282,17.9129,5.1461
2014-02-24,37.01,4420.6337,17.9081,5.1447
2014-02-25,37.06,4426.606,17.9323,5.1517
2014-02-26,37.46,4474.3837,18.1258,5.2073
2014-02-27,37.54,4483.9392,18.1645,5.2184
2014-02-28,37.76,4510.217,18.271,5.249
2014-03-03,37.89,4525.7447,18.3339,5.267
2014-03-04,38.83,4638.0224,18.7887,5.3977
2014-03-05,38.79,4633.2446,18.7694,5.3921
2014-03-06,38.51,4599.8002,18.6339,5.3532
2014-03-07,38.77,4630.8557,18.7597,5.3894
2014-03-10,38.56,4605.7724,18.6581,5.3602
2014-03-11,38.28,4572.328,18.5226,5.3213
2014-03-12,38.0,4538.8836,18.3871,5.2823
2014-03-13,37.27,4451.6893,18.0339,5.1809
2014-03-14,37.23,4446.9115,18.0145,5.1753
2014-03-17,37.48,4476.7726,18.1355,5.21
2014-03-18,37.7,4503.0503,18.242,5.2406
2014-03-19,37.15,4437.3559,17.9758,5.1642
2014-03-20,37.31,4456.467,18.0532,5.1864
2014-03-21,36.33,4339.4116,17.5791,5.0502
2014-03-24,36.3,4335.8283,17.5645,5.046
2014-03-25,36.52,4362.106,17.671,5.0766
2014-03-26,36.54,4364.4949,17.6807,5.0794
2014-03-27,36.32,4338.2172,17.5742,5.0488
2014-03-28,36.32,4338.2172,17.5742,5.0488
2014-03-31,37.14,4436.1615,17.6231,4.9539
2014-04-01,37.9,4526.9392,17.9837,5.0553
2014-04-02,37.97,4535.3003,18.0169,5.0646
2014-04-03,37.66,4498.2725,17.8698,5.0233
2014-04-04,36.56,4366.8838,17.3479,4.8766
2014-04-07,36.25,4329.8561,17.2008,4.8352
2014-04-08,36.74,4388.3838,17.4333,4.9006
2014-04-09,37.32,4457.6615,17.7085,4.9779
2014-04-10,36.59,4370.4671,17.3621,4.8806
2014-04-11,35.61,4253.4117,16.8971,4.7498
2014-04-14,35.78,4273.7172,16.9778,4.7725
2014-04-15,35.79,4274.9117,16.9825,4.7739
2014-04-16,36.49,4358.5227,17.3146,4.8672
2014-04-17,36.82,4397.9393,17.4712,4.9112
2014-04-21,36.86,4402.7171,17.4902,4.9166
2014-04-22,37.2,4443.3282,17.6515,4.9619
2014-04-23,37.2,4443.3282,17.6515,4.9619
2014-04-24,37.61,4492.3003,17.8461,5.0166
2014-04-25,37.17,4439.7448,17.6373,4.9579
2014-04-28,37.58,4488.717,17.8319,5.0126
2014-04-29,37.55,4485.1337,17.8176,5.0086
2014-04-30,38.34,4579.4947,18.1925,5.114
2014-05-01,38.23,4566.3558,18.1403,5.0993
2014-05-02,38.38,4584.2724,18.2115,5.1193
2014-05-05,38.6,4610.5502,18.3159,5.1487
2014-05-06,38.43,4590.2447,18.2352,5.126
2014-05-07,38.61,4611.7446,18.3206,5.15
2014-05-08,38.31,4575.9113,18.1782,5.11
2014-05-09,38.5,4645.8081,18.2684,5.1353
2014-05-12,38.94,4698.9031,18.4772,5.194
2014-05-13,39.78,4800.2662,18.8758,5.3061
2014-05-14,39.2,4730.2774,18.6006,5.2287
2014-05-15,38.49,4644.6014,18.2637,5.134
2014-05-16,38.8,4682.0092,18.4108,5.1753
2014-05-19,39.54,4771.3053,18.7619,5.2741
2014-05-20,38.82,4684.4227,18.4202,5.178
2014-05-21,39.54,4771.3053,18.7619,5.2741
2014-05-22,39.84,4807.5064,18.9042,5.3141
2014-05-23,40.47,4883.5287,19.2032,5.3981
2014-05-27,40.86,4930.5902,19.3882,5.4501
2014-05-28,40.82,4925.7633,19.3693,5.4448
2014-05-29,41.25,4977.6516,19.5733,5.5021
2014-05-30,41.02,4949.8974,19.4642,5.4715
2014-06-02,41.55,5013.8527,19.7156,5.5422
2014-06-03,41.23,4975.2382,19.5638,5.4995
2014-06-04,42.13,5083.8415,19.9909,5.6195
2014-06-05,41.51,5009.0259,19.6967,5.5368
2014-06-06,41.59,5018.6795,19.7346,5.5475
2014-06-09,41.25,4977.6516,19.5733,5.5021
2014-06-10,41.22,4974.0315,19.5591,5.4981
2014-06-11,41.21,4972.8248,19.5543,5.4968
2014-06-12,40.75,4917.3164,19.336,5.4354
2014-06-13,40.76,4918.5231,19.3408,5.4368
2014-06-16,40.55,4893.1823,19.2411,5.4088
2014-06-17,40.92,4937.8304,19.4167,5.4581
2014-06-18,40.95,4941.4505,19.4309,5.4621
2014-06-19,40.87,4931.7969,19.393,5.4515
2014-06-20,40.86,4930.5902,19.3882,5.4501
2014-06-23,40.91,4936.6237,19.412,5.4568
2014-06-24,40.66,4906.4561,19.2933,5.4234
2014-06-25,40.79,4922.1432,19.355,5.4408
2014-06-26,40.64,4904.0427,19.2838,5.4208
2014-06-27,40.77,4919.7298,19.3455,5.4381
2014-06-30,41.64,5024.713,19.6415,5.1741
2014-07-01,41.69,5030.7465,19.6651,5.1804
2014-07-02,41.09,4958.3443,19.3821,5.1058
2014-07-03,41.56,5015.0594,19.6038,5.1642
2014-07-07,41.11,4960.7577,19.3915,5.1083
2014-07-08,40.84,4928.1767,19.2642,5.0747
2014-07-09,40.87,4931.7969,19.2783,5.0785
2014-07-10,40.76,4918.5231,19.2264,5.0648
2014-07-11,40.93,4939.0371,19.3066,5.0859
2014-07-14,41.16,4966.7913,19.4151,5.1145
2014-07-15,41.2,4971.6181,19.434,5.1195
2014-07-16,40.83,4926.97,19.2594,5.0735
2014-07-17,40.25,4856.9812,18.9858,5.0014
2014-07-18,40.83,4926.97,19.2594,5.0735
2014-07-21,40.63,4902.836,19.1651,5.0486
2014-07-22,40.95,4941.4505,19.316,5.0884
2014-07-23,41.11,4960.7577,19.3915,5.1083
2014-07-24,41.12,4961.9644,19.3962,5.1095
2014-07-25,41.41,4996.9588,19.533,5.1456
2014-07-28,41.45,5001.7857,19.5519,5.1505
2014-07-29,41.26,4978.8583,19.4623,5.1269
2014-07-30,41.29,4982.4784,19.4764,5.1307
2014-07-31,40.37,4871.4617,19.0425,5.0163
2014-08-01,40.52,4889.5622,19.1132,5.035
2014-08-04,40.94,4940.2438,19.3113,5.0872
2014-08-05,40.71,4912.4896,19.2028,5.0586
2014-08-06,40.64,4904.0427,19.1698,5.0499
2014-08-07,39.88,4767.0301,18.8113,4.9555
2014-08-08,40.37,4825.6019,19.0425,5.0163
2014-08-11,40.67,4861.4622,19.184,5.0536
2014-08-12,40.43,4832.774,19.0708,5.0238
2014-08-13,40.5,4841.1414,19.1038,5.0325
2014-08-14,40.75,4871.025,19.2217,5.0636
2014-08-15,40.82,4879.3924,19.2547,5.0723
2014-08-18,41.0,4900.9086,19.3396,5.0946
2014-08-19,41.35,4942.7456,19.5047,5.1381
2014-08-20,42.03,5024.0289,19.8255,5.2226
2014-08-21,42.23,5047.9358,19.9198,5.2475
2014-08-22,42.12,5034.787,19.8679,5.2338
2014-08-25,42.24,5049.1312,19.9245,5.2487
2014-08-26,42.12,5034.787,19.8679,5.2338
2014-08-27,41.95,5014.4662,19.7877,5.2127
2014-08-28,42.36,5063.4753,19.9811,5.2636
2014-08-29,42.54,5084.9915,20.066,5.286
2014-09-02,42.8,5116.0704,20.1887,5.3183
2014-09-03,42.85,5122.0471,20.2123,5.3245
2014-09-04,43.06,5147.1493,20.3113,5.3506
2014-09-05,43.17,5160.2981,20.3632,5.3643
2014-09-08,43.19,5162.6888,20.3726,5.3668
2014-09-09,42.9,5128.0238,20.2358,5.3307
2014-09-10,42.98,5137.5866,20.2736,5.3407
