Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,30.6874,34930.2122,12.018,5.5236
2014-01-03,31.4428,35790.0672,12.3139,5.6596
2014-01-06,30.8836,35153.5511,12.0949,5.5589
2014-01-07,31.1485,35455.0587,12.1986,5.6066
2014-01-08,30.9229,35198.2189,12.1102,5.566
2014-01-09,31.3349,35667.2307,12.2716,5.6401
2014-01-10,31.6685,36046.907,12.4022,5.7002
2014-01-13,31.4821,35834.735,12.3292,5.6666
2014-01-14,31.4624,35812.4011,12.3215,5.6631
2014-01-15,31.7371,36125.0756,12.4291,5.7125
2014-01-16,31.8745,36281.4129,12.4829,5.7373
2014-01-17,32.0707,36504.7518,12.5598,5.7726
2014-01-21,32.2963,36761.5916,12.6481,5.8132
2014-01-22,32.5612,37063.0992,12.7519,5.8609
2014-01-23,31.2074,35522.0604,12.2217,5.6172
2014-01-24,30.5402,34762.708,11.9604,5.4971
2014-01-27,29.9418,34081.5242,11.726,5.3894
2014-01-28,30.5206,34740.3741,11.9527,5.4936
2014-01-29,30.344,34539.369,11.8836,5.4618
2014-01-30,31.6194,35991.0722,12.383,5.6913
2014-01-31,32.1296,36571.7535,12.5828,5.7832
2014-02-03,30.5697,34796.2088,11.9719,5.5024
2014-02-04,31.3153,35644.8968,12.2639,5.6366
2014-02-05,31.1485,35455.0587,12.1986,5.6066
2014-02-06,30.6678,34907.8783,12.0103,5.5201
2014-02-07,30.7463,34997.2139,12.0411,5.5342
2014-02-10,30.9523,35231.7198,12.1218,5.5713
2014-02-11,31.0504,35343.3893,12.1602,5.5889
2014-02-12,30.8051,35064.2156,12.0641,5.5448
2014-02-13,31.0111,35298.7215,12.1448,5.5819
2014-02-14,30.6089,34840.8766,11.9873,5.5095
2014-02-18,30.8836,35153.5511,12.0949,5.5589
2014-02-19,30.7757,35030.7147,12.0526,5.5395
2014-02-20,31.0994,35399.224,12.1794,5.5977
2014-02-21,31.4526,35801.2341,12.3177,5.6613
2014-02-24,32.2473,36705.7569,12.6289,5.8044
2014-02-25,32.3061,36772.7586,12.652,5.8149
2014-02-26,32.0511,36482.4179,12.5521,5.769
2014-02-27,32.3356,36806.2594,12.6635,5.8202
2014-02-28,32.7182,37739.2503,12.8133,5.8891
2014-03-03,32.0609,36981.0704,12.5559,5.7708
2014-03-04,33.0223,38090.0499,12.9324,5.9439
2014-03-05,33.7385,38916.1264,13.2129,6.0728
2014-03-06,33.7875,38972.707,13.2321,6.0816
2014-03-07,34.1113,39346.1389,13.3589,6.1399
2014-03-10,34.5135,39810.0997,13.5164,6.2123
2014-03-11,33.7875,38972.707,13.2321,6.0816
2014-03-12,33.6208,38780.333,13.1668,6.0516
2014-03-13,32.777,37807.147,12.8364,5.8997
2014-03-14,32.316,37275.2895,12.6558,5.8167
2014-03-17,32.8359,37875.0437,12.8594,5.9103
2014-03-18,33.5423,38689.8041,13.1361,6.0374
2014-03-19,33.1302,38214.5272,12.9747,5.9633
2014-03-20,33.1597,38248.4755,12.9862,5.9686
2014-03-21,33.2774,38384.2689,13.0323,5.9898
2014-03-24,32.4925,37478.9796,12.725,5.8485
2014-03-25,32.2571,37207.3928,12.6328,5.8061
2014-03-26,31.3055,36109.7294,12.2601,5.6348
2014-03-27,31.7862,36664.2191,12.4483,5.7214
2014-03-28,32.4141,37388.4506,12.6942,5.8344
2014-03-31,32.6201,37626.0891,11.8713,5.863
2014-04-01,33.0419,38112.6821,12.0248,5.9388
2014-04-02,32.7084,37727.9341,11.9034,5.8789
2014-04-03,32.9242,37976.8887,11.982,5.9176
2014-04-04,32.1786,37116.8638,11.7106,5.7836
2014-04-07,30.5795,35272.3368,11.1287,5.4962
