Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,66.13,22581.8451,17.9301,3.4425
2014-01-03,66.79,22807.2196,18.1091,3.4769
2014-01-06,66.73,22786.731,18.0928,3.4737
2014-01-07,67.55,23066.7418,18.3151,3.5164
2014-01-08,67.03,22889.174,18.1742,3.4893
2014-01-09,68.18,23281.872,18.486,3.5492
2014-01-10,69.32,23671.1553,18.7951,3.6086
2014-01-13,67.95,23203.3324,18.4236,3.5372
2014-01-14,68.2,23288.7016,18.4914,3.5503
2014-01-15,67.91,23189.6734,18.4128,3.5352
2014-01-16,67.94,23199.9177,18.4209,3.5367
2014-01-17,67.68,23111.1338,18.3504,3.5232
2014-01-21,68.0,23220.4063,18.4372,3.5398
2014-01-22,67.95,23203.3324,18.4236,3.5372
2014-01-23,66.96,22865.2706,18.1552,3.4857
2014-01-24,65.42,22339.3967,17.7376,3.4055
2014-01-27,65.26,22284.7605,17.6942,3.3972
2014-01-28,67.39,23012.1055,18.2718,3.5081
2014-01-29,66.45,22691.1176,18.0169,3.4592
2014-01-30,68.96,23548.2237,18.6974,3.5898
2014-01-31,68.02,23227.2358,18.4426,3.5409
2014-02-03,65.76,22455.4988,17.8298,3.4232
2014-02-04,65.56,22387.2034,17.7756,3.4128
2014-02-05,65.37,22322.3229,17.7241,3.4029
2014-02-06,66.27,22723.2222,17.9681,3.4498
2014-02-07,67.54,23158.6906,18.3124,3.5159
2014-02-10,66.66,22856.9487,18.0738,3.4701
2014-02-11,69.56,23851.3254,18.8601,3.621
2014-02-12,69.47,23820.4654,18.8357,3.6164
2014-02-13,69.92,23974.7653,18.9577,3.6398
2014-02-14,70.27,24094.7763,19.0526,3.658
2014-02-18,70.8,24276.5072,19.1963,3.6856
2014-02-19,70.94,24324.5116,19.2343,3.6929
2014-02-20,71.51,24519.958,19.3888,3.7226
2014-02-21,71.75,24602.2513,19.4539,3.7351
2014-02-24,71.77,24609.109,19.4593,3.7361
2014-02-25,72.0,24687.9734,19.5217,3.7481
2014-02-26,71.61,24554.2469,19.416,3.7278
2014-02-27,71.83,24629.6823,19.4756,3.7392
2014-02-28,71.53,24526.8158,19.3943,3.7236
2014-03-03,71.48,24509.6714,19.3807,3.721
2014-03-04,73.54,25216.0217,19.9392,3.8282
2014-03-05,73.2,25099.4396,19.8471,3.8105
2014-03-06,72.56,24879.991,19.6735,3.7772
2014-03-07,72.3,24790.8399,19.603,3.7637
2014-03-10,72.47,24849.131,19.6491,3.7725
2014-03-11,72.54,24873.1332,19.6681,3.7762
2014-03-12,72.54,24873.1332,19.6681,3.7762
2014-03-13,72.48,24852.5599,19.6518,3.7731
2014-03-14,72.29,24787.4111,19.6003,3.7632
2014-03-17,72.69,24924.5665,19.7088,3.784
2014-03-18,73.45,25185.1617,19.9148,3.8235
2014-03-19,72.13,24732.5489,19.5569,3.7548
2014-03-20,71.75,24602.2513,19.4539,3.7351
2014-03-21,70.24,24084.4896,19.0445,3.6564
2014-03-24,70.14,24050.2007,19.0174,3.6512
2014-03-25,71.14,24393.0893,19.2885,3.7033
2014-03-26,70.32,24111.9207,19.0662,3.6606
2014-03-27,69.14,23707.3122,18.7463,3.5992
2014-03-28,69.68,23892.472,18.8927,3.6273
2014-03-31,69.98,23995.3386,20.1974,3.6533
2014-04-01,69.73,23909.6164,20.1252,3.6402
2014-04-02,70.28,24098.2051,20.284,3.6689
2014-04-03,71.31,24451.3803,20.5813,3.7227
2014-04-04,69.01,23662.7367,19.9174,3.6026
2014-04-07,68.03,23326.706,19.6346,3.5515
2014-04-08,67.68,23206.695,19.5336,3.5332
2014-04-09,69.45,23813.6077,20.0444,3.6256
2014-04-10,67.19,23038.6796,19.3922,3.5076
2014-04-11,66.14,22678.6467,19.0891,3.4528
2014-04-14,66.72,22877.522,19.2565,3.4831
2014-04-15,67.21,23045.5374,19.3979,3.5087
2014-04-16,68.02,23323.2771,19.6317,3.551
2014-04-17,68.13,23360.9948,19.6635,3.5567
2014-04-21,68.65,23539.2968,19.8135,3.5838
2014-04-22,68.86,23611.3034,19.8741,3.5948
2014-04-23,68.95,23642.1634,19.9001,3.5995
2014-04-24,68.61,23525.5813,19.802,3.5818
2014-04-25,67.2,23042.1085,19.395,3.5081
2014-04-28,68.55,23505.008,19.7847,3.5786
2014-04-29,69.82,23940.4764,20.1512,3.6449
2014-04-30,69.51,23834.181,20.0617,3.6287
2014-05-01,65.12,22328.9004,18.7947,3.3996
2014-05-02,63.8,21876.2875,18.4137,3.3306
2014-05-05,63.98,21938.0075,18.4657,3.34
2014-05-06,64.22,21847.7271,18.535,3.3526
2014-05-07,63.83,21715.0486,18.4224,3.3322
2014-05-08,63.9,21738.8627,18.4426,3.3359
2014-05-09,64.41,21912.3653,18.5898,3.3625
2014-05-12,65.02,22119.8881,18.7659,3.3943
