Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,50.98,4445.3252,26.8185,15.5477
2014-01-03,51.66,4504.6194,27.1762,15.755
2014-01-06,50.93,4440.9653,26.7922,15.5324
2014-01-07,50.69,4420.0379,26.666,15.4592
2014-01-08,50.02,4361.6156,26.3135,15.2549
2014-01-09,49.76,4338.9443,26.1767,15.1756
2014-01-10,49.85,4346.7921,26.2241,15.203
2014-01-13,48.47,4226.4596,25.4981,14.7822
2014-01-14,49.74,4337.2003,26.1662,15.1695
2014-01-15,49.83,4345.0481,26.2135,15.1969
2014-01-16,49.05,4277.0341,25.8032,14.9591
2014-01-17,49.88,4349.408,26.2398,15.2122
2014-01-21,49.87,4348.536,26.2346,15.2091
2014-01-22,50.75,4425.2697,26.6975,15.4775
2014-01-23,50.73,4423.5258,26.687,15.4714
2014-01-24,50.03,4362.4876,26.3188,15.2579
2014-01-27,49.02,4274.4182,25.7874,14.9499
2014-01-28,50.19,4376.4392,26.4029,15.3067
2014-01-29,49.72,4335.4564,26.1557,15.1634
2014-01-30,51.4,4481.9481,27.0395,15.6757
2014-01-31,52.02,4536.0105,27.3656,15.8648
2014-02-03,49.13,4284.0099,25.8453,14.9835
2014-02-04,51.0,4447.0691,26.829,15.5538
2014-02-05,50.72,4422.6538,26.6817,15.4684
2014-02-06,51.68,4506.3634,27.1868,15.7611
2014-02-07,53.42,4658.0869,28.1021,16.2918
2014-02-10,54.37,4740.9245,28.6018,16.5815
2014-02-11,54.74,4749.8301,28.7965,16.6944
2014-02-12,56.05,4863.4998,29.4856,17.0939
2014-02-13,56.66,4916.4299,29.8065,17.2799
2014-02-14,56.31,4886.0602,29.6224,17.1732
2014-02-18,56.49,4901.6789,29.7171,17.2281
2014-02-19,55.35,4802.7603,29.1174,16.8804
2014-02-20,54.69,4745.4916,28.7702,16.6791
2014-02-21,54.17,4684.8301,28.4966,16.5205
2014-02-24,54.27,4693.4785,28.5492,16.551
2014-02-25,53.86,4658.0201,28.3336,16.426
2014-02-26,53.72,4645.9123,28.2599,16.3833
2014-02-27,53.92,4663.2091,28.3651,16.4443
2014-02-28,54.03,4672.7223,28.423,16.4778
2014-03-03,55.4,4791.2052,29.1437,16.8956
2014-03-04,56.59,4894.121,29.7697,17.2586
2014-03-05,57.25,4951.2003,30.1169,17.4599
2014-03-06,57.4,4964.1729,30.1958,17.5056
2014-03-07,57.28,4953.7948,30.1327,17.469
2014-03-10,56.46,4882.8781,29.7013,17.2189
2014-03-11,56.11,4852.6087,29.5172,17.1122
2014-03-12,56.64,4898.4452,29.796,17.2738
2014-03-13,57.18,4945.1465,30.0801,17.4385
2014-03-14,58.54,5062.7645,30.7955,17.8533
2014-03-17,58.61,5068.8184,30.8323,17.8746
2014-03-18,57.1,4938.2278,30.038,17.4141
2014-03-19,56.2,4860.3923,29.5645,17.1396
2014-03-20,56.66,4900.1749,29.8065,17.2799
2014-03-21,55.98,4841.3658,29.4488,17.0725
2014-03-24,56.57,4892.3913,29.7592,17.2525
2014-03-25,56.98,4927.8497,29.9749,17.3775
2014-03-26,56.06,4848.2846,29.4909,17.0969
2014-03-27,56.48,4884.6078,29.7118,17.225
2014-03-28,55.75,4821.4746,29.3278,17.0024
2014-03-31,56.6,4894.9858,28.5725,17.0175
2014-04-01,56.32,4870.7704,28.4311,16.9333
2014-04-02,55.25,4778.2326,27.891,16.6116
2014-04-03,54.75,4734.9907,27.6386,16.4613
2014-04-04,53.74,4647.642,27.1287,16.1576
2014-04-07,51.67,4468.6205,26.0838,15.5353
2014-04-08,51.11,4420.1895,25.8011,15.3669
2014-04-09,52.37,4529.1591,26.4371,15.7457
2014-04-10,51.12,4421.0543,25.8061,15.3699
2014-04-11,50.75,4389.0553,25.6193,15.2587
2014-04-14,50.43,4361.3805,25.4578,15.1624
2014-04-15,50.44,4362.2453,25.4628,15.1654
2014-04-16,51.51,4454.783,26.003,15.4872
2014-04-17,52.2,4514.4569,26.3513,15.6946
2014-04-21,52.05,4501.4843,26.2756,15.6495
2014-04-22,52.74,4561.1582,26.6239,15.857
2014-04-23,52.67,4555.1043,26.5886,15.8359
2014-04-24,52.93,4577.5901,26.7198,15.9141
2014-04-25,52.44,4535.213,26.4725,15.7668
2014-04-28,52.47,4537.8075,26.4876,15.7758
2014-04-29,52.91,4575.8604,26.7097,15.9081
2014-04-30,53.36,4614.7782,26.9369,16.0434
2014-05-01,53.46,4623.4265,26.9874,16.0734
2014-05-02,52.78,4564.6175,26.6441,15.869
2014-05-05,53.29,4608.7243,26.9016,16.0223
2014-05-06,51.99,4496.2953,26.2453,15.6315
2014-05-07,51.07,4391.1001,25.7809,15.3549
2014-05-08,50.97,4382.5019,25.7304,15.3248
2014-05-09,50.81,4368.7448,25.6496,15.2767
2014-05-12,51.55,4432.3714,26.0232,15.4992
2014-05-13,50.86,4373.0439,25.6749,15.2917
2014-05-14,50.18,4314.5761,25.3316,15.0873
2014-05-15,49.06,4218.2763,24.7662,14.7505
2014-05-16,48.72,4189.0424,24.5946,14.6483
2014-05-19,48.85,4200.2201,24.6602,14.6874
2014-05-20,48.25,4148.6309,24.3573,14.507
2014-05-21,49.04,4216.5566,24.7561,14.7445
2014-05-22,49.36,4244.0709,24.9176,14.8407
2014-05-23,49.82,4283.6226,25.1499,14.979
2014-05-27,50.83,4370.4644,25.6597,15.2827
2014-05-28,50.67,4356.7073,25.5789,15.2346
2014-05-29,50.6,4350.6885,25.5436,15.2136
2014-05-30,50.68,4357.5671,25.584,15.2376
2014-06-02,50.25,4320.5948,25.3669,15.1083
2014-06-03,48.06,4132.2943,24.2614,14.4499
2014-06-04,47.83,4112.5184,24.1453,14.3807
2014-06-05,48.21,4145.1916,24.3371,14.495
2014-06-06,48.67,4184.7433,24.5693,14.6333
2014-06-09,48.67,4184.7433,24.5693,14.6333
2014-06-10,47.6,4092.7426,24.0292,14.3116
2014-06-11,48.08,4134.0139,24.2715,14.4559
2014-06-12,49.25,4234.6129,24.8621,14.8077
2014-06-13,50.2,4316.2957,25.3417,15.0933
2014-06-16,50.25,4320.5948,25.3669,15.1083
2014-06-17,51.31,4411.7358,25.902,15.427
2014-06-18,50.3,4324.8939,25.3922,15.1234
2014-06-19,49.46,4252.6691,24.9681,14.8708
2014-06-20,48.88,4202.7995,24.6753,14.6964
2014-06-23,49.23,4232.8932,24.852,14.8016
2014-06-24,48.42,4163.2478,24.4431,14.5581
2014-06-25,48.74,4190.762,24.6047,14.6543
2014-06-26,48.94,4207.9584,24.7056,14.7145
2014-06-27,49.09,4220.8557,24.7813,14.7596
2014-06-30,49.21,4231.1736,25.0953,15.9654
2014-07-01,48.98,4211.3977,24.978,15.8907
2014-07-02,48.43,4164.1076,24.6975,15.7123
2014-07-03,48.46,4166.6871,24.7128,15.722
2014-07-07,48.3,4152.93,24.6312,15.6701
2014-07-08,47.37,4072.9667,24.157,15.3684
2014-07-09,47.63,4095.322,24.2895,15.4527
2014-07-10,46.87,4029.9757,23.902,15.2062
2014-07-11,46.94,4035.9945,23.9377,15.2289
2014-07-14,47.67,4098.7613,24.3099,15.4657
2014-07-15,47.2,4058.3498,24.0703,15.3132
2014-07-16,46.76,4020.5177,23.8459,15.1705
