Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,71.63,23929.4674,156.753,4.0223
2014-01-03,71.24,23799.1799,155.8995,4.0004
2014-01-06,71.27,23809.202,155.9652,4.0021
2014-01-07,72.77,24310.3077,159.2477,4.0863
2014-01-08,72.02,24059.7549,157.6064,4.0442
2014-01-09,71.77,23976.2373,157.0594,4.0301
2014-01-10,71.85,24002.9629,157.2344,4.0346
2014-01-13,71.6,23919.4453,156.6873,4.0206
2014-01-14,72.91,24357.0776,159.5541,4.0942
2014-01-15,74.28,24814.7541,162.5522,4.1711
2014-01-16,73.72,24627.6747,161.3267,4.1396
2014-01-17,74.22,24794.7099,162.4209,4.1677
2014-01-21,74.38,24848.1612,162.771,4.1767
2014-01-22,73.77,24644.3782,161.4361,4.1425
2014-01-23,73.2,24453.958,160.1887,4.1104
2014-01-24,71.37,23842.6091,156.184,4.0077
2014-01-27,70.84,23665.5517,155.0242,3.9779
2014-01-28,71.0,23719.003,155.3743,3.9869
2014-01-29,70.47,23541.9457,154.2145,3.9571
2014-01-30,71.42,23859.3126,156.2934,4.0105
2014-01-31,70.96,23705.6402,155.2868,3.9847
2014-02-03,68.96,23037.4993,150.91,3.8724
2014-02-04,69.08,23077.5877,151.1726,3.8791
2014-02-05,69.12,23090.9505,151.2602,3.8813
2014-02-06,70.53,23561.9899,154.3458,3.9605
2014-02-07,71.56,23906.0825,156.5998,4.0184
2014-02-10,72.39,24183.361,158.4161,4.065
2014-02-11,73.32,24494.0465,160.4513,4.1172
2014-02-12,73.15,24437.2545,160.0793,4.1076
2014-02-13,74.55,24904.9532,163.143,4.1863
2014-02-14,75.02,25061.9663,164.1716,4.2126
2014-02-18,74.4,24854.8426,162.8148,4.1778
2014-02-19,74.51,24891.5904,163.0555,4.184
2014-02-20,76.29,25486.2358,166.9508,4.284
2014-02-21,74.88,25015.1964,163.8652,4.2048
2014-02-24,74.72,24961.3689,163.515,4.1958
2014-02-25,74.26,24807.6988,162.5084,4.17
2014-02-26,73.7,24620.6222,161.2829,4.1385
2014-02-27,75.46,25208.5773,165.1344,4.2374
2014-02-28,75.9,25355.5661,166.0973,4.2621
2014-03-03,74.75,24971.3909,163.5807,4.1975
2014-03-04,74.8,24988.0941,163.6901,4.2003
2014-03-05,74.51,24891.2152,163.0555,4.184
2014-03-06,74.9,25021.5007,163.909,4.2059
2014-03-07,74.63,24931.303,163.3181,4.1907
2014-03-10,74.74,24968.0502,163.5588,4.1969
2014-03-11,75.11,25091.6544,164.3685,4.2177
2014-03-12,75.74,25302.1156,165.7472,4.2531
2014-03-13,75.18,25115.039,164.5217,4.2216
2014-03-14,74.94,25034.8633,163.9965,4.2082
2014-03-17,74.88,25014.8194,163.8652,4.2048
2014-03-18,74.82,24994.7754,163.7339,4.2014
2014-03-19,73.67,24610.6002,161.2173,4.1368
2014-03-20,74.17,24777.6329,162.3114,4.1649
2014-03-21,73.7,24620.6222,161.2829,4.1385
2014-03-24,74.13,24764.2703,162.2239,4.1627
2014-03-25,73.69,24617.2815,161.261,4.138
2014-03-26,73.42,24527.0838,160.6702,4.1228
2014-03-27,75.18,25115.039,164.5217,4.2216
2014-03-28,74.61,24924.6217,163.2743,4.1896
2014-03-31,73.78,24647.3474,134.9098,4.1455
2014-04-01,74.76,24974.7315,136.7018,4.2006
2014-04-02,74.63,24931.303,136.464,4.1933
2014-04-03,75.06,25074.9512,137.2503,4.2174
2014-04-04,74.75,24971.3909,136.6835,4.2
2014-04-07,74.4,24834.4217,136.0435,4.1803
2014-04-08,74.61,24904.5188,136.4275,4.1921
2014-04-09,74.45,24851.1115,136.1349,4.1831
2014-04-10,73.37,24490.6118,134.1601,4.1225
2014-04-11,72.1,24066.6909,131.8378,4.0511
2014-04-14,73.04,24380.4591,133.5567,4.1039
2014-04-15,73.5,24534.0053,134.3978,4.1298
2014-04-16,74.0,24700.9033,135.3121,4.1579
2014-04-17,73.92,24674.1996,135.1658,4.1534
2014-04-21,74.75,24951.2503,136.6835,4.2
2014-04-22,75.01,25038.0372,137.1589,4.2146
2014-04-23,74.85,24984.6299,136.8663,4.2056
2014-04-24,73.84,24647.4959,135.0195,4.1489
2014-04-25,72.78,24293.6722,133.0812,4.0893
2014-04-28,71.73,23943.1864,131.1613,4.0303
2014-04-29,71.8,23966.5521,131.2893,4.0343
2014-04-30,72.73,24276.9824,132.9898,4.0865
2014-05-01,73.54,24547.3571,134.4709,4.132
2014-05-02,74.57,24891.167,136.3543,4.1899
2014-05-05,76.46,25522.0414,139.8103,4.2961
2014-05-06,76.7,25602.1009,140.2491,4.3096
2014-05-07,77.7,25935.8963,142.0777,4.3658
2014-05-08,77.2,25768.9986,141.1634,4.3377
2014-05-09,77.24,25782.3504,141.2365,4.3399
2014-05-12,77.34,25815.7299,141.4194,4.3455
2014-05-13,77.23,25779.0125,141.2182,4.3394
2014-05-14,77.28,25795.7022,141.3097,4.3422
2014-05-15,76.82,25642.1564,140.4685,4.3163
2014-05-16,76.8,25635.4805,140.432,4.3152
2014-05-19,76.37,25491.9485,139.6457,4.291
2014-05-20,75.94,25348.4165,138.8594,4.2669
2014-05-21,76.56,25555.3696,139.9931,4.3017
2014-05-22,76.39,25498.6244,139.6823,4.2922
2014-05-23,76.0,25368.4442,138.9691,4.2702
2014-05-27,76.42,25508.6382,139.7371,4.2938
2014-05-28,76.61,25572.0594,140.0846,4.3045
2014-05-29,76.63,25578.7353,140.1211,4.3056
2014-05-30,76.73,25612.1148,140.304,4.3113
2014-06-02,76.29,25465.2449,139.4994,4.2865
2014-06-03,75.61,25238.264,138.256,4.2483
2014-06-04,75.47,25191.5327,138.0,4.2405
2014-06-05,75.76,25288.3333,138.5303,4.2568
2014-06-06,75.9,25335.0647,138.7863,4.2646
2014-06-09,75.77,25291.6713,138.5486,4.2573
2014-06-10,75.38,25161.4911,137.8354,4.2354
2014-06-11,74.84,24981.2416,136.848,4.2051
2014-06-12,74.35,24817.6819,135.952,4.1775
2014-06-13,73.8,24634.0945,134.9464,4.1466
2014-06-16,73.26,24453.845,133.9589,4.1163
2014-06-17,73.26,24453.845,133.9589,4.1163
2014-06-18,73.59,24563.9975,134.5624,4.1348
2014-06-19,73.99,24697.5156,135.2938,4.1573
2014-06-20,74.03,24710.8674,135.3669,4.1596
2014-06-23,74.06,24720.8813,135.4218,4.1612
2014-06-24,74.21,24770.9506,135.6961,4.1697
2014-06-25,74.49,24864.4133,136.208,4.1854
2014-06-26,74.31,24804.3301,135.8789,4.1753
2014-06-27,74.24,24780.9645,135.7509,4.1714
2014-06-30,74.26,24787.6404,138.2608,4.2137
2014-07-01,74.67,24924.4964,139.0241,4.2369
2014-07-02,74.09,24730.8952,137.9443,4.204
2014-07-03,74.16,24754.2608,138.0746,4.208
2014-07-07,73.92,24674.15,137.6277,4.1944
2014-07-08,73.95,24684.1638,137.6836,4.1961
2014-07-09,74.17,24757.5988,138.0932,4.2086
2014-07-10,74.49,24864.4133,138.689,4.2267
2014-07-11,74.6,24901.1308,138.8938,4.233
2014-07-14,74.85,24984.5796,139.3593,4.2471
2014-07-15,74.15,24750.9229,138.056,4.2074
2014-07-16,74.68,24927.8344,139.0427,4.2375
2014-07-17,73.91,24670.812,137.6091,4.1938
2014-07-18,75.0,25034.6489,139.6385,4.2557
2014-07-21,75.08,25061.3525,139.7875,4.2602
2014-07-22,75.54,25214.8984,140.6439,4.2863
2014-07-23,76.6,25568.7214,142.6175,4.3464
2014-07-24,73.83,24644.1084,137.4602,4.1893
2014-07-25,73.21,24437.1553,136.3058,4.1541
2014-07-28,74.95,25017.9591,139.5454,4.2528
2014-07-29,74.39,24831.0338,138.5028,4.221
2014-07-30,74.5,24867.7512,138.7076,4.2273
2014-07-31,74.18,24760.9367,138.1118,4.2091
2014-08-01,73.47,24523.9421,136.7899,4.1688
2014-08-04,73.07,24390.4239,136.0452,4.1461
2014-08-05,72.85,24316.989,135.6356,4.1337
