Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,39.81,31023.4743,25.5324,1.258
2014-01-03,39.85,31073.0926,25.558,1.2593
2014-01-06,39.23,30705.7524,25.1604,1.2397
2014-01-07,39.49,30928.0377,25.3271,1.2479
2014-01-08,39.4,30787.282,25.2694,1.2451
2014-01-09,39.96,31125.5689,25.6286,1.2628
2014-01-10,41.25,32142.8981,26.4559,1.3036
2014-01-13,41.42,32337.0638,26.565,1.3089
2014-01-14,41.52,32392.6294,26.6291,1.3121
2014-01-15,41.58,32429.0589,26.6676,1.314
2014-01-16,41.53,32384.2402,26.6355,1.3124
2014-01-17,41.36,32267.3259,26.5265,1.307
2014-01-21,40.83,31899.1606,26.1866,1.2903
2014-01-22,41.08,32140.2185,26.3469,1.2982
2014-01-23,40.65,31761.047,26.0711,1.2846
2014-01-24,39.15,30715.9543,25.1091,1.2372
2014-01-27,39.37,30856.9899,25.2502,1.2441
2014-01-28,40.59,31785.4832,26.0326,1.2827
2014-01-29,39.54,31096.808,25.3592,1.2495
2014-01-30,40.04,31344.4415,25.6799,1.2653
2014-01-31,39.19,30773.7501,25.1347,1.2385
2014-02-03,38.75,30307.2814,24.8525,1.2245
2014-02-04,39.05,30562.351,25.0449,1.234
2014-02-05,38.62,30328.2264,24.7692,1.2204
2014-02-06,40.13,31377.8523,25.7376,1.2682
2014-02-07,39.91,31247.6852,25.5965,1.2612
2014-02-10,40.31,31521.6793,25.8531,1.2738
2014-02-11,40.28,31563.9767,25.8338,1.2729
2014-02-12,40.4,31608.0765,25.9108,1.2767
2014-02-13,40.24,31490.2407,25.8082,1.2716
2014-02-14,40.76,31847.919,26.1417,1.2881
2014-02-18,39.76,31284.6532,25.5003,1.2565
2014-02-19,39.18,30788.1863,25.1283,1.2381
2014-02-20,39.11,30662.0613,25.0834,1.2359
2014-02-21,39.42,30858.5967,25.2822,1.2457
2014-02-24,39.69,31116.487,25.4554,1.2543
2014-02-25,40.08,31413.7316,25.7055,1.2666
2014-02-26,40.22,31462.4869,25.7953,1.271
2014-02-27,40.45,31644.3572,25.9428,1.2783
2014-02-28,39.66,31058.9064,27.076,1.2593
2014-03-03,38.52,30102.8268,26.2978,1.2231
2014-03-04,39.62,30924.5427,27.0487,1.2581
2014-03-05,39.28,30617.8157,26.8166,1.2473
2014-03-06,39.19,30524.9003,26.7552,1.2444
2014-03-07,39.5,30757.3253,26.9668,1.2543
2014-03-10,39.01,30415.7346,26.6323,1.2387
2014-03-11,38.75,30250.3293,26.4548,1.2304
2014-03-12,39.3,30560.7766,26.8303,1.2479
2014-03-13,38.51,29979.4419,26.2909,1.2228
2014-03-14,38.42,29972.4301,26.2295,1.22
2014-03-17,38.82,30270.0007,26.5026,1.2327
2014-03-18,39.61,30871.8103,27.0419,1.2577
2014-03-19,39.37,30718.0771,26.878,1.2501
2014-03-20,39.99,31111.2938,27.3013,1.2698
2014-03-21,39.98,31146.4567,27.2945,1.2695
2014-03-24,40.0,31152.104,27.3082,1.2701
2014-03-25,38.02,29632.6765,25.9564,1.2073
2014-03-26,37.64,29409.6247,25.697,1.1952
2014-03-27,37.32,29092.3849,25.4785,1.185
2014-03-28,37.24,29060.2623,25.4239,1.1825
2014-03-31,37.86,29422.946,25.8472,1.2022
2014-04-01,38.4,29818.5518,26.2158,1.2193
2014-04-02,38.04,29628.7375,25.9701,1.2079
2014-04-03,38.46,29971.2631,26.2568,1.2212
2014-04-04,37.9,29679.8948,25.8745,1.2034
2014-04-07,37.68,29501.1163,25.7243,1.1965
