Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,23.38,4020.3643,,5.6504
2014-01-03,23.37,4018.6447,,5.6479
2014-01-06,23.75,4083.9886,,5.7398
2014-01-07,23.98,4123.5388,,5.7954
2014-01-08,23.98,4123.5388,,5.7954
2014-01-09,24.5,4212.9566,,5.921
2014-01-10,24.88,4278.3004,,6.0129
2014-01-13,24.69,4245.6285,,5.967
2014-01-14,24.48,4209.5175,,5.9162
2014-01-15,24.46,4206.0783,,5.9114
2014-01-16,24.47,4207.7979,,5.9138
2014-01-17,24.44,4202.6392,,5.9065
2014-01-21,24.8,4264.5438,,5.9935
2014-01-22,24.5,4212.9566,,5.921
2014-01-23,24.35,4187.163,,5.8848
2014-01-24,23.62,4061.6341,,5.7084
2014-01-27,23.3,4006.6077,,5.631
2014-01-28,23.7,4075.3907,,5.7277
2014-01-29,22.98,3951.5813,,5.5537
2014-01-30,23.57,4053.0362,,5.6963
2014-01-31,23.67,4070.232,,5.7204
2014-02-03,23.08,3968.7771,,5.5779
2014-02-04,23.37,4018.6447,,5.6479
2014-02-05,23.3,4006.6077,,5.631
2014-02-06,23.4,4023.8035,,5.6552
2014-02-07,23.55,4049.5971,,5.6914
2014-02-10,23.14,3979.0945,,5.5924
2014-02-11,23.08,3968.7771,,5.5779
2014-02-12,23.67,4070.232,,5.7204
2014-02-13,24.84,4271.4221,,6.0032
2014-02-14,24.31,4180.2847,,5.8751
2014-02-18,24.66,4240.4698,,5.9597
2014-02-19,24.7,4247.3481,,5.9694
2014-02-20,24.76,4257.6655,,5.9839
2014-02-21,24.65,4238.7502,,5.9573
2014-02-24,24.64,4237.0306,,5.9549
2014-02-25,24.29,4176.8456,,5.8703
2014-02-26,24.73,4252.5068,,5.9766
2014-02-27,25.54,4391.7923,,6.1724
2014-02-28,26.17,4500.1255,,6.3246
2014-03-03,25.93,4458.8557,,6.2666
2014-03-04,26.14,4494.9668,,6.3174
2014-03-05,26.7,4591.179,,6.4527
2014-03-06,26.8,4608.3744,,6.4769
2014-03-07,25.75,4427.8224,,6.2231
2014-03-10,25.68,4415.7856,,6.2062
2014-03-11,25.59,4400.3098,,6.1845
2014-03-12,25.39,4365.9189,,6.1361
2014-03-13,24.85,4273.0636,,6.0056
2014-03-14,24.79,4262.7463,,5.9911
2014-03-17,25.47,4379.6752,,6.1555
2014-03-18,25.44,4374.5166,,6.1482
2014-03-19,25.5,4384.8339,,6.1627
2014-03-20,25.39,4365.9189,,6.1361
2014-03-21,25.32,4353.8821,,6.1192
2014-03-24,25.29,4348.7235,,6.112
2014-03-25,26.25,4513.7996,,6.344
2014-03-26,26.32,4525.8364,,6.3609
2014-03-27,26.36,4532.7145,,6.3705
2014-03-28,26.71,4592.8985,,6.4551
2014-03-31,27.44,4718.4252,18.5252,6.2529
2014-04-01,28.43,4888.6599,19.1936,6.4785
2014-04-02,28.6,4917.8921,19.3084,6.5172
2014-04-03,28.06,4825.0368,18.9438,6.3942
2014-04-04,27.97,4809.5609,18.883,6.3737
2014-04-07,27.56,4739.0597,18.6062,6.2802
2014-04-08,27.37,4706.3934,18.478,6.2369
2014-04-09,28.26,4859.4328,19.0788,6.4397
2014-04-10,27.93,4802.6879,18.856,6.3645
2014-04-11,27.39,4709.8325,18.4915,6.2415
2014-04-14,27.55,4737.3452,18.5995,6.278
2014-04-15,27.82,4783.7729,18.7818,6.3395
2014-04-16,28.35,4874.9087,19.1396,6.4603
2014-04-17,28.44,4890.3846,19.2003,6.4808
2014-04-21,28.41,4885.226,19.1801,6.4739
2014-04-22,28.66,4928.2146,19.3489,6.5309
2014-04-23,28.56,4911.0192,19.2814,6.5081
2014-04-24,28.4,4883.5065,19.1733,6.4716
2014-04-25,27.84,4787.212,18.7953,6.344
2014-04-28,27.96,4807.8465,18.8763,6.3714
2014-04-29,27.89,4795.8097,18.829,6.3554
2014-04-30,28.19,4847.396,19.0316,6.4238
2014-05-01,28.21,4850.8351,19.0451,6.4284
2014-05-02,28.34,4873.1892,19.1328,6.458
2014-05-05,28.54,4907.5801,19.2678,6.5036
2014-05-06,28.14,4838.7983,18.9978,6.4124
2014-05-07,27.75,4771.7361,18.7345,6.3235
2014-05-08,28.68,4931.6537,19.3624,6.5355
2014-05-09,29.3,5038.2655,19.7809,6.6767
2014-05-12,30.02,5164.3754,20.267,6.8408
2014-05-13,29.89,5142.0113,20.1793,6.8112
2014-05-14,29.65,5100.7238,20.0172,6.7565
2014-05-15,29.71,5111.0457,20.0577,6.7702
2014-05-16,29.84,5133.4098,20.1455,6.7998
2014-05-19,29.42,5061.1567,19.862,6.7041
2014-05-20,29.24,5030.1911,19.7404,6.6631
2014-05-21,29.64,5099.0035,20.0105,6.7542
2014-05-22,28.11,4835.7959,18.9775,6.4056
2014-05-23,28.45,4894.2865,19.2071,6.483
2014-05-27,28.82,4957.938,19.4569,6.5674
2014-05-28,28.99,4987.1833,19.5717,6.6061
2014-05-29,29.12,5009.5473,19.6594,6.6357
2014-05-30,29.41,5059.4364,19.8552,6.7018
2014-06-02,29.49,5073.1989,19.9092,6.72
2014-06-03,29.57,5086.9614,19.9632,6.7383
2014-06-04,29.77,5121.3676,20.0982,6.7838
2014-06-05,29.98,5157.4941,20.24,6.8317
2014-06-06,30.07,5172.9769,20.3008,6.8522
2014-06-09,30.28,5209.1035,20.4426,6.9001
2014-06-10,30.46,5240.0691,20.5641,6.9411
2014-06-11,30.46,5240.0691,20.5641,6.9411
2014-06-12,30.3,5212.5441,20.4561,6.9046
2014-06-13,30.5,5246.9503,20.5911,6.9502
2014-06-16,30.72,5284.7972,20.7396,7.0003
2014-06-17,31.33,5389.7362,21.1514,7.1393
2014-06-18,31.32,5388.0159,21.1447,7.137
2014-06-19,31.75,5461.9893,21.435,7.235
2014-06-20,32.1,5522.2002,21.6713,7.3148
2014-06-23,31.98,5501.5564,21.5903,7.2874
2014-06-24,31.76,5463.7096,21.4417,7.2373
2014-06-25,32.22,5542.8439,21.7523,7.3421
2014-06-26,32.05,5513.5986,21.6375,7.3034
2014-06-27,31.68,5449.9471,21.3877,7.2191
2014-06-30,31.88,5484.3533,19.6247,6.4945
2014-07-01,32.05,5513.5986,19.7293,6.5291
2014-07-02,32.35,5565.208,19.914,6.5902
2014-07-03,32.5,5591.0126,20.0063,6.6208
2014-07-07,31.56,5429.3034,19.4277,6.4293
2014-07-08,31.7,5453.3877,19.5139,6.4578
2014-07-09,32.005,5505.8572,19.7016,6.52
2014-07-10,31.89,5486.0736,19.6308,6.4965
2014-07-11,31.48,5415.5409,19.3784,6.413
2014-07-14,31.5,5418.9815,19.3907,6.4171
2014-07-15,31.17,5362.2112,19.1876,6.3499
2014-07-16,31.35,5393.1768,19.2984,6.3865
2014-07-17,31.21,5369.0925,19.2122,6.358
2014-07-18,31.275,5380.2745,19.2522,6.3712
2014-07-21,31.11,5351.8893,19.1507,6.3376
2014-07-22,31.17,5362.2112,19.1876,6.3499
2014-07-23,31.18,5363.9315,19.1938,6.3519
2014-07-24,31.34,5391.4565,19.2923,6.3845
2014-07-25,31.01,5334.6862,19.0891,6.3173
2014-07-28,31.0,5332.9659,19.083,6.3152
2014-07-29,31.12,5353.6097,19.1568,6.3397
2014-07-30,31.28,5381.1346,19.2553,6.3723
2014-07-31,30.89,5314.0425,19.0152,6.2928
2014-08-01,30.98,5329.5253,19.0706,6.3111
2014-08-04,30.74,5288.2378,18.9229,6.2623
2014-08-05,31.02,5336.4065,19.0953,6.3193
