Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,46.738,13393.3973,9.813,2.5711
2014-01-03,46.416,13301.124,9.7454,2.5534
2014-01-06,45.798,13124.0278,9.6156,2.5194
2014-01-07,46.092,13208.2774,9.6773,2.5356
2014-01-08,46.712,13385.9467,9.8075,2.5697
2014-01-09,47.998,13754.4672,10.0775,2.6404
2014-01-10,49.232,14108.0863,10.3366,2.7083
2014-01-13,48.928,14020.9711,10.2728,2.6916
2014-01-14,49.132,14079.43,10.3156,2.7028
2014-01-15,49.686,14238.1861,10.4319,2.7333
2014-01-16,49.69,14239.3323,10.4328,2.7335
2014-01-17,49.162,14088.0269,10.3219,2.7044
2014-01-21,49.302,14128.1458,10.3513,2.7121
2014-01-22,48.488,13894.8832,10.1804,2.6674
2014-01-23,47.932,13735.554,10.0637,2.6368
2014-01-24,46.536,13335.5116,9.7706,2.56
2014-01-27,46.358,13284.5033,9.7332,2.5502
2014-01-28,46.982,13463.3188,9.8642,2.5845
2014-01-29,45.914,13157.2692,9.64,2.5258
2014-01-30,46.516,13329.7803,9.7664,2.5589
2014-01-31,46.172,13231.2025,9.6941,2.54
2014-02-03,45.226,12960.1136,9.4955,2.4879
2014-02-04,44.984,12890.7653,9.4447,2.4746
2014-02-05,45.55,13052.9601,9.5635,2.5057
2014-02-06,45.986,13177.9017,9.6551,2.5297
2014-02-07,46.812,13414.603,9.8285,2.5752
2014-02-10,46.578,13347.5472,9.7794,2.5623
2014-02-11,46.212,13242.665,9.7025,2.5422
2014-02-12,45.736,13106.2609,9.6026,2.516
2014-02-13,46.246,13252.4082,9.7097,2.544
2014-02-14,46.33,13276.4795,9.7273,2.5487
2014-02-18,45.238,12963.5523,9.498,2.4886
2014-02-19,47.524,13618.6361,9.978,2.6143
2014-02-20,48.172,13804.3292,10.1141,2.65
2014-02-21,48.594,13925.2589,10.2027,2.6732
2014-02-24,48.558,13914.9426,10.1951,2.6712
2014-02-25,48.586,13922.9664,10.201,2.6728
2014-02-26,48.856,14000.3385,10.2577,2.6876
2014-02-27,49.81,13813.7777,10.458,2.7401
2014-02-28,50.18,13916.3896,10.5356,2.7604
2014-03-03,51.174,14192.0551,10.7443,2.8151
2014-03-04,51.404,14255.8408,10.7926,2.8278
2014-03-05,52.556,14575.3243,11.0345,2.8912
2014-03-06,52.826,14650.2032,11.0912,2.906
2014-03-07,52.218,14481.587,10.9635,2.8726
2014-03-10,52.896,14669.6163,11.1059,2.9099
2014-03-11,51.504,14283.5738,10.8136,2.8333
2014-03-12,51.148,14184.8445,10.7389,2.8137
2014-03-13,50.306,13951.3331,10.5621,2.7674
2014-03-14,50.464,13995.1512,10.5953,2.7761
2014-03-17,50.18,13916.3896,10.5356,2.7604
2014-03-18,50.932,14124.9413,10.6935,2.8018
2014-03-19,50.46,13994.0419,10.5944,2.7759
2014-03-20,50.29,13946.8959,10.5587,2.7665
2014-03-21,50.8,14088.3339,10.6658,2.7946
2014-03-24,50.544,14017.3375,10.6121,2.7805
2014-03-25,50.944,14128.2693,10.6961,2.8025
2014-03-26,50.32,13955.2157,10.565,2.7681
2014-03-27,50.942,14127.7146,10.6956,2.8024
2014-03-28,51.558,14298.5496,10.825,2.8363
2014-03-31,52.128,14456.6273,11.7369,2.7811
2014-04-01,53.276,14775.0015,11.9953,2.8423
2014-04-02,53.088,14722.8635,11.953,2.8323
2014-04-03,51.964,14111.3994,11.6999,2.7723
2014-04-04,51.124,13883.2881,11.5108,2.7275
2014-04-07,50.37,13678.5311,11.341,2.6873
2014-04-08,50.886,13592.9497,11.4572,2.7148
2014-04-09,51.082,13645.3063,11.5014,2.7253
2014-04-10,49.152,13129.7541,11.0668,2.6223
2014-04-11,47.544,12700.2162,10.7048,2.5365
2014-04-14,48.198,12874.9163,10.852,2.5714
2014-04-15,48.172,12867.971,10.8462,2.57
2014-04-16,49.544,13234.4673,11.1551,2.6432
2014-04-17,48.468,12947.0402,10.9128,2.5858
2014-04-21,48.244,12887.2041,10.8624,2.5739
2014-04-22,48.386,12925.1359,10.8943,2.5814
2014-04-23,48.638,12992.4515,10.9511,2.5949
2014-04-24,48.058,12837.5187,10.8205,2.5639
2014-04-25,48.138,12858.8888,10.8385,2.5682
2014-04-28,48.4,12928.8757,10.8975,2.5822
2014-04-29,48.89,13059.7672,11.0078,2.6083
2014-04-30,49.034,13098.2332,11.0402,2.616
2014-05-01,48.4,12928.8757,10.8975,2.5822
2014-05-02,48.674,13002.0681,10.9592,2.5968
2014-05-05,48.904,13063.5069,11.011,2.6091
2014-05-06,48.704,13010.0818,10.9659,2.5984
2014-05-07,48.972,13081.6715,11.0263,2.6127
2014-05-08,48.274,12568.9562,10.8691,2.5755
2014-05-09,47.132,12271.6171,10.612,2.5145
2014-05-12,48.336,12585.099,10.8831,2.5788
2014-05-13,49.792,12964.1933,11.2109,2.6564
2014-05-14,49.6,12914.2029,11.1677,2.6462
2014-05-15,47.84,12455.9569,10.7714,2.5523
2014-05-16,48.148,12536.15,10.8407,2.5687
2014-05-19,49.25,12823.0744,11.0889,2.6275
2014-05-20,49.356,12850.6733,11.1127,2.6332
2014-05-21,49.1,12784.0194,11.0551,2.6195
2014-05-22,48.922,12737.674,11.015,2.61
2014-05-23,49.332,12844.4245,11.1073,2.6319
2014-05-27,49.468,12879.8344,11.138,2.6392
2014-05-28,48.374,12594.9929,10.8916,2.5808
2014-05-29,48.468,12619.4674,10.9128,2.5858
2014-05-30,48.662,12669.9786,10.9565,2.5962
2014-06-02,48.9,12731.946,11.0101,2.6089
2014-06-03,48.888,12728.8216,11.0074,2.6082
2014-06-04,48.986,12754.3375,11.0294,2.6134
2014-06-05,48.976,12751.7338,11.0272,2.6129
2014-06-06,49.098,12783.4986,11.0546,2.6194
2014-06-09,48.752,12693.4116,10.9767,2.601
2014-06-10,48.576,12647.587,10.9371,2.5916
2014-06-11,47.85,12458.5606,10.7737,2.5528
2014-06-12,47.186,12285.6769,10.6241,2.5174
2014-06-13,47.048,12249.7463,10.5931,2.5101
2014-06-16,47.884,12467.4131,10.7813,2.5547
2014-06-17,48.31,12578.3294,10.8772,2.5774
2014-06-18,48.776,12699.6604,10.9821,2.6022
2014-06-19,49.198,12809.5353,11.0772,2.6248
2014-06-20,49.198,12809.5353,11.0772,2.6248
