Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,32.75,9094.5505,23.5612,3.9576
2014-01-03,32.755,9095.9389,23.5647,3.9582
2014-01-06,32.85,9122.3201,23.6331,3.9697
2014-01-07,32.965,9154.2552,23.7158,3.9836
2014-01-08,32.68,9075.1117,23.5108,3.9492
2014-01-09,32.76,9097.3274,23.5683,3.9589
2014-01-10,32.89,9133.4279,23.6619,3.9746
2014-01-13,32.63,9061.2269,23.4748,3.9431
2014-01-14,32.97,9155.6436,23.7194,3.9842
2014-01-15,32.95,9150.0897,23.705,3.9818
2014-01-16,33.005,9165.363,23.7446,3.9885
2014-01-17,32.765,9098.7159,23.5719,3.9595
2014-01-21,32.775,9101.4929,23.5791,3.9607
2014-01-22,32.76,9097.3274,23.5683,3.9589
2014-01-23,32.795,9107.0468,23.5935,3.9631
2014-01-24,32.525,9032.0688,23.3993,3.9305
2014-01-27,32.355,8984.8605,23.277,3.9099
2014-01-28,32.595,9051.5076,23.4496,3.9389
2014-01-29,31.82,8836.293,22.8921,3.8453
2014-01-30,32.25,8955.7024,23.2014,3.8972
2014-01-31,32.29,8966.8102,23.2302,3.9021
2014-02-03,31.03,8616.913,22.3237,3.7498
2014-02-04,31.875,8851.5663,22.9317,3.8519
2014-02-05,31.525,8754.3726,22.6799,3.8096
2014-02-06,31.67,8794.6386,22.7842,3.8271
2014-02-07,31.975,8879.3359,23.0036,3.864
2014-02-10,32.345,8982.0835,23.2698,3.9087
2014-02-11,32.485,9020.961,23.3705,3.9256
2014-02-12,32.22,8947.3715,23.1799,3.8936
2014-02-13,32.19,8939.0406,23.1583,3.89
2014-02-14,32.65,9066.7808,23.4892,3.9456
2014-02-18,32.73,9088.9965,23.5468,3.9552
2014-02-19,32.78,9102.8814,23.5827,3.9613
2014-02-20,33.135,9201.4635,23.8381,4.0042
2014-02-21,33.075,9075.2327,23.795,3.9969
2014-02-24,33.72,9252.21,24.259,4.0749
2014-02-25,33.66,9235.747,24.2158,4.0676
2014-02-26,33.715,9250.8381,24.2554,4.0743
2014-02-27,33.875,9294.7395,24.3705,4.0936
2014-02-28,33.99,9326.2936,24.4532,4.1075
2014-03-03,34.06,9345.5004,24.5036,4.1159
2014-03-04,34.325,9418.212,24.6942,4.148
2014-03-05,34.115,9360.5915,24.5432,4.1226
2014-03-06,34.135,9366.0792,24.5576,4.125
2014-03-07,34.21,9386.6579,24.6115,4.1341
2014-03-10,34.245,9396.2614,24.6367,4.1383
2014-03-11,34.195,9382.5422,24.6007,4.1323
2014-03-12,34.075,9349.6162,24.5144,4.1178
2014-03-13,33.96,9318.0621,24.4317,4.1039
2014-03-14,34.19,9381.1703,24.5971,4.1317
2014-03-17,34.375,9431.9312,24.7302,4.154
2014-03-18,34.29,9408.6086,24.6691,4.1437
2014-03-19,33.99,9326.2936,24.4532,4.1075
2014-03-20,34.01,9336.8867,24.4676,4.1099
2014-03-21,33.815,9283.3526,24.3273,4.0863
2014-03-24,33.955,9321.7873,24.4281,4.1033
2014-03-25,34.12,9367.0854,24.5468,4.1232
2014-03-26,34.17,9380.8121,24.5827,4.1292
2014-03-27,34.085,9357.4767,24.5216,4.119
2014-03-28,34.055,9349.2407,24.5,4.1153
2014-03-31,34.535,9481.0168,25.1164,4.4371
2014-04-01,34.28,9411.0108,24.9309,4.4043
2014-04-02,34.285,9412.3834,24.9345,4.405
2014-04-03,34.325,9423.3648,24.9636,4.4101
2014-04-04,33.98,9328.6507,24.7127,4.3658
2014-04-07,34.16,9378.0667,24.8436,4.3889
2014-04-08,34.34,9427.4828,24.9745,4.412
2014-04-09,34.53,9479.6441,25.1127,4.4364
2014-04-10,34.11,9364.3401,24.8073,4.3825
2014-04-11,33.96,9323.16,24.6982,4.3632
2014-04-14,34.165,9379.4394,24.8473,4.3895
2014-04-15,34.22,9394.5387,24.8873,4.3966
2014-04-16,34.54,9482.3895,25.12,4.4377
2014-04-17,34.59,9496.1162,25.1564,4.4442
2014-04-21,34.65,9512.5882,25.2,4.4519
2014-04-22,34.265,9406.8928,24.92,4.4024
2014-04-23,34.215,9393.1661,24.8836,4.396
