Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,57.82,8767.5389,21.7014,9.2414
2014-01-03,57.28,8685.656,21.4987,9.1551
2014-01-06,56.61,8584.0605,21.2472,9.048
2014-01-07,56.68,8594.6749,21.2735,9.0592
2014-01-08,56.27,8532.5046,21.1196,8.9937
2014-01-09,56.55,8574.9624,21.2247,9.0384
2014-01-10,57.7,8749.3427,21.6563,9.2222
2014-01-13,57.45,8711.4339,21.5625,9.1823
2014-01-14,57.74,8755.4081,21.6714,9.2286
2014-01-15,59.34,8998.0242,22.2719,9.4844
2014-01-16,59.52,9025.3185,22.3394,9.5131
2014-01-17,59.13,8966.1808,22.1931,9.4508
2014-01-21,59.66,9046.5474,22.392,9.5355
2014-01-22,60.23,9132.9794,22.6059,9.6266
2014-01-23,59.05,8954.05,22.163,9.438
2014-01-24,57.21,8675.0415,21.4724,9.1439
2014-01-27,57.0,8643.1982,21.3936,9.1104
2014-01-28,57.45,8711.4339,21.5625,9.1823
2014-01-29,57.63,8738.7283,21.6301,9.2111
2014-01-30,58.28,8837.291,21.874,9.3149
2014-01-31,58.54,8876.7162,21.9716,9.3565
2014-02-03,57.73,8753.8918,21.6676,9.227
2014-02-04,58.64,8891.8797,22.0091,9.3725
2014-02-05,53.16,8060.9196,19.9524,8.4966
2014-02-06,52.475,7957.0495,19.6953,8.3871
2014-02-07,52.39,7944.1606,19.6634,8.3735
2014-02-10,52.93,8026.0435,19.866,8.4599
2014-02-11,53.87,8168.5804,20.2188,8.6101
2014-02-12,53.79,8156.4496,20.1888,8.5973
2014-02-13,54.03,8192.8421,20.2789,8.6357
2014-02-14,54.64,8285.3394,20.5078,8.7332
2014-02-18,54.42,8251.9797,20.4253,8.698
2014-02-19,53.77,8153.4169,20.1813,8.5941
2014-02-20,54.16,8212.5546,20.3277,8.6564
2014-02-21,54.12,8206.4892,20.3127,8.6501
2014-02-24,53.34,8088.2139,20.0199,8.5254
2014-02-25,52.42,7948.7096,19.6746,8.3783
