Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,149.032,14032.4233,,94.7248
2014-01-03,147.501,13888.1993,,93.7512
2014-01-06,149.303,14057.9359,,94.897
2014-01-07,152.71,14378.6651,,97.0621
2014-01-08,150.509,14171.4407,,95.6632
2014-01-09,150.42,14163.1101,,95.607
2014-01-10,150.874,14205.8045,,95.8952
2014-01-13,148.441,13976.7122,,94.3487
2014-01-14,151.891,14301.6068,,96.5419
2014-01-15,150.453,14166.234,,95.6281
2014-01-16,149.259,14053.7706,,94.8689
2014-01-17,148.518,13984.0015,,94.3979
2014-01-21,147.644,13901.7366,,93.8426
2014-01-22,149.303,14057.9359,,94.897
2014-01-23,147.6,13897.5713,,93.8145
2014-01-24,145.344,13685.1402,,92.3805
2014-01-27,151.427,14257.871,,96.2467
2014-01-28,151.128,14229.7551,,96.0569
2014-01-29,152.887,14395.3263,,97.1745
2014-01-30,153.473,14450.5167,,97.5471
2014-01-31,151.515,14266.2016,,96.3029
2014-02-03,150.542,14174.5647,,95.6843
2014-02-04,153.572,14459.8887,,97.6104
2014-02-05,151.902,14302.6481,,96.5489
2014-02-06,150.962,14214.1352,,95.9514
2014-02-07,152.068,14318.268,,96.6544
2014-02-10,152.201,14330.764,,96.7387
2014-02-11,152.511,14359.9212,,96.9355
2014-02-12,152.146,14325.5573,,96.7036
2014-02-13,142.568,13423.7668,,90.6161
2014-02-14,143.055,13469.5852,,90.9254
2014-02-18,145.432,13693.4709,,92.4367
2014-02-19,144.26,13583.09,,91.6916
2014-02-20,145.808,13728.876,,92.6757
2014-02-21,138.332,13276.5007,,87.9238
2014-02-24,136.673,13117.2846,,86.8694
2014-02-25,134.196,12879.5219,,85.2948
2014-02-26,134.096,12869.9689,,85.2316
2014-02-27,137.293,13176.7253,,87.2631
2014-02-28,140.201,13455.8842,,89.1118
2014-03-03,139.007,13341.2486,,88.3526
2014-03-04,141.805,13609.7931,,90.1311
2014-03-05,140.909,13523.8164,,89.5617
2014-03-06,140.058,13442.0855,,89.0204
2014-03-07,140.456,13480.2973,,89.2735
2014-03-10,142.159,13643.7592,,90.356
2014-03-11,141.274,13558.8439,,89.7937
2014-03-12,140.754,13508.9562,,89.4633
2014-03-13,139.04,13344.4329,,88.3737
2014-03-14,140.456,13480.2973,,89.2735
2014-03-17,139.892,13426.1639,,88.915
2014-03-18,139.339,13373.0918,,88.5635
2014-03-19,139.869,13424.041,,88.9009
2014-03-20,140.124,13448.4541,,89.0626
2014-03-21,140.732,13506.8334,,89.4492
2014-03-24,139.073,13347.6172,,88.3948
2014-03-25,137.271,13174.6024,,87.249
2014-03-26,136.154,13067.3969,,86.5391
2014-03-27,134.107,12871.0304,,85.2386
2014-03-28,135.379,13226.4214,,86.047
2014-03-31,136.253,13311.7811,,104.9841
2014-04-01,138.952,13575.4235,,107.0633
2014-04-02,139.903,13668.3466,,107.7962
2014-04-03,138.133,13495.4663,,106.4327
2014-04-04,135.722,13259.917,,104.5751
2014-04-07,131.542,12851.4873,,101.3539
2014-04-08,133.986,13090.2782,,103.2372
2014-04-09,137.182,13402.5432,,105.6999
2014-04-10,134.915,13181.0403,,103.953
2014-04-11,131.011,12799.6232,,100.9449
2014-04-14,132.061,12902.2709,,101.7545
2014-04-15,130.58,12757.4837,,100.6126
2014-04-16,130.624,12761.8057,,100.6467
2014-04-17,130.314,12731.5516,,100.4081
2014-04-21,136.706,13356.0816,,105.3335
2014-04-22,140.411,13718.0497,,108.1881
2014-04-23,141.672,13841.2269,,109.1596
2014-04-24,144.315,14099.4668,,111.1962
2014-04-25,143.785,14047.6027,,110.7872
2014-04-28,154.888,15132.4264,,119.3427
2014-04-29,151.681,14819.0809,,116.8715
2014-04-30,149.889,14667.3587,,115.491
2014-05-01,151.161,14791.8143,,116.471
2014-05-02,151.747,14849.172,,116.9226
2014-05-05,153.075,14979.0387,,117.9452
2014-05-06,153.086,14980.1209,,117.9537
2014-05-07,154.302,15099.1654,,118.8911
2014-05-08,151.969,14870.8165,,117.093
2014-05-09,152.566,14929.2565,,117.5532
2014-05-12,151.593,14834.0209,,116.8033
2014-05-13,151.095,14785.3209,,116.4198
2014-05-14,150.575,14734.4565,,116.0193
2014-05-15,151.416,14816.7054,,116.667
2014-05-16,152.024,14876.2276,,117.1356
2014-05-19,153.373,15008.2587,,118.1753
2014-05-20,153.683,15038.5609,,118.4139
2014-05-21,153.24,14995.2721,,118.073
2014-05-22,152.809,14953.0654,,117.7407
2014-05-23,155.486,15214.9632,,119.8029
