Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,86.2,23826.7133,12.8042,2.2476
2014-01-03,86.4,23881.9957,12.8339,2.2528
2014-01-06,86.13,23807.3645,12.7938,2.2458
2014-01-07,88.35,24420.9991,13.1236,2.3037
2014-01-08,87.91,24299.3778,13.0582,2.2922
2014-01-09,90.05,24890.8995,13.3761,2.348
2014-01-10,89.21,24658.7134,13.2513,2.3261
2014-01-13,88.78,24539.8562,13.1875,2.3149
2014-01-14,89.49,24736.1087,13.2929,2.3334
2014-01-15,89.86,24838.3812,13.3479,2.343
2014-01-16,88.82,24550.9127,13.1934,2.3159
2014-01-17,89.46,24727.8164,13.2885,2.3326
2014-01-21,90.13,24913.0124,13.388,2.3501
2014-01-22,89.66,24783.0988,13.3182,2.3378
2014-01-23,89.54,24749.9293,13.3004,2.3347
2014-01-24,86.7,23964.9193,12.8785,2.2606
2014-01-27,87.0,24047.8429,12.9231,2.2685
2014-01-28,85.94,23754.8462,12.7656,2.2408
2014-01-29,85.88,23738.2615,12.7567,2.2393
2014-01-30,87.65,24227.5107,13.0196,2.2854
2014-01-31,86.31,23857.1186,12.8206,2.2505
2014-02-03,84.52,23362.3412,12.5547,2.2038
2014-02-04,84.95,23481.1983,12.6186,2.215
2014-02-05,85.07,23514.3678,12.6364,2.2181
2014-02-06,85.37,23597.2914,12.6809,2.226
2014-02-07,77.47,21413.6367,11.5075,2.02
2014-02-10,76.74,21211.8559,11.399,2.0009
2014-02-11,77.22,21344.5337,11.4703,2.0134
2014-02-12,75.94,20990.7263,11.2802,1.9801
2014-02-13,76.14,21046.0087,11.3099,1.9853
2014-02-14,77.71,21479.9755,11.5431,2.0262
2014-02-18,77.59,21446.8061,11.5253,2.0231
2014-02-19,76.44,21128.9323,11.3545,1.9931
2014-02-20,77.1,21311.3642,11.4525,2.0103
2014-02-21,77.34,21377.7031,11.4882,2.0166
2014-02-24,79.19,21889.0653,11.763,2.0648
2014-02-25,78.16,21604.3609,11.61,2.038
