Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,64.3,59676.8284,25.66,25.6347
2014-01-03,64.18,59565.4564,25.6121,25.5869
2014-01-06,64.14,59528.3324,25.5961,25.571
2014-01-07,64.2,59584.0184,25.6201,25.5949
2014-01-08,63.54,58971.4724,25.3567,25.3317
2014-01-09,65.02,60345.0604,25.9473,25.9218
2014-01-10,65.08,60400.7464,25.9713,25.9457
2014-01-13,64.69,60038.7874,25.8156,25.7902
2014-01-14,64.85,60187.2834,25.8795,25.854
2014-01-15,64.78,60122.3164,25.8515,25.8261
2014-01-16,64.98,60307.9364,25.9314,25.9058
2014-01-17,64.7,60048.0684,25.8196,25.7942
2014-01-21,64.74,60085.1924,25.8356,25.8102
2014-01-22,64.01,59407.6794,25.5443,25.5191
2014-01-23,63.44,58878.6625,25.3168,25.2919
2014-01-24,62.39,57904.1575,24.8978,24.8733
2014-01-27,62.11,57644.2895,24.786,24.7616
2014-01-28,62.87,58349.6455,25.0893,25.0646
2014-01-29,61.59,57161.6775,24.5785,24.5543
2014-01-30,61.49,57068.8675,24.5386,24.5145
2014-01-31,61.23,56827.5615,24.4349,24.4108
2014-02-03,60.17,55843.7755,24.0118,23.9882
2014-02-04,60.35,56010.8335,24.0837,24.06
2014-02-05,60.42,56075.8005,24.1116,24.0879
2014-02-06,60.6,56242.8585,24.1834,24.1596
2014-02-07,60.86,56484.1645,24.2872,24.2633
2014-02-10,61.52,57096.7105,24.5506,24.5264
2014-02-11,62.4,57913.4385,24.9018,24.8773
2014-02-12,61.92,57467.9505,24.7102,24.6859
2014-02-13,62.31,57829.9095,24.8658,24.8414
2014-02-14,62.68,58173.3065,25.0135,24.9889
2014-02-18,62.39,57904.1575,24.8978,24.8733
2014-02-19,61.53,57105.9915,24.5546,24.5304
2014-02-20,61.86,56845.8551,24.6863,24.662
2014-02-21,61.56,56570.172,24.5665,24.5424
2014-02-24,61.95,56928.56,24.7222,24.6979
2014-02-25,62.07,57038.8333,24.7701,24.7457
2014-02-26,61.95,56928.56,24.7222,24.6979
2014-02-27,62.12,57084.7804,24.79,24.7656
2014-02-28,62.83,57737.2304,25.0734,25.0487
2014-03-03,62.22,57176.6748,24.8299,24.8055
2014-03-04,63.01,57902.6403,25.1452,25.1205
2014-03-05,62.62,57544.2523,24.9896,24.965
2014-03-06,63.02,57911.8297,25.1492,25.1244
2014-03-07,63.13,58012.9135,25.1931,25.1683
2014-03-10,63.05,57939.398,25.1612,25.1364
2014-03-11,63.29,58159.9445,25.2569,25.2321
2014-03-12,63.22,58095.6185,25.229,25.2042
2014-03-13,63.23,58104.8079,25.233,25.2082
2014-03-14,63.83,58656.1741,25.4724,25.4474
2014-03-17,64.4,59179.972,25.6999,25.6746
2014-03-18,64.34,59124.8354,25.676,25.6507
2014-03-19,63.39,58251.8389,25.2968,25.2719
2014-03-20,63.59,58435.6276,25.3767,25.3517
2014-03-21,63.46,58316.165,25.3248,25.2999
2014-03-24,63.31,58178.3234,25.2649,25.2401
2014-03-25,63.77,58601.0375,25.4485,25.4234
2014-03-26,64.27,58913.6933,25.648,25.6228
2014-03-27,64.06,58721.1949,25.5642,25.5391
2014-03-28,64.1,58757.8612,25.5802,25.555
2014-03-31,64.87,59463.6889,22.6416,36.4301
2014-04-01,64.22,58867.8604,22.4147,36.0651
2014-04-02,64.3,58941.1931,22.4426,36.11
2014-04-03,64.28,58922.8599,22.4356,36.0988
2014-04-04,64.22,58867.8604,22.4147,36.0651
2014-04-07,64.92,59509.5219,22.659,36.4582
2014-04-08,65.63,60160.35,22.9068,36.8569
2014-04-09,65.73,60252.0159,22.9417,36.9131
2014-04-10,65.94,60444.5144,23.015,37.031
2014-04-11,65.31,59867.019,22.7951,36.6772
2014-04-14,65.86,60371.1816,22.9871,36.9861
2014-04-15,66.37,60838.6779,23.1651,37.2725
2014-04-16,67.18,61581.1719,23.4478,37.7274
2014-04-17,66.94,61361.1737,23.3641,37.5926
2014-04-21,66.84,61269.5077,23.3292,37.5365
2014-04-22,66.36,60829.5113,23.1616,37.2669
2014-04-23,65.87,60380.3482,22.9906,36.9917
2014-04-24,66.43,60893.6774,23.186,37.3062
2014-04-25,66.24,60635.192,23.1197,37.1995
2014-04-28,67.86,62118.1179,23.6852,38.1093
2014-04-29,67.04,61367.5011,23.399,37.6488
2014-04-30,67.3,61605.5015,23.4897,37.7948
2014-05-01,67.01,61340.0395,23.3885,37.6319
