Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,91.16,11763.7073,21.1701,75.8834
2014-01-03,91.49,11806.292,21.2467,76.1581
2014-01-06,91.11,11757.255,21.1585,75.8418
2014-01-07,90.49,11677.2474,21.0145,75.3257
2014-01-08,88.99,11483.6804,20.6661,74.077
2014-01-09,89.13,11501.7467,20.6986,74.1936
2014-01-10,89.28,11521.1034,20.7335,74.3184
2014-01-13,89.1,11497.8753,20.6917,74.1686
2014-01-14,89.67,11571.4308,20.824,74.6431
2014-01-15,89.68,11572.7212,20.8264,74.6514
2014-01-16,90.12,11629.5009,20.9285,75.0177
2014-01-17,89.97,11610.1442,20.8937,74.8928
2014-01-21,90.11,11628.2104,20.9262,75.0093
2014-01-22,89.9,11601.111,20.8775,74.8345
2014-01-23,89.25,11517.232,20.7265,74.2935
2014-01-24,88.83,11463.0333,20.629,73.9438
2014-01-27,87.45,11284.9517,20.3085,72.7951
2014-01-28,88.4,11407.5441,20.5291,73.5859
2014-01-29,87.08,11237.2052,20.2226,72.4871
2014-01-30,87.47,11287.5326,20.3131,72.8117
2014-01-31,88.27,11390.7683,20.4989,73.4777
2014-02-03,86.36,11144.2931,20.0554,71.8878
2014-02-04,85.81,11073.3186,19.9276,71.4299
2014-02-05,84.56,10985.5318,19.6373,70.3894
2014-02-06,85.06,11050.4889,19.7535,70.8056
2014-02-07,85.63,11124.5399,19.8858,71.2801
2014-02-10,86.12,11188.1977,19.9996,71.688
2014-02-11,86.83,11280.4367,20.1645,72.279
2014-02-12,86.54,11242.7616,20.0972,72.0376
2014-02-13,86.96,11297.3255,20.1947,72.3872
2014-02-14,88.11,11446.7267,20.4618,73.3445
2014-02-18,87.35,11347.992,20.2853,72.7119
2014-02-19,86.87,11285.6333,20.1738,72.3123
2014-02-20,86.95,11296.0264,20.1924,72.3789
2014-02-21,87.01,11303.8213,20.2063,72.4288
2014-02-24,87.06,11310.317,20.2179,72.4705
2014-02-25,86.81,11277.8384,20.1599,72.2624
2014-02-26,86.47,11233.6677,20.0809,71.9793
2014-02-27,86.77,11272.6419,20.1506,72.2291
2014-02-28,87.28,11338.898,20.269,72.6536
2014-03-03,86.66,11258.3513,20.125,72.1375
2014-03-04,87.56,11375.274,20.334,72.8867
2014-03-05,86.56,11245.3599,20.1018,72.0542
2014-03-06,86.63,11254.4539,20.1181,72.1125
2014-03-07,86.44,11229.7702,20.0739,71.9544
2014-03-10,86.71,11264.847,20.1366,72.1791
2014-03-11,86.58,11247.9582,20.1064,72.0709
2014-03-12,86.79,11275.2402,20.1552,72.2457
2014-03-13,86.82,11279.1376,20.1622,72.2707
2014-03-14,87.37,11350.5903,20.2899,72.7285
