Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,25.725,133586.0968,20.9734,2.6454
2014-01-03,25.535,132668.1674,20.8185,2.6259
2014-01-06,25.51,132603.8374,20.7981,2.6233
2014-01-07,26.415,137214.3697,21.5359,2.7164
2014-01-08,26.375,137081.0685,21.5033,2.7123
2014-01-09,26.44,137359.3785,21.5563,2.7189
2014-01-10,26.77,139047.594,21.8254,2.7529
2014-01-13,26.08,135509.4915,21.2628,2.6819
2014-01-14,26.405,137162.0612,21.5278,2.7153
2014-01-15,27.035,140462.2454,22.0414,2.7801
2014-01-16,26.77,139152.0019,21.8254,2.7529
2014-01-17,26.77,139133.0186,21.8254,2.7529
2014-01-21,26.655,138555.1994,21.7316,2.7411
2014-01-22,26.87,139656.1041,21.9069,2.7632
2014-01-23,26.54,137934.6679,21.6379,2.7292
2014-01-24,26.2,136189.398,21.3607,2.6943
2014-01-27,26.245,136453.2613,21.3973,2.6989
2014-01-28,26.675,138593.3751,21.7479,2.7431
2014-01-29,26.53,137849.1387,21.6297,2.7282
2014-01-30,27.095,140804.5715,22.0903,2.7863
2014-01-31,27.225,141413.3954,22.1963,2.7997
2014-02-03,26.385,137071.6815,21.5115,2.7133
2014-02-04,26.76,139004.7771,21.8172,2.7519
2014-02-05,26.69,138657.6005,21.7602,2.7447
2014-02-06,27.015,140329.1534,22.0251,2.7781
2014-02-07,27.32,141900.835,22.2738,2.8094
2014-02-10,27.175,141104.3946,22.1556,2.7945
2014-02-11,27.5,142775.9475,22.4205,2.828
2014-02-12,27.62,142923.8154,22.5184,2.8403
2014-02-13,26.4825,137130.7217,21.591,2.7233
2014-02-14,26.85,138979.2916,21.8906,2.7611
2014-02-18,26.765,138605.741,21.8213,2.7524
2014-02-19,25.785,133603.5666,21.0223,2.6516
2014-02-20,25.88,134149.8238,21.0998,2.6614
2014-02-21,25.525,132197.1479,20.8103,2.6249
2014-02-24,25.575,132518.0907,20.8511,2.63
2014-02-25,25.385,131578.6146,20.6962,2.6105
2014-02-26,25.34,131362.5752,20.6595,2.6058
2014-02-27,25.54,132395.92,20.8226,2.6264
2014-02-28,25.845,133900.1212,21.0712,2.6578
2014-03-03,25.5,132178.121,20.79,2.6223
2014-03-04,25.68,133162.8541,20.9367,2.6408
2014-03-05,25.945,134544.3255,21.1528,2.668
2014-03-06,26.055,135722.4321,21.2424,2.6794
2014-03-07,25.815,134466.0904,21.0468,2.6547
2014-03-10,25.76,134273.095,21.0019,2.649
2014-03-11,25.61,133511.6105,20.8796,2.6336
2014-03-12,25.49,132883.4397,20.7818,2.6213
2014-03-13,25.23,131550.8778,20.5698,2.5945
2014-03-14,25.32,132003.0226,20.6432,2.6038
2014-03-17,25.39,132312.5059,20.7003,2.611
2014-03-18,25.11,130813.5533,20.472,2.5822
2014-03-19,24.94,129897.5427,20.3334,2.5647
2014-03-20,25.3025,131719.2091,20.6289,2.602
2014-03-21,25.0,130228.2384,20.3823,2.5709
2014-03-24,25.15,131013.4519,20.5046,2.5863
2014-03-25,24.835,129464.1655,20.2478,2.5539
2014-03-26,24.81,129338.0424,20.2274,2.5513
2014-03-27,24.55,128003.1076,20.0154,2.5246
2014-03-28,24.78,129152.5249,20.2029,2.5482
2014-03-31,25.02,130370.9,19.0212,2.5375
2014-04-01,24.965,130177.9046,18.9794,2.532
2014-04-02,25.45,132693.0327,19.3481,2.5811
2014-04-03,25.56,133292.585,19.4317,2.5923
2014-04-04,25.09,130908.1822,19.0744,2.5446
2014-04-07,24.54,127981.6078,18.6563,2.4889
2014-04-08,24.425,127303.6778,18.5689,2.4772
2014-04-09,24.895,129735.5387,18.9262,2.5249
2014-04-10,24.21,126372.7833,18.4054,2.4554
2014-04-11,23.98,125244.7222,18.2306,2.4321
2014-04-14,24.33,125970.4503,18.4966,2.4676
2014-04-15,24.205,125375.3552,18.4016,2.4549
2014-04-16,24.585,127375.0889,18.6905,2.4934
2014-04-17,24.55,127202.3587,18.6639,2.4899
2014-04-21,24.94,129141.8116,18.9604,2.5294
2014-04-22,25.415,131842.8774,19.3215,2.5776
2014-04-23,25.605,132785.9244,19.4659,2.5969
2014-04-24,25.685,133260.2353,19.5268,2.605
2014-04-25,25.485,132224.8015,19.3747,2.5847
2014-04-28,25.85,134014.9498,19.6522,2.6217
2014-04-29,25.775,133705.7608,19.5952,2.6141
2014-04-30,25.88,134242.7439,19.675,2.6248
2014-05-01,26.055,135098.821,19.8081,2.6425
2014-05-02,26.015,134944.6911,19.7776,2.6384
2014-05-05,26.23,135995.2889,19.9411,2.6603
2014-05-06,25.905,134300.9282,19.694,2.6273
2014-05-07,25.87,134226.6508,19.6674,2.6237
2014-05-08,25.55,132598.679,19.4241,2.5913
2014-05-09,25.5,132293.8199,19.3861,2.5862
2014-05-12,25.325,131406.3277,19.2531,2.5685
2014-05-13,25.055,130029.3606,19.0478,2.5411
2014-05-14,24.915,129319.3669,18.9414,2.5269
2014-05-15,25.155,130522.3943,19.1238,2.5512
2014-05-16,25.095,130255.2964,19.0782,2.5451
