Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,138.56,25961.1852,18.5167,3.4206
2014-01-03,139.16,26073.6037,18.5969,3.4355
2014-01-06,138.72,25991.1635,18.5381,3.4246
2014-01-07,139.89,26210.3796,18.6945,3.4535
2014-01-08,139.35,26109.2029,18.6223,3.4401
2014-01-09,138.67,25981.7953,18.5314,3.4234
2014-01-10,138.1,25874.9977,18.4553,3.4093
2014-01-13,136.15,25509.6375,18.1947,3.3611
2014-01-14,137.13,25693.2544,18.3256,3.3853
2014-01-15,137.79,25816.9148,18.4138,3.4016
2014-01-16,137.84,25826.283,18.4205,3.4029
2014-01-17,137.74,25807.5466,18.4072,3.4004
2014-01-21,136.41,25558.3522,18.2294,3.3676
2014-01-22,134.88,25271.6849,18.025,3.3298
2014-01-23,132.08,24747.0651,17.6508,3.2607
2014-01-24,126.31,23665.9736,16.8797,3.1182
2014-01-27,125.95,23598.5225,16.8316,3.1093
2014-01-28,128.63,24100.6586,17.1897,3.1755
2014-01-29,128.59,24093.164,17.1844,3.1745
2014-01-30,128.48,24072.554,17.1697,3.1718
2014-01-31,126.98,23791.5076,16.9692,3.1348
2014-02-03,123.7,23176.953,16.5309,3.0538
2014-02-04,126.4,23682.8364,16.8917,3.1204
2014-02-05,126.67,23733.4247,16.9278,3.1271
2014-02-06,130.78,24503.4917,17.477,3.2286
2014-02-07,134.33,25079.4106,17.9515,3.3162
2014-02-10,133.02,24834.8336,17.7764,3.2839
2014-02-11,135.52,25301.5836,18.1105,3.3456
2014-02-12,138.59,25874.7526,18.5207,3.4214
2014-02-13,140.92,26309.7636,18.8321,3.4789
2014-02-14,142.12,26533.8036,18.9925,3.5085
2014-02-18,143.1,26714.3131,19.1235,3.5327
2014-02-19,139.98,26131.8627,18.7065,3.4557
2014-02-20,141.75,26462.2913,18.943,3.4994
2014-02-21,142.83,26663.9087,19.0874,3.5261
2014-02-24,146.01,27257.5601,19.5123,3.6046
2014-02-25,145.63,27186.6207,19.4616,3.5952
2014-02-26,145.9,27237.025,19.4976,3.6018
2014-02-27,145.3,27125.0153,19.4175,3.587
2014-02-28,145.92,27240.7587,19.5003,3.6023
2014-03-03,143.0,26695.6448,19.1101,3.5303
2014-03-04,145.7,27199.6884,19.4709,3.5969
2014-03-05,145.26,27117.548,19.4121,3.586
2014-03-06,146.12,27278.0952,19.527,3.6073
2014-03-07,145.62,27184.7538,19.4602,3.5949
2014-03-10,143.9,26863.6594,19.2304,3.5525
2014-03-11,142.9,26676.9765,19.0967,3.5278
2014-03-12,143.07,26708.7126,19.1194,3.532
2014-03-13,140.62,26251.3397,18.792,3.4715
2014-03-14,139.36,26016.1193,18.6236,3.4404
2014-03-17,142.79,26656.4414,19.082,3.5251
2014-03-18,142.68,26635.9063,19.0673,3.5224
2014-03-19,142.76,26650.8409,19.078,3.5243
2014-03-20,143.55,26798.3204,19.1836,3.5438
2014-03-21,144.35,26947.6666,19.2905,3.5636
2014-03-24,142.36,26576.1678,19.0246,3.5145
2014-03-25,144.34,26945.7998,19.2892,3.5633
2014-03-26,143.99,26880.4608,19.2424,3.5547
2014-03-27,144.08,26897.2623,19.2544,3.5569
2014-03-28,146.0,26846.356,18.5414,3.6242
2014-03-31,148.99,27396.1546,18.9211,3.6984
2014-04-01,148.95,27388.7995,18.9161,3.6974
2014-04-02,149.34,27460.5123,18.9656,3.7071
2014-04-03,149.43,27477.0614,18.977,3.7094
2014-04-04,147.08,27044.9454,18.6786,3.651
2014-04-07,144.69,26605.4743,18.3751,3.5917
2014-04-08,146.7,26975.0714,18.6303,3.6416
2014-04-09,147.92,27199.4039,18.7853,3.6719
2014-04-10,144.09,26495.1468,18.2989,3.5768
2014-04-11,142.05,26120.0333,18.0398,3.5262
2014-04-14,143.26,26342.5271,18.1935,3.5562
2014-04-15,141.76,26066.7084,18.003,3.519
2014-04-16,145.3,26717.6406,18.4525,3.6068
2014-04-17,146.28,26897.8421,18.577,3.6312
2014-04-21,146.57,26951.1671,18.6138,3.6384
2014-04-22,146.8,26993.4593,18.643,3.6441
2014-04-23,147.35,27094.5928,18.7129,3.6577
2014-04-24,149.06,27409.0262,18.93,3.7002
2014-04-25,147.18,27063.3334,18.6913,3.6535
2014-04-28,145.2,26699.2526,18.4398,3.6044
2014-04-29,150.81,27730.8147,19.1523,3.7436
2014-04-30,150.85,27739.2954,19.1574,3.7446
2014-05-01,151.48,27855.144,19.2374,3.7602
2014-05-02,150.88,27744.812,19.1612,3.7454
2014-05-05,150.29,27636.3189,19.0862,3.7307
2014-05-06,148.41,27290.6121,18.8475,3.684
2014-05-07,149.56,27502.0817,18.9935,3.7126
2014-05-08,151.16,27796.3003,19.1967,3.7523
2014-05-09,149.94,27571.9586,19.0418,3.722
2014-05-12,153.32,28193.4953,19.471,3.8059
2014-05-13,153.43,28213.7229,19.485,3.8086
2014-05-14,151.7,27895.599,19.2653,3.7657
2014-05-15,149.64,27516.7926,19.0037,3.7146
2014-05-16,149.72,27531.5035,19.0139,3.7166
2014-05-19,150.1,27601.3805,19.0621,3.726
2014-05-20,147.55,27132.4696,18.7383,3.6627
2014-05-21,148.99,27397.2663,18.9211,3.6984
2014-05-22,148.49,27305.323,18.8576,3.686
2014-05-23,150.05,27592.1861,19.0558,3.7247
2014-05-27,152.08,27965.4759,19.3136,3.7751
2014-05-28,152.23,27993.0589,19.3326,3.7789
2014-05-29,152.52,28046.3861,19.3694,3.7861
2014-05-30,152.93,28121.7796,19.4215,3.7962
2014-06-02,153.29,28187.9787,19.4672,3.8052
2014-06-03,153.53,28232.1115,19.4977,3.8111
2014-06-04,153.78,28278.0832,19.5295,3.8173
2014-06-05,156.25,28732.2831,19.8431,3.8787
2014-06-06,159.06,29249.0045,20.2,3.9484
2014-06-09,160.25,29467.8296,20.3511,3.9779
2014-06-10,160.55,29522.9955,20.3892,3.9854
2014-06-11,158.49,29144.1891,20.1276,3.9343
2014-06-12,154.77,28460.1309,19.6552,3.8419
2014-06-13,156.03,28691.8281,19.8152,3.8732
2014-06-16,156.67,28809.5155,19.8965,3.8891
2014-06-17,155.94,28675.2783,19.8038,3.871
2014-06-18,156.81,28835.2596,19.9143,3.8926
2014-06-19,157.0,28870.1981,19.9384,3.8973
2014-06-20,158.55,29155.2223,20.1352,3.9357
2014-06-23,157.49,28960.3025,20.0006,3.9094
2014-06-24,156.46,28770.8993,19.8698,3.8839
2014-06-25,157.12,28892.2645,19.9536,3.9002
2014-06-26,155.02,28506.1026,19.6869,3.8481
2014-06-27,154.65,28438.0645,19.1907,3.6284
2014-06-30,154.29,28371.8654,19.146,3.62
2014-07-01,154.35,28382.8986,19.1535,3.6214
2014-07-02,153.99,28316.6994,19.1088,3.6129
2014-07-03,157.75,29008.113,19.5754,3.7012
2014-07-07,156.01,28688.1503,19.3595,3.6603
2014-07-08,155.96,28678.956,19.3533,3.6592
2014-07-09,154.47,28404.9649,19.1684,3.6242
2014-07-10,152.0,27950.765,18.8619,3.5663
2014-07-11,152.23,27993.0589,18.8904,3.5716
2014-07-14,152.56,28053.7415,18.9314,3.5794
2014-07-15,151.89,27930.5375,18.8482,3.5637
2014-07-16,154.2,28355.3156,19.1349,3.6179
2014-07-17,151.55,27868.016,18.806,3.5557
2014-07-18,152.74,28086.8411,18.9537,3.5836
2014-07-21,153.0,28134.6516,18.986,3.5897
2014-07-22,154.01,28320.3771,19.1113,3.6134
2014-07-23,153.29,28187.9787,19.0219,3.5965
2014-07-24,150.8,27730.1011,18.713,3.5381
2014-07-25,150.15,27610.5748,18.6323,3.5228
2014-07-28,145.35,26727.919,18.0367,3.4102
2014-07-29,143.7,26428.3017,17.8319,3.3715
2014-07-30,142.95,26290.3669,17.7388,3.3539
