Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,26.3,7024.4886,15.9857,2.0262
2014-01-03,26.29,7021.8177,15.9796,2.0254
2014-01-06,26.12,6976.4122,15.8763,2.0123
2014-01-07,26.3,7024.4886,15.9857,2.0262
2014-01-08,26.24,7008.4631,15.9492,2.0216
2014-01-09,26.53,7085.9195,16.1255,2.0439
2014-01-10,27.11,7240.8321,16.478,2.0886
2014-01-13,26.73,7139.3376,16.2471,2.0593
2014-01-14,26.67,7123.3122,16.2106,2.0547
2014-01-15,26.42,7056.5395,16.0586,2.0354
2014-01-16,26.62,7109.9576,16.1802,2.0508
2014-01-17,26.43,7059.2104,16.0647,2.0362
2014-01-21,26.72,7136.6667,16.241,2.0585
2014-01-22,26.93,7192.7558,16.3686,2.0747
2014-01-23,26.91,7187.414,16.3565,2.0732
2014-01-24,26.54,7088.5904,16.1316,2.0447
2014-01-27,26.54,7088.5904,16.1316,2.0447
2014-01-28,26.96,7200.7685,16.3869,2.077
2014-01-29,26.78,7152.6922,16.2774,2.0632
2014-01-30,27.23,7272.883,16.551,2.0978
2014-01-31,27.79,7422.4539,16.8913,2.141
2014-02-03,27.42,7323.6303,16.6665,2.1125
2014-02-04,27.27,7283.5667,16.5753,2.1009
2014-02-05,26.86,7174.0594,16.3261,2.0693
2014-02-06,26.94,7198.5796,16.3747,2.0755
2014-02-07,27.23,7276.0699,16.551,2.0978
2014-02-10,27.57,7366.9206,16.7576,2.124
2014-02-11,27.94,7465.7875,16.9825,2.1525
2014-02-12,27.97,7473.8037,17.0008,2.1548
2014-02-13,28.2,7535.2615,17.1406,2.1726
2014-02-14,28.53,7623.4401,17.3411,2.198
2014-02-18,28.47,7607.4076,17.3047,2.1934
2014-02-19,28.38,7583.3589,17.25,2.1864
2014-02-20,28.61,7644.8167,17.3898,2.2041
2014-02-21,28.48,7610.0797,17.3107,2.1941
2014-02-24,28.34,7572.6706,17.2256,2.1833
2014-02-25,28.6,7642.1447,17.3837,2.2034
2014-02-26,28.37,7580.6869,17.2439,2.1857
2014-02-27,28.25,7548.6219,17.1709,2.1764
2014-02-28,28.43,7596.7193,17.2804,2.1903
2014-03-03,28.26,7551.294,17.177,2.1772
2014-03-04,28.53,7623.4401,17.3411,2.198
2014-03-05,28.19,7532.5894,17.1345,2.1718
2014-03-06,28.0,7481.8199,17.019,2.1572
2014-03-07,27.98,7476.4758,17.0068,2.1556
2014-03-10,27.85,7441.7388,16.9278,2.1456
2014-03-11,27.74,7412.3459,16.861,2.1371
2014-03-12,28.17,7527.2453,17.1223,2.1702
2014-03-13,28.59,7639.4726,17.3776,2.2026
2014-03-14,28.8,7695.5862,17.5052,2.2188
