Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,14.76,3233.5548,20.2887,2.6467
2014-01-03,14.73,3226.9826,20.2474,2.6413
2014-01-06,14.665,3212.7427,20.1581,2.6297
2014-01-07,15.0475,3296.5391,20.6838,2.6983
2014-01-08,15.36,3365.0002,21.1134,2.7543
2014-01-09,15.43,3380.3354,21.2096,2.7669
2014-01-10,15.0575,3298.7298,20.6976,2.7001
2014-01-13,15.1425,3317.3512,20.8144,2.7153
2014-01-14,15.29,3349.6649,21.0172,2.7418
2014-01-15,15.535,3403.3384,21.354,2.7857
2014-01-16,15.5,3395.6707,21.3058,2.7794
2014-01-17,15.43,3380.3354,21.2096,2.7669
2014-01-21,15.41,3375.9539,21.1821,2.7633
2014-01-22,15.365,3366.0955,21.1203,2.7552
2014-01-23,15.635,3425.2459,21.4914,2.8036
2014-01-24,15.37,3367.1909,21.1271,2.7561
2014-01-27,15.2625,3343.6403,20.9794,2.7368
2014-01-28,15.075,3302.5636,20.7216,2.7032
2014-01-29,15.075,3302.5636,20.7216,2.7032
2014-01-30,15.2275,3335.9726,20.9313,2.7305
2014-01-31,15.15,3318.9943,20.8247,2.7166
2014-02-03,14.7775,3237.3887,20.3127,2.6499
2014-02-04,14.6975,3219.8626,20.2027,2.6355
2014-02-05,15.4475,3384.1693,21.2337,2.77
2014-02-06,15.385,3370.477,21.1478,2.7588
2014-02-07,15.345,3361.714,21.0928,2.7516
2014-02-10,15.3625,3365.5478,21.1168,2.7548
2014-02-11,15.285,3348.5695,21.0103,2.7409
2014-02-12,14.555,3188.6444,20.0069,2.61
2014-02-13,14.865,3256.5578,20.433,2.6655
2014-02-14,15.225,3335.425,20.9278,2.7301
2014-02-18,15.395,3372.6678,21.1615,2.7606
2014-02-19,15.0775,3303.1113,20.7251,2.7036
2014-02-20,15.3175,3355.6894,21.055,2.7467
2014-02-21,15.3825,3545.0743,21.1443,2.7583
2014-02-24,15.845,3651.6627,21.7801,2.8413
2014-02-25,15.64,3604.4181,21.4983,2.8045
2014-02-26,15.7,3618.2458,21.5808,2.8153
2014-02-27,15.7125,3621.1266,21.5979,2.8175
2014-02-28,15.92,3668.9474,21.8832,2.8547
2014-03-03,15.68,3613.6366,21.5533,2.8117
2014-03-04,15.97,3680.4704,21.9519,2.8637
2014-03-05,15.7875,3638.4112,21.701,2.831
2014-03-06,15.7075,3619.9743,21.5911,2.8166
2014-03-07,15.8575,3654.5435,21.7973,2.8435
2014-03-10,16.04,3696.6027,22.0481,2.8762
2014-03-11,15.9975,3686.8623,21.9897,2.8686
2014-03-12,16.1025,3711.0611,22.134,2.8874
