Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,77.25,44538.8732,10.2931,1.0849
2014-01-03,77.34,44590.7631,10.3051,1.0861
2014-01-06,76.59,44158.3469,10.2052,1.0756
2014-01-07,77.28,44556.1698,10.2971,1.0853
2014-01-08,77.85,44884.8062,10.3731,1.0933
2014-01-09,77.85,44884.8062,10.3731,1.0933
2014-01-10,78.02,44982.8205,10.3957,1.0957
2014-01-13,76.37,44031.5048,10.1758,1.0725
2014-01-14,77.36,44602.2942,10.3078,1.0864
2014-01-15,77.03,44412.0311,10.2638,1.0818
2014-01-16,76.44,44071.8636,10.1852,1.0735
2014-01-17,72.39,41736.8159,9.6455,1.0166
2014-01-21,72.61,41863.658,9.6749,1.0197
2014-01-22,72.65,41886.7202,9.6802,1.0203
2014-01-23,71.54,40970.9589,9.5323,1.0047
2014-01-24,70.57,40415.4399,9.403,0.991
2014-01-27,69.95,40060.3659,9.3204,0.9823
2014-01-28,70.87,40587.2499,9.443,0.9953
2014-01-29,69.87,40014.5499,9.3098,0.9812
2014-01-30,70.96,40638.7929,9.455,0.9965
2014-01-31,70.61,40438.3479,9.4084,0.9916
2014-02-03,68.87,39441.8498,9.1765,0.9672
2014-02-04,68.72,39355.9448,9.1565,0.9651
2014-02-05,68.66,39321.5828,9.1485,0.9642
2014-02-06,69.92,40043.1849,9.3164,0.9819
2014-02-07,71.4,40890.7809,9.5136,1.0027
2014-02-10,71.37,40873.5999,9.5096,1.0023
2014-02-11,71.26,40810.6029,9.495,1.0007
2014-02-12,71.66,41039.6829,9.5483,1.0063
2014-02-13,72.37,41446.2999,9.6429,1.0163
2014-02-14,72.4,41463.4809,9.6469,1.0167
2014-02-18,72.42,41474.9349,9.6495,1.017
2014-02-19,70.95,40633.0659,9.4537,0.9964
2014-02-20,70.84,40570.0689,9.439,0.9948
2014-02-21,70.97,40644.5199,9.4563,0.9967
2014-02-24,71.73,41079.7719,9.5576,1.0073
2014-02-25,71.04,40684.6089,9.4657,0.9976
2014-02-26,71.33,40850.6919,9.5043,1.0017
2014-02-27,72.62,41597.6659,9.6762,1.0198
2014-02-28,73.43,42061.6443,9.7841,1.0312
2014-03-03,72.24,41379.997,9.6256,1.0145
2014-03-04,73.67,42199.1194,9.8161,1.0346
2014-03-05,74.36,42594.3602,9.908,1.0443
2014-03-06,75.03,42978.1448,9.9973,1.0537
2014-03-07,75.01,42966.6885,9.9946,1.0534
2014-03-10,75.15,43046.8823,10.0133,1.0554
2014-03-11,74.36,42594.3602,9.908,1.0443
2014-03-12,74.19,42496.982,9.8854,1.0419
2014-03-13,72.73,41660.6753,9.6908,1.0214
2014-03-14,72.19,41351.3564,9.6189,1.0138
2014-03-17,73.83,42290.7694,9.8374,1.0368
2014-03-18,73.55,42126.2877,9.8001,1.0329
2014-03-19,73.11,41874.2746,9.7415,1.0267
2014-03-20,74.28,42544.4004,9.8974,1.0431
2014-03-21,75.4,43185.8884,10.0466,1.0589
2014-03-24,75.2,43071.337,10.02,1.0561
2014-03-25,75.32,43140.0679,10.0359,1.0577
2014-03-26,74.96,42933.8753,9.988,1.0527
2014-03-27,75.88,43460.8119,10.1106,1.0656
2014-03-28,76.09,43581.0909,10.1385,1.0686
2014-03-31,77.16,44193.941,10.3021,1.0538
2014-04-01,76.78,43976.2933,10.2514,1.0486
2014-04-02,77.15,44188.2134,10.3008,1.0537
2014-04-03,77.47,44371.4957,10.3435,1.0581
2014-04-04,76.7,43930.4727,10.2407,1.0476
2014-04-07,75.55,43271.802,10.0872,1.0318
2014-04-08,75.68,43346.2604,10.1045,1.0336
2014-04-09,76.34,43724.2802,10.1927,1.0426
2014-04-10,74.07,42424.1214,9.8896,1.0116
2014-04-11,74.04,42406.9387,9.8856,1.0112
2014-04-14,74.06,42418.3939,9.8882,1.0115
2014-04-15,74.52,42681.8622,9.9497,1.0178
2014-04-16,75.16,43048.4267,10.0351,1.0265
2014-04-17,74.89,42893.7823,9.9991,1.0228
2014-04-21,75.05,42985.4234,10.0204,1.025
2014-04-22,75.11,43019.7889,10.0284,1.0258
2014-04-23,74.92,42910.965,10.0031,1.0232
2014-04-24,74.74,42807.8687,9.979,1.0208
2014-04-25,73.34,42006.0087,9.7921,1.0017
2014-04-28,72.95,41782.6334,9.74,0.9963
2014-04-29,73.51,42103.3774,9.8148,1.004
2014-04-30,73.9,42326.7527,9.8669,1.0093
2014-05-01,74.53,42698.2388,9.951,1.0179
2014-05-02,75.82,43437.2799,10.1232,1.0355
2014-05-05,75.81,43431.5509,10.1219,1.0354
2014-05-06,74.98,42857.0743,10.0111,1.0241
2014-05-07,76.42,43680.1496,10.2033,1.0437
2014-05-08,76.17,43537.2546,10.17,1.0403
2014-05-09,76.43,43685.8654,10.2047,1.0439
2014-05-12,77.73,44428.9195,10.3783,1.0616
2014-05-13,77.51,44303.1719,10.3489,1.0586
2014-05-14,76.17,43537.2546,10.17,1.0403
2014-05-15,76.42,43680.1496,10.2033,1.0437
2014-05-16,75.77,43308.6225,10.1166,1.0349
2014-05-19,76.1,43497.2439,10.1606,1.0394
2014-05-20,75.48,43142.8643,10.0778,1.0309
2014-05-21,76.67,43823.0446,10.2367,1.0471
2014-05-22,76.65,43811.613,10.2341,1.0469
2014-05-23,77.19,44120.2662,10.3062,1.0542
2014-05-27,77.75,44440.3511,10.3809,1.0619
2014-05-28,78.55,44897.6151,10.4877,1.0728
2014-05-29,78.72,44994.7838,10.5104,1.0751
2014-05-30,78.89,45091.9524,10.5331,1.0775
2014-06-02,78.63,44943.3415,10.4984,1.0739
2014-06-03,78.78,45029.0786,10.5184,1.076
2014-06-04,79.18,45257.7106,10.5719,1.0814
2014-06-05,79.82,45623.5218,10.6573,1.0902
2014-06-06,80.8,46183.6703,10.7881,1.1036
2014-06-09,81.99,46863.8506,10.947,1.1198
2014-06-10,81.71,46703.8082,10.9096,1.116
2014-06-11,80.83,46200.8177,10.7922,1.104
2014-06-12,80.93,46257.9757,10.8055,1.1053
2014-06-13,80.47,45995.0489,10.7441,1.099
2014-06-16,81.04,46320.8495,10.8202,1.1068
2014-06-17,80.9,46240.8283,10.8015,1.1049
2014-06-18,81.65,46669.5134,10.9016,1.1152
2014-06-19,82.0,46869.5664,10.9484,1.1199
2014-06-20,83.43,47686.9259,11.1393,1.1395
2014-06-23,83.49,47721.2207,11.1473,1.1403
2014-06-24,82.45,47126.7774,11.0085,1.1261
2014-06-25,82.33,47058.1878,10.9924,1.1244
2014-06-26,82.49,47149.6406,11.0138,1.1266
2014-06-27,83.01,47446.8623,11.0832,1.1337
2014-06-30,82.6,47212.5145,11.0658,1.0926
2014-07-01,83.02,47452.5781,11.1221,1.0981
2014-07-02,83.6,47784.0945,11.1998,1.1058
2014-07-03,84.95,48555.7276,11.3806,1.1236
2014-07-07,83.57,47766.9471,11.1958,1.1054
2014-07-08,83.23,47572.6099,11.1502,1.1009
2014-07-09,84.39,48235.6428,11.3056,1.1162
2014-07-10,83.69,47835.5367,11.2118,1.107
2014-07-11,83.96,47989.8634,11.248,1.1106
2014-07-14,84.01,48018.4424,11.2547,1.1112
2014-07-15,84.9,48527.1486,11.3739,1.123
2014-07-16,84.38,48229.927,11.3043,1.1161
2014-07-17,82.49,47149.6406,11.0511,1.0911
2014-07-18,82.29,47035.3246,11.0243,1.0885
2014-07-21,81.92,46823.84,10.9747,1.0836
2014-07-22,82.12,46938.156,11.0015,1.0862
2014-07-23,81.99,46863.8506,10.9841,1.0845
2014-07-24,82.4,46292.319,11.039,1.0899
2014-07-25,81.65,45870.969,10.9385,1.08
2014-07-28,81.53,45803.553,10.9225,1.0784
2014-07-29,81.19,45612.541,10.8769,1.0739
2014-07-30,81.56,45820.407,10.9265,1.0788
2014-07-31,79.54,44685.571,10.6559,1.0521
2014-08-01,79.49,44657.481,10.6492,1.0514
2014-08-04,80.22,45067.595,10.747,1.0611
2014-08-05,78.79,44226.3072,10.5554,1.0422
2014-08-06,78.76,44209.4676,10.5514,1.0418
2014-08-07,78.04,43805.3181,10.4549,1.0322
2014-08-08,78.88,44276.8259,10.5675,1.0434
2014-08-11,78.71,44181.4017,10.5447,1.0411
2014-08-12,79.34,44535.0325,10.6291,1.0494
2014-08-13,79.88,44838.1447,10.7014,1.0566
2014-08-14,79.79,44787.626,10.6894,1.0554
2014-08-15,79.3,44512.5798,10.6237,1.0489
2014-08-18,80.42,45141.2568,10.7738,1.0637
2014-08-19,80.48,45174.9359,10.7818,1.0645
2014-08-20,80.92,45421.9162,10.8408,1.0703
2014-08-21,81.69,45854.1317,10.9439,1.0805
2014-08-22,81.3,45635.2174,10.8917,1.0754
