Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,30.7625,5906.4704,20.3095,2.4561
2014-01-03,30.8875,5930.4707,20.392,2.4661
2014-01-06,30.5675,5869.03,20.1808,2.4405
2014-01-07,30.9875,5949.6709,20.458,2.4741
2014-01-08,31.0175,5955.431,20.4778,2.4765
2014-01-09,31.4575,6039.912,20.7683,2.5116
2014-01-10,31.535,6054.7922,20.8195,2.5178
2014-01-13,31.0125,5954.471,20.4745,2.4761
2014-01-14,31.595,6066.3123,20.8591,2.5226
2014-01-15,32.2675,6195.4339,21.3031,2.5763
2014-01-16,32.655,6269.8347,21.5589,2.6072
2014-01-17,32.425,6225.6742,21.4071,2.5888
2014-01-21,32.3525,6211.754,21.3592,2.583
2014-01-22,31.8375,6112.8729,21.0192,2.5419
2014-01-23,31.575,6062.4723,20.8459,2.521
2014-01-24,30.675,5889.6702,20.2517,2.4491
2014-01-27,30.95,5942.4708,20.4333,2.4711
2014-01-28,30.93,5938.6308,20.4201,2.4695
2014-01-29,30.765,5906.9504,20.3111,2.4563
2014-01-30,31.31,6011.5917,20.671,2.4998
2014-01-31,31.07,5947.3928,20.0279,2.4424
2014-02-03,29.325,5613.3664,18.9031,2.3052
2014-02-04,29.8425,5712.4258,19.2367,2.3459
2014-02-05,29.935,5730.1321,19.2963,2.3532
2014-02-06,30.0375,5749.7525,19.3624,2.3612
2014-02-07,30.85,5905.2806,19.8861,2.4251
2014-02-10,31.2125,5974.67,20.1198,2.4536
2014-02-11,31.5375,6036.8812,20.3293,2.4791
2014-02-12,31.6475,6057.9373,20.4002,2.4878
2014-02-13,31.635,6055.5446,20.3921,2.4868
2014-02-14,31.24,5979.934,20.1375,2.4558
2014-02-18,31.8475,6096.2212,20.5291,2.5035
2014-02-19,31.745,6076.6007,20.4631,2.4955
2014-02-20,32.13,6150.2971,20.7112,2.5257
2014-02-21,31.885,6103.3994,20.5533,2.5065
2014-02-24,32.075,6139.769,20.6758,2.5214
2014-02-25,32.15,6154.1255,20.7241,2.5273
2014-02-26,32.36,6194.3235,20.8595,2.5438
2014-02-27,32.4125,6204.373,20.8933,2.5479
2014-02-28,32.0525,6135.4621,20.6613,2.5196
2014-03-03,32.035,6132.1123,20.65,2.5183
2014-03-04,33.1,6335.9737,21.3365,2.602
2014-03-05,32.72,6263.2344,21.0915,2.5721
2014-03-06,32.5225,6225.4291,20.9642,2.5566
2014-03-07,34.12,6531.2212,21.994,2.6822
2014-03-10,33.5575,6423.996,21.6314,2.6379
2014-03-11,33.2625,6367.5234,21.4412,2.6147
2014-03-12,33.61,6434.0462,21.6652,2.6421
2014-03-13,33.3875,6391.4524,21.5218,2.6246
2014-03-14,33.0875,6334.0227,21.3284,2.601
2014-03-17,33.4175,6397.1954,21.5412,2.6269
2014-03-18,34.1475,6536.9411,22.0117,2.6843
2014-03-19,34.405,6586.235,22.1777,2.7046
2014-03-20,34.645,6632.1788,22.3324,2.7234
2014-03-21,33.5,6412.9886,21.5943,2.6334
2014-03-24,33.6025,6432.6104,21.6604,2.6415
2014-03-25,33.4925,6411.5528,21.5895,2.6328
2014-03-26,33.3125,6377.095,21.4735,2.6187
2014-03-27,32.8925,6296.6933,21.2027,2.5857
2014-03-28,33.075,6331.6298,21.3204,2.6
2014-03-31,34.34,6573.7919,22.1358,2.6994
2014-04-01,34.5925,6622.1286,22.2986,2.7193
2014-04-02,34.35,6575.7062,22.1423,2.7002
2014-04-03,34.375,6580.492,22.1584,2.7022
2014-04-04,33.145,6345.0301,21.3655,2.6055
2014-04-07,32.665,6253.1425,21.0561,2.5678
2014-04-08,32.6075,6242.1351,21.019,2.5633
2014-04-09,33.18,6351.7302,21.3881,2.6083
2014-04-10,31.525,6034.9094,20.3212,2.4782
2014-04-11,30.905,5916.2213,19.9216,2.4294
2014-04-14,31.6975,6067.9315,20.4324,2.4917
2014-04-15,31.6675,6062.1885,20.4131,2.4894
2014-04-16,32.295,6182.3124,20.8176,2.5387
2014-04-17,32.165,6157.4262,20.7338,2.5285
2014-04-21,32.01,6127.7542,20.6339,2.5163
2014-04-22,32.5175,6224.9062,20.961,2.5562
2014-04-23,32.325,6188.0554,20.8369,2.5411
2014-04-24,32.6325,6246.9209,21.0351,2.5652
2014-04-25,32.275,6178.4838,20.8047,2.5371
2014-04-28,32.53,6227.2991,20.9691,2.5572
2014-04-29,32.9525,6308.1793,21.2414,2.5904
2014-04-30,32.9775,6312.9651,20.8585,2.4863
2014-05-01,33.0675,6330.194,20.9154,2.4931
2014-05-02,33.45,6403.417,21.1574,2.522
2014-05-05,33.5275,6418.253,21.2064,2.5278
2014-05-06,33.4625,6405.8099,21.1653,2.5229
2014-05-07,33.3925,6392.4096,21.121,2.5176
2014-05-08,33.05,6326.844,20.9044,2.4918
2014-05-09,33.1825,6352.2088,20.9882,2.5018
2014-05-12,33.81,6472.3327,21.3851,2.5491
2014-05-13,33.68,6447.4464,21.3028,2.5393
2014-05-14,33.35,6384.2737,21.0941,2.5144
2014-05-15,33.06,6328.7583,20.9107,2.4926
2014-05-16,33.305,6375.6592,21.0657,2.511
