Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,117.81,51803.6974,26.1856,4.6167
2014-01-03,117.29,51575.0417,26.0701,4.5963
2014-01-06,116.4,51183.6888,25.8722,4.5614
2014-01-07,115.86,50946.2387,25.7522,4.5403
2014-01-08,114.05,50150.3411,25.3499,4.4693
2014-01-09,118.51,52111.5031,26.3412,4.6441
2014-01-10,117.85,51821.2863,26.1945,4.6182
2014-01-13,114.77,50466.9412,25.5099,4.4975
2014-01-14,116.23,51108.936,25.8345,4.5548
2014-01-15,116.24,51113.3332,25.8367,4.5551
2014-01-16,115.56,50814.3219,25.6855,4.5285
2014-01-17,116.29,51135.3193,25.8478,4.5571
2014-01-21,114.93,50537.2968,25.5455,4.5038
2014-01-22,113.75,50018.4244,25.2832,4.4576
2014-01-23,112.8,49600.6881,25.0721,4.4203
2014-01-24,112.13,49306.0741,24.9231,4.3941
2014-01-27,113.08,49723.8104,25.1343,4.4313
2014-01-28,114.38,50295.4495,25.4233,4.4823
2014-01-29,112.23,49350.0463,24.9454,4.398
2014-01-30,112.73,49569.9075,25.0565,4.4176
2014-01-31,112.36,49407.2102,24.9743,4.4031
2014-02-03,110.18,48448.6154,24.4897,4.3177
2014-02-04,110.89,48760.8183,24.6475,4.3455
2014-02-05,110.51,48593.7238,24.5631,4.3306
2014-02-06,114.26,50242.6828,25.3966,4.4776
2014-02-07,114.04,50145.9439,25.3477,4.4689
2014-02-10,113.85,50062.3966,25.3054,4.4615
2014-02-11,114.99,50563.6802,25.5588,4.5062
2014-02-12,114.81,50484.5301,25.5188,4.4991
2014-02-13,115.81,50924.2525,25.7411,4.5383
2014-02-14,116.1,51051.772,26.0899,4.4352
2014-02-18,115.36,50726.3775,25.9236,4.4069
2014-02-19,114.91,50528.5024,25.8225,4.3897
2014-02-20,115.06,50594.4607,25.8562,4.3954
2014-02-21,113.19,49772.1798,25.436,4.324
2014-02-24,113.94,50101.9716,25.6045,4.3527
2014-02-25,115.46,50770.3497,25.9461,4.4107
2014-02-26,115.88,50955.0331,26.0404,4.4268
2014-02-27,116.22,51104.5387,26.1169,4.4398
2014-02-28,116.8,51359.5777,26.2472,4.4619
2014-03-03,115.75,50897.8692,26.0112,4.4218
2014-03-04,116.65,51293.6194,26.2135,4.4562
2014-03-05,116.47,51214.4693,26.173,4.4493
2014-03-06,113.26,49802.9604,25.4517,4.3267
2014-03-07,113.5,49908.4938,25.5056,4.3358
2014-03-10,114.59,50387.7912,25.7506,4.3775
2014-03-11,114.71,50440.5579,25.7775,4.3821
2014-03-12,115.21,50660.4191,25.8899,4.4012
2014-03-13,114.41,50308.6412,25.7101,4.3706
2014-03-14,113.45,49904.1061,25.4944,4.3339
2014-03-17,113.46,49908.5049,25.4966,4.3343
2014-03-18,113.85,50080.0571,25.5843,4.3492
2014-03-19,112.85,49640.1796,25.3596,4.311
2014-03-20,113.16,49776.5416,25.4292,4.3229
2014-03-21,113.83,50071.2596,25.5798,4.3485
2014-03-24,113.37,49868.9159,25.4764,4.3309
2014-03-25,113.93,50115.2473,25.6022,4.3523
2014-03-26,112.49,49481.8237,25.2787,4.2973
2014-03-27,112.03,49279.48,25.1753,4.2797
2014-03-28,111.66,49116.7253,25.0921,4.2656
2014-03-31,111.68,49125.5229,25.0966,4.2663
2014-04-01,111.86,49204.7008,25.1371,4.2732
2014-04-02,111.55,49068.3388,25.0674,4.2614
2014-04-03,111.7,49134.3204,25.1011,4.2671
2014-04-04,110.65,48672.449,24.8652,4.227
2014-04-07,110.789,48733.592,24.8964,4.2323
2014-04-08,112.66,49556.6029,25.3169,4.3038
2014-04-09,113.05,49728.1551,25.4045,4.3187
2014-04-10,112.08,49301.4739,25.1865,4.2816
2014-04-11,112.08,49301.4739,25.1865,4.2816
2014-04-14,112.56,49512.6151,25.2944,4.2999
2014-04-15,112.06,49292.6763,25.182,4.2808
2014-04-16,113.49,49921.7012,25.5034,4.3355
2014-04-17,113.5,49926.1,25.5056,4.3358
2014-04-21,114.1,50190.0265,25.6404,4.3588
2014-04-22,113.56,49952.4926,25.5191,4.3381
2014-04-23,114.79,50493.542,25.7955,4.3851
2014-04-24,115.03,50599.1126,25.8494,4.3943
2014-04-25,115.01,50590.3151,25.8449,4.3935
2014-04-28,115.59,50845.444,25.9753,4.4157
2014-04-29,115.4,50761.8673,25.9326,4.4084
2014-04-30,115.68,50885.033,25.9955,4.4191
2014-05-01,115.56,50832.2477,25.9685,4.4145
2014-05-02,115.15,50651.8979,25.8764,4.3989
2014-05-05,114.49,50361.5787,25.7281,4.3737
2014-05-06,112.83,49631.382,25.3551,4.3103
2014-05-07,111.98,49257.4861,25.164,4.2778
2014-05-08,114.73,50467.1494,25.782,4.3828
2014-05-09,115.39,50757.4685,25.7567,4.2819
2014-05-12,116.51,51250.1314,26.0067,4.3235
2014-05-13,116.29,51153.3583,25.9576,4.3153
2014-05-14,115.13,50643.1004,25.6987,4.2723
2014-05-15,114.35,50299.9959,25.5246,4.2433
2014-05-16,115.61,50854.2416,25.8058,4.2901
2014-05-19,116.37,51188.5485,25.9754,4.3183
2014-05-20,115.13,50643.1004,25.6987,4.2723
2014-05-21,114.52,50374.7751,25.5625,4.2496
2014-05-22,114.73,50467.1494,25.6094,4.2574
2014-05-23,114.94,50559.5236,25.6562,4.2652
2014-05-27,113.87,50088.8547,25.4174,4.2255
2014-05-28,114.24,50251.6094,25.5,4.2392
2014-05-29,114.14,50207.6216,25.4777,4.2355
2014-05-30,116.02,51034.5914,25.8973,4.3053
2014-06-02,115.68,50885.033,25.8214,4.2927
2014-06-03,115.51,50810.2538,25.7835,4.2864
2014-06-04,116.31,51162.1559,25.9621,4.3161
2014-06-05,117.75,51609.3169,26.2835,4.3695
2014-06-06,118.23,51819.6988,26.3906,4.3873
2014-06-09,117.78,51622.4658,26.2902,4.3706
2014-06-10,117.1,51324.4247,26.1384,4.3454
2014-06-11,116.24,50947.4904,25.9464,4.3135
2014-06-12,115.44,50596.8539,25.7679,4.2838
2014-06-13,115.3,50535.4925,25.7366,4.2786
2014-06-16,115.43,50592.4709,25.7656,4.2834
2014-06-17,115.45,50601.2368,25.7701,4.2841
2014-06-18,116.27,50960.6393,25.9531,4.3146
2014-06-19,116.26,50956.2563,25.9509,4.3142
2014-06-20,115.36,50561.7902,25.75,4.2808
2014-06-23,115.22,50500.4288,25.7187,4.2756
2014-06-24,116.31,50978.1711,25.9621,4.3161
2014-06-25,116.27,50960.6393,25.9531,4.3146
2014-06-26,115.64,50684.513,25.8125,4.2912
2014-06-27,115.49,50618.7686,25.779,4.2856
2014-06-30,115.16,50474.1311,25.7054,4.2734
2014-07-01,115.44,50596.8539,25.7679,4.2838
2014-07-02,115.75,50732.7255,25.8371,4.2953
2014-07-03,116.35,50995.7029,25.971,4.3175
2014-07-07,116.32,50982.5541,25.9643,4.3164
2014-07-08,117.46,51482.2111,26.2187,4.3587
2014-07-09,117.92,51683.8272,26.3214,4.3758
2014-07-10,118.08,51753.9545,26.3571,4.3817
2014-07-11,118.01,51723.2738,26.3415,4.3791
2014-07-14,117.36,51438.3816,26.1964,4.355
2014-07-15,117.82,51639.9976,26.2991,4.3721
2014-07-16,117.85,51653.1465,26.3058,4.3732
2014-07-17,116.79,51188.553,26.0692,4.3339
2014-07-18,117.74,51604.8791,26.2812,4.3691
2014-07-21,117.04,51298.127,26.125,4.3431
2014-07-22,117.55,51521.6577,26.2388,4.3621
2014-07-23,117.59,51539.1896,26.2478,4.3636
2014-07-24,118.14,51780.2522,26.3705,4.384
2014-07-25,117.55,51521.6577,26.2388,4.3621
2014-07-28,117.12,51333.1906,26.1429,4.3461
2014-07-29,118.9,52113.3569,26.5402,4.4122
2014-07-30,118.18,51797.784,26.3795,4.3854
2014-07-31,117.54,51517.2748,26.2366,4.3617
2014-08-01,117.88,51666.2953,26.3125,4.3743
2014-08-04,118.15,51784.6352,26.3728,4.3843
2014-08-05,118.05,51740.8056,26.3504,4.3806
2014-08-06,119.59,52415.7809,26.6942,4.4378
2014-08-07,117.8,51631.2317,26.2946,4.3713
2014-08-08,119.16,52227.3138,26.5982,4.4218
2014-08-11,119.18,52236.0797,26.6027,4.4226
2014-08-12,119.01,52161.5694,26.5647,4.4162
2014-08-13,118.64,51999.4,26.4821,4.4025
2014-08-14,119.26,52271.1434,26.6205,4.4255
2014-08-15,118.57,51968.7193,26.4665,4.3999
2014-08-18,119.46,52358.8025,26.6652,4.4329
2014-08-19,120.61,52862.8425,26.9219,4.4756
2014-08-20,120.91,52994.3313,26.9888,4.4868
2014-08-21,121.62,53305.5212,27.1473,4.5131
2014-08-22,121.29,53160.8836,27.0737,4.5009
2014-08-25,121.39,53204.7132,27.096,4.5046
2014-08-26,121.09,53073.2245,27.029,4.4934
2014-08-27,121.24,53138.9688,27.0625,4.499
2014-08-28,120.97,53020.629,27.0022,4.489
2014-08-29,121.08,53068.8415,25.9828,4.3075
2014-09-02,121.56,53279.2234,26.0858,4.3245
2014-09-03,121.35,53187.1814,26.0408,4.3171
2014-09-04,125.15,54852.705,26.8562,4.4522
2014-09-05,127.01,55667.9349,27.2554,4.5184
2014-09-08,126.6,55488.2337,27.1674,4.5038
2014-09-09,126.11,55273.4688,27.0622,4.4864
2014-09-10,126.17,55299.7666,27.0751,4.4885
2014-09-11,125.94,55198.9585,27.0258,4.4804
2014-09-12,125.37,54949.13,26.9034,4.4601
2014-09-15,125.71,55098.1505,26.9764,4.4722
2014-09-16,126.43,55413.7234,27.1309,4.4978
2014-09-17,126.01,55229.6392,27.0408,4.4828
2014-09-18,126.48,55435.6382,27.1416,4.4996
2014-09-19,126.5,55444.4041,27.1459,4.5003
2014-09-22,125.83,55150.746,27.0021,4.4764
2014-09-23,125.51,55010.4914,26.9335,4.4651
2014-09-24,127.62,55935.2953,27.3863,4.5401
2014-09-25,125.66,55076.2358,26.9657,4.4704
2014-09-26,125.54,55023.6403,26.9399,4.4661
2014-09-29,125.32,54927.2152,26.8927,4.4583
2014-09-30,125.32,54927.2152,26.8927,4.4583
2014-10-01,124.76,54681.7696,26.7725,4.4384
2014-10-02,125.79,55133.2142,26.9936,4.475
2014-10-03,127.09,55702.9986,27.2725,4.5213
2014-10-06,126.21,55317.2984,27.0837,4.49
2014-10-07,125.27,54905.3004,26.882,4.4565
2014-10-08,128.73,56421.8035,27.6245,4.5796
2014-10-09,128.41,56281.5489,27.5558,4.5682
2014-10-10,128.9,56496.3138,27.6609,4.5857
2014-10-13,126.97,55650.4031,27.2468,4.517
2014-10-14,126.25,55334.8302,27.0923,4.4914
2014-10-15,124.3,54413.8234,26.6738,4.422
2014-10-16,122.95,53822.8446,26.3841,4.374
2014-10-17,124.65,54567.0401,26.7489,4.4345
2014-10-20,128.42,56217.403,27.5579,4.5686
2014-10-21,130.28,57031.6405,27.9571,4.6348
2014-10-22,130.54,57145.4586,28.0129,4.644
2014-10-23,130.59,57167.3467,28.0236,4.6458
2014-10-24,130.44,57101.6824,27.9914,4.6404
2014-10-27,130.92,57311.8082,28.0944,4.6575
2014-10-28,131.06,57373.0949,28.1245,4.6625
2014-10-29,131.93,57753.9478,28.3112,4.6935
2014-10-30,133.0,58222.3532,28.5408,4.7315
2014-10-31,133.37,58384.3252,28.6202,4.7447
2014-11-03,134.27,58778.3111,28.8133,4.7767
2014-11-04,136.55,59776.4085,29.3026,4.8578
2014-11-05,136.5,59754.5204,29.2918,4.856
2014-11-06,137.09,60012.8,29.4185,4.877
2014-11-07,137.71,60284.2125,29.5515,4.8991
2014-11-10,137.69,60275.4573,29.5472,4.8984
2014-11-11,137.05,59995.2896,29.4099,4.8756
2014-11-12,136.9,59929.6253,29.3777,4.8703
2014-11-13,138.71,60721.9746,29.7661,4.9347
2014-11-14,138.48,60621.2893,29.7167,4.9265
2014-11-17,138.47,60616.9117,29.7146,4.9261
2014-11-18,139.21,60940.8556,29.8734,4.9524
2014-11-19,140.01,61291.0652,30.0451,4.9809
2014-11-20,139.25,60958.3661,29.882,4.9539
2014-11-21,139.72,61164.1142,28.9876,4.9799
2014-11-24,139.8,61199.1352,29.0041,4.9827
2014-11-25,138.87,60792.0165,28.8112,4.9496
2014-11-26,139.75,61177.2471,28.9938,4.981
2014-11-28,142.12,62214.7432,29.4855,5.0654
2014-12-01,141.98,62153.4565,29.4564,5.0604
2014-12-02,143.06,62626.2395,29.6805,5.0989
2014-12-03,142.69,62464.2675,29.6037,5.0858
2014-12-04,143.02,62608.729,29.6722,5.0975
2014-12-05,143.25,62709.4143,29.7199,5.1057
2014-12-08,142.33,62306.6732,29.529,5.0729
2014-12-09,143.04,63008.9934,29.6763,5.0982
2014-12-10,140.25,61780.0009,29.0975,4.9988
2014-12-11,141.41,62290.9799,29.3382,5.0401
2014-12-12,137.88,60736.018,28.6058,4.9143
2014-12-15,138.19,60872.5727,28.6701,4.9254
2014-12-16,137.31,60484.9335,28.4876,4.894
2014-12-17,139.33,61374.7417,28.9066,4.966
2014-12-18,141.56,62357.8021,29.3693,5.0455
2014-12-19,141.77,62450.308,29.4129,5.053
2014-12-22,143.21,63084.6343,29.7116,5.1043
2014-12-23,144.15,63498.7085,29.9066,5.1378
2014-12-24,143.65,63278.4563,29.8029,5.12
2014-12-26,143.44,63185.9504,29.7593,5.1125
2014-12-29,143.34,63141.8999,29.7386,5.1089
2014-12-30,143.49,63207.9756,29.7697,5.1143
2014-12-31,141.75,62441.4979,29.4087,5.0522
2015-01-02,141.61,62379.8273,29.3797,5.0473
2015-01-05,140.0,61670.6152,29.0456,4.9899
2015-01-06,141.85,62485.5484,29.4295,5.0558
2015-01-07,144.32,63573.5942,29.9419,5.1438
2015-01-08,145.56,64119.8197,30.1992,5.188
2015-01-09,143.32,63133.0898,29.7344,5.1082
2015-01-12,142.52,62780.6863,29.5685,5.0797
2015-01-13,141.09,62150.765,29.2718,5.0287
2015-01-14,139.31,61366.6672,28.9025,4.9653
2015-01-15,139.31,61366.6672,28.9025,4.9653
2015-01-16,139.72,61547.274,28.9876,4.9799
2015-01-20,139.38,61397.5025,28.917,4.9678
2015-01-21,139.14,61291.7815,28.8672,4.9592
2015-01-22,141.27,62230.0558,29.3091,5.0351
2015-01-23,142.05,62573.6492,29.471,5.0629
2015-01-26,142.905,62950.2805,29.6483,5.0934
2015-01-27,140.99,62106.7146,29.251,5.0252
2015-01-28,139.62,61503.2236,28.9668,4.9763
2015-01-29,140.64,61952.538,29.1784,5.0127
2015-01-30,142.99,62987.7234,29.666,5.0964
2015-02-02,146.0,64313.6416,30.2905,5.2037
2015-02-03,153.75,67727.5507,31.8983,5.48
2015-02-04,155.92,68683.4452,32.3485,5.5573
2015-02-05,149.09,65674.8002,30.9315,5.3139
2015-02-06,148.7,65503.0035,30.8506,5.3
2015-02-09,147.54,64992.0184,30.61,5.2586
2015-02-10,148.22,65291.5614,30.751,5.2829
2015-02-11,147.46,64956.778,30.5934,5.2558
2015-02-12,147.76,65088.9293,30.6556,5.2665
2015-02-13,147.1,64798.1964,29.4713,6.3443
2015-02-17,147.53,64987.6133,29.5574,6.3629
2015-02-18,147.23,64855.462,29.4973,6.3499
2015-02-19,146.665,64606.577,29.3841,6.3256
2015-02-20,147.535,64989.8158,29.5584,6.3631
2015-02-23,148.39,65366.4471,29.7297,6.4
2015-02-24,148.21,65287.1563,29.6937,6.3922
2015-02-25,147.48,64965.5881,29.5474,6.3607
2015-02-26,146.65,64599.9695,29.3811,6.3249
2015-02-27,146.96,64736.5258,29.4432,6.3383
2015-03-02,147.94,65168.2201,29.6396,6.3806
2015-03-03,147.37,64917.1326,29.5254,6.356
2015-03-04,147.17,64829.0317,29.4853,6.3473
2015-03-05,151.17,66591.0493,30.2867,6.5199
2015-03-06,149.545,65875.2297,29.9611,6.4498
2015-03-09,150.68,66375.2022,30.1885,6.4987
2015-03-10,148.16,65265.1311,29.6836,6.39
2015-03-11,147.4,64852.2079,29.5314,6.3573
2015-03-12,149.44,65749.7555,29.9401,6.4452
2015-03-13,149.28,65679.3596,29.908,6.4383
2015-03-16,149.99,65991.7413,30.0503,6.469
2015-03-17,150.03,66009.3403,30.0583,6.4707
2015-03-18,150.93,66405.3171,30.2386,6.5095
2015-03-19,151.31,66572.5074,30.3147,6.5259
2015-03-20,152.59,67135.6744,30.5712,6.5811
2015-03-23,152.93,67285.2657,30.6393,6.5958
2015-03-24,153.14,67377.6603,30.6814,6.6048
2015-03-25,151.09,66475.713,30.2707,6.5164
2015-03-26,150.06,66022.5395,30.0643,6.472
2015-03-27,150.47,66202.929,30.1464,6.4897
2015-03-30,152.365,67036.6802,30.5261,6.5714
2015-03-31,151.495,66653.9026,30.3518,6.5339
2015-04-01,150.24,66101.7349,30.1004,6.4798
2015-04-02,151.63,66713.2991,30.3788,6.5397
2015-04-06,152.5,67096.0767,30.5532,6.5772
2015-04-07,151.78,66779.2953,30.4089,6.5462
2015-04-08,152.0,66876.0896,30.453,6.5557
2015-04-09,148.81,65472.5717,29.8139,6.4181
2015-04-10,149.635,65835.5504,29.9792,6.4537
2015-04-13,149.02,65564.9663,29.8559,6.4271
2015-04-14,149.52,65784.9534,29.9561,6.4487
2015-04-15,149.07,65586.965,29.866,6.4293
2015-04-16,147.11,64724.6154,29.4733,6.3448
2015-04-17,144.57,63607.0807,28.9644,6.2352
2015-04-20,146.31,64372.636,29.313,6.3103
2015-04-21,147.34,64825.8095,29.5194,6.3547
2015-04-22,146.98,64667.4187,29.4472,6.3391
2015-04-23,147.3,64808.2105,29.5113,6.353
2015-04-24,148.12,65168.9894,29.6756,6.3883
2015-04-27,146.96,64658.6193,29.4432,6.3383
2015-04-28,146.61,64504.6283,29.3731,6.3232
2015-04-29,144.46,63558.6836,28.9423,6.2305
2015-04-30,143.05,62938.3199,28.6599,6.1697
2015-05-01,145.39,63967.8597,29.1287,6.2706
2015-05-04,145.75,64126.2504,29.2008,6.2861
2015-05-05,144.5,63576.2825,28.9504,6.2322
2015-05-06,144.77,63695.0756,29.0045,6.2438
2015-05-07,144.56,63602.681,28.9624,6.2348
2015-05-08,145.88,64183.447,28.6528,6.0594
2015-05-11,144.27,63475.0885,28.3366,5.9925
2015-05-12,144.07,63387.0936,28.2973,5.9842
2015-05-13,143.24,63021.915,28.1343,5.9497
2015-05-14,142.6,62740.3314,28.0086,5.9231
2015-05-15,144.83,63721.4741,28.4466,6.0158
2015-05-18,145.06,63822.6681,28.4917,6.0253
2015-05-19,144.74,63681.8764,28.4289,6.012
2015-05-20,143.49,63131.9085,28.1834,5.9601
2015-05-21,143.94,63329.897,28.2717,5.9788
2015-05-22,143.68,63215.5036,28.2207,5.968
2015-05-26,143.25,63026.3147,28.1362,5.9501
2015-05-27,145.42,63981.0589,28.5624,6.0403
2015-05-28,144.26,63470.6887,28.3346,5.9921
2015-05-29,142.59,62735.9317,28.0066,5.9227
2015-06-01,142.39,62647.9368,27.9673,5.9144
2015-06-02,141.4,62212.3623,27.7729,5.8733
