Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,118.38,9736.5563,35.1131,7.8488
2014-01-03,116.62,9591.7993,34.591,7.7321
2014-01-06,116.11,9549.8526,34.4398,7.6982
2014-01-07,116.55,9586.0419,34.5703,7.7274
2014-01-08,117.8,9688.8523,34.941,7.8103
2014-01-09,115.87,9530.113,34.3686,7.6823
2014-01-10,116.26,9562.1899,34.4843,7.7082
2014-01-13,113.5,9335.1845,33.6656,7.5252
2014-01-14,113.38,9325.3147,33.63,7.5172
2014-01-15,110.21,9064.5875,32.6898,7.3071
2014-01-16,110.01,9048.1379,32.6304,7.2938
2014-01-17,107.71,8858.9667,31.9482,7.1413
2014-01-21,104.56,8599.8845,31.0139,6.9325
2014-01-22,106.28,8741.3516,31.5241,7.0465
2014-01-23,106.83,8786.5882,31.6872,7.083
2014-01-24,105.19,8651.7009,31.2008,6.9742
2014-01-27,101.69,8363.8318,30.1626,6.7422
2014-01-28,106.19,8733.9493,31.4974,7.0405
2014-01-29,106.36,8747.9315,31.5478,7.0518
2014-01-30,110.12,9057.1852,32.6631,7.3011
2014-01-31,106.32,8744.6415,31.5359,7.0492
2014-02-03,104.48,8593.3046,30.9902,6.9272
2014-02-04,107.48,8840.0496,31.88,7.1261
2014-02-05,107.8,8866.3691,31.9749,7.1473
2014-02-06,114.94,9453.6221,34.0927,7.6207
2014-02-07,116.48,9580.2845,34.5495,7.7228
2014-02-10,113.55,9339.2969,33.6804,7.5285
2014-02-11,115.06,9463.4919,34.1283,7.6286
2014-02-12,116.15,9553.1425,34.4516,7.7009
2014-02-13,116.53,9584.3969,34.5643,7.7261
2014-02-14,116.75,9602.4915,34.6296,7.7407
2014-02-18,119.36,9817.1597,35.4038,7.9137
2014-02-19,118.74,9766.1657,35.2199,7.8726
2014-02-20,119.32,9813.8697,35.3919,7.9111
2014-02-21,120.89,9942.9996,35.8576,8.0152
2014-02-24,124.44,10234.9811,36.9106,8.2505
2014-02-25,127.28,10468.5664,37.7529,8.4388
2014-02-26,127.33,10472.6788,37.7678,8.4421
2014-02-27,130.57,10739.1633,38.7288,8.657
2014-02-28,129.93,10686.5244,38.539,8.6145
2014-03-03,127.37,10505.4392,37.7796,8.4448
2014-03-04,129.96,10719.0616,38.5479,8.6165
2014-03-05,125.85,10380.07,37.3288,8.344
2014-03-06,126.53,10436.1562,37.5305,8.3891
