Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,43.04,13477.7524,12.2732,10.0182
2014-01-03,42.42,13283.6027,12.0964,9.8739
2014-01-06,42.4,13277.3398,12.0907,9.8692
2014-01-07,42.87,13424.5178,12.2247,9.9786
2014-01-08,42.59,13336.8373,12.1449,9.9135
2014-01-09,42.49,13305.5228,12.1164,9.8902
2014-01-10,42.83,13411.992,12.2133,9.9693
2014-01-13,42.25,13230.368,12.0479,9.8343
2014-01-14,42.63,13349.3631,12.1563,9.9228
2014-01-15,42.31,13249.1567,12.065,9.8483
2014-01-16,42.85,13418.2549,12.219,9.974
2014-01-17,41.79,13086.3214,11.9167,9.7272
2014-01-21,42.1,13183.3963,12.0051,9.7994
2014-01-22,42.32,13252.2882,12.0679,9.8506
2014-01-23,41.86,13108.2416,11.9367,9.7435
2014-01-24,42.29,13242.8938,11.6575,9.3578
2014-01-27,41.93,13130.1617,11.5582,9.2781
2014-01-28,41.97,13142.6875,11.5693,9.287
2014-01-29,41.1,12870.2515,11.3294,9.0945
2014-01-30,41.16,12889.0402,11.346,9.1077
2014-01-31,41.21,12904.6975,11.3598,9.1188
2014-02-03,39.88,12488.2149,10.9931,8.8245
2014-02-04,40.05,12541.4495,11.04,8.8621
2014-02-05,39.84,12475.6891,10.9821,8.8157
2014-02-06,40.02,12532.0551,11.0317,8.8555
2014-02-07,40.32,12625.9986,11.1144,8.9219
2014-02-10,40.65,12729.3364,11.2054,8.9949
2014-02-11,40.9,12807.6226,11.2743,9.0502
2014-02-12,40.86,12795.0968,11.2633,9.0414
2014-02-13,40.97,12829.5427,11.2936,9.0657
2014-02-14,43.01,13468.3581,11.8559,9.5171
2014-02-18,43.25,13543.5129,11.9221,9.5702
2014-02-19,43.55,13637.4563,12.0048,9.6366
2014-02-20,43.69,13681.2966,12.0434,9.6676
2014-02-21,43.98,13772.1086,12.1233,9.7317
2014-02-24,44.19,13837.869,12.1812,9.7782
2014-02-25,43.94,13759.5828,12.1123,9.7229
2014-02-26,43.25,13543.5129,11.9221,9.5702
2014-02-27,43.13,13505.9355,11.889,9.5437
2014-02-28,43.31,13562.3015,11.9386,9.5835
2014-03-03,43.03,13474.621,11.8615,9.5215
2014-03-04,43.99,13775.24,12.1261,9.734
2014-03-05,43.78,13709.4796,12.0682,9.6875
2014-03-06,43.72,13717.0032,12.0517,9.6742
2014-03-07,43.91,13776.6151,12.104,9.7163
2014-03-10,43.87,13764.0652,12.093,9.7074
2014-03-11,43.62,13685.6286,12.0241,9.6521
2014-03-12,44.21,13870.7391,12.1867,9.7826
2014-03-13,44.02,13811.1272,12.1344,9.7406
2014-03-14,44.05,13820.5396,12.1426,9.7472
2014-03-17,43.89,13770.3402,12.0985,9.7118
2014-03-18,44.37,13920.9386,12.2308,9.818
2014-03-19,43.99,13801.7148,12.1261,9.734
2014-03-20,44.64,14005.6501,12.3053,9.8778
2014-03-21,44.54,13974.2755,12.2777,9.8557
2014-03-24,44.25,13883.289,12.1978,9.7915
2014-03-25,44.32,13905.2512,12.2171,9.807
2014-03-26,44.05,13820.5396,12.1426,9.7472
2014-03-27,44.15,13851.9143,12.1702,9.7694
2014-03-28,44.56,13980.5504,12.2832,9.8601
2014-03-31,44.88,14080.9493,12.3714,9.9309
2014-04-01,44.56,13980.5504,12.2832,9.8601
2014-04-02,44.57,13983.6879,12.286,9.8623
2014-04-03,44.87,14077.8119,12.3687,9.9287
2014-04-04,44.31,13902.1138,12.2143,9.8048
2014-04-07,44.81,14058.9871,12.3521,9.9154
2014-04-08,44.68,14018.2,12.3163,9.8866
2014-04-09,44.95,14102.9116,12.3907,9.9464
2014-04-10,44.69,14021.3375,12.319,9.8889
2014-04-11,44.26,13886.4264,12.2005,9.7937
2014-04-14,44.6,13993.1003,12.2942,9.8689
2014-04-15,44.17,13858.1892,12.1757,9.7738
2014-04-16,44.68,14018.2,12.3163,9.8866
2014-04-17,44.54,13974.2755,12.2777,9.8557
2014-04-21,44.42,13936.6259,12.2446,9.8291
2014-04-22,44.73,14033.8873,12.3301,9.8977
2014-04-23,44.93,14096.6367,12.3852,9.942
2014-04-24,44.87,14077.8119,12.3687,9.9287
2014-04-25,44.94,14099.7741,12.2438,8.7524
2014-04-28,45.68,14331.9467,12.4454,8.8965
2014-04-29,45.4,14244.0976,12.3692,8.8419
2014-04-30,45.49,14272.3348,12.3937,8.8595
2014-05-01,45.2,14181.3483,12.3147,8.803
2014-05-02,44.99,14115.4615,12.2575,8.7621
2014-05-05,45.19,14178.2108,12.3119,8.801
2014-05-06,44.9,14087.2243,12.2329,8.7446
2014-05-07,45.32,14218.9979,12.3474,8.8264
2014-05-08,45.24,14193.8981,12.3256,8.8108
2014-05-09,45.4,14244.0976,12.3692,8.8419
2014-05-12,45.49,14272.3348,12.3937,8.8595
2014-05-13,45.63,14316.2593,12.4318,8.8867
2014-05-14,45.31,14215.8604,12.3446,8.8244
2014-05-15,45.03,14128.0113,12.2684,8.7699
2014-05-16,45.12,14156.2485,12.2929,8.7874
2014-05-19,44.06,13823.6771,12.0041,8.581
2014-05-20,44.04,13817.4022,11.9986,8.5771
2014-05-21,44.37,13920.9386,12.0885,8.6413
2014-05-22,44.25,13883.289,12.0558,8.618
2014-05-23,44.06,13823.6771,12.0041,8.581
2014-05-27,44.7,14024.4749,12.1784,8.7056
2014-05-28,44.61,13996.2377,12.1539,8.6881
2014-05-29,45.14,14162.5235,12.2983,8.7913
2014-05-30,45.9,14400.9709,12.5054,8.9393
2014-06-02,45.47,14266.0599,12.3882,8.8556
2014-06-03,45.4,14244.0976,12.3692,8.8419
2014-06-04,45.72,14352.1663,12.4563,8.9043
2014-06-05,46.37,14556.2106,12.6334,9.0309
2014-06-06,46.37,14556.2106,12.6334,9.0309
2014-06-09,45.86,14396.1143,12.4945,8.9315
2014-06-10,45.65,14330.1923,12.4373,8.8906
2014-06-11,45.43,14261.1311,12.3773,8.8478
2014-06-12,45.26,14207.7657,12.331,8.8147
2014-06-13,45.32,14226.6005,12.3474,8.8264
2014-06-16,45.65,14330.1923,12.4373,8.8906
2014-06-17,45.69,14342.7489,12.4482,8.8984
2014-06-18,46.01,14443.2015,12.5354,8.9607
2014-06-19,46.61,14631.5501,12.6988,9.0776
2014-06-20,46.43,14575.0455,12.6498,9.0425
2014-06-23,46.07,14462.0363,12.5517,8.9724
2014-06-24,45.66,14333.3314,12.44,8.8926
2014-06-25,45.32,14226.6005,12.3474,8.8264
2014-06-26,45.26,14207.7657,12.331,8.8147
2014-06-27,45.67,14336.4706,12.4427,8.8945
2014-06-30,45.81,14380.4186,12.4809,8.9218
2014-07-01,46.06,14458.8972,12.549,8.9705
2014-07-02,46.19,14499.7061,12.5844,8.9958
2014-07-03,45.87,14399.2534,12.4972,8.9335
2014-07-07,45.66,14333.3314,12.44,8.8926
2014-07-08,45.42,14257.992,12.3746,8.8458
2014-07-09,45.3,14220.3222,12.3419,8.8225
2014-07-10,45.27,14210.9048,12.3337,8.8166
2014-07-11,45.29,14217.1831,12.3392,8.8205
2014-07-14,45.27,14210.9048,12.3337,8.8166
2014-07-15,44.14,13856.1815,12.0259,8.5966
2014-07-16,44.56,13988.0256,12.1403,8.6784
2014-07-17,43.74,13730.6158,11.9169,8.5187
2014-07-18,43.95,13796.5378,11.9741,8.5596
2014-07-21,44.16,13862.4598,12.0313,8.6004
2014-07-22,44.14,13856.1815,12.0259,8.5966
2014-07-23,43.76,13736.8941,11.9223,8.5225
2014-07-24,43.53,13664.6938,11.8597,8.4778
2014-07-25,43.5,13655.2763,11.8515,8.4719
2014-07-28,43.46,13642.7197,11.8406,8.4641
2014-07-29,43.27,13583.076,11.7888,8.4271
2014-07-30,42.79,13432.3971,11.6581,8.3336
2014-07-31,41.59,13055.6998,11.3311,8.0999
2014-08-01,41.96,13171.8481,16.6642,8.1322
2014-08-04,42.23,13256.605,16.7714,8.1845
2014-08-05,41.81,13124.761,16.6046,8.1031
2014-08-06,42.2,13247.1876,16.7595,8.1787
2014-08-07,42.14,13228.3527,16.7356,8.1671
2014-08-08,42.67,13394.7274,16.9461,8.2698
2014-08-11,43.16,13548.5454,17.1407,8.3648
2014-08-12,43.12,13535.9889,17.1248,8.357
2014-08-13,43.37,13614.4674,17.2241,8.4055
2014-08-14,43.72,13724.3375,17.3631,8.4733
2014-08-15,43.47,13645.8589,17.2638,8.4248
2014-08-18,43.86,13768.2855,17.4187,8.5004
2014-08-19,44.11,13846.7641,17.518,8.5489
2014-08-20,44.22,13881.2947,17.5617,8.5702
2014-08-21,44.45,13953.495,17.653,8.6148
2014-08-22,44.01,13815.3727,17.4783,8.5295
2014-08-25,44.27,13896.9904,17.5816,8.5799
2014-08-26,44.45,13953.495,17.653,8.6148
2014-08-27,44.6,14000.5822,17.7126,8.6438
2014-08-28,44.77,14053.9476,17.7801,8.6768
2014-08-29,44.82,14069.6433,17.8,8.6865
2014-09-02,44.64,14013.1387,17.7285,8.6516
2014-09-03,44.47,13959.7733,17.661,8.6186
2014-09-04,44.25,13890.7121,17.5736,8.576
2014-09-05,44.54,13981.7473,17.6888,8.6322
2014-09-08,43.39,13620.7457,17.2321,8.4093
2014-09-09,43.22,13567.3803,17.1646,8.3764
2014-09-10,43.42,13630.1632,17.244,8.4151
2014-09-11,44.12,13849.9032,17.522,8.5508
2014-09-12,43.4,13623.8849,17.236,8.4113
2014-09-15,43.5,13655.2763,17.2758,8.4307
2014-09-16,43.6,13686.6678,17.3155,8.45
2014-09-17,43.1,13529.7106,17.1169,8.3531
2014-09-18,43.4,13623.8849,17.236,8.4113
2014-09-19,43.06,13517.154,17.101,8.3454
2014-09-22,42.79,13432.3971,16.9938,8.293
2014-09-23,42.58,13366.4751,16.9104,8.2523
2014-09-24,42.97,13502.0492,17.0653,8.3279
2014-09-25,42.38,13316.6592,16.831,8.2136
2014-09-26,42.62,13392.0721,16.9263,8.2601
2014-09-29,42.85,13464.3427,17.0176,8.3047
2014-09-30,42.73,13426.6363,16.97,8.2814
2014-10-01,42.22,13269.453,16.7674,8.1826
2014-10-02,42.1,13231.7378,16.7198,8.1593
2014-10-03,42.45,13341.7404,16.8588,8.2272
2014-10-06,42.55,13373.1697,16.8985,8.2465
2014-10-07,42.31,13297.7394,16.8032,8.2
2014-10-08,42.63,13398.3132,16.9302,8.262
2014-10-09,41.88,13162.5934,16.6324,8.1167
2014-10-10,42.19,13260.0242,16.7555,8.1768
2014-10-13,41.94,13181.4509,16.6562,8.1283
2014-10-14,42.29,13291.4535,16.7952,8.1961
2014-10-15,41.96,13187.7368,16.6642,8.1322
2014-10-16,41.6,13074.5913,16.5212,8.0624
2014-10-17,42.04,13212.8803,16.6959,8.1477
2014-10-20,42.75,13436.0283,16.9779,8.2853
2014-10-21,42.9,13483.1723,17.0375,8.3144
2014-10-22,42.92,13489.4581,17.0454,8.3182
2014-10-23,42.97,13505.1728,17.0653,8.3279
2014-10-24,43.17,13568.0314,17.1447,8.3667
2014-10-27,43.63,13712.6062,17.3274,8.4558
2014-10-28,43.74,13747.1785,17.3711,8.4772
2014-10-29,43.45,13656.0335,17.2559,8.421
2014-10-30,43.91,13800.6083,17.4386,8.5101
2014-10-31,44.17,13882.3245,16.7333,8.5446
2014-11-03,44.33,13932.6114,16.7939,8.5756
2014-11-04,44.46,13973.4695,16.8431,8.6007
2014-11-05,44.87,14102.3296,16.9985,8.68
2014-11-06,44.69,14045.7569,16.9303,8.6452
2014-11-07,44.1,13860.324,16.7067,8.5311
2014-11-10,44.39,13951.4689,16.8166,8.5872
2014-11-11,44.39,13951.4689,16.8166,8.5872
2014-11-12,43.87,13788.0366,16.6196,8.4866
2014-11-13,43.85,13781.7507,16.612,8.4827
2014-11-14,43.75,13750.3214,16.5742,8.4634
2014-11-17,44.56,14004.8988,16.881,8.6201
2014-11-18,44.56,14004.8988,16.881,8.6201
2014-11-19,44.83,14089.7579,16.9833,8.6723
2014-11-20,44.71,14052.0427,16.9378,8.6491
2014-11-21,44.83,14089.7579,16.9833,8.6723
2014-11-24,44.59,14014.3276,16.8924,8.6259
2014-11-25,44.64,14030.0422,16.9113,8.6356
2014-11-26,44.45,13970.3265,16.8393,8.5988
2014-11-28,45.28,14231.1898,17.1538,8.7594
2014-12-01,45.06,14162.0453,17.0704,8.7168
2014-12-02,44.51,13989.1841,16.8621,8.6104
2014-12-03,43.79,13762.8931,16.5893,8.4711
2014-12-04,43.65,13718.8921,16.5363,8.444
2014-12-05,43.65,13718.8921,16.5363,8.444
2014-12-08,44.15,13876.0386,16.7257,8.5408
2014-12-09,44.24,13904.325,16.7598,8.5582
2014-12-10,44.07,13850.8952,16.6954,8.5253
2014-12-11,44.42,13918.6819,16.828,8.593
2014-12-12,43.75,13708.7423,16.5742,8.4634
2014-12-15,43.08,13498.8027,16.3203,8.3338
2014-12-16,42.72,13385.9994,16.184,8.2641
2014-12-17,43.18,13530.137,16.3582,8.3531
2014-12-18,44.05,13802.7451,16.6878,8.5214
2014-12-19,44.3,13881.0808,16.7825,8.5698
2014-12-22,44.5,13943.7493,16.8583,8.6085
2014-12-23,44.62,13981.3505,16.9037,8.6317
2014-12-24,44.57,13965.6833,16.8848,8.622
2014-12-26,44.83,14047.1524,16.9833,8.6723
2014-12-29,44.85,14053.4193,16.9909,8.6762
2014-12-30,44.59,13971.9502,16.8924,8.6259
2014-12-31,44.0,13787.078,16.6689,8.5117
2015-01-02,44.0,13787.0914,16.6689,8.5117
2015-01-05,43.33,13577.1516,16.415,8.3821
2015-01-06,43.04,13486.2822,16.3052,8.326
2015-01-07,44.94,14081.6338,17.025,8.6936
2015-01-08,45.53,14266.5062,17.2485,8.8077
2015-01-09,45.4,14225.7716,17.1992,8.7826
2015-01-12,45.55,14272.7731,17.2561,8.8116
2015-01-13,45.53,14266.5062,17.2485,8.8077
2015-01-14,45.58,14282.1734,17.2674,8.8174
2015-01-15,46.09,14441.9783,17.4606,8.9161
2015-01-16,46.55,14586.116,17.6349,9.005
2015-01-20,46.94,14708.3198,17.7826,9.0805
2015-01-21,47.11,14761.5881,17.847,9.1134
2015-01-22,47.43,14861.8579,17.9683,9.1753
2015-01-23,46.7,14633.1175,17.6917,9.0341
2015-01-26,46.76,14651.9181,17.7145,9.0457
