Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,52.88,2544.4724,22.5448,3.9231
2014-01-03,53.46,2572.3807,22.792,3.9661
2014-01-06,52.98,2549.2842,22.5874,3.9305
2014-01-07,56.3,2709.0355,24.0028,4.1768
2014-01-08,56.02,2695.5625,23.8835,4.1561
2014-01-09,56.44,2715.772,24.0625,4.1872
2014-01-10,56.86,2735.9815,24.2416,4.2184
2014-01-13,57.99,2790.3546,24.7233,4.3022
2014-01-14,58.57,2818.263,24.9706,4.3453
2014-01-15,58.78,2828.3677,25.0602,4.3608
2014-01-16,59.19,2848.0961,25.235,4.3913
2014-01-17,58.7,2824.5183,25.026,4.3549
2014-01-21,58.7,2824.5183,25.026,4.3549
2014-01-22,58.28,2804.3088,24.847,4.3237
2014-01-23,57.97,2789.3923,24.7148,4.3007
2014-01-24,56.99,2742.2368,24.297,4.228
2014-01-27,57.02,2743.6803,24.3098,4.2303
2014-01-28,56.83,2734.5379,24.2288,4.2162
2014-01-29,56.42,2714.8096,24.054,4.1857
2014-01-30,57.56,2769.664,24.54,4.2703
2014-01-31,56.53,2720.1026,24.1009,4.1939
2014-02-03,54.99,2646.0011,23.4443,4.0797
2014-02-04,55.37,2664.2858,23.6063,4.1078
2014-02-05,56.97,2741.2744,24.2885,4.2266
2014-02-06,57.81,2781.6934,24.6466,4.2889
2014-02-07,58.11,2796.1288,24.7745,4.3111
2014-02-10,58.49,2814.4136,24.9365,4.3393
2014-02-11,57.99,2790.3546,24.7233,4.3022
2014-02-12,57.58,2770.6263,24.5486,4.2718
2014-02-13,58.38,2809.1206,24.8896,4.3312
2014-02-14,58.28,2804.3088,24.847,4.3237
2014-02-18,58.13,2797.0911,24.783,4.3126
2014-02-19,58.09,2795.1664,24.766,4.3096
2014-02-20,58.99,2838.4725,25.1497,4.3764
2014-02-21,59.15,2846.1714,25.2179,4.3883
2014-02-24,58.78,2828.3677,25.0602,4.3608
2014-02-25,58.78,2801.4196,25.0602,4.3608
2014-02-26,59.49,2835.2578,25.3629,4.4135
2014-02-27,60.5,2883.3938,25.7935,4.4884
2014-02-28,59.41,2831.445,25.3287,4.4076
2014-03-03,58.2,2773.7771,24.8129,4.3178
2014-03-04,59.01,2812.3812,25.1582,4.3779
2014-03-05,58.31,2779.0197,24.8598,4.326
2014-03-06,58.16,2771.8708,24.7958,4.3148
2014-03-07,57.55,2742.7985,24.5358,4.2696
2014-03-10,57.95,2761.8623,24.7063,4.2993
2014-03-11,58.05,2766.6282,24.7489,4.3067
2014-03-12,60.33,2875.2917,25.721,4.4758
2014-03-13,59.48,2834.7812,25.3586,4.4128
2014-03-14,60.73,2894.3554,25.8915,4.5055
2014-03-17,61.09,2911.5128,26.045,4.5322
2014-03-18,61.85,2947.7339,26.369,4.5886
2014-03-19,62.0,2954.8829,26.433,4.5997
2014-03-20,62.01,2955.3595,26.4372,4.6005
2014-03-21,60.83,2899.1214,25.9341,4.5129
2014-03-24,60.53,2884.8235,25.8062,4.4907
2014-03-25,60.6,2888.1597,25.8361,4.4959
2014-03-26,60.0,2859.5641,25.5803,4.4513
2014-03-27,59.54,2837.6407,25.3842,4.4172
2014-03-28,59.39,2830.4918,23.211,4.1297
2014-03-31,60.34,2875.7683,23.5823,4.1958
2014-04-01,61.25,2958.0116,23.9379,4.2591
2014-04-02,61.4,2965.2557,23.9965,4.2695
2014-04-03,61.47,2968.6363,24.0239,4.2744
2014-04-04,57.8,2791.3971,22.5896,4.0192
2014-04-07,56.87,2746.4836,22.2261,3.9545
2014-04-08,58.25,2813.1294,22.7654,4.0505
