Date,Price,Market Cap,PE Ratio,PB Ratio
2019-06-11,34.0,6687.425,,
2019-06-12,58.0,11407.9603,,
2019-06-13,67.56,13470.7189,,
2019-06-14,64.16,12792.7964,,
2019-06-17,70.01,13959.2219,,
2019-06-18,76.5,15253.2563,,
2019-06-19,77.22,15396.8163,,
2019-06-20,74.85,14924.2645,,
2019-06-21,72.23,14401.8654,,
2019-06-24,67.97,13552.4684,,
2019-06-25,61.52,12266.4095,,
2019-06-26,62.65,12491.719,,
2019-06-27,63.28,12617.3341,,
2019-06-28,68.29,13616.2728,,
2019-07-01,63.2,12601.383,,
2019-07-02,64.52,12864.5764,,
2019-07-03,67.24,13406.9144,,
2019-07-05,67.21,13400.9327,,
2019-07-08,66.91,13341.116,,
2019-07-09,68.45,13648.1751,,
2019-07-10,74.34,14822.5761,,
2019-07-11,70.88,14132.6903,,
2019-07-12,73.5,14655.0894,,
2019-07-15,71.6,14276.2503,,
2019-07-16,69.54,13865.509,,
2019-07-17,71.0,14156.6169,,
2019-07-18,72.75,14505.5476,,
2019-07-19,83.52,17121.4735,,
2019-07-22,87.68,17974.2672,,
2019-07-23,86.74,17781.5686,,
2019-07-24,87.46,17929.1675,,
2019-07-25,92.28,18917.2602,,
2019-07-26,92.88,19040.2593,,
2019-07-29,87.23,17882.0178,,
2019-07-30,94.0,19269.8576,,
2019-07-31,89.07,18259.2151,,27.6341
2019-08-01,91.53,18763.5113,,28.3973
2019-08-02,88.01,18041.9167,,27.3052
2019-08-05,85.48,17523.2705,,26.5203
2019-08-06,85.24,17474.0709,,26.4458
2019-08-07,84.22,17264.9724,,26.1294
2019-08-08,91.65,18788.1112,,28.4345
2019-08-09,94.9,19454.3562,,29.4428
2019-08-12,93.01,19066.9091,,28.8565
2019-08-13,99.65,20428.099,,30.9165
2019-08-14,94.02,19273.9576,,29.1698
2019-08-15,93.66,19200.1581,,29.0581
2019-08-16,96.05,19690.1045,,29.7996
2019-08-19,99.39,20374.7994,,30.8359
2019-08-20,99.16,20327.6498,,30.7645
2019-08-21,96.58,19798.7537,,29.9641
2019-08-22,92.97,19058.7092,,28.8441
2019-08-23,88.43,18128.016,,27.4355
