Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,22.0,117625.5889,12.3577,1.9988
2014-01-03,21.98,117518.6565,12.3465,1.997
2014-01-06,22.01,117679.055,12.3633,1.9997
2014-01-07,22.31,119283.0403,12.5318,2.0269
2014-01-08,22.293,119192.1478,12.5223,2.0254
2014-01-09,22.09,118106.7845,12.4083,2.007
2014-01-10,22.22,118801.8448,12.4813,2.0188
2014-01-13,22.19,118641.4462,12.4644,2.016
2014-01-14,22.41,119817.7021,12.588,2.036
2014-01-15,22.78,121795.9507,12.7958,2.0696
2014-01-16,22.78,121795.9507,12.7958,2.0696
2014-01-17,22.74,121582.0859,12.7734,2.066
2014-01-21,22.83,122063.2815,12.8239,2.0742
2014-01-22,22.84,122116.7477,12.8296,2.0751
2014-01-23,22.56,120619.6948,12.6723,2.0497
2014-01-24,22.2,118694.9124,12.8919,2.0553
2014-01-27,22.0,117625.5889,12.7757,2.0368
2014-01-28,21.75,116288.9344,12.6305,2.0137
2014-01-29,21.65,115754.2727,12.5725,2.0044
2014-01-30,21.976,117497.27,12.7618,2.0346
2014-01-31,21.91,117144.3933,12.7234,2.0285
2014-02-03,21.55,115219.6109,12.5144,1.9951
2014-02-04,21.8,116556.2653,12.6596,2.0183
2014-02-05,21.98,117518.6565,12.7641,2.035
2014-02-06,22.49,120245.4315,13.0603,2.0822
2014-02-07,22.67,121207.8227,13.1648,2.0988
2014-02-10,22.83,122063.2815,13.2577,2.1137
2014-02-11,22.71,121421.6874,13.188,2.1025
2014-02-12,22.85,122170.2139,13.2693,2.1155
2014-02-13,22.27,119069.1756,12.9325,2.0618
2014-02-14,22.56,120619.6948,13.1009,2.0887
2014-02-18,22.41,119817.7021,13.0138,2.0748
2014-02-19,22.28,119122.6418,12.9383,2.0627
2014-02-20,22.3,114873.5719,12.9499,2.0646
2014-02-21,22.13,113997.8541,12.8512,2.0488
2014-02-24,22.12,113946.3413,12.8454,2.0479
2014-02-25,21.84,112503.9825,12.6828,2.022
2014-02-26,21.93,112967.5978,12.7351,2.0303
2014-02-27,21.92,112916.085,12.7293,2.0294
2014-02-28,21.8,112297.9313,12.6596,2.0183
2014-03-03,21.57,111113.1366,12.526,1.997
2014-03-04,21.82,112400.9569,12.6712,2.0201
2014-03-05,21.87,112658.5209,12.7002,2.0248
2014-03-06,21.82,112400.9569,12.6712,2.0201
2014-03-07,21.73,111937.3416,12.6189,2.0118
2014-03-10,21.69,111731.2903,12.5957,2.0081
2014-03-11,21.61,111319.1878,12.5492,2.0007
