Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,9.4167,28636.3012,15.9087,2.7187
2014-01-03,9.4767,28818.7626,16.0101,2.736
2014-01-06,9.4067,28605.8909,15.8918,2.7158
2014-01-07,9.45,28737.6686,15.965,2.7283
2014-01-08,9.41,28616.0277,15.8975,2.7168
2014-01-09,9.5533,29051.9077,16.1396,2.7582
2014-01-10,9.6267,29274.916,16.2635,2.7793
2014-01-13,9.4767,28818.7626,16.0101,2.736
2014-01-14,9.6267,29274.916,16.2635,2.7793
2014-01-15,9.7433,29629.7021,16.4606,2.813
2014-01-16,9.08,27612.49,15.34,2.6215
2014-01-17,9.0767,27602.3533,15.3343,2.6206
2014-01-21,9.0133,27409.7552,15.2273,2.6023
2014-01-22,9.0733,27592.2166,15.3287,2.6196
2014-01-23,9.0067,27389.4817,15.2161,2.6003
2014-01-24,8.7333,26558.2687,14.7543,2.5214
2014-01-27,8.7133,26497.4482,14.7205,2.5157
2014-01-28,8.84,26882.6445,14.9345,2.5522
2014-01-29,8.71,26487.3115,14.7149,2.5147
2014-01-30,8.9233,27136.0631,15.0753,2.5763
2014-01-31,8.97,27277.9775,15.1541,2.5898
2014-02-03,8.6733,26375.8073,14.6529,2.5041
2014-02-04,8.7833,26710.3198,14.8388,2.5359
2014-02-05,8.8367,26872.5077,14.9289,2.5513
2014-02-06,9.01,27399.6184,15.2217,2.6013
2014-02-07,9.0833,27622.6268,15.3456,2.6225
2014-02-10,9.0233,27440.1654,15.2442,2.6052
2014-02-11,9.1033,27683.4472,15.3794,2.6283
2014-02-12,9.13,27597.936,15.4244,2.636
2014-02-13,9.1233,27577.7841,15.4132,2.634
2014-02-14,9.1767,27738.9988,15.5033,2.6494
2014-02-18,9.1367,27618.0878,15.4357,2.6379
2014-02-19,9.03,27295.6585,15.2555,2.6071
2014-02-20,9.1167,27557.6323,15.4019,2.6321
2014-02-21,9.1067,27527.4046,15.385,2.6292
2014-02-24,9.23,27900.2135,15.5934,2.6648
2014-02-25,9.1033,27517.3286,15.3794,2.6283
2014-02-26,9.07,27416.5695,15.3231,2.6186
2014-02-27,9.1533,27668.4674,15.4639,2.6427
2014-02-28,9.2367,27920.3653,15.6046,2.6667
2014-03-03,9.2,27809.5302,15.5427,2.6562
2014-03-04,9.4333,28514.8444,15.9369,2.7235
2014-03-05,9.5133,28756.6664,16.072,2.7466
2014-03-06,9.5767,28948.1088,16.179,2.7649
2014-03-07,9.6233,29089.1717,16.2579,2.7784
2014-03-10,9.63,29109.3235,16.2691,2.7803
2014-03-11,9.6133,29058.9439,16.241,2.7755
2014-03-12,9.63,29109.3235,16.2691,2.7803
2014-03-13,9.4867,28676.0591,16.027,2.7389
2014-03-14,9.46,28595.4517,15.9819,2.7312
2014-03-17,9.5433,28847.3496,16.1227,2.7553
2014-03-18,9.58,28958.1847,16.1847,2.7659
2014-03-19,9.5167,28766.7423,16.0777,2.7476
2014-03-20,9.5433,28847.3496,16.1227,2.7553
2014-03-21,9.5867,28978.3366,16.1959,2.7678
2014-03-24,9.5633,28907.8052,16.1565,2.7611
2014-03-25,9.69,29290.69,16.3705,2.7976
2014-03-26,9.55,28804.3382,16.134,2.7572
2014-03-27,9.4233,28422.2912,15.92,2.7206
2014-03-28,9.5267,28733.9611,16.2674,2.7009
2014-03-31,9.6567,29126.0621,16.4894,2.7378
2014-04-01,9.7067,29276.8701,16.5748,2.7519
2014-04-02,9.74,29377.4088,16.6317,2.7614
2014-04-03,9.6967,29246.7085,16.5577,2.7491
