Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,38.17,16106.1954,60.4436,7.2094
2014-01-03,37.95,16013.3643,60.0952,7.1678
2014-01-06,38.2,16118.8542,60.4911,7.2151
2014-01-07,38.87,16401.5671,61.5521,7.3416
2014-01-08,38.75,16350.9319,61.362,7.3189
2014-01-09,37.44,15798.1649,59.2876,7.0715
2014-01-10,37.5,15823.4825,59.3826,7.0829
2014-01-13,36.44,15376.2054,57.7041,6.8826
2014-01-14,37.36,15764.4082,59.1609,7.0564
2014-01-15,37.62,15874.1177,59.5726,7.1055
2014-01-16,38.16,16101.9758,60.4277,7.2075
2014-01-17,37.48,15815.0433,59.3509,7.0791
2014-01-21,39.09,16494.3982,61.9004,7.3832
2014-01-22,39.91,16840.405,63.1989,7.538
2014-01-23,39.81,16798.209,63.0406,7.5192
2014-01-24,39.55,16688.4996,62.6289,7.47
2014-01-27,39.07,16485.959,61.8688,7.3794
2014-01-28,40.39,17042.9456,63.959,7.6287
2014-01-29,40.49,17085.1415,64.1174,7.6476
2014-01-30,39.72,16760.2327,62.8981,7.5022
2014-01-31,39.98,16869.9422,63.3098,7.5513
2014-02-03,39.46,16650.5232,62.4863,7.453
2014-02-04,41.61,17557.7362,65.8909,7.8591
2014-02-05,40.42,17055.6044,64.0065,7.6344
2014-02-06,40.26,16988.0908,63.7532,7.6041
2014-02-07,39.32,16591.4489,62.2646,7.4266
2014-02-10,38.71,16334.0535,61.2987,7.3114
2014-02-11,39.25,16561.9117,62.1538,7.4134
2014-02-12,38.61,16291.8576,61.1403,7.2925
2014-02-13,38.83,16384.6887,61.4887,7.3341
2014-02-14,38.86,16397.3475,61.5362,7.3397
2014-02-18,39.66,16734.9151,62.803,7.4908
2014-02-19,40.07,16907.9185,63.4523,7.5683
2014-02-20,39.28,16574.5705,62.2013,7.4191
2014-02-21,36.07,15220.0804,57.1182,6.8128
2014-02-24,35.65,15042.8574,56.4531,6.7334
2014-02-25,35.53,14992.2222,56.263,6.7108
2014-02-26,35.37,14924.7087,56.0097,6.6805
2014-02-27,35.38,14928.9283,56.0255,6.6824
2014-02-28,35.0,14778.3687,55.4238,6.6107
2014-03-03,34.74,14668.5865,55.0121,6.5616
2014-03-04,34.81,14698.1433,55.1229,6.5748
2014-03-05,34.55,14588.3611,54.7112,6.5257
2014-03-06,34.97,14765.7015,55.3763,6.605
